Plot Title: 20036649 Audubon 01,,,,,,,,
#,"Date Time, GMT-07:00","High Range, mS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)",Coupler Detached (LGR S/N: 20036649),Coupler Attached (LGR S/N: 20036649),Host Connected (LGR S/N: 20036649),Stopped (LGR S/N: 20036649),End Of File (LGR S/N: 20036649)
1,10/11/2017 17:00,54.0934,24.24,Logged,,,,
2,10/11/2017 17:15,54.0934,24.23,,,,,
3,10/11/2017 17:30,54.0934,24.14,,,,,
4,10/11/2017 17:45,54.0934,24.08,,,,,
5,10/11/2017 18:00,54.0934,24.06,,,,,
6,10/11/2017 18:15,54.0934,24.01,,,,,
7,10/11/2017 18:30,54.0934,23.99,,,,,
8,10/11/2017 18:45,54.0934,23.95,,,,,
9,10/11/2017 19:00,54.0934,23.88,,,,,
10,10/11/2017 19:15,54.0934,23.82,,,,,
11,10/11/2017 19:30,54.0934,23.76,,,,,
12,10/11/2017 19:45,54.0934,23.58,,,,,
13,10/11/2017 20:00,54.0934,23.42,,,,,
14,10/11/2017 20:15,54.0934,23.27,,,,,
15,10/11/2017 20:30,54.0934,23.18,,,,,
16,10/11/2017 20:45,54.0934,23.13,,,,,
17,10/11/2017 21:00,54.0934,23.09,,,,,
18,10/11/2017 21:15,54.0934,23.01,,,,,
19,10/11/2017 21:30,54.0934,22.97,,,,,
20,10/11/2017 21:45,54.0934,22.86,,,,,
21,10/11/2017 22:00,54.0934,22.68,,,,,
22,10/11/2017 22:15,54.0934,22.6,,,,,
23,10/11/2017 22:30,54.0934,22.53,,,,,
24,10/11/2017 22:45,54.0934,22.44,,,,,
25,10/11/2017 23:00,54.0934,22.44,,,,,
26,10/11/2017 23:15,54.0934,22.36,,,,,
27,10/11/2017 23:30,54.0934,22.29,,,,,
28,10/11/2017 23:45,54.0934,22.2,,,,,
29,10/12/2017 0:00,54.0934,22.15,,,,,
30,10/12/2017 0:15,54.0934,22.08,,,,,
31,10/12/2017 0:30,54.0934,22.03,,,,,
32,10/12/2017 0:45,54.0934,21.97,,,,,
33,10/12/2017 1:00,54.0934,21.9,,,,,
34,10/12/2017 1:15,54.0934,21.84,,,,,
35,10/12/2017 1:30,54.0934,21.78,,,,,
36,10/12/2017 1:45,54.0934,21.75,,,,,
37,10/12/2017 2:00,54.0934,21.69,,,,,
38,10/12/2017 2:15,54.0934,21.61,,,,,
39,10/12/2017 2:30,54.0934,21.54,,,,,
40,10/12/2017 2:45,54.0934,21.48,,,,,
41,10/12/2017 3:00,54.0934,21.41,,,,,
42,10/12/2017 3:15,54.0934,21.38,,,,,
43,10/12/2017 3:30,54.0934,21.32,,,,,
44,10/12/2017 3:45,54.0934,21.26,,,,,
45,10/12/2017 4:00,54.0934,21.21,,,,,
46,10/12/2017 4:15,54.0934,21.17,,,,,
47,10/12/2017 4:30,54.0934,21.11,,,,,
48,10/12/2017 4:45,54.0934,21.07,,,,,
49,10/12/2017 5:00,54.0934,21.05,,,,,
50,10/12/2017 5:15,54.0934,21.02,,,,,
51,10/12/2017 5:30,54.0934,21.01,,,,,
52,10/12/2017 5:45,54.0934,20.99,,,,,
53,10/12/2017 6:00,54.0934,20.98,,,,,
54,10/12/2017 6:15,54.0934,20.94,,,,,
55,10/12/2017 6:30,54.0934,20.9,,,,,
56,10/12/2017 6:45,54.0934,20.85,,,,,
57,10/12/2017 7:00,54.0934,20.8,,,,,
58,10/12/2017 7:15,54.0934,20.77,,,,,
59,10/12/2017 7:30,54.0934,20.73,,,,,
60,10/12/2017 7:45,54.0934,20.75,,,,,
61,10/12/2017 8:00,54.0934,20.72,,,,,
62,10/12/2017 8:15,54.0934,20.7,,,,,
63,10/12/2017 8:30,54.0934,20.69,,,,,
64,10/12/2017 8:45,54.0934,20.65,,,,,
65,10/12/2017 9:00,54.0934,20.62,,,,,
66,10/12/2017 9:15,54.0934,20.62,,,,,
67,10/12/2017 9:30,54.0934,20.61,,,,,
68,10/12/2017 9:45,54.0934,20.61,,,,,
69,10/12/2017 10:00,54.0934,20.71,,,,,
70,10/12/2017 10:15,54.0934,20.88,,,,,
71,10/12/2017 10:30,54.0934,20.99,,,,,
72,10/12/2017 10:45,54.0934,21.02,,,,,
73,10/12/2017 11:00,54.0934,21.09,,,,,
74,10/12/2017 11:15,54.0934,21.16,,,,,
