7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1508196540,+3.49,+23.728, +8.466,+0.994
1508197440,+3.49,+23.736, +7.954,+0.991
1508198340,+3.49,+23.694, +7.734,+0.993
1508199240,+3.49,+23.678, +7.330,+0.992
1508200140,+3.49,+23.644, +6.647,+0.992
1508201040,+3.49,+23.577, +6.001,+0.992
1508201940,+3.49,+23.510, +5.392,+0.991
1508202840,+3.49,+23.452, +4.795,+0.990
1508203740,+3.49,+23.410, +4.191,+0.989
1508204640,+3.49,+23.385, +3.611,+0.985
1508205540,+3.49,+23.351, +3.111,+0.982
1508206440,+3.49,+23.293, +2.639,+0.977
1508207340,+3.49,+23.201, +2.260,+0.973
1508208240,+3.49,+23.167, +1.937,+0.968
1508209140,+3.49,+23.084, +1.692,+0.965
1508210040,+3.49,+22.975, +1.517,+0.963
1508210940,+3.49,+22.891, +1.386,+0.962
1508211840,+3.49,+22.816, +1.279,+0.962
1508212740,+3.49,+22.741, +1.197,+0.962
1508213640,+3.49,+22.624, +1.128,+0.962
1508214540,+3.49,+22.490, +1.070,+0.963
1508215440,+3.49,+22.390, +1.014,+0.963
1508216340,+3.49,+22.231, +0.969,+0.964
1508217240,+3.49,+22.114, +0.932,+0.964
1508218140,+3.49,+21.989, +0.901,+0.965
1508219040,+3.49,+21.914, +0.873,+0.965
1508219940,+3.49,+21.847, +0.849,+0.965
1508220840,+3.49,+21.763, +0.827,+0.965
1508221740,+3.49,+21.713, +0.808,+0.966
1508222640,+3.49,+21.638, +0.786,+0.967
1508223540,+3.49,+21.563, +0.762,+0.967
1508224440,+3.49,+21.488, +0.743,+0.967
1508225340,+3.49,+21.412, +0.723,+0.967
1508226240,+3.49,+21.354, +0.706,+0.968
1508227140,+3.49,+21.304, +0.691,+0.968
1508228040,+3.49,+21.204, +0.675,+0.968
1508228940,+3.49,+21.137, +0.659,+0.968
1508229840,+3.49,+21.103, +0.646,+0.969
1508230740,+3.49,+21.045, +0.633,+0.969
1508231640,+3.49,+20.986, +0.619,+0.969
1508232540,+3.49,+20.928, +0.606,+0.970
1508233440,+3.49,+20.836, +0.595,+0.970
1508234340,+3.49,+20.786, +0.583,+0.970
1508235240,+3.49,+20.752, +0.571,+0.971
1508236140,+3.49,+20.719, +0.558,+0.971
1508237040,+3.49,+20.660, +0.544,+0.971
1508237940,+3.49,+20.610, +0.533,+0.971
1508238840,+3.49,+20.560, +0.520,+0.971
1508239740,+3.49,+20.527, +0.505,+0.971
1508240640,+3.49,+20.443, +0.497,+0.971
1508241540,+3.49,+20.376, +0.488,+0.972
1508242440,+3.49,+20.309, +0.479,+0.971
1508243340,+3.49,+20.284, +0.471,+0.972
1508244240,+3.49,+20.217, +0.463,+0.972
1508245140,+3.49,+20.184, +0.455,+0.972
1508246040,+3.49,+20.133, +0.449,+0.972
1508246940,+3.49,+20.083, +0.442,+0.972
1508247840,+3.49,+20.058, +0.435,+0.972
1508248740,+3.49,+19.991, +0.427,+0.972
1508249640,+3.49,+19.983, +0.420,+0.973
1508250540,+3.49,+19.941, +0.412,+0.972
1508251440,+3.48,+19.958, +0.405,+0.973
1508252340,+3.49,+19.891, +0.398,+0.973
1508253240,+3.49,+19.949, +0.484,+0.975
1508254140,+3.48,+19.974, +2.271,+0.995
1508255040,+3.49,+19.949, +3.043,+0.996
1508255940,+3.48,+19.949, +3.099,+0.996
1508256840,+3.48,+19.958, +2.820,+0.996
1508257740,+3.48,+20.016, +2.454,+0.995
1508258640,+3.49,+20.066, +2.114,+0.994
1508259540,+3.49,+20.133, +1.807,+0.993
1508260440,+3.48,+20.167, +1.570,+0.991
1508261340,+3.48,+20.209, +1.982,+0.994
1508262240,+3.48,+20.351, +2.342,+0.995
1508263140,+3.48,+20.409, +2.767,+0.995
1508264040,+3.48,+20.393, +2.723,+0.995
1508264940,+3.48,+20.451, +2.481,+0.996
1508265840,+3.48,+20.635, +2.260,+0.995
1508266740,+3.48,+20.827, +2.329,+0.995
1508267640,+3.48,+20.819, +2.493,+0.995
1508268540,+3.48,+21.546, +2.476,+0.997
1508269440,+3.48,+21.705, +3.254,+0.995
1508270340,+3.48,+21.964, +4.260,+0.994
1508271240,+3.48,+22.156, +5.188,+0.992
1508272140,+3.48,+22.515, +6.494,+0.991
1508273040,+3.49,+22.699, +7.268,+0.990
1508273940,+3.48,+23.192, +7.600,+0.992
1508274840,+3.48,+23.234, +7.900,+0.990
1508275740,+3.49,+23.276, +8.017,+0.991
1508276640,+3.49,+23.435, +7.961,+0.991
1508277540,+3.49,+23.627, +7.924,+0.992
1508278440,+3.49,+23.652, +8.391,+0.991
1508279340,+3.49,+23.703, +8.617,+0.991
1508280240,+3.49,+23.652, +7.958,+0.992
1508281140,+3.49,+23.736, +6.902,+0.994
1508282040,+3.49,+23.904, +6.385,+0.993
1508282940,+3.49,+23.644, +6.887,+0.991
