7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1513716720,+3.43,+10.530, +2.869,+0.980
1513717620,+3.43,+11.252, +4.633,+0.963
1513718520,+3.43,+12.842, +5.937,+0.958
1513719420,+3.43,+13.604, +6.587,+0.959
1513720320,+3.44,+13.587, +6.868,+0.967
1513721220,+3.43,+13.700, +7.156,+0.969
1513722120,+3.43,+13.430, +7.118,+0.972
1513723020,+3.44,+13.377, +7.018,+0.974
1513723920,+3.44,+13.482, +6.914,+0.975
1513724820,+3.44,+13.648, +6.754,+0.975
1513725720,+3.44,+13.648, +6.390,+0.975
1513726620,+3.44,+13.674, +6.441,+0.975
1513727520,+3.44,+13.613, +6.422,+0.975
1513728420,+3.44,+13.657, +7.652,+0.969
1513729320,+3.44,+13.648, +8.120,+0.969
1513730220,+3.44,+13.604, +8.279,+0.970
1513731120,+3.44,+13.552, +8.181,+0.972
1513732020,+3.44,+13.561, +8.179,+0.972
1513732920,+3.44,+13.552, +8.362,+0.972
1513733820,+3.44,+13.526, +8.284,+0.973
1513734720,+3.44,+13.500, +7.885,+0.974
1513735620,+3.44,+13.272, +7.892,+0.973
1513736520,+3.44,+13.176, +7.507,+0.973
1513737420,+3.44,+12.851, +7.235,+0.973
1513738320,+3.44,+12.454, +7.335,+0.973
1513739220,+3.44,+12.029, +8.653,+0.970
1513740120,+3.44,+11.851, +9.387,+0.968
1513741020,+3.44,+11.610, +9.369,+0.971
1513741920,+3.44,+11.592, +9.081,+0.973
1513742820,+3.44,+11.288, +9.052,+0.974
1513743720,+3.44,+11.180, +8.886,+0.972
1513744620,+3.44,+11.144, +8.895,+0.974
1513745520,+3.44,+11.117, +9.939,+0.969
1513746420,+3.44,+11.117, +9.826,+0.972
1513747320,+3.44,+11.108, +9.782,+0.972
1513748220,+3.44,+11.072, +9.858,+0.971
1513749120,+3.44,+11.162, +9.794,+0.972
1513750020,+3.44,+11.225,+10.064,+0.972
1513750920,+3.44,+11.314, +9.836,+0.972
1513751820,+3.44,+11.395,+10.103,+0.972
1513752720,+3.44,+11.503, +9.946,+0.973
1513753620,+3.44,+11.512, +9.777,+0.972
1513754520,+3.44,+11.512,+10.209,+0.972
1513755420,+3.44,+11.583,+10.154,+0.973
1513756320,+3.44,+11.637, +9.831,+0.973
1513757220,+3.44,+11.664, +9.650,+0.973
1513758120,+3.44,+11.664, +9.434,+0.973
1513759020,+3.44,+11.655, +9.313,+0.974
1513759920,+3.44,+11.690, +9.153,+0.973
1513760820,+3.44,+11.664, +8.903,+0.973
1513761720,+3.44,+11.583, +9.218,+0.973
1513762620,+3.44,+11.503, +9.562,+0.972
1513763520,+3.44,+11.476, +9.485,+0.974
1513764420,+3.44,+11.431, +9.261,+0.974
1513765320,+3.44,+11.368, +9.051,+0.974
1513766220,+3.44,+11.314, +8.836,+0.975
1513767120,+3.44,+11.243, +8.654,+0.975
1513768020,+3.44,+11.153, +8.549,+0.975
1513768920,+3.44,+11.108, +8.538,+0.975
1513769820,+3.44,+11.045, +8.574,+0.974
1513770720,+3.44,+11.009, +8.638,+0.975
1513771620,+3.44,+10.973, +8.572,+0.975
1513772520,+3.44,+10.928, +8.469,+0.975
1513773420,+3.44,+10.910, +8.277,+0.976
1513774320,+3.44,+10.901, +8.053,+0.975
1513775220,+3.44,+10.901, +7.851,+0.976
1513776120,+3.44,+10.882, +7.589,+0.976
1513777020,+3.44,+10.810, +7.388,+0.976
1513777920,+3.44,+10.810, +7.207,+0.976
1513778820,+3.44,+10.711, +7.044,+0.976
1513779720,+3.44,+10.675, +6.833,+0.976
1513780620,+3.44,+10.711, +6.712,+0.977
1513781520,+3.44,+10.702, +6.561,+0.976
1513782420,+3.43,+10.675, +6.377,+0.976
1513783320,+3.44,+10.629, +6.251,+0.977
1513784220,+3.43,+10.602, +6.141,+0.977
1513785120,+3.44,+10.602, +6.049,+0.977
1513786020,+3.44,+10.638, +5.928,+0.977
1513786920,+3.44,+10.684, +5.758,+0.978
1513787820,+3.44,+10.738, +5.583,+0.978
1513788720,+3.43,+10.756, +5.420,+0.978
1513789620,+3.44,+10.765, +5.321,+0.978
1513790520,+3.44,+10.774, +5.241,+0.978
1513791420,+3.43,+10.756, +5.195,+0.979
1513792320,+3.43,+10.720, +5.187,+0.978
1513793220,+3.44,+10.720, +5.177,+0.979
1513794120,+3.44,+10.720, +5.148,+0.979
1513795020,+3.43,+10.720, +6.328,+0.974
1513795920,+3.44,+11.063, +7.568,+0.967
1513796820,+3.44,+11.081, +7.773,+0.971
1513797720,+3.44,+11.601, +8.475,+0.969
1513798620,+3.44,+11.886, +8.600,+0.971
1513799520,+3.44,+11.780, +8.662,+0.973
1513800420,+3.44,+12.330, +8.771,+0.974
1513801320,+3.44,+12.463, +9.447,+0.972
1513802220,+3.44,+12.481,+11.194,+0.968
1513803120,+3.44,+12.463,+11.808,+0.971
