7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1516139040,+3.46,+14.947, +0.195,+0.961
1516139940,+3.46,+14.956, +0.159,+0.960
1516140840,+3.46,+14.982, +0.084,+0.958
1516141740,+3.46,+15.102, +0.084,+0.958
1516142640,+3.46,+15.154, +0.165,+0.960
1516143540,+3.46,+15.205, +0.067,+0.958
1516144440,+3.46,+15.188, +0.061,+0.958
1516145340,+3.46,+15.085, +0.057,+0.957
1516146240,+3.46,+15.574, +0.068,+0.958
1516147140,+3.46,+15.625, +0.083,+0.958
1516148040,+3.46,+15.668, +0.052,+0.957
1516148940,+3.46,+15.659, +0.092,+0.958
1516149840,+3.46,+15.677, +0.197,+0.961
1516150740,+3.46,+15.668, +0.137,+0.959
1516151640,+3.46,+15.514, +0.335,+0.964
1516152540,+3.46,+15.480, +0.585,+0.968
1516153440,+3.46,+15.394, +0.491,+0.967
1516154340,+3.46,+15.368, +1.658,+0.975
1516155240,+3.46,+15.514, +1.392,+0.976
1516156140,+3.46,+15.600, +1.001,+0.974
1516157040,+3.46,+15.711, +0.591,+0.968
1516157940,+3.46,+15.779, +0.369,+0.964
1516158840,+3.46,+15.822, +0.438,+0.966
1516159740,+3.46,+15.839, +0.387,+0.965
1516160640,+3.46,+15.865, +0.118,+0.959
1516161540,+3.46,+15.865, +0.070,+0.958
1516162440,+3.46,+15.890, +0.220,+0.961
1516163340,+3.46,+15.856, +0.281,+0.963
1516164240,+3.46,+15.856, +0.089,+0.958
1516165140,+3.46,+15.848, +0.057,+0.957
1516166040,+3.46,+15.754, +0.054,+0.957
1516166940,+3.46,+15.634, +0.756,+0.968
1516167840,+3.46,+15.668, +0.590,+0.968
1516168740,+3.46,+15.685, +0.183,+0.961
1516169640,+3.46,+15.668, +0.123,+0.959
1516170540,+3.46,+15.557, +0.258,+0.962
1516171440,+3.46,+15.497, +2.439,+0.976
1516172340,+3.46,+15.497, +2.960,+0.978
1516173240,+3.46,+15.454, +1.916,+0.980
1516174140,+3.46,+15.488, +1.676,+0.979
1516175040,+3.46,+15.497, +1.157,+0.975
1516175940,+3.46,+15.437, +1.947,+0.979
1516176840,+3.46,+15.411, +2.938,+0.980
1516177740,+3.46,+15.437, +3.232,+0.980
1516178640,+3.46,+15.454, +3.564,+0.980
1516179540,+3.46,+15.488, +3.450,+0.981
1516180440,+3.46,+15.462, +3.510,+0.981
1516181340,+3.46,+15.462, +4.004,+0.980
1516182240,+3.46,+15.522, +3.848,+0.981
1516183140,+3.46,+15.531, +3.604,+0.981
1516184040,+3.46,+15.505, +3.081,+0.980
1516184940,+3.46,+15.497, +3.226,+0.981
1516185840,+3.46,+15.471, +3.282,+0.981
1516186740,+3.46,+15.394, +3.587,+0.981
1516187640,+3.46,+15.377, +3.424,+0.981
1516188540,+3.46,+15.420, +3.186,+0.981
1516189440,+3.46,+15.377, +2.783,+0.981
1516190340,+3.46,+15.360, +2.551,+0.981
1516191240,+3.46,+15.377, +2.287,+0.981
1516192140,+3.46,+15.377, +2.391,+0.981
1516193040,+3.46,+15.368, +2.261,+0.981
1516193940,+3.46,+15.342, +2.447,+0.981
1516194840,+3.46,+15.334, +2.276,+0.981
1516195740,+3.46,+15.300, +2.041,+0.981
1516196640,+3.46,+15.282, +1.871,+0.980
1516197540,+3.46,+15.188, +1.971,+0.980
1516198440,+3.46,+15.197, +1.769,+0.980
1516199340,+3.46,+15.119, +1.873,+0.981
1516200240,+3.46,+15.111, +1.850,+0.981
1516201140,+3.46,+15.085, +2.446,+0.982
1516202040,+3.46,+15.171, +2.216,+0.982
1516202940,+3.46,+15.188, +2.079,+0.981
1516203840,+3.46,+15.042, +2.625,+0.982
1516204740,+3.46,+15.085, +2.409,+0.982
1516205640,+3.46,+15.016, +2.474,+0.982
1516206540,+3.46,+14.784, +2.915,+0.981
1516207440,+3.46,+14.689, +2.939,+0.982
1516208340,+3.46,+14.732, +2.737,+0.982
1516209240,+3.46,+14.706, +2.744,+0.982
1516210140,+3.46,+14.947, +2.055,+0.979
1516211040,+3.46,+15.222, +1.729,+0.980
1516211940,+3.46,+15.437, +1.833,+0.981
1516212840,+3.46,+15.437, +2.181,+0.981
1516213740,+3.46,+15.325, +2.237,+0.980
1516214640,+3.46,+15.128, +2.632,+0.981
1516215540,+3.46,+14.663, +2.514,+0.980
1516216440,+3.45,+14.326, +3.715,+0.980
1516217340,+3.45,+14.317, +3.949,+0.980
1516218240,+3.46,+15.068, +3.381,+0.981
1516219140,+3.45,+15.497, +2.501,+0.981
1516220040,+3.45,+15.548, +1.885,+0.980
1516220940,+3.45,+15.548, +1.632,+0.979
1516221840,+3.46,+15.514, +1.933,+0.980
1516222740,+3.46,+15.385, +2.442,+0.981
1516223640,+3.46,+15.334, +2.909,+0.980
1516224540,+3.45,+15.471, +2.803,+0.980
1516225440,+3.46,+15.762, +2.413,+0.980
