7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1519768200,+3.45,+13.674,+10.149,+0.976
1519769100,+3.44,+13.744,+10.170,+0.976
1519770000,+3.45,+13.848,+10.159,+0.975
1519770900,+3.45,+13.961,+10.389,+0.976
1519771800,+3.45,+14.066,+10.298,+0.974
1519772700,+3.45,+14.352,+11.017,+0.975
1519773600,+3.45,+14.421,+10.680,+0.976
1519774500,+3.45,+14.404,+10.327,+0.976
1519775400,+3.45,+14.343,+10.110,+0.976
1519776300,+3.45,+14.542,+10.067,+0.975
1519777200,+3.45,+14.809, +9.884,+0.975
1519778100,+3.45,+14.878,+10.569,+0.975
1519779000,+3.45,+14.852,+10.766,+0.976
1519779900,+3.45,+14.878,+10.793,+0.974
1519780800,+3.45,+14.844,+10.877,+0.974
1519781700,+3.45,+14.844,+10.677,+0.974
1519782600,+3.45,+14.809,+10.238,+0.975
1519783500,+3.45,+14.827,+10.013,+0.974
1519784400,+3.45,+14.766,+10.297,+0.975
1519785300,+3.45,+14.818,+10.254,+0.975
1519786200,+3.45,+14.637,+10.173,+0.975
1519787100,+3.45,+14.671,+10.228,+0.975
1519788000,+3.45,+14.758,+10.025,+0.975
1519788900,+3.45,+14.740, +9.966,+0.975
1519789800,+3.45,+14.775, +9.810,+0.975
1519790700,+3.45,+14.740, +9.657,+0.974
1519791600,+3.45,+14.758, +9.570,+0.976
1519792500,+3.45,+14.775, +9.046,+0.976
1519793400,+3.45,+14.715, +8.943,+0.974
1519794300,+3.45,+14.594, +9.414,+0.975
1519795200,+3.45,+14.576, +9.535,+0.975
1519796100,+3.45,+14.576, +9.775,+0.975
1519797000,+3.45,+14.516, +9.697,+0.975
1519797900,+3.45,+14.542, +9.911,+0.975
1519798800,+3.45,+14.499,+10.409,+0.975
1519799700,+3.45,+14.481,+10.270,+0.975
1519800600,+3.45,+14.447,+10.343,+0.974
1519801500,+3.45,+14.404,+10.954,+0.974
1519802400,+3.45,+14.343,+10.712,+0.974
1519803300,+3.45,+14.230,+10.604,+0.976
1519804200,+3.45,+14.066,+10.034,+0.975
1519805100,+3.45,+14.005, +9.780,+0.975
1519806000,+3.45,+14.005, +9.358,+0.975
1519806900,+3.45,+13.953, +9.350,+0.976
1519807800,+3.45,+13.901, +9.446,+0.977
1519808700,+3.45,+13.805, +9.572,+0.976
1519809600,+3.45,+13.744, +9.347,+0.977
1519810500,+3.45,+13.692, +9.344,+0.976
1519811400,+3.45,+13.596, +9.368,+0.976
1519812300,+3.45,+13.543, +9.214,+0.976
1519813200,+3.45,+13.526, +9.050,+0.976
1519814100,+3.45,+13.465, +9.225,+0.976
1519815000,+3.45,+13.421, +9.721,+0.975
1519815900,+3.45,+13.342, +9.621,+0.976
1519816800,+3.45,+13.307, +9.457,+0.975
1519817700,+3.45,+13.264, +9.183,+0.975
1519818600,+3.45,+13.211, +8.990,+0.976
1519819500,+3.45,+13.115, +9.282,+0.976
1519820400,+3.45,+12.939, +9.227,+0.975
1519821300,+3.45,+12.886, +9.177,+0.976
1519822200,+3.45,+12.701, +9.091,+0.975
1519823100,+3.45,+12.560, +9.018,+0.976
1519824000,+3.45,+12.490, +8.958,+0.975
1519824900,+3.45,+12.251, +9.074,+0.976
1519825800,+3.45,+12.233, +8.927,+0.976
1519826700,+3.45,+12.215, +8.732,+0.976
1519827600,+3.45,+12.055, +8.686,+0.976
1519828500,+3.45,+11.984, +8.599,+0.976
1519829400,+3.45,+11.975, +8.575,+0.976
1519830300,+3.45,+11.851, +8.599,+0.977
1519831200,+3.45,+11.744, +8.559,+0.976
1519832100,+3.45,+11.574, +8.520,+0.976
1519833000,+3.45,+11.332, +8.726,+0.976
1519833900,+3.45,+11.395, +8.811,+0.977
1519834800,+3.45,+11.341, +8.611,+0.975
1519835700,+3.45,+11.288, +8.446,+0.976
1519836600,+3.45,+11.314, +8.256,+0.976
1519837500,+3.45,+11.672, +8.163,+0.977
1519838400,+3.45,+11.512, +8.095,+0.975
1519839300,+3.45,+11.288, +8.576,+0.976
1519840200,+3.45,+11.135, +8.607,+0.976
1519841100,+3.45,+11.913, +8.586,+0.976
1519842000,+3.45,+11.476, +9.012,+0.976
1519842900,+3.45,+11.993, +8.814,+0.975
1519843800,+3.45,+11.922, +8.834,+0.976
1519844700,+3.45,+11.797, +9.033,+0.975
1519845600,+3.45,+11.556, +8.782,+0.974
1519846500,+3.45,+11.815, +8.695,+0.975
1519847400,+3.45,+13.386, +9.155,+0.975
1519848300,+3.45,+13.961, +9.820,+0.975
1519849200,+3.44,+12.330, +9.761,+0.974
1519850100,+3.45,+12.392, +9.480,+0.975
1519851000,+3.45,+12.825, +9.357,+0.974
1519851900,+3.45,+13.106, +9.351,+0.974
1519852800,+3.45,+13.342, +9.335,+0.973
1519853700,+3.45,+14.256, +9.482,+0.975
1519854600,+3.45,+14.074,+10.416,+0.972
