7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1520713560,+3.47,+18.052,+14.220,+0.967
1520714460,+3.47,+18.052,+14.190,+0.966
1520715360,+3.47,+18.052,+14.142,+0.963
1520716260,+3.47,+18.010,+14.186,+0.965
1520717160,+3.47,+18.010,+14.174,+0.965
1520718060,+3.47,+18.018,+14.142,+0.965
1520718960,+3.47,+18.027,+14.129,+0.964
1520719860,+3.47,+18.027,+14.170,+0.967
1520720760,+3.47,+18.052,+14.119,+0.964
1520721660,+3.47,+18.035,+14.146,+0.965
1520722560,+3.47,+18.052,+14.101,+0.963
1520723460,+3.47,+18.018,+14.177,+0.966
1520724360,+3.47,+18.027,+14.191,+0.967
1520725260,+3.47,+18.035,+14.110,+0.965
1520726160,+3.47,+18.018,+14.093,+0.964
1520727060,+3.47,+17.968,+14.138,+0.965
1520727960,+3.47,+17.985,+14.136,+0.967
1520728860,+3.47,+17.993,+14.106,+0.966
1520729760,+3.47,+17.976,+14.065,+0.964
1520730660,+3.47,+17.909,+14.083,+0.965
1520731560,+3.47,+17.884,+14.062,+0.964
1520732460,+3.47,+17.765,+14.082,+0.964
1520733360,+3.47,+17.706,+14.085,+0.963
1520734260,+3.47,+17.681,+14.116,+0.965
1520735160,+3.47,+17.681,+14.076,+0.964
1520736060,+3.47,+17.673,+14.143,+0.966
1520736960,+3.47,+17.706,+14.109,+0.964
1520737860,+3.47,+17.681,+14.117,+0.963
1520738760,+3.47,+17.732,+14.193,+0.966
1520739660,+3.47,+17.656,+14.216,+0.964
1520740560,+3.47,+17.656,+14.305,+0.966
1520741460,+3.47,+17.622,+14.342,+0.964
1520742360,+3.47,+17.673,+14.439,+0.964
1520743260,+3.47,+17.689,+14.682,+0.968
1520744160,+3.47,+17.681,+14.654,+0.967
1520745060,+3.47,+17.715,+14.651,+0.967
1520745960,+3.47,+17.698,+14.612,+0.966
1520746860,+3.47,+17.689,+14.620,+0.966
1520747760,+3.47,+17.681,+14.556,+0.964
1520748660,+3.47,+17.647,+14.660,+0.967
1520749560,+3.47,+17.656,+14.606,+0.965
1520750460,+3.47,+17.639,+14.646,+0.965
1520751360,+3.47,+17.580,+14.661,+0.966
1520752260,+3.47,+17.563,+14.681,+0.966
1520753160,+3.47,+17.554,+14.704,+0.967
1520754060,+3.47,+17.512,+14.701,+0.965
1520754960,+3.47,+17.529,+14.696,+0.966
1520755860,+3.47,+17.478,+14.678,+0.966
1520756760,+3.47,+17.368,+14.647,+0.964
1520757660,+3.47,+17.267,+14.619,+0.964
1520758560,+3.47,+17.360,+14.591,+0.965
1520759460,+3.47,+17.394,+14.575,+0.966
1520760360,+3.47,+17.428,+14.500,+0.965
1520761260,+3.47,+17.360,+14.524,+0.964
1520762160,+3.47,+17.343,+14.526,+0.966
1520763060,+3.47,+17.360,+14.505,+0.966
1520763960,+3.47,+17.352,+14.430,+0.965
1520764860,+3.47,+17.402,+14.379,+0.963
1520765760,+3.47,+17.377,+14.393,+0.965
1520766660,+3.47,+17.402,+14.362,+0.965
1520767560,+3.47,+17.402,+14.385,+0.966
1520768460,+3.47,+17.436,+14.287,+0.963
1520769360,+3.47,+17.453,+14.297,+0.964
1520770260,+3.47,+17.461,+14.311,+0.966
1520771160,+3.47,+17.445,+14.326,+0.968
1520772060,+3.47,+17.453,+14.220,+0.964
1520772960,+3.47,+17.445,+14.239,+0.966
1520773860,+3.47,+17.419,+14.258,+0.967
1520774760,+3.47,+17.377,+14.208,+0.966
1520775660,+3.47,+17.394,+14.136,+0.964
1520776560,+3.47,+17.411,+14.120,+0.966
1520777460,+3.47,+17.377,+14.105,+0.965
1520778360,+3.47,+17.385,+14.062,+0.965
1520779260,+3.47,+17.402,+14.007,+0.964
1520780160,+3.47,+17.402,+14.052,+0.965
1520781060,+3.47,+17.309,+14.081,+0.966
1520781960,+3.47,+17.335,+13.996,+0.964
1520782860,+3.47,+17.360,+13.953,+0.963
1520783760,+3.47,+17.292,+13.942,+0.964
1520784660,+3.47,+17.318,+13.893,+0.964
1520785560,+3.47,+17.318,+13.862,+0.965
1520786460,+3.47,+17.352,+13.800,+0.964
1520787360,+3.47,+17.368,+13.802,+0.966
1520788260,+3.47,+17.352,+13.687,+0.963
1520789160,+3.47,+17.318,+13.643,+0.963
1520790060,+3.47,+17.326,+13.624,+0.965
1520790960,+3.47,+17.292,+13.567,+0.964
1520791860,+3.47,+17.258,+13.549,+0.965
1520792760,+3.47,+17.250,+13.503,+0.966
1520793660,+3.47,+17.275,+13.437,+0.965
1520794560,+3.47,+17.318,+13.386,+0.966
1520795460,+3.47,+17.419,+13.300,+0.965
1520796360,+3.47,+17.419,+13.274,+0.966
1520797260,+3.47,+17.580,+13.127,+0.963
1520798160,+3.47,+17.588,+13.154,+0.965
1520799060,+3.47,+17.706,+13.072,+0.964
1520799960,+3.47,+17.765,+13.023,+0.964
