"Plot Title: 20246312"
"#","Date Time, GMT-07:00","Abs Pres, mm Hg (LGR S/N: 20246312, SEN S/N: 20246312)","Temp, °C (LGR S/N: 20246312, SEN S/N: 20246312)"
1,03/14/18 02:00:00 PM,761.76,15.760
2,03/14/18 02:15:00 PM,761.63,15.951
3,03/14/18 02:30:00 PM,761.56,16.046
4,03/14/18 02:45:00 PM,761.56,16.046
5,03/14/18 03:00:00 PM,761.51,15.951
6,03/14/18 03:15:00 PM,761.34,15.855
7,03/14/18 03:30:00 PM,761.44,16.046
8,03/14/18 03:45:00 PM,761.49,16.141
9,03/14/18 04:00:00 PM,761.39,15.951
10,03/14/18 04:15:00 PM,761.39,15.951
11,03/14/18 04:30:00 PM,761.20,16.046
12,03/14/18 04:45:00 PM,761.11,17.189
13,03/14/18 05:00:00 PM,761.09,18.521
14,03/14/18 05:15:00 PM,761.19,19.187
15,03/14/18 05:30:00 PM,761.25,18.140
16,03/14/18 05:45:00 PM,761.10,16.713
17,03/14/18 06:00:00 PM,760.85,16.046
18,03/14/18 06:15:00 PM,760.74,15.855
19,03/14/18 06:30:00 PM,760.77,15.473
20,03/14/18 06:45:00 PM,760.56,15.091
21,03/14/18 07:00:00 PM,760.45,14.900
22,03/14/18 07:15:00 PM,760.28,14.804
23,03/14/18 07:30:00 PM,760.34,14.709
24,03/14/18 07:45:00 PM,760.46,14.709
25,03/14/18 08:00:00 PM,760.46,14.709
26,03/14/18 08:15:00 PM,760.63,14.804
27,03/14/18 08:30:00 PM,760.51,14.804
28,03/14/18 08:45:00 PM,760.46,14.709
29,03/14/18 09:00:00 PM,760.59,14.517
30,03/14/18 09:15:00 PM,760.53,14.421
31,03/14/18 09:30:00 PM,760.66,14.230
32,03/14/18 09:45:00 PM,760.73,13.942
33,03/14/18 10:00:00 PM,760.50,13.750
34,03/14/18 10:15:00 PM,760.69,13.461
35,03/14/18 10:30:00 PM,760.62,13.558
36,03/14/18 10:45:00 PM,760.62,13.558
37,03/14/18 11:00:00 PM,760.39,13.558
38,03/14/18 11:15:00 PM,760.08,13.846
39,03/14/18 11:30:00 PM,760.43,14.038
40,03/14/18 11:45:00 PM,760.72,14.134
41,03/15/18 12:00:00 AM,760.83,14.325
42,03/15/18 12:15:00 AM,761.04,14.900
43,03/15/18 12:30:00 AM,761.37,15.282
44,03/15/18 12:45:00 AM,761.58,15.664
45,03/15/18 01:00:00 AM,761.77,15.569
46,03/15/18 01:15:00 AM,761.94,15.664
47,03/15/18 01:30:00 AM,762.00,15.760
48,03/15/18 01:45:00 AM,761.90,15.378
49,03/15/18 02:00:00 AM,762.03,15.187
50,03/15/18 02:15:00 AM,762.14,15.378
51,03/15/18 02:30:00 AM,762.52,15.855
52,03/15/18 02:45:00 AM,762.53,15.664
