7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1522191540,+3.47,+21.321, +7.349,+0.957
1522192440,+3.47,+21.596, +7.153,+0.957
1522193340,+3.47,+21.613, +7.520,+0.955
1522194240,+3.47,+21.663, +7.391,+0.957
1522195140,+3.47,+21.538, +7.584,+0.955
1522196040,+3.47,+21.504, +7.498,+0.957
1522196940,+3.47,+21.596, +7.599,+0.956
1522197840,+3.47,+21.588, +7.620,+0.956
1522198740,+3.47,+21.504, +7.781,+0.957
1522199640,+3.47,+21.429, +7.685,+0.956
1522200540,+3.47,+21.379, +7.600,+0.959
1522201440,+3.47,+21.295, +7.527,+0.958
1522202340,+3.47,+21.162, +7.535,+0.959
1522203240,+3.47,+21.087, +7.554,+0.960
1522204140,+3.47,+20.970, +7.558,+0.960
1522205040,+3.47,+20.970, +7.558,+0.959
1522205940,+3.47,+20.819, +7.539,+0.960
1522206840,+3.47,+20.627, +7.592,+0.961
1522207740,+3.47,+20.284, +7.488,+0.961
1522208640,+3.47,+20.142, +7.374,+0.963
1522209540,+3.47,+19.874, +7.075,+0.963
1522210440,+3.47,+19.799, +7.292,+0.962
1522211340,+3.47,+19.405, +7.447,+0.962
1522212240,+3.47,+18.868, +6.873,+0.962
1522213140,+3.47,+18.540, +6.555,+0.965
1522214040,+3.48,+18.237, +6.065,+0.963
1522214940,+3.48,+18.279, +5.124,+0.963
1522215840,+3.48,+18.305, +5.119,+0.963
1522216740,+3.47,+18.330, +5.193,+0.964
1522217640,+3.48,+18.288, +5.185,+0.964
1522218540,+3.48,+18.195, +5.132,+0.964
1522219440,+3.48,+18.077, +5.233,+0.965
1522220340,+3.48,+18.018, +5.259,+0.965
1522221240,+3.47,+17.850, +5.046,+0.965
1522222140,+3.47,+17.875, +5.274,+0.965
1522223040,+3.48,+17.968, +5.529,+0.966
1522223940,+3.47,+17.875, +5.554,+0.966
1522224840,+3.47,+17.765, +5.445,+0.966
1522225740,+3.47,+17.782, +5.332,+0.965
1522226640,+3.47,+17.622, +5.549,+0.965
1522227540,+3.47,+17.453, +5.460,+0.965
1522228440,+3.47,+17.318, +5.106,+0.965
1522229340,+3.47,+17.445, +5.319,+0.965
1522230240,+3.47,+17.402, +5.022,+0.965
1522231140,+3.47,+17.495, +5.733,+0.966
1522232040,+3.47,+17.495, +5.484,+0.966
1522232940,+3.47,+17.453, +5.533,+0.965
1522233840,+3.47,+17.385, +5.721,+0.966
1522234740,+3.47,+17.343, +5.596,+0.965
1522235640,+3.47,+17.242, +5.636,+0.965
1522236540,+3.47,+17.199, +5.592,+0.966
1522237440,+3.47,+17.148, +5.502,+0.966
1522238340,+3.47,+17.115, +5.421,+0.965
1522239240,+3.47,+17.106, +5.190,+0.966
1522240140,+3.47,+17.072, +5.364,+0.966
1522241040,+3.47,+17.064, +5.037,+0.966
1522241940,+3.47,+17.055, +4.899,+0.966
1522242840,+3.47,+16.945, +4.723,+0.966
1522243740,+3.47,+16.843, +4.999,+0.967
1522244640,+3.47,+16.742, +4.725,+0.966
1522245540,+3.47,+16.580, +4.684,+0.966
1522246440,+3.47,+16.826, +4.439,+0.966
1522247340,+3.47,+16.818, +4.505,+0.966
1522248240,+3.47,+16.453, +4.629,+0.966
1522249140,+3.47,+16.742, +4.427,+0.966
1522250040,+3.47,+16.920, +4.533,+0.967
1522250940,+3.47,+16.784, +4.267,+0.966
1522251840,+3.47,+16.640, +3.716,+0.963
1522252740,+3.47,+16.614, +3.437,+0.960
1522253640,+3.47,+16.521, +3.173,+0.959
1522254540,+3.47,+16.461, +2.607,+0.955
1522255440,+3.47,+16.563, +2.206,+0.952
1522256340,+3.47,+16.580, +2.058,+0.954
1522257240,+3.47,+16.580, +2.151,+0.957
1522258140,+3.47,+16.623, +2.265,+0.960
1522259040,+3.47,+16.529, +2.437,+0.961
1522259940,+3.47,+16.240, +2.822,+0.964
1522260840,+3.47,+16.180, +3.511,+0.966
1522261740,+3.47,+16.317, +3.320,+0.966
1522262640,+3.47,+16.317, +3.144,+0.965
1522263540,+3.47,+16.742, +2.929,+0.965
1522264440,+3.47,+17.157, +2.890,+0.964
1522265340,+3.47,+17.368, +3.932,+0.967
1522266240,+3.47,+17.909, +4.606,+0.966
1522267140,+3.47,+18.204, +5.220,+0.964
1522268040,+3.47,+18.305, +5.277,+0.963
1522268940,+3.47,+18.977, +6.560,+0.956
1522269840,+3.47,+21.137, +8.121,+0.944
1522270740,+3.47,+21.412, +8.453,+0.942
1522271640,+3.47,+21.755, +8.518,+0.942
1522272540,+3.47,+22.106, +8.882,+0.942
1522273440,+3.47,+22.298, +9.038,+0.941
1522274340,+3.47,+22.356, +9.087,+0.943
1522275240,+3.47,+22.465, +9.159,+0.944
1522276140,+3.47,+22.498, +9.406,+0.943
1522277040,+3.47,+22.607, +9.544,+0.941
1522277940,+3.47,+22.465, +9.877,+0.942
