7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1522954620,+3.36,+21.563, +8.783,+0.979
1522955520,+3.38,+20.593, +8.995,+0.979
1522956420,+3.40,+20.267, +9.075,+0.979
1522957320,+3.41,+19.304,+10.820,+0.974
1522958220,+3.41,+19.153,+11.359,+0.980
1522959120,+3.42,+19.313,+12.503,+0.980
1522960020,+3.42,+19.430,+13.053,+0.982
1522960920,+3.42,+19.757,+14.703,+0.982
1522961820,+3.42,+19.983,+16.764,+0.979
1522962720,+3.43,+20.175,+17.648,+0.986
1522963620,+3.43,+20.343,+17.869,+0.986
1522964520,+3.43,+20.426,+17.926,+0.986
1522965420,+3.43,+20.510,+17.868,+0.983
1522966320,+3.44,+20.568,+17.852,+0.984
1522967220,+3.44,+20.510,+17.857,+0.985
1522968120,+3.44,+20.493,+17.842,+0.985
1522969020,+3.44,+20.343,+17.750,+0.983
1522969920,+3.44,+20.192,+17.839,+0.986
1522970820,+3.44,+20.259,+17.610,+0.983
1522971720,+3.45,+20.418,+17.578,+0.984
1522972620,+3.45,+20.652,+17.612,+0.986
1522973520,+3.45,+20.928,+17.636,+0.985
1522974420,+3.45,+20.936,+17.670,+0.982
1522975320,+3.45,+20.911,+17.827,+0.984
1522976220,+3.45,+20.911,+17.989,+0.987
1522977120,+3.45,+20.853,+18.034,+0.986
1522978020,+3.45,+20.836,+18.009,+0.984
1522978920,+3.45,+20.869,+18.053,+0.987
1522979820,+3.45,+20.878,+18.054,+0.988
1522980720,+3.46,+20.886,+17.961,+0.985
1522981620,+3.46,+20.844,+17.959,+0.986
1522982520,+3.46,+20.944,+17.885,+0.984
1522983420,+3.46,+20.886,+17.956,+0.988
1522984320,+3.46,+20.903,+17.877,+0.986
1522985220,+3.46,+20.861,+17.914,+0.988
1522986120,+3.46,+20.936,+17.785,+0.985
1522987020,+3.46,+20.878,+17.732,+0.982
1522987920,+3.46,+20.995,+17.753,+0.985
1522988820,+3.46,+20.986,+17.695,+0.985
1522989720,+3.46,+20.944,+17.647,+0.982
1522990620,+3.46,+20.944,+17.798,+0.988
1522991520,+3.46,+21.020,+17.660,+0.985
1522992420,+3.46,+20.928,+17.719,+0.986
1522993320,+3.46,+20.903,+17.675,+0.985
1522994220,+3.46,+20.794,+17.785,+0.987
1522995120,+3.46,+20.786,+17.710,+0.985
1522996020,+3.47,+20.727,+17.600,+0.981
1522996920,+3.47,+20.802,+17.658,+0.985
1522997820,+3.47,+20.861,+17.636,+0.986
1522998720,+3.47,+20.936,+17.544,+0.985
1522999620,+3.47,+20.911,+17.468,+0.982
1523000520,+3.47,+20.903,+17.481,+0.983
1523001420,+3.47,+20.853,+17.495,+0.984
1523002320,+3.47,+20.660,+17.585,+0.984
1523003220,+3.47,+20.736,+17.522,+0.985
1523004120,+3.47,+20.794,+17.473,+0.985
1523005020,+3.47,+20.878,+17.341,+0.982
1523005920,+3.47,+20.802,+17.362,+0.982
1523006820,+3.47,+20.861,+17.417,+0.985
1523007720,+3.47,+20.836,+17.486,+0.988
1523008620,+3.47,+20.928,+17.343,+0.985
1523009520,+3.47,+20.936,+17.363,+0.986
1523010420,+3.47,+20.919,+17.300,+0.984
1523011320,+3.47,+20.944,+17.243,+0.983
1523012220,+3.47,+20.869,+17.279,+0.985
1523013120,+3.47,+20.844,+17.139,+0.982
1523014020,+3.47,+20.903,+17.124,+0.984
1523014920,+3.47,+20.878,+17.003,+0.981
1523015820,+3.47,+20.861,+17.083,+0.986
1523016720,+3.47,+20.761,+16.979,+0.983
1523017620,+3.47,+20.635,+16.961,+0.984
1523018520,+3.47,+20.660,+16.740,+0.980
1523019420,+3.47,+20.635,+16.714,+0.981
1523020320,+3.47,+20.568,+16.641,+0.982
1523021220,+3.47,+20.577,+16.634,+0.986
1523022120,+3.47,+20.660,+16.523,+0.985
1523023020,+3.47,+20.652,+16.476,+0.986
1523023920,+3.47,+20.694,+16.247,+0.981
1523024820,+3.47,+20.702,+16.204,+0.983
1523025720,+3.47,+20.635,+16.077,+0.982
1523026620,+3.47,+20.669,+16.064,+0.985
1523027520,+3.47,+20.769,+15.915,+0.982
1523028420,+3.47,+20.752,+15.842,+0.983
1523029320,+3.47,+20.660,+15.734,+0.981
1523030220,+3.47,+20.635,+15.684,+0.984
1523031120,+3.47,+20.694,+15.502,+0.984
1523032020,+3.47,+20.844,+15.338,+0.983
1523032920,+3.47,+20.786,+15.226,+0.983
1523033820,+3.47,+20.501,+15.119,+0.980
1523034720,+3.47,+20.368,+14.991,+0.982
1523035620,+3.48,+20.384,+14.803,+0.982
1523036520,+3.47,+20.460,+14.641,+0.981
1523037420,+3.47,+20.552,+14.478,+0.980
1523038320,+3.47,+20.685,+14.408,+0.984
1523039220,+3.47,+20.685,+14.320,+0.983
1523040120,+3.47,+20.794,+14.184,+0.982
1523041020,+3.48,+20.761,+14.112,+0.981
