"Plot Title: 20036649 Audubon 01"
"#","Date Time, GMT-07:00","High Range, mS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)"
1,05/02/18 02:00:00 PM,32.1239,20.96
2,05/02/18 02:15:00 PM,32.1022,20.92
3,05/02/18 02:30:00 PM,32.1177,20.96
4,05/02/18 02:45:00 PM,32.2016,21.18
5,05/02/18 03:00:00 PM,32.1767,21.26
6,05/02/18 03:15:00 PM,32.2078,21.18
7,05/02/18 03:30:00 PM,32.2016,21.16
8,05/02/18 03:45:00 PM,32.2797,21.33
9,05/02/18 04:00:00 PM,32.2547,21.35
10,05/02/18 04:15:00 PM,32.2954,21.43
11,05/02/18 04:30:00 PM,32.2297,21.30
12,05/02/18 04:45:00 PM,32.2328,21.29
13,05/02/18 05:00:00 PM,32.2078,21.30
14,05/02/18 05:15:00 PM,32.2609,21.48
15,05/02/18 05:30:00 PM,32.2547,21.51
16,05/02/18 05:45:00 PM,32.3079,21.65
17,05/02/18 06:00:00 PM,32.3236,21.70
18,05/02/18 06:15:00 PM,32.3173,21.73
19,05/02/18 06:30:00 PM,32.2141,21.53
20,05/02/18 06:45:00 PM,32.1923,21.50
21,05/02/18 07:00:00 PM,32.3613,21.84
22,05/02/18 07:15:00 PM,32.3079,21.78
23,05/02/18 07:30:00 PM,32.4402,21.75
24,05/02/18 07:45:00 PM,32.3960,21.66
25,05/02/18 08:00:00 PM,32.3488,21.59
26,05/02/18 08:15:00 PM,32.2797,21.45
27,05/02/18 08:30:00 PM,32.2766,21.47
28,05/02/18 08:45:00 PM,32.3111,21.48
29,05/02/18 09:00:00 PM,32.3016,21.45
30,05/02/18 09:15:00 PM,32.1923,21.31
31,05/02/18 09:30:00 PM,32.1394,21.25
32,05/02/18 09:45:00 PM,32.1239,21.21
33,05/02/18 10:00:00 PM,32.1084,21.11
34,05/02/18 10:15:00 PM,32.0620,21.00
35,05/02/18 10:30:00 PM,32.0867,20.98
36,05/02/18 10:45:00 PM,32.0403,20.93
37,05/02/18 11:00:00 PM,31.9941,20.86
38,05/02/18 11:15:00 PM,31.9941,20.83
39,05/02/18 11:30:00 PM,31.9634,20.79
40,05/02/18 11:45:00 PM,31.9419,20.72
41,05/03/18 12:00:00 AM,31.9327,20.66
42,05/03/18 12:15:00 AM,31.9113,20.62
43,05/03/18 12:30:00 AM,31.8715,20.58
44,05/03/18 12:45:00 AM,31.8593,20.53
45,05/03/18 01:00:00 AM,31.8807,20.47
46,05/03/18 01:15:00 AM,31.8593,20.48
47,05/03/18 01:30:00 AM,31.8502,20.43
48,05/03/18 01:45:00 AM,31.8654,20.36
49,05/03/18 02:00:00 AM,31.8441,20.30
50,05/03/18 02:15:00 AM,31.8441,20.26
51,05/03/18 02:30:00 AM,31.7923,20.18
52,05/03/18 02:45:00 AM,31.7832,20.10
53,05/03/18 03:00:00 AM,31.7984,20.08
54,05/03/18 03:15:00 AM,31.7711,20.02
55,05/03/18 03:30:00 AM,31.7620,19.98
56,05/03/18 03:45:00 AM,31.7559,19.98
57,05/03/18 04:00:00 AM,31.7772,19.96
58,05/03/18 04:15:00 AM,31.7772,19.90
59,05/03/18 04:30:00 AM,31.7499,19.83
60,05/03/18 04:45:00 AM,31.7105,19.79
61,05/03/18 05:00:00 AM,31.4706,19.73
62,05/03/18 05:15:00 AM,31.6803,19.66
63,05/03/18 05:30:00 AM,31.6502,19.62
64,05/03/18 05:45:00 AM,31.6201,19.55
65,05/03/18 06:00:00 AM,31.6081,19.49
66,05/03/18 06:15:00 AM,31.5781,19.45
67,05/03/18 06:30:00 AM,31.3786,19.38
68,05/03/18 06:45:00 AM,31.4885,19.32
69,05/03/18 07:00:00 AM,31.4974,19.26
70,05/03/18 07:15:00 AM,31.4527,19.21
71,05/03/18 07:30:00 AM,31.2753,19.19
72,05/03/18 07:45:00 AM,31.4438,19.19
73,05/03/18 08:00:00 AM,31.4527,19.20
74,05/03/18 08:15:00 AM,31.4379,19.15
75,05/03/18 08:30:00 AM,31.4171,19.10
76,05/03/18 08:45:00 AM,31.4290,19.08
77,05/03/18 09:00:00 AM,31.5272,19.28
78,05/03/18 09:15:00 AM,31.5931,19.41
79,05/03/18 09:30:00 AM,31.6683,19.57
80,05/03/18 09:45:00 AM,31.7105,19.70
81,05/03/18 10:00:00 AM,31.7499,19.81
82,05/03/18 10:15:00 AM,31.8471,20.00
83,05/03/18 10:30:00 AM,31.8624,20.00
84,05/03/18 10:45:00 AM,31.9205,20.12
85,05/03/18 11:00:00 AM,31.9972,20.24
86,05/03/18 11:15:00 AM,32.0280,20.39
87,05/03/18 11:30:00 AM,32.1518,20.63
88,05/03/18 11:45:00 AM,32.2110,20.76
89,05/03/18 12:00:00 PM,32.2578,20.86
90,05/03/18 12:15:00 PM,32.3362,21.07
91,05/03/18 12:30:00 PM,32.4371,21.28
92,05/03/18 12:45:00 PM,32.5418,21.50
93,05/03/18 01:00:00 PM,32.6055,21.61
94,05/03/18 01:15:00 PM,32.7403,21.93
95,05/03/18 01:30:00 PM,32.7855,22.03
96,05/03/18 01:45:00 PM,32.8599,22.18
97,05/03/18 02:00:00 PM,32.8924,22.27
98,05/03/18 02:15:00 PM,32.9903,22.42
99,05/03/18 02:30:00 PM,33.0132,22.54
100,05/03/18 02:45:00 PM,33.1447,22.74
101,05/03/18 03:00:00 PM,33.2175,22.97
102,05/03/18 03:15:00 PM,33.2374,23.02
103,05/03/18 03:30:00 PM,33.3006,23.17
104,05/03/18 03:45:00 PM,33.3908,23.42
105,05/03/18 04:00:00 PM,33.3607,23.29
106,05/03/18 04:15:00 PM,33.4714,23.48
107,05/03/18 04:30:00 PM,33.4613,23.57
108,05/03/18 04:45:00 PM,33.5355,23.71
109,05/03/18 05:00:00 PM,33.5694,23.80
110,05/03/18 05:15:00 PM,33.6134,23.85
111,05/03/18 05:30:00 PM,33.6815,24.03
112,05/03/18 05:45:00 PM,33.6644,23.99
113,05/03/18 06:00:00 PM,33.6033,23.88
114,05/03/18 06:15:00 PM,33.7429,24.17
115,05/03/18 06:30:00 PM,33.6917,24.04
116,05/03/18 06:45:00 PM,33.6985,24.04
117,05/03/18 07:00:00 PM,33.6202,23.92
118,05/03/18 07:15:00 PM,33.5965,23.81
119,05/03/18 07:30:00 PM,33.5524,23.77
120,05/03/18 07:45:00 PM,33.5457,23.72
121,05/03/18 08:00:00 PM,33.4782,23.59
122,05/03/18 08:15:00 PM,33.4445,23.54
123,05/03/18 08:30:00 PM,33.4009,23.48
124,05/03/18 08:45:00 PM,33.3942,23.41
125,05/03/18 09:00:00 PM,33.4042,23.35
126,05/03/18 09:15:00 PM,33.3708,23.31
127,05/03/18 09:30:00 PM,33.3106,23.21
128,05/03/18 09:45:00 PM,33.3206,23.14
129,05/03/18 10:00:00 PM,33.2873,23.10
130,05/03/18 10:15:00 PM,33.2441,22.98
131,05/03/18 10:30:00 PM,33.2275,22.94
132,05/03/18 10:45:00 PM,33.1976,22.89
133,05/03/18 11:00:00 PM,33.1679,22.84
134,05/03/18 11:15:00 PM,33.1381,22.82
135,05/03/18 11:30:00 PM,33.1447,22.78
136,05/03/18 11:45:00 PM,33.1216,22.74
137,05/04/18 12:00:00 AM,33.0887,22.72
138,05/04/18 12:15:00 AM,33.1216,22.69
139,05/04/18 12:30:00 AM,33.1052,22.66
140,05/04/18 12:45:00 AM,33.0788,22.59
141,05/04/18 01:00:00 AM,33.0230,22.53
142,05/04/18 01:15:00 AM,32.9837,22.45
143,05/04/18 01:30:00 AM,32.9348,22.36
144,05/04/18 01:45:00 AM,32.9413,22.28
145,05/04/18 02:00:00 AM,32.8794,22.21
146,05/04/18 02:15:00 AM,32.8535,22.16
147,05/04/18 02:30:00 AM,32.8308,22.12
148,05/04/18 02:45:00 AM,32.8049,22.07
149,05/04/18 03:00:00 AM,32.8049,22.03
150,05/04/18 03:15:00 AM,32.7726,21.98
151,05/04/18 03:30:00 AM,32.7726,21.94
152,05/04/18 03:45:00 AM,32.7146,21.90
153,05/04/18 04:00:00 AM,32.7178,21.85
154,05/04/18 04:15:00 AM,32.6856,21.81
155,05/04/18 04:30:00 AM,32.7017,21.78
156,05/04/18 04:45:00 AM,32.6856,21.74
157,05/04/18 05:00:00 AM,32.6600,21.68
158,05/04/18 05:15:00 AM,32.6375,21.63
159,05/04/18 05:30:00 AM,32.6215,21.60
160,05/04/18 05:45:00 AM,32.5641,21.54
161,05/04/18 06:00:00 AM,32.5736,21.48
162,05/04/18 06:15:00 AM,32.5195,21.43
163,05/04/18 06:30:00 AM,32.5354,21.38
164,05/04/18 06:45:00 AM,32.4941,21.33
165,05/04/18 07:00:00 AM,32.4624,21.29
166,05/04/18 07:15:00 AM,32.4561,21.25
167,05/04/18 07:30:00 AM,32.4466,21.21
168,05/04/18 07:45:00 AM,32.4149,21.17
169,05/04/18 08:00:00 AM,32.4086,21.16
170,05/04/18 08:15:00 AM,32.3613,21.07
171,05/04/18 08:30:00 AM,32.3708,21.02
172,05/04/18 08:45:00 AM,32.3771,21.05
173,05/04/18 09:00:00 AM,32.4402,21.21
174,05/04/18 09:15:00 AM,32.4719,21.28
175,05/04/18 09:30:00 AM,32.5036,21.33
176,05/04/18 09:45:00 AM,32.5672,21.50
177,05/04/18 10:00:00 AM,32.5960,21.55
178,05/04/18 10:15:00 AM,32.6279,21.62
179,05/04/18 10:30:00 AM,32.6279,21.65
180,05/04/18 10:45:00 AM,32.7081,21.78
181,05/04/18 11:00:00 AM,32.7564,21.86
182,05/04/18 11:15:00 AM,32.7790,21.97
183,05/04/18 11:30:00 AM,32.8599,22.13
184,05/04/18 11:45:00 AM,32.9413,22.29
185,05/04/18 12:00:00 PM,32.9837,22.37
186,05/04/18 12:15:00 PM,33.0328,22.51
187,05/04/18 12:30:00 PM,33.1216,22.65
188,05/04/18 12:45:00 PM,33.2142,22.83
189,05/04/18 01:00:00 PM,33.2707,22.99
190,05/04/18 01:15:00 PM,33.3473,23.14
191,05/04/18 01:30:00 PM,33.4479,23.34
192,05/04/18 01:45:00 PM,33.5491,23.56
193,05/04/18 02:00:00 PM,33.5626,23.63
194,05/04/18 02:15:00 PM,33.6236,23.74
195,05/04/18 02:30:00 PM,33.6644,23.86
196,05/04/18 02:45:00 PM,33.7532,24.01
197,05/04/18 03:00:00 PM,33.8046,24.11
198,05/04/18 03:15:00 PM,33.8390,24.22
199,05/04/18 03:30:00 PM,33.8907,24.38
200,05/04/18 03:45:00 PM,33.9321,24.44
201,05/04/18 04:00:00 PM,33.9321,24.44
202,05/04/18 04:15:00 PM,33.9425,24.47
203,05/04/18 04:30:00 PM,33.8080,24.49
204,05/04/18 04:45:00 PM,34.0188,24.61
205,05/04/18 05:00:00 PM,34.0536,24.75
