"Plot Title: 20246312"
"#","Date Time, GMT-07:00","Abs Pres, mm Hg (LGR S/N: 20246312, SEN S/N: 20246312)","Temp, °C (LGR S/N: 20246312, SEN S/N: 20246312)"
1,05/19/18 02:00:00 PM,759.70,17.665
2,05/19/18 02:15:00 PM,759.61,17.950
3,05/19/18 02:30:00 PM,759.56,17.855
4,05/19/18 02:45:00 PM,759.40,17.760
5,05/19/18 03:00:00 PM,759.21,17.855
6,05/19/18 03:15:00 PM,759.04,17.760
7,05/19/18 03:30:00 PM,759.04,17.760
8,05/19/18 03:45:00 PM,758.81,17.760
9,05/19/18 04:00:00 PM,758.69,17.760
10,05/19/18 04:15:00 PM,758.54,17.950
11,05/19/18 04:30:00 PM,758.48,18.045
12,05/19/18 04:45:00 PM,758.24,18.045
13,05/19/18 05:00:00 PM,758.34,18.236
14,05/19/18 05:15:00 PM,758.34,18.236
15,05/19/18 05:30:00 PM,758.26,17.855
16,05/19/18 05:45:00 PM,758.12,18.045
17,05/19/18 06:00:00 PM,758.20,18.426
18,05/19/18 06:15:00 PM,758.39,20.234
19,05/19/18 06:30:00 PM,758.55,20.329
20,05/19/18 06:45:00 PM,758.25,18.996
21,05/19/18 07:00:00 PM,758.10,18.236
22,05/19/18 07:15:00 PM,758.09,17.760
23,05/19/18 07:30:00 PM,758.01,17.379
24,05/19/18 07:45:00 PM,758.15,17.189
25,05/19/18 08:00:00 PM,758.29,16.999
26,05/19/18 08:15:00 PM,758.56,16.618
27,05/19/18 08:30:00 PM,758.51,16.523
28,05/19/18 08:45:00 PM,758.52,16.332
29,05/19/18 09:00:00 PM,758.59,16.237
30,05/19/18 09:15:00 PM,758.77,16.141
31,05/19/18 09:30:00 PM,758.84,16.046
32,05/19/18 09:45:00 PM,758.84,16.046
33,05/19/18 10:00:00 PM,759.02,15.951
34,05/19/18 10:15:00 PM,759.08,15.855
35,05/19/18 10:30:00 PM,758.87,15.664
36,05/19/18 10:45:00 PM,758.99,15.473
37,05/19/18 11:00:00 PM,759.17,15.569
38,05/19/18 11:15:00 PM,759.41,15.569
39,05/19/18 11:30:00 PM,759.41,15.569
40,05/19/18 11:45:00 PM,759.27,15.760
41,05/20/18 12:00:00 AM,759.15,15.760
42,05/20/18 12:15:00 AM,759.10,15.664
43,05/20/18 12:30:00 AM,759.05,15.569
44,05/20/18 12:45:00 AM,759.18,15.378
45,05/20/18 01:00:00 AM,759.31,15.187
46,05/20/18 01:15:00 AM,759.28,14.709
47,05/20/18 01:30:00 AM,759.25,14.038
48,05/20/18 01:45:00 AM,759.02,13.846
49,05/20/18 02:00:00 AM,759.01,14.038
50,05/20/18 02:15:00 AM,758.84,13.942
51,05/20/18 02:30:00 AM,758.78,13.846
52,05/20/18 02:45:00 AM,758.66,14.038
53,05/20/18 03:00:00 AM,758.66,14.038
54,05/20/18 03:15:00 AM,758.66,14.038
55,05/20/18 03:30:00 AM,758.78,14.038
56,05/20/18 03:45:00 AM,758.78,14.038
57,05/20/18 04:00:00 AM,758.79,13.654
58,05/20/18 04:15:00 AM,758.80,13.269
59,05/20/18 04:30:00 AM,758.69,13.269
60,05/20/18 04:45:00 AM,758.75,13.173
61,05/20/18 05:00:00 AM,758.73,13.558
62,05/20/18 05:15:00 AM,759.02,13.654
63,05/20/18 05:30:00 AM,758.96,13.750
64,05/20/18 05:45:00 AM,759.03,13.461
65,05/20/18 06:00:00 AM,759.16,13.076
66,05/20/18 06:15:00 AM,759.22,12.980
67,05/20/18 06:30:00 AM,759.29,12.883
68,05/20/18 06:45:00 AM,759.40,13.076
69,05/20/18 07:00:00 AM,759.32,13.750
70,05/20/18 07:15:00 AM,759.41,14.517
71,05/20/18 07:30:00 AM,759.69,14.613
72,05/20/18 07:45:00 AM,759.98,14.900
73,05/20/18 08:00:00 AM,759.90,15.187
74,05/20/18 08:15:00 AM,759.86,15.760
75,05/20/18 08:30:00 AM,760.08,16.141
76,05/20/18 08:45:00 AM,760.14,16.046
77,05/20/18 09:00:00 AM,760.19,16.141
78,05/20/18 09:15:00 AM,760.29,16.332
79,05/20/18 09:30:00 AM,760.31,16.141
80,05/20/18 09:45:00 AM,760.38,16.046
81,05/20/18 10:00:00 AM,760.43,16.141
82,05/20/18 10:15:00 AM,760.47,16.427
83,05/20/18 10:30:00 AM,760.28,16.523
84,05/20/18 10:45:00 AM,760.44,16.808
85,05/20/18 11:00:00 AM,760.35,17.094
86,05/20/18 11:15:00 AM,760.47,17.094
87,05/20/18 11:30:00 AM,760.37,16.903
88,05/20/18 11:45:00 AM,760.30,16.999
89,05/20/18 12:00:00 PM,760.45,17.284
90,05/20/18 12:15:00 PM,760.43,17.475
91,05/20/18 12:30:00 PM,760.23,17.760
92,05/20/18 12:45:00 PM,760.32,17.950
93,05/20/18 01:00:00 PM,760.08,17.475
94,05/20/18 01:15:00 PM,759.94,17.665
95,05/20/18 01:30:00 PM,759.87,17.760
96,05/20/18 01:45:00 PM,759.75,17.760
97,05/20/18 02:00:00 PM,759.58,17.665
98,05/20/18 02:15:00 PM,759.54,18.045
99,05/20/18 02:30:00 PM,759.57,18.331
100,05/20/18 02:45:00 PM,759.47,18.140
101,05/20/18 03:00:00 PM,759.33,18.331
102,05/20/18 03:15:00 PM,759.43,18.521
103,05/20/18 03:30:00 PM,759.26,18.426
104,05/20/18 03:45:00 PM,758.86,18.331
105,05/20/18 04:00:00 PM,758.88,18.140
106,05/20/18 04:15:00 PM,758.84,18.045
107,05/20/18 04:30:00 PM,758.84,18.045
108,05/20/18 04:45:00 PM,758.57,18.236
109,05/20/18 05:00:00 PM,758.55,18.426
110,05/20/18 05:15:00 PM,758.67,18.426
111,05/20/18 05:30:00 PM,758.60,18.521
112,05/20/18 05:45:00 PM,758.36,18.521
113,05/20/18 06:00:00 PM,758.15,18.331
114,05/20/18 06:15:00 PM,758.07,17.950
115,05/20/18 06:30:00 PM,758.03,17.855
116,05/20/18 06:45:00 PM,757.94,17.475
117,05/20/18 07:00:00 PM,757.82,17.475
118,05/20/18 07:15:00 PM,757.85,17.284
119,05/20/18 07:30:00 PM,757.88,17.570
120,05/20/18 07:45:00 PM,757.79,17.855
121,05/20/18 08:00:00 PM,757.85,17.760
122,05/20/18 08:15:00 PM,757.89,17.379
123,05/20/18 08:30:00 PM,757.79,17.189
124,05/20/18 08:45:00 PM,757.63,17.094
125,05/20/18 09:00:00 PM,757.93,16.999
126,05/20/18 09:15:00 PM,757.95,16.808
127,05/20/18 09:30:00 PM,758.06,16.808
128,05/20/18 09:45:00 PM,757.95,16.808
129,05/20/18 10:00:00 PM,758.13,16.713
130,05/20/18 10:15:00 PM,758.30,16.141
131,05/20/18 10:30:00 PM,758.15,15.664
132,05/20/18 10:45:00 PM,758.27,15.664
133,05/20/18 11:00:00 PM,758.45,15.569
134,05/20/18 11:15:00 PM,758.22,15.569
135,05/20/18 11:30:00 PM,758.21,15.760
136,05/20/18 11:45:00 PM,758.21,15.760
137,05/21/18 12:00:00 AM,758.09,15.760
138,05/21/18 12:15:00 AM,758.05,15.473
139,05/21/18 12:30:00 AM,758.00,15.378
140,05/21/18 12:45:00 AM,757.94,15.282
141,05/21/18 01:00:00 AM,758.01,15.187
142,05/21/18 01:15:00 AM,757.96,15.091
143,05/21/18 01:30:00 AM,757.73,14.900
144,05/21/18 01:45:00 AM,757.79,14.996
145,05/21/18 02:00:00 AM,757.55,14.996
146,05/21/18 02:15:00 AM,757.67,14.996
147,05/21/18 02:30:00 AM,757.61,14.900
148,05/21/18 02:45:00 AM,757.57,14.613
149,05/21/18 03:00:00 AM,757.46,14.421
150,05/21/18 03:15:00 AM,757.47,14.230
151,05/21/18 03:30:00 AM,757.31,13.942
152,05/21/18 03:45:00 AM,757.49,13.846
153,05/21/18 04:00:00 AM,757.37,13.846
154,05/21/18 04:15:00 AM,757.37,13.654
155,05/21/18 04:30:00 AM,757.43,13.558
156,05/21/18 04:45:00 AM,757.38,13.461
157,05/21/18 05:00:00 AM,757.38,13.461
158,05/21/18 05:15:00 AM,757.31,13.558
159,05/21/18 05:30:00 AM,757.31,13.558
160,05/21/18 05:45:00 AM,757.37,13.846
161,05/21/18 06:00:00 AM,757.36,14.038
162,05/21/18 06:15:00 AM,757.47,14.230
163,05/21/18 06:30:00 AM,757.46,14.421
164,05/21/18 06:45:00 AM,757.57,14.613
165,05/21/18 07:00:00 AM,757.77,15.187
166,05/21/18 07:15:00 AM,757.91,15.855
167,05/21/18 07:30:00 AM,758.12,16.237
168,05/21/18 07:45:00 AM,758.23,16.237
169,05/21/18 08:00:00 AM,758.24,16.046
170,05/21/18 08:15:00 AM,758.35,16.237
171,05/21/18 08:30:00 AM,758.33,16.427
172,05/21/18 08:45:00 AM,758.36,16.046
173,05/21/18 09:00:00 AM,758.60,16.046
174,05/21/18 09:15:00 AM,758.47,16.237
175,05/21/18 09:30:00 AM,758.48,16.046
176,05/21/18 09:45:00 AM,758.54,16.141
177,05/21/18 10:00:00 AM,758.40,16.332
178,05/21/18 10:15:00 AM,758.45,16.427
179,05/21/18 10:30:00 AM,758.52,16.999
180,05/21/18 10:45:00 AM,758.44,17.284
181,05/21/18 11:00:00 AM,758.57,17.094
182,05/21/18 11:15:00 AM,758.78,16.808
