sample_number,date_time,temperature_water,sub_pressure,level_m
1,02/12/18 12:00,15.855,164.4,2.19181368
2,02/12/18 12:15,15.855,164.46,2.192613612
3,02/12/18 12:30,15.855,164.09,2.187680698
4,02/12/18 12:45,15.855,164.28,2.190213816
5,02/12/18 13:00,15.855,164.73,2.196213306
6,02/12/18 13:15,15.855,164.18,2.188880596
7,02/12/18 13:30,15.855,163.99,2.186347478
8,02/12/18 13:45,15.855,163.85,2.18448097
9,02/12/18 14:00,15.76,164.06,2.187280732
10,02/12/18 14:15,15.76,164.02,2.186747444
11,02/12/18 14:30,15.855,164.18,2.188880596
12,02/12/18 14:45,15.855,164.28,2.190213816
13,02/12/18 15:00,15.855,163.94,2.185680868
14,02/12/18 15:15,15.855,163.9,2.18514758
15,02/12/18 15:30,15.76,163.93,2.185547546
16,02/12/18 15:45,15.855,163.88,2.184880936
17,02/12/18 16:00,15.855,163.77,2.183414394
18,02/12/18 16:15,15.855,163.96,2.185947512
19,02/12/18 16:30,15.855,163.94,2.185680868
20,02/12/18 16:45,15.855,163.87,2.184747614
21,02/12/18 17:00,15.76,163.89,2.185014258
22,02/12/18 17:15,15.76,163.86,2.184614292
23,02/12/18 17:30,15.76,164.14,2.188347308
24,02/12/18 17:45,15.76,163.99,2.186347478
25,02/12/18 18:00,15.855,164.39,2.191680358
26,02/12/18 18:15,15.855,164.45,2.19248029
27,02/12/18 18:30,15.855,164.15,2.18848063
28,02/12/18 18:45,15.855,164.34,2.191013748
29,02/12/18 19:00,15.76,164.43,2.192213646
30,02/12/18 19:15,15.76,164.48,2.192880256
31,02/12/18 19:30,15.855,164.58,2.194213476
32,02/12/18 19:45,15.855,164.59,2.194346798
33,02/12/18 20:00,15.855,164.47,2.192746934
34,02/12/18 20:15,15.855,164.67,2.195413374
35,02/12/18 20:30,15.951,164.54,2.193680188
36,02/12/18 20:45,15.855,164.51,2.193280222
37,02/12/18 21:00,15.855,164.45,2.19248029
38,02/12/18 21:15,15.855,164.57,2.194080154
39,02/12/18 21:30,15.855,164.57,2.194080154
40,02/12/18 21:45,15.855,164.53,2.193546866
41,02/12/18 22:00,15.855,164.66,2.195280052
42,02/12/18 22:15,15.855,164.6,2.19448012
43,02/12/18 22:30,15.855,164.8,2.19714656
44,02/12/18 22:45,15.855,164.63,2.194880086
45,02/12/18 23:00,15.855,164.7,2.19581334
46,02/12/18 23:15,15.855,164.64,2.195013408
47,02/12/18 23:30,15.855,164.65,2.19514673
48,02/12/18 23:45,15.855,164.82,2.197413204
49,02/13/18 0:00,15.855,164.76,2.196613272
50,02/13/18 0:15,15.855,164.53,2.193546866
51,02/13/18 0:30,15.855,164.7,2.19581334
52,02/13/18 0:45,15.855,164.71,2.195946662
53,02/13/18 1:00,15.855,164.58,2.194213476
54,02/13/18 1:15,15.855,164.65,2.19514673
55,02/13/18 1:30,15.855,164.53,2.193546866
56,02/13/18 1:45,15.855,164.42,2.192080324
57,02/13/18 2:00,15.855,164.67,2.195413374
58,02/13/18 2:15,15.855,164.55,2.19381351
59,02/13/18 2:30,15.855,164.51,2.193280222
60,02/13/18 2:45,15.855,164.51,2.193280222
61,02/13/18 3:00,15.855,164.52,2.193413544
62,02/13/18 3:15,15.855,164.52,2.193413544
63,02/13/18 3:30,15.855,164.58,2.194213476
64,02/13/18 3:45,15.855,164.65,2.19514673
65,02/13/18 4:00,15.855,164.53,2.193546866
66,02/13/18 4:15,15.855,164.65,2.19514673
67,02/13/18 4:30,15.855,164.6,2.19448012
68,02/13/18 4:45,15.855,164.66,2.195280052
69,02/13/18 5:00,15.855,164.65,2.19514673
70,02/13/18 5:15,15.855,164.6,2.19448012
71,02/13/18 5:30,15.855,164.48,2.192880256
72,02/13/18 5:45,15.951,164.64,2.195013408
73,02/13/18 6:00,15.951,164.3,2.19048046
74,02/13/18 6:15,15.951,164.42,2.192080324
75,02/13/18 6:30,15.951,164.6,2.19448012
76,02/13/18 6:45,15.951,164.5,2.1931469
77,02/13/18 7:00,15.855,164.6,2.19448012
78,02/13/18 7:15,15.855,164.54,2.193680188
79,02/13/18 7:30,15.855,164.43,2.192213646
80,02/13/18 7:45,15.855,164.68,2.195546696
81,02/13/18 8:00,15.951,164.59,2.194346798
82,02/13/18 8:15,15.951,164.41,2.191947002
83,02/13/18 8:30,15.951,164.4,2.19181368
84,02/13/18 8:45,15.855,164.57,2.194080154
85,02/13/18 9:00,15.855,164.33,2.190880426
86,02/13/18 9:15,15.855,164.35,2.19114707
87,02/13/18 9:30,15.855,164.26,2.189947172
88,02/13/18 9:45,15.855,164.45,2.19248029
89,02/13/18 10:00,15.951,164.26,2.189947172
90,02/13/18 10:15,15.951,164.19,2.189013918
91,02/13/18 10:30,15.951,164.27,2.190080494
92,02/13/18 10:45,15.951,164.28,2.190213816
93,02/13/18 11:00,15.951,164.15,2.18848063
94,02/13/18 11:15,15.951,164.05,2.18714741
95,02/13/18 11:30,15.951,164.18,2.188880596
96,02/13/18 11:45,15.855,164.09,2.187680698
97,02/13/18 12:00,15.951,164.2,2.18914724
98,02/13/18 12:15,15.951,164.09,2.187680698
99,02/13/18 12:30,15.951,164.14,2.188347308
100,02/13/18 12:45,15.951,164.31,2.190613782
101,02/13/18 13:00,15.951,164.33,2.190880426
102,02/13/18 13:15,15.951,164.19,2.189013918
103,02/13/18 13:30,15.951,164.04,2.187014088
104,02/13/18 13:45,15.951,164.01,2.186614122
105,02/13/18 14:00,15.951,164.17,2.188747274
106,02/13/18 14:15,15.855,164.1,2.18781402
107,02/13/18 14:30,15.855,164.13,2.188213986
108,02/13/18 14:45,15.951,164.18,2.188880596
109,02/13/18 15:00,15.951,164.23,2.189547206
110,02/13/18 15:15,15.951,164.3,2.19048046
111,02/13/18 15:30,15.951,164.36,2.191280392
112,02/13/18 15:45,15.951,164.24,2.189680528
113,02/13/18 16:00,15.951,164.3,2.19048046
114,02/13/18 16:15,15.951,164.24,2.189680528
115,02/13/18 16:30,15.951,164.24,2.189680528
116,02/13/18 16:45,15.951,164.19,2.189013918
117,02/13/18 17:00,15.951,163.89,2.185014258
118,02/13/18 17:15,15.951,163.8,2.18381436
119,02/13/18 17:30,15.951,163.88,2.184880936
120,02/13/18 17:45,15.951,164.02,2.186747444
121,02/13/18 18:00,15.951,164.15,2.18848063
122,02/13/18 18:15,15.951,164.14,2.188347308
123,02/13/18 18:30,15.951,164.24,2.189680528
124,02/13/18 18:45,15.951,164.36,2.191280392
125,02/13/18 19:00,15.951,164.36,2.191280392
126,02/13/18 19:15,15.951,164.19,2.189013918
127,02/13/18 19:30,15.951,164.37,2.191413714
128,02/13/18 19:45,15.951,164.26,2.189947172
129,02/13/18 20:00,15.951,164.37,2.191413714
130,02/13/18 20:15,15.951,164.18,2.188880596
131,02/13/18 20:30,15.951,164.3,2.19048046
132,02/13/18 20:45,15.951,164.43,2.192213646
133,02/13/18 21:00,15.951,164.6,2.19448012
134,02/13/18 21:15,15.951,164.25,2.18981385
135,02/13/18 21:30,15.951,164.37,2.191413714
136,02/13/18 21:45,15.951,164.49,2.193013578
137,02/13/18 22:00,15.951,164.49,2.193013578
138,02/13/18 22:15,15.951,164.49,2.193013578
139,02/13/18 22:30,15.951,164.43,2.192213646
140,02/13/18 22:45,15.951,164.43,2.192213646
141,02/13/18 23:00,15.951,164.43,2.192213646
142,02/13/18 23:15,15.951,164.43,2.192213646
