7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1513542120,+3.43,+11.940, +9.149,+0.975
1513543020,+3.43,+12.197, +9.144,+0.975
1513543920,+3.43,+12.375, +9.228,+0.975
1513544820,+3.43,+12.357, +9.255,+0.976
1513545720,+3.43,+12.578, +9.096,+0.975
1513546620,+3.43,+12.710, +9.070,+0.975
1513547520,+3.43,+12.842, +9.185,+0.975
1513548420,+3.43,+12.860, +9.313,+0.976
1513549320,+3.43,+12.886, +9.278,+0.974
1513550220,+3.43,+12.921, +9.464,+0.975
1513551120,+3.43,+12.948, +9.351,+0.975
1513552020,+3.43,+12.974, +9.428,+0.975
1513552920,+3.44,+12.948, +9.510,+0.975
1513553820,+3.43,+12.957, +9.562,+0.975
1513554720,+3.43,+12.983, +9.521,+0.974
1513555620,+3.43,+12.939, +9.519,+0.975
1513556520,+3.43,+12.930, +9.465,+0.976
1513557420,+3.43,+12.913, +9.340,+0.976
1513558320,+3.43,+12.921, +9.133,+0.975
1513559220,+3.43,+12.895, +9.013,+0.975
1513560120,+3.44,+12.877, +8.873,+0.976
1513561020,+3.44,+12.789, +8.821,+0.976
1513561920,+3.44,+12.666, +8.786,+0.975
1513562820,+3.44,+12.472, +8.676,+0.975
1513563720,+3.44,+12.339, +8.428,+0.975
1513564620,+3.44,+12.224, +8.173,+0.976
1513565520,+3.44,+12.206, +7.935,+0.976
1513566420,+3.44,+12.153, +7.686,+0.976
1513567320,+3.43,+12.100, +7.425,+0.976
1513568220,+3.44,+12.082, +7.266,+0.976
1513569120,+3.44,+12.055, +7.124,+0.977
1513570020,+3.44,+11.940, +6.974,+0.976
1513570920,+3.44,+11.788, +6.859,+0.976
1513571820,+3.44,+11.762, +6.754,+0.977
1513572720,+3.44,+11.672, +6.653,+0.976
1513573620,+3.44,+11.610, +6.577,+0.977
1513574520,+3.44,+11.574, +6.454,+0.977
1513575420,+3.44,+11.547, +6.312,+0.977
1513576320,+3.43,+11.494, +6.282,+0.978
1513577220,+3.44,+11.485, +6.459,+0.977
1513578120,+3.44,+11.431, +6.510,+0.978
1513579020,+3.44,+11.458, +6.518,+0.979
1513579920,+3.44,+11.476, +6.465,+0.978
1513580820,+3.44,+11.431, +6.404,+0.978
1513581720,+3.44,+11.601, +6.295,+0.977
1513582620,+3.44,+11.610, +6.220,+0.978
1513583520,+3.44,+11.619, +6.124,+0.978
1513584420,+3.43,+11.592, +6.047,+0.978
1513585320,+3.44,+11.574, +5.957,+0.978
1513586220,+3.44,+11.512, +5.851,+0.979
1513587120,+3.44,+11.368, +5.778,+0.979
1513588020,+3.43,+11.198, +6.218,+0.977
1513588920,+3.43,+11.189, +6.274,+0.976
1513589820,+3.43,+11.054, +6.180,+0.977
1513590720,+3.43,+10.973, +6.045,+0.977
1513591620,+3.44,+10.882, +6.107,+0.975
1513592520,+3.43,+10.882, +6.178,+0.976
1513593420,+3.43,+10.729, +6.317,+0.974
1513594320,+3.43,+10.675, +6.413,+0.974
1513595220,+3.43,+10.620, +6.286,+0.975
1513596120,+3.43,+10.611, +6.128,+0.976
1513597020,+3.43,+10.584, +5.979,+0.977
1513597920,+3.43,+10.593, +5.820,+0.978
1513598820,+3.43,+10.620, +5.674,+0.979
1513599720,+3.43,+10.557, +5.550,+0.979
1513600620,+3.43,+10.511, +5.409,+0.978
1513601520,+3.43,+10.457, +5.289,+0.979
1513602420,+3.44,+10.475, +5.156,+0.979
1513603320,+3.43,+10.530, +5.036,+0.979
1513604220,+3.43,+10.511, +4.945,+0.979
1513605120,+3.43,+10.502, +4.823,+0.979
1513606020,+3.43,+10.466, +4.689,+0.980
1513606920,+3.43,+10.448, +4.547,+0.979
1513607820,+3.43,+10.439, +4.408,+0.979
1513608720,+3.43,+10.411, +4.273,+0.979
1513609620,+3.43,+10.339, +4.157,+0.979
1513610520,+3.43,+10.275, +4.044,+0.979
1513611420,+3.43,+10.202, +3.966,+0.979
1513612320,+3.43,+10.166, +3.897,+0.979
1513613220,+3.43,+10.166, +3.816,+0.979
1513614120,+3.43,+10.175, +3.736,+0.980
1513615020,+3.43,+10.157, +3.644,+0.979
1513615920,+3.43,+10.111, +3.560,+0.979
1513616820,+3.43,+10.074, +3.473,+0.979
1513617720,+3.43,+10.074, +3.391,+0.979
1513618620,+3.43,+10.129, +3.337,+0.979
1513619520,+3.43,+10.120, +3.356,+0.979
1513620420,+3.43,+10.084, +4.154,+0.972
1513621320,+3.43,+10.102, +4.451,+0.969
1513622220,+3.43,+10.202, +5.342,+0.958
1513623120,+3.43,+10.266, +5.821,+0.968
1513624020,+3.43,+10.411, +5.841,+0.973
1513624920,+3.43,+10.602, +6.135,+0.974
1513625820,+3.43,+10.837, +6.290,+0.975
1513626720,+3.43,+10.810, +6.338,+0.976
1513627620,+3.43,+10.846, +6.168,+0.977
1513628520,+3.43,+10.873, +5.990,+0.979
