7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1515789840,+3.44,+17.368, +9.635,+0.970
1515790740,+3.44,+18.902, +9.414,+0.974
1515791640,+3.45,+17.436, +9.976,+0.969
1515792540,+3.45,+16.163, +9.991,+0.973
1515793440,+3.45,+15.813, +9.914,+0.975
1515794340,+3.45,+15.702, +9.748,+0.974
1515795240,+3.45,+15.771, +9.562,+0.974
1515796140,+3.45,+15.976, +9.330,+0.975
1515797040,+3.45,+16.146, +9.134,+0.975
1515797940,+3.45,+16.061, +8.965,+0.975
1515798840,+3.45,+16.104, +8.798,+0.975
1515799740,+3.45,+16.138, +8.631,+0.975
1515800640,+3.45,+16.180, +8.429,+0.975
1515801540,+3.45,+16.138, +8.255,+0.975
1515802440,+3.45,+15.984, +8.060,+0.976
1515803340,+3.45,+16.010, +7.812,+0.975
1515804240,+3.45,+16.061, +7.621,+0.976
1515805140,+3.45,+16.155, +7.400,+0.976
1515806040,+3.45,+16.197, +7.210,+0.976
1515806940,+3.45,+16.291, +7.030,+0.977
1515807840,+3.45,+16.342, +6.867,+0.976
1515808740,+3.45,+16.368, +6.726,+0.977
1515809640,+3.45,+16.393, +6.602,+0.977
1515810540,+3.45,+16.427, +6.457,+0.976
1515811440,+3.45,+16.410, +6.348,+0.976
1515812340,+3.45,+16.410, +6.230,+0.977
1515813240,+3.45,+16.436, +6.118,+0.977
1515814140,+3.46,+16.504, +6.007,+0.977
1515815040,+3.45,+16.597, +5.926,+0.977
1515815940,+3.46,+16.640, +5.870,+0.978
1515816840,+3.46,+16.640, +5.818,+0.977
1515817740,+3.46,+16.674, +5.771,+0.978
1515818640,+3.46,+16.699, +5.708,+0.977
1515819540,+3.46,+16.665, +5.659,+0.977
1515820440,+3.45,+16.665, +5.614,+0.977
1515821340,+3.46,+16.682, +5.554,+0.977
1515822240,+3.46,+16.631, +5.530,+0.978
1515823140,+3.46,+16.597, +5.484,+0.978
1515824040,+3.46,+16.597, +5.421,+0.978
1515824940,+3.46,+16.580, +5.374,+0.978
1515825840,+3.46,+16.580, +5.328,+0.979
1515826740,+3.46,+16.597, +5.278,+0.979
1515827640,+3.46,+16.614, +5.225,+0.979
1515828540,+3.46,+16.580, +5.178,+0.978
1515829440,+3.46,+16.546, +5.140,+0.978
1515830340,+3.46,+16.512, +5.107,+0.978
1515831240,+3.46,+16.419, +5.083,+0.978
1515832140,+3.46,+16.402, +5.049,+0.979
1515833040,+3.46,+16.376, +5.008,+0.979
1515833940,+3.46,+16.351, +4.972,+0.979
1515834840,+3.46,+16.291, +4.933,+0.979
1515835740,+3.46,+16.257, +4.897,+0.979
1515836640,+3.46,+16.265, +4.849,+0.979
1515837540,+3.46,+16.197, +4.821,+0.980
1515838440,+3.46,+16.155, +4.779,+0.980
1515839340,+3.46,+16.086, +4.737,+0.979
1515840240,+3.46,+16.044, +4.711,+0.980
1515841140,+3.46,+16.035, +4.670,+0.980
1515842040,+3.46,+16.018, +4.626,+0.979
1515842940,+3.46,+15.984, +4.589,+0.980
1515843840,+3.46,+15.993, +4.541,+0.980
1515844740,+3.46,+15.941, +4.506,+0.980
1515845640,+3.46,+15.882, +4.467,+0.980
1515846540,+3.46,+15.839, +4.432,+0.981
1515847440,+3.46,+15.771, +4.405,+0.980
1515848340,+3.46,+15.574, +4.397,+0.981
1515849240,+3.46,+15.445, +4.374,+0.981
1515850140,+3.46,+15.368, +4.350,+0.981
1515851040,+3.46,+15.368, +4.325,+0.981
1515851940,+3.46,+15.454, +4.278,+0.982
1515852840,+3.46,+15.437, +4.236,+0.981
1515853740,+3.46,+15.351, +4.222,+0.981
1515854640,+3.46,+15.171, +4.209,+0.981
1515855540,+3.46,+15.231, +4.174,+0.981
1515856440,+3.46,+15.162, +4.151,+0.982
1515857340,+3.46,+15.085, +4.125,+0.982
1515858240,+3.46,+15.179, +4.081,+0.983
1515859140,+3.46,+15.050, +4.053,+0.982
1515860040,+3.46,+15.016, +4.022,+0.983
1515860940,+3.46,+14.990, +3.981,+0.982
1515861840,+3.46,+14.990, +3.933,+0.982
1515862740,+3.46,+15.059, +3.892,+0.983
1515863640,+3.46,+14.939, +3.869,+0.983
1515864540,+3.46,+14.947, +3.825,+0.982
1515865440,+3.46,+14.801, +3.796,+0.982
1515866340,+3.46,+14.490, +3.771,+0.982
1515867240,+3.45,+14.213, +3.758,+0.981
1515868140,+3.46,+14.170, +3.717,+0.981
1515869040,+3.46,+14.568, +3.640,+0.982
1515869940,+3.46,+14.913, +3.566,+0.982
1515870840,+3.46,+15.085, +3.501,+0.982
1515871740,+3.45,+15.025, +3.445,+0.981
1515872640,+3.46,+15.007, +3.391,+0.981
1515873540,+3.46,+14.904, +3.333,+0.981
1515874440,+3.46,+14.878, +3.269,+0.981
1515875340,+3.46,+15.068, +3.198,+0.981
1515876240,+3.46,+15.231, +3.138,+0.981
