"Plot Title: 20246312"
"#","Date Time, GMT-08:00","Abs Pres, mm Hg (LGR S/N: 20246312, SEN S/N: 20246312)","Temp, °C (LGR S/N: 20246312, SEN S/N: 20246312)"
1,01/31/18 02:00:00 PM,759.48,23.388
2,01/31/18 02:15:00 PM,759.48,23.388
3,01/31/18 02:30:00 PM,759.35,21.760
4,01/31/18 02:45:00 PM,759.11,19.282
5,01/31/18 03:00:00 PM,758.81,18.236
6,01/31/18 03:15:00 PM,758.91,19.377
7,01/31/18 03:30:00 PM,758.96,21.951
8,01/31/18 03:45:00 PM,758.98,22.525
9,01/31/18 04:00:00 PM,759.07,22.717
10,01/31/18 04:15:00 PM,759.05,22.142
11,01/31/18 04:30:00 PM,759.05,23.196
12,01/31/18 04:45:00 PM,759.16,23.196
13,01/31/18 05:00:00 PM,758.99,21.760
14,01/31/18 05:15:00 PM,759.07,20.424
15,01/31/18 05:30:00 PM,759.10,18.331
16,01/31/18 05:45:00 PM,759.13,16.808
17,01/31/18 06:00:00 PM,758.98,15.664
18,01/31/18 06:15:00 PM,759.20,14.996
19,01/31/18 06:30:00 PM,759.22,14.613
20,01/31/18 06:45:00 PM,759.24,14.230
21,01/31/18 07:00:00 PM,759.20,13.750
22,01/31/18 07:15:00 PM,759.40,13.076
23,01/31/18 07:30:00 PM,759.34,12.980
24,01/31/18 07:45:00 PM,759.47,12.594
25,01/31/18 08:00:00 PM,759.70,12.594
26,01/31/18 08:15:00 PM,759.65,12.497
27,01/31/18 08:30:00 PM,759.65,12.304
28,01/31/18 08:45:00 PM,759.83,12.013
29,01/31/18 09:00:00 PM,759.83,11.819
30,01/31/18 09:15:00 PM,759.71,11.625
31,01/31/18 09:30:00 PM,759.88,11.334
32,01/31/18 09:45:00 PM,759.94,11.041
33,01/31/18 10:00:00 PM,760.11,10.944
34,01/31/18 10:15:00 PM,760.17,10.846
35,01/31/18 10:30:00 PM,760.11,10.748
36,01/31/18 10:45:00 PM,760.23,10.748
37,01/31/18 11:00:00 PM,760.29,10.651
