7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1517431980,+3.37,+21.838, +8.925,+0.976
1517432880,+3.39,+17.461, +9.964,+0.968
1517433780,+3.39,+15.325,+10.329,+0.975
1517434680,+3.40,+15.317,+10.250,+0.974
1517435580,+3.40,+15.360,+10.189,+0.976
1517436480,+3.41,+15.445,+10.130,+0.976
1517437380,+3.41,+15.522,+10.025,+0.974
1517438280,+3.41,+15.514, +9.970,+0.975
1517439180,+3.41,+15.437, +9.921,+0.974
1517440080,+3.42,+15.291, +9.888,+0.973
1517440980,+3.42,+15.497, +9.835,+0.975
1517441880,+3.42,+15.505, +9.775,+0.975
1517442780,+3.42,+15.574, +9.696,+0.973
1517443680,+3.42,+15.659, +9.666,+0.975
1517444580,+3.42,+15.711, +9.597,+0.975
1517445480,+3.43,+15.771, +9.547,+0.975
1517446380,+3.43,+15.796, +9.500,+0.975
1517447280,+3.43,+15.591, +9.520,+0.975
1517448180,+3.43,+15.685, +9.445,+0.976
1517449080,+3.43,+15.728, +9.375,+0.974
1517449980,+3.43,+15.736, +9.339,+0.975
1517450880,+3.43,+15.796, +9.292,+0.975
1517451780,+3.43,+15.745, +9.271,+0.976
1517452680,+3.43,+15.745, +9.252,+0.977
1517453580,+3.43,+15.754, +9.196,+0.976
1517454480,+3.43,+15.651, +9.150,+0.974
1517455380,+3.43,+15.651, +9.125,+0.976
1517456280,+3.44,+15.625, +9.108,+0.976
1517457180,+3.44,+15.659, +9.066,+0.977
1517458080,+3.44,+15.659, +9.001,+0.975
1517458980,+3.44,+15.659, +8.979,+0.976
1517459880,+3.44,+15.634, +8.923,+0.975
1517460780,+3.44,+15.685, +8.863,+0.975
1517461680,+3.44,+15.728, +8.820,+0.977
1517462580,+3.44,+15.728, +8.757,+0.975
1517463480,+3.44,+15.711, +8.731,+0.976
1517464380,+3.44,+15.711, +8.655,+0.976
1517465280,+3.44,+15.719, +8.595,+0.976
1517466180,+3.44,+15.728, +8.514,+0.976
1517467080,+3.44,+15.711, +8.471,+0.977
1517467980,+3.44,+15.677, +8.411,+0.977
1517468880,+3.44,+15.702, +8.334,+0.976
1517469780,+3.44,+15.719, +8.283,+0.976
1517470680,+3.44,+15.634, +8.269,+0.977
1517471580,+3.44,+15.677, +8.220,+0.978
1517472480,+3.44,+15.668, +8.174,+0.978
1517473380,+3.44,+15.642, +8.127,+0.977
1517474280,+3.44,+15.608, +8.097,+0.978
1517475180,+3.44,+15.565, +8.053,+0.977
1517476080,+3.44,+15.531, +8.006,+0.977
1517476980,+3.44,+15.445, +8.003,+0.977
1517477880,+3.44,+15.317, +7.993,+0.978
1517478780,+3.44,+15.334, +7.938,+0.977
1517479680,+3.44,+15.222, +7.947,+0.978
1517480580,+3.44,+15.128, +7.915,+0.977
1517481480,+3.45,+15.016, +7.896,+0.976
1517482380,+3.45,+14.904, +7.898,+0.977
1517483280,+3.45,+14.827, +7.885,+0.977
1517484180,+3.45,+14.775, +7.865,+0.977
1517485080,+3.45,+14.637, +7.875,+0.977
1517485980,+3.44,+14.507, +7.871,+0.977
1517486880,+3.44,+14.464, +7.844,+0.976
1517487780,+3.45,+14.308, +7.857,+0.978
1517488680,+3.44,+14.135, +7.868,+0.978
1517489580,+3.44,+14.048, +7.857,+0.977
1517490480,+3.44,+13.840, +7.853,+0.976
1517491380,+3.45,+13.814, +7.843,+0.976
1517492280,+3.45,+13.744, +7.850,+0.977
1517493180,+3.45,+13.709, +7.833,+0.977
1517494080,+3.45,+13.692, +7.814,+0.977
1517494980,+3.45,+13.648, +7.801,+0.977
1517495880,+3.44,+13.543, +7.783,+0.976
1517496780,+3.44,+13.342, +7.809,+0.977
1517497680,+3.44,+13.290, +7.793,+0.976
1517498580,+3.44,+13.211, +7.803,+0.978
1517499480,+3.44,+13.185, +7.774,+0.977
1517500380,+3.44,+13.158, +7.783,+0.978
1517501280,+3.44,+13.009, +7.783,+0.977
1517502180,+3.44,+13.001, +7.775,+0.977
1517503080,+3.44,+13.053, +7.753,+0.978
1517503980,+3.44,+12.877, +7.754,+0.976
1517504880,+3.44,+12.860, +7.753,+0.977
1517505780,+3.44,+13.307, +7.663,+0.979
1517506680,+3.44,+13.369, +7.606,+0.978
1517507580,+3.44,+13.123, +7.623,+0.977
1517508480,+3.44,+13.158, +7.589,+0.977
1517509380,+3.44,+13.229, +7.561,+0.977
1517510280,+3.44,+13.246, +7.548,+0.977
1517511180,+3.44,+13.526, +7.488,+0.977
1517512080,+3.44,+13.718, +7.439,+0.977
1517512980,+3.44,+13.874, +7.414,+0.978
1517513880,+3.44,+13.996, +7.384,+0.977
1517514780,+3.45,+14.092, +7.353,+0.977
1517515680,+3.44,+14.265, +7.302,+0.977
1517516580,+3.44,+14.369, +7.292,+0.977
1517517480,+3.44,+14.568, +7.244,+0.977
1517518380,+3.45,+14.749, +7.215,+0.978
