Plot Title: 20036649 Audubon 01,,,
#,"Date Time, GMT-08:00","High Range, mS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)"
1,02/12/18 12:00:00 PM,17.7408,15.37
2,02/12/18 12:15:00 PM,17.7838,15.5
3,02/12/18 12:30:00 PM,17.9255,15.74
4,02/12/18 12:45:00 PM,18.0107,15.91
5,02/12/18 01:00:00 PM,18.0596,16.14
6,02/12/18 01:15:00 PM,17.9999,16.22
7,02/12/18 01:30:00 PM,18.0691,16.4
8,02/12/18 01:45:00 PM,18.1439,16.42
9,02/12/18 02:00:00 PM,18.3022,16.81
10,02/12/18 02:15:00 PM,18.3364,16.87
11,02/12/18 02:30:00 PM,18.309,16.88
12,02/12/18 02:45:00 PM,18.5357,17.3
13,02/12/18 03:00:00 PM,18.6629,17.59
14,02/12/18 03:15:00 PM,18.6324,17.24
15,02/12/18 03:30:00 PM,18.6962,17.4
16,02/12/18 03:45:00 PM,18.7697,17.44
17,02/12/18 04:00:00 PM,18.8282,17.4
18,02/12/18 04:15:00 PM,18.7656,17.46
19,02/12/18 04:30:00 PM,18.6975,17.41
20,02/12/18 04:45:00 PM,18.7253,17.37
21,02/12/18 05:00:00 PM,18.6989,17.3
22,02/12/18 05:15:00 PM,18.6006,17.42
23,02/12/18 05:30:00 PM,18.6048,17.36
24,02/12/18 05:45:00 PM,18.5219,17.21
25,02/12/18 06:00:00 PM,18.5371,17.11
26,02/12/18 06:15:00 PM,18.5371,17.01
27,02/12/18 06:30:00 PM,18.5343,16.99
28,02/12/18 06:45:00 PM,18.482,16.85
29,02/12/18 07:00:00 PM,18.4792,16.8
30,02/12/18 07:15:00 PM,18.4834,16.62
31,02/12/18 07:30:00 PM,18.4421,16.44
32,02/12/18 07:45:00 PM,18.3995,16.33
33,02/12/18 08:00:00 PM,18.3899,16.28
34,02/12/18 08:15:00 PM,18.3899,16.26
35,02/12/18 08:30:00 PM,18.3748,16.13
36,02/12/18 08:45:00 PM,18.2871,15.99
37,02/12/18 09:00:00 PM,18.2352,15.87
38,02/12/18 09:15:00 PM,18.3036,15.83
39,02/12/18 09:30:00 PM,18.268,15.73
40,02/12/18 09:45:00 PM,18.0949,15.49
41,02/12/18 10:00:00 PM,18.0067,15.39
42,02/12/18 10:15:00 PM,17.9485,15.28
43,02/12/18 10:30:00 PM,17.8957,15.27
44,02/12/18 10:45:00 PM,17.9336,15.14
45,02/12/18 11:00:00 PM,17.9241,15.18
46,02/12/18 11:15:00 PM,17.9701,15.21
47,02/12/18 11:30:00 PM,17.9539,15.12
48,02/12/18 11:45:00 PM,17.9485,15.12
49,02/13/18 12:00:00 AM,18.0094,15.14
50,02/13/18 12:15:00 AM,19.4667,15.46
51,02/13/18 12:30:00 AM,19.9724,15.57
