7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1519069800,+3.45,+12.534, +7.941,+0.977
1519070700,+3.45,+12.877, +7.836,+0.976
1519071600,+3.45,+13.115, +8.272,+0.976
1519072500,+3.45,+13.150, +8.266,+0.976
1519073400,+3.46,+13.377, +8.361,+0.977
1519074300,+3.45,+13.578, +8.509,+0.977
1519075200,+3.45,+13.857, +8.672,+0.976
1519076100,+3.45,+14.525, +8.982,+0.975
1519077000,+3.45,+14.663, +9.033,+0.976
1519077900,+3.45,+14.620, +8.850,+0.976
1519078800,+3.45,+14.732, +8.832,+0.977
1519079700,+3.45,+14.939, +8.984,+0.976
1519080600,+3.45,+15.033, +9.039,+0.976
1519081500,+3.45,+14.990, +8.943,+0.975
1519082400,+3.45,+15.007, +8.870,+0.976
1519083300,+3.45,+15.007, +8.743,+0.976
1519084200,+3.45,+14.973, +8.704,+0.976
1519085100,+3.45,+14.999, +8.690,+0.975
1519086000,+3.45,+15.059, +8.745,+0.975
1519086900,+3.45,+15.042, +8.763,+0.977
1519087800,+3.45,+14.930, +8.800,+0.975
1519088700,+3.45,+14.896, +8.726,+0.976
1519089600,+3.45,+14.758, +8.792,+0.975
1519090500,+3.45,+14.715, +8.720,+0.977
1519091400,+3.45,+14.551, +8.629,+0.975
1519092300,+3.45,+14.378, +8.564,+0.976
1519093200,+3.45,+14.308, +8.460,+0.975
1519094100,+3.45,+14.187, +7.864,+0.976
1519095000,+3.45,+14.092, +7.813,+0.976
1519095900,+3.45,+14.048, +7.869,+0.976
1519096800,+3.45,+13.970, +8.238,+0.976
1519097700,+3.45,+13.744, +8.075,+0.976
1519098600,+3.45,+13.657, +7.879,+0.976
1519099500,+3.45,+13.465, +7.889,+0.975
1519100400,+3.45,+13.342, +7.373,+0.976
1519101300,+3.45,+13.211, +7.377,+0.977
1519102200,+3.45,+13.018, +7.372,+0.977
1519103100,+3.45,+12.833, +7.635,+0.976
1519104000,+3.45,+12.772, +7.329,+0.976
1519104900,+3.45,+12.789, +7.533,+0.977
1519105800,+3.45,+12.772, +7.581,+0.977
1519106700,+3.45,+12.825, +7.382,+0.977
1519107600,+3.45,+12.816, +7.134,+0.977
1519108500,+3.45,+12.833, +7.018,+0.977
1519109400,+3.45,+12.710, +7.150,+0.977
1519110300,+3.45,+12.701, +7.150,+0.977
1519111200,+3.45,+13.229, +7.246,+0.979
1519112100,+3.45,+13.316, +7.514,+0.978
1519113000,+3.45,+13.351, +7.646,+0.978
1519113900,+3.45,+13.246, +7.809,+0.977
1519114800,+3.45,+13.229, +8.003,+0.977
1519115700,+3.45,+13.097, +8.275,+0.977
1519116600,+3.45,+12.965, +8.590,+0.977
1519117500,+3.45,+13.071, +8.691,+0.976
1519118400,+3.45,+12.930, +8.732,+0.975
1519119300,+3.45,+12.877, +8.823,+0.976
1519120200,+3.45,+12.825, +9.242,+0.976
1519121100,+3.45,+12.816, +9.138,+0.976
1519122000,+3.45,+12.833, +9.328,+0.975
1519122900,+3.45,+12.745, +9.261,+0.976
1519123800,+3.45,+12.277, +9.107,+0.976
1519124700,+3.45,+12.109, +8.851,+0.977
1519125600,+3.45,+12.109, +8.594,+0.977
1519126500,+3.45,+12.304, +8.438,+0.977
1519127400,+3.45,+12.383, +8.351,+0.977
1519128300,+3.45,+12.463, +8.377,+0.977
1519129200,+3.45,+12.251, +8.360,+0.977
1519130100,+3.45,+12.153, +8.408,+0.977
1519131000,+3.45,+12.100, +8.515,+0.976
1519131900,+3.45,+12.002, +8.422,+0.976
1519132800,+3.45,+11.904, +8.720,+0.976
1519133700,+3.45,+11.842, +8.774,+0.976
1519134600,+3.45,+11.780, +8.669,+0.976
1519135500,+3.45,+11.717, +8.635,+0.977
1519136400,+3.45,+11.637, +8.475,+0.977
1519137300,+3.45,+11.610, +8.286,+0.977
1519138200,+3.45,+11.503, +8.129,+0.977
1519139100,+3.44,+11.565, +7.928,+0.977
1519140000,+3.44,+11.842, +8.079,+0.978
1519140900,+3.44,+10.873, +8.060,+0.977
1519141800,+3.44,+10.493, +8.013,+0.978
1519142700,+3.44,+10.593, +7.788,+0.977
1519143600,+3.44,+10.502, +7.812,+0.978
1519144500,+3.44,+10.430, +7.872,+0.977
1519145400,+3.44,+10.302, +7.769,+0.977
1519146300,+3.44,+10.311, +7.642,+0.977
1519147200,+3.44,+10.330, +7.516,+0.978
1519148100,+3.44,+10.266, +7.432,+0.977
1519149000,+3.44,+10.702, +7.294,+0.978
1519149900,+3.44,+10.257, +7.364,+0.977
1519150800,+3.44,+10.666, +7.471,+0.977
1519151700,+3.44,+11.216, +7.594,+0.977
1519152600,+3.44,+11.305, +8.006,+0.976
1519153500,+3.44,+11.458, +8.322,+0.976
1519154400,+3.44,+11.547, +8.334,+0.976
1519155300,+3.44,+11.494, +8.407,+0.976
1519156200,+3.44,+11.547, +8.480,+0.976
