"Plot Title: 20036649 Audubon 01"
"#","Date Time, GMT-08:00","High Range, mS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)"
1,03/01/18 11:00:00 AM,21.9948,13.19
2,03/01/18 11:15:00 AM,22.0687,13.27
3,03/01/18 11:30:00 AM,22.1234,13.38
4,03/01/18 11:45:00 AM,22.2091,13.57
5,03/01/18 12:00:00 PM,22.2707,13.69
6,03/01/18 12:15:00 PM,22.1621,13.78
7,03/01/18 12:30:00 PM,22.2561,13.90
8,03/01/18 12:45:00 PM,22.4816,14.16
9,03/01/18 01:00:00 PM,22.5294,14.22
10,03/01/18 01:15:00 PM,22.5047,14.18
11,03/01/18 01:30:00 PM,22.5376,14.25
12,03/01/18 01:45:00 PM,22.5508,14.31
13,03/01/18 02:00:00 PM,22.6618,14.46
14,03/01/18 02:15:00 PM,22.6884,14.56
15,03/01/18 02:30:00 PM,22.6950,14.54
16,03/01/18 02:45:00 PM,22.5971,14.37
17,03/01/18 03:00:00 PM,22.6220,14.50
18,03/01/18 03:15:00 PM,22.7434,14.61
19,03/01/18 03:30:00 PM,22.6137,14.55
20,03/01/18 03:45:00 PM,22.6767,14.54
21,03/01/18 04:00:00 PM,22.7367,14.63
22,03/01/18 04:15:00 PM,22.6236,14.73
23,03/01/18 04:30:00 PM,22.8287,14.90
24,03/01/18 04:45:00 PM,22.8657,14.92
25,03/01/18 05:00:00 PM,23.0312,15.31
26,03/01/18 05:15:00 PM,23.0550,15.36
27,03/01/18 05:30:00 PM,22.9448,15.12
28,03/01/18 05:45:00 PM,22.7601,14.86
29,03/01/18 06:00:00 PM,22.9364,15.06
30,03/01/18 06:15:00 PM,23.0261,15.27
31,03/01/18 06:30:00 PM,22.9803,15.12
32,03/01/18 06:45:00 PM,22.9448,15.03
33,03/01/18 07:00:00 PM,22.8371,14.84
34,03/01/18 07:15:00 PM,22.8438,14.78
35,03/01/18 07:30:00 PM,22.8069,14.67
36,03/01/18 07:45:00 PM,22.8337,14.82
37,03/01/18 08:00:00 PM,22.7167,14.52
38,03/01/18 08:15:00 PM,22.7935,14.77
39,03/01/18 08:30:00 PM,22.8203,14.82
40,03/01/18 08:45:00 PM,22.8976,14.99
41,03/01/18 09:00:00 PM,22.8808,14.98
42,03/01/18 09:15:00 PM,22.8254,14.83
43,03/01/18 09:30:00 PM,22.7701,14.65
44,03/01/18 09:45:00 PM,22.7601,14.63
45,03/01/18 10:00:00 PM,22.7684,14.68
46,03/01/18 10:15:00 PM,22.7584,14.74
47,03/01/18 10:30:00 PM,22.7684,14.71
48,03/01/18 10:45:00 PM,22.7584,14.70
49,03/01/18 11:00:00 PM,22.7584,14.68
50,03/01/18 11:15:00 PM,22.7768,14.74
51,03/01/18 11:30:00 PM,22.7367,14.74
52,03/01/18 11:45:00 PM,22.6767,14.66
53,03/02/18 12:00:00 AM,22.3310,14.62
54,03/02/18 12:15:00 AM,22.6551,14.60
55,03/02/18 12:30:00 AM,22.6585,14.58
56,03/02/18 12:45:00 AM,22.6236,14.55
57,03/02/18 01:00:00 AM,22.6468,14.55
58,03/02/18 01:15:00 AM,22.5360,14.54
59,03/02/18 01:30:00 AM,22.4767,14.51
60,03/02/18 01:45:00 AM,22.6120,14.50
61,03/02/18 02:00:00 AM,22.6352,14.46
62,03/02/18 02:15:00 AM,22.6286,14.44
63,03/02/18 02:30:00 AM,22.6004,14.43
64,03/02/18 02:45:00 AM,22.6120,14.41
65,03/02/18 03:00:00 AM,22.5294,14.37
66,03/02/18 03:15:00 AM,22.5459,14.36
67,03/02/18 03:30:00 AM,22.5014,14.31
68,03/02/18 03:45:00 AM,22.5277,14.29
69,03/02/18 04:00:00 AM,22.4800,14.28
70,03/02/18 04:15:00 AM,22.4537,14.20
71,03/02/18 04:30:00 AM,22.4915,14.21
72,03/02/18 04:45:00 AM,22.4816,14.22
73,03/02/18 05:00:00 AM,22.4570,14.17
74,03/02/18 05:15:00 AM,22.4389,14.15
75,03/02/18 05:30:00 AM,22.4570,14.11
76,03/02/18 05:45:00 AM,22.4078,14.05
77,03/02/18 06:00:00 AM,22.3816,14.00
78,03/02/18 06:15:00 AM,22.3310,13.95
79,03/02/18 06:30:00 AM,22.1379,13.81
80,03/02/18 06:45:00 AM,22.1282,13.86
81,03/02/18 07:00:00 AM,22.0253,13.90
82,03/02/18 07:15:00 AM,22.2967,13.90
83,03/02/18 07:30:00 AM,21.9038,13.87
84,03/02/18 07:45:00 AM,22.2935,13.92
85,03/02/18 08:00:00 AM,22.2172,13.94
86,03/02/18 08:15:00 AM,22.3244,13.95
87,03/02/18 08:30:00 AM,22.3147,13.95
88,03/02/18 08:45:00 AM,22.2967,13.98
89,03/02/18 09:00:00 AM,22.2642,14.01
90,03/02/18 09:15:00 AM,22.3179,13.96
91,03/02/18 09:30:00 AM,22.2334,13.91
92,03/02/18 09:45:00 AM,22.2447,14.09
93,03/02/18 10:00:00 AM,22.0863,14.32
94,03/02/18 10:15:00 AM,22.4997,14.50
95,03/02/18 10:30:00 AM,22.6302,14.66
96,03/02/18 10:45:00 AM,22.7050,14.77
97,03/02/18 11:00:00 AM,22.6220,14.79
98,03/02/18 11:15:00 AM,22.6668,14.96
99,03/02/18 11:30:00 AM,22.8086,15.01
100,03/02/18 11:45:00 AM,22.9956,15.33
101,03/02/18 12:00:00 PM,22.9027,15.43
102,03/02/18 12:15:00 PM,23.0329,15.39
103,03/02/18 12:30:00 PM,23.1231,15.58
104,03/02/18 12:45:00 PM,23.2104,15.86
105,03/02/18 01:00:00 PM,23.3067,16.03
106,03/02/18 01:15:00 PM,23.3430,16.17
107,03/02/18 01:30:00 PM,23.3915,16.29
108,03/02/18 01:45:00 PM,23.4262,16.26
109,03/02/18 02:00:00 PM,23.4314,16.29
110,03/02/18 02:15:00 PM,23.4871,16.42
111,03/02/18 02:30:00 PM,23.4819,16.42
112,03/02/18 02:45:00 PM,23.1727,16.39
113,03/02/18 03:00:00 PM,23.3897,16.44
