"Plot Title: 20246312"
"#","Date Time, GMT-08:00","Abs Pres, mm Hg (LGR S/N: 20246312, SEN S/N: 20246312)","Temp, °C (LGR S/N: 20246312, SEN S/N: 20246312)"
1,03/01/18 11:00:00 AM,766.62,14.517
2,03/01/18 11:15:00 AM,766.32,14.421
3,03/01/18 11:30:00 AM,766.14,14.517
4,03/01/18 11:45:00 AM,766.14,14.709
5,03/01/18 12:00:00 PM,766.07,14.804
6,03/01/18 12:15:00 PM,765.88,15.091
7,03/01/18 12:30:00 PM,765.77,14.900
8,03/01/18 12:45:00 PM,765.60,14.613
9,03/01/18 01:00:00 PM,765.38,14.421
10,03/01/18 01:15:00 PM,765.26,14.421
11,03/01/18 01:30:00 PM,765.09,14.325
12,03/01/18 01:45:00 PM,765.08,14.517
13,03/01/18 02:00:00 PM,764.79,14.421
14,03/01/18 02:15:00 PM,764.79,14.230
15,03/01/18 02:30:00 PM,764.74,14.134
16,03/01/18 02:45:00 PM,764.63,13.942
17,03/01/18 03:00:00 PM,764.64,13.750
18,03/01/18 03:15:00 PM,764.52,13.558
19,03/01/18 03:30:00 PM,764.35,13.461
20,03/01/18 03:45:00 PM,764.23,13.461
21,03/01/18 04:00:00 PM,764.17,13.365
22,03/01/18 04:15:00 PM,764.24,13.269
23,03/01/18 04:30:00 PM,764.00,13.269
24,03/01/18 04:45:00 PM,764.19,12.980
25,03/01/18 05:00:00 PM,764.19,12.787
26,03/01/18 05:15:00 PM,764.19,12.594
27,03/01/18 05:30:00 PM,764.07,12.401
28,03/01/18 05:45:00 PM,764.07,12.401
29,03/01/18 06:00:00 PM,764.07,12.207
30,03/01/18 06:15:00 PM,763.84,12.013
31,03/01/18 06:30:00 PM,763.78,11.722
32,03/01/18 06:45:00 PM,763.89,11.528
33,03/01/18 07:00:00 PM,763.89,11.528
34,03/01/18 07:15:00 PM,763.95,11.431
35,03/01/18 07:30:00 PM,763.83,11.431
36,03/01/18 07:45:00 PM,763.95,11.431
37,03/01/18 08:00:00 PM,763.83,11.431
38,03/01/18 08:15:00 PM,763.83,11.431
39,03/01/18 08:30:00 PM,763.95,11.431
40,03/01/18 08:45:00 PM,764.01,11.528
41,03/01/18 09:00:00 PM,764.07,11.625
42,03/01/18 09:15:00 PM,763.95,11.625
43,03/01/18 09:30:00 PM,764.07,11.625
44,03/01/18 09:45:00 PM,764.01,11.722
45,03/01/18 10:00:00 PM,763.90,12.110
46,03/01/18 10:15:00 PM,763.66,12.304
47,03/01/18 10:30:00 PM,763.72,12.401
48,03/01/18 10:45:00 PM,763.83,12.594
49,03/01/18 11:00:00 PM,763.65,12.690
50,03/01/18 11:15:00 PM,763.54,12.690
51,03/01/18 11:30:00 PM,763.42,12.690
52,03/01/18 11:45:00 PM,763.30,12.690
53,03/02/18 12:00:00 AM,763.30,12.690
54,03/02/18 12:15:00 AM,763.24,12.787
55,03/02/18 12:30:00 AM,763.06,12.883
56,03/02/18 12:45:00 AM,762.94,13.076
57,03/02/18 01:00:00 AM,762.94,13.076
58,03/02/18 01:15:00 AM,762.76,13.173
59,03/02/18 01:30:00 AM,762.70,13.269
60,03/02/18 01:45:00 AM,762.58,13.269
61,03/02/18 02:00:00 AM,762.40,13.365
62,03/02/18 02:15:00 AM,762.35,13.269
63,03/02/18 02:30:00 AM,762.29,13.173
64,03/02/18 02:45:00 AM,762.00,13.076
65,03/02/18 03:00:00 AM,762.00,13.076
66,03/02/18 03:15:00 AM,762.00,13.076
67,03/02/18 03:30:00 AM,761.88,13.076
68,03/02/18 03:45:00 AM,761.82,12.980
69,03/02/18 04:00:00 AM,761.94,12.980
70,03/02/18 04:15:00 AM,761.83,12.401
71,03/02/18 04:30:00 AM,761.95,12.207
72,03/02/18 04:45:00 AM,762.01,11.916
73,03/02/18 05:00:00 AM,762.01,11.528
74,03/02/18 05:15:00 AM,762.12,11.528
75,03/02/18 05:30:00 AM,762.07,11.625
76,03/02/18 05:45:00 AM,761.95,11.625
77,03/02/18 06:00:00 AM,762.07,11.625
78,03/02/18 06:15:00 AM,762.07,11.625
79,03/02/18 06:30:00 AM,762.24,11.528
80,03/02/18 06:45:00 AM,762.24,11.528
81,03/02/18 07:00:00 AM,762.36,11.528
82,03/02/18 07:15:00 AM,762.72,11.722
83,03/02/18 07:30:00 AM,762.72,11.722
84,03/02/18 07:45:00 AM,762.90,11.819
85,03/02/18 08:00:00 AM,762.96,11.916
86,03/02/18 08:15:00 AM,763.01,12.207
87,03/02/18 08:30:00 AM,762.89,12.401
88,03/02/18 08:45:00 AM,763.07,12.690
89,03/02/18 09:00:00 AM,763.13,12.594
90,03/02/18 09:15:00 AM,763.13,12.594
91,03/02/18 09:30:00 AM,763.06,12.883
92,03/02/18 09:45:00 AM,763.35,13.173
93,03/02/18 10:00:00 AM,763.29,13.076
94,03/02/18 10:15:00 AM,763.35,13.173
95,03/02/18 10:30:00 AM,763.41,13.269
96,03/02/18 10:45:00 AM,763.53,13.269
97,03/02/18 11:00:00 AM,763.53,13.269
98,03/02/18 11:15:00 AM,763.47,13.365
99,03/02/18 11:30:00 AM,763.22,13.750
100,03/02/18 11:45:00 AM,763.45,13.942
101,03/02/18 12:00:00 PM,763.16,13.846
102,03/02/18 12:15:00 PM,763.09,13.942
103,03/02/18 12:30:00 PM,762.97,14.134
104,03/02/18 12:45:00 PM,762.84,14.325
105,03/02/18 01:00:00 PM,762.54,14.613
106,03/02/18 01:15:00 PM,762.47,14.709
107,03/02/18 01:30:00 PM,762.52,14.804
108,03/02/18 01:45:00 PM,762.47,14.709
109,03/02/18 02:00:00 PM,762.22,14.900
