7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1520888160,+3.47,+19.589,+13.557,+0.965
1520889060,+3.47,+19.723,+13.542,+0.965
1520889960,+3.47,+19.673,+13.590,+0.965
1520890860,+3.47,+19.648,+13.589,+0.964
1520891760,+3.47,+19.740,+13.639,+0.966
1520892660,+3.47,+19.866,+13.556,+0.963
1520893560,+3.47,+20.058,+13.576,+0.965
1520894460,+3.48,+20.108,+13.635,+0.967
1520895360,+3.48,+20.242,+13.623,+0.965
1520896260,+3.48,+20.460,+13.669,+0.965
1520897160,+3.48,+20.460,+13.778,+0.967
1520898060,+3.48,+20.485,+13.826,+0.967
1520898960,+3.48,+20.476,+13.826,+0.964
1520899860,+3.48,+20.418,+13.941,+0.966
1520900760,+3.48,+20.376,+14.020,+0.965
1520901660,+3.48,+20.317,+14.131,+0.964
1520902560,+3.48,+20.326,+14.254,+0.965
1520903460,+3.48,+20.351,+14.377,+0.966
1520904360,+3.48,+20.384,+14.522,+0.967
1520905260,+3.48,+20.284,+14.617,+0.965
1520906160,+3.48,+20.276,+14.686,+0.964
1520907060,+3.48,+20.276,+14.743,+0.964
1520907960,+3.48,+20.292,+14.907,+0.967
1520908860,+3.48,+20.409,+14.940,+0.966
1520909760,+3.48,+20.468,+15.008,+0.967
1520910660,+3.48,+20.451,+14.992,+0.963
1520911560,+3.48,+20.409,+15.169,+0.969
1520912460,+3.48,+20.234,+15.218,+0.967
1520913360,+3.48,+20.175,+15.283,+0.969
1520914260,+3.48,+20.117,+15.241,+0.967
1520915160,+3.48,+20.008,+15.200,+0.964
1520916060,+3.48,+19.933,+15.238,+0.965
1520916960,+3.48,+19.949,+15.229,+0.966
1520917860,+3.48,+19.966,+15.150,+0.964
1520918760,+3.48,+19.966,+15.201,+0.967
1520919660,+3.48,+19.966,+15.150,+0.966
1520920560,+3.48,+20.041,+15.051,+0.964
1520921460,+3.48,+20.033,+15.071,+0.966
1520922360,+3.48,+20.033,+15.038,+0.966
1520923260,+3.48,+20.025,+15.026,+0.966
1520924160,+3.48,+19.958,+15.027,+0.966
1520925060,+3.48,+19.958,+15.024,+0.967
1520925960,+3.48,+19.949,+15.021,+0.968
1520926860,+3.48,+19.958,+14.949,+0.966
1520927760,+3.48,+19.882,+14.899,+0.965
1520928660,+3.48,+19.849,+14.884,+0.967
1520929560,+3.48,+19.857,+14.821,+0.967
1520930460,+3.48,+19.882,+14.792,+0.967
1520931360,+3.48,+19.933,+14.794,+0.965
1520932260,+3.48,+19.907,+14.824,+0.964
1520933160,+3.48,+19.891,+14.894,+0.966
1520934060,+3.48,+19.899,+14.812,+0.967
1520934960,+3.48,+19.891,+14.808,+0.967
1520935860,+3.48,+19.799,+14.809,+0.968
1520936760,+3.48,+19.907,+14.675,+0.966
1520937660,+3.48,+19.882,+14.626,+0.966
1520938560,+3.48,+19.874,+14.628,+0.964
1520939460,+3.48,+19.857,+14.819,+0.967
1520940360,+3.48,+19.840,+14.853,+0.968
1520941260,+3.48,+19.807,+14.864,+0.968
1520942160,+3.48,+19.790,+14.826,+0.965
1520943060,+3.48,+19.790,+14.762,+0.964
1520943960,+3.48,+19.799,+14.817,+0.967
1520944860,+3.48,+19.765,+14.758,+0.965
1520945760,+3.48,+19.765,+14.801,+0.966
1520946660,+3.48,+19.715,+14.850,+0.968
1520947560,+3.48,+19.706,+14.802,+0.966
1520948460,+3.48,+19.732,+14.753,+0.966
1520949360,+3.48,+19.690,+14.780,+0.966
1520950260,+3.48,+19.673,+14.780,+0.966
1520951160,+3.48,+19.639,+14.759,+0.968
1520952060,+3.48,+19.598,+14.655,+0.965
1520952960,+3.48,+19.589,+14.677,+0.966
1520953860,+3.48,+19.606,+14.624,+0.965
1520954760,+3.48,+19.564,+14.634,+0.965
1520955660,+3.48,+19.598,+14.715,+0.968
1520956560,+3.48,+19.581,+14.683,+0.966
1520957460,+3.48,+19.598,+14.613,+0.964
1520958360,+3.48,+19.547,+14.691,+0.967
1520959260,+3.48,+19.539,+14.624,+0.966
1520960160,+3.48,+19.547,+14.633,+0.966
1520961060,+3.48,+19.539,+14.665,+0.966
1520961960,+3.48,+19.505,+14.703,+0.968
1520962860,+3.48,+19.505,+14.627,+0.967
1520963760,+3.48,+19.480,+14.589,+0.966
1520964660,+3.48,+19.497,+14.556,+0.966
1520965560,+3.48,+19.497,+14.598,+0.967
1520966460,+3.48,+19.531,+14.492,+0.965
1520967360,+3.48,+19.522,+14.518,+0.967
1520968260,+3.48,+19.522,+14.496,+0.968
1520969160,+3.48,+19.547,+14.367,+0.964
1520970060,+3.48,+19.505,+14.402,+0.965
1520970960,+3.48,+19.522,+14.376,+0.966
1520971860,+3.48,+19.514,+14.369,+0.967
1520972760,+3.48,+19.564,+14.300,+0.965
1520973660,+3.48,+19.589,+14.282,+0.965
1520974560,+3.48,+19.606,+14.330,+0.967
