"Plot Title: Level 20028982"
"#","Date Time, GMT-07:00","Abs Pres, mm Hg (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Press)","Temp, °C (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Temp)"
1,03/14/18 02:00:00 PM,940.49,16.808
2,03/14/18 02:15:00 PM,940.36,16.808
3,03/14/18 02:30:00 PM,940.23,16.808
4,03/14/18 02:45:00 PM,940.11,16.808
5,03/14/18 03:00:00 PM,940.23,16.808
6,03/14/18 03:15:00 PM,940.23,16.808
7,03/14/18 03:30:00 PM,940.23,16.808
8,03/14/18 03:45:00 PM,940.23,16.808
9,03/14/18 04:00:00 PM,940.23,16.808
10,03/14/18 04:15:00 PM,940.11,16.808
11,03/14/18 04:30:00 PM,940.11,16.808
12,03/14/18 04:45:00 PM,939.98,16.808
13,03/14/18 05:00:00 PM,939.98,16.808
14,03/14/18 05:15:00 PM,939.86,16.808
15,03/14/18 05:30:00 PM,939.86,16.808
16,03/14/18 05:45:00 PM,939.86,16.808
17,03/14/18 06:00:00 PM,939.86,16.808
18,03/14/18 06:15:00 PM,939.62,16.808
19,03/14/18 06:30:00 PM,939.62,16.808
20,03/14/18 06:45:00 PM,939.62,16.808
21,03/14/18 07:00:00 PM,939.49,16.808
22,03/14/18 07:15:00 PM,939.49,16.808
23,03/14/18 07:30:00 PM,939.49,16.808
24,03/14/18 07:45:00 PM,939.49,16.808
25,03/14/18 08:00:00 PM,939.49,16.808
26,03/14/18 08:15:00 PM,939.74,16.808
27,03/14/18 08:30:00 PM,939.62,16.808
28,03/14/18 08:45:00 PM,939.74,16.808
29,03/14/18 09:00:00 PM,939.86,16.808
30,03/14/18 09:15:00 PM,939.86,16.808
31,03/14/18 09:30:00 PM,940.11,16.808
32,03/14/18 09:45:00 PM,940.23,16.808
33,03/14/18 10:00:00 PM,940.49,16.808
34,03/14/18 10:15:00 PM,940.98,16.808
35,03/14/18 10:30:00 PM,941.72,16.808
36,03/14/18 10:45:00 PM,942.35,16.808
37,03/14/18 11:00:00 PM,942.85,16.808
38,03/14/18 11:15:00 PM,943.35,16.808
39,03/14/18 11:30:00 PM,943.59,16.808
40,03/14/18 11:45:00 PM,944.10,16.808
41,03/15/18 12:00:00 AM,944.46,16.808
42,03/15/18 12:15:00 AM,944.71,16.808
43,03/15/18 12:30:00 AM,944.84,16.808
44,03/15/18 12:45:00 AM,944.84,16.808
45,03/15/18 01:00:00 AM,944.97,16.808
46,03/15/18 01:15:00 AM,944.97,16.808
47,03/15/18 01:30:00 AM,945.09,16.808
48,03/15/18 01:45:00 AM,945.21,16.808
49,03/15/18 02:00:00 AM,945.21,16.808
50,03/15/18 02:15:00 AM,945.33,16.808
51,03/15/18 02:30:00 AM,945.71,16.808
52,03/15/18 02:45:00 AM,945.71,16.808
53,03/15/18 03:00:00 AM,945.75,16.903
54,03/15/18 03:15:00 AM,945.75,16.903
55,03/15/18 03:30:00 AM,945.59,16.808
56,03/15/18 03:45:00 AM,945.96,16.808
57,03/15/18 04:00:00 AM,945.96,16.808
58,03/15/18 04:15:00 AM,946.08,16.808
59,03/15/18 04:30:00 AM,946.08,16.808
60,03/15/18 04:45:00 AM,946.08,16.808
61,03/15/18 05:00:00 AM,945.96,16.808
62,03/15/18 05:15:00 AM,946.33,16.808
63,03/15/18 05:30:00 AM,946.62,16.903
64,03/15/18 05:45:00 AM,946.87,16.903
65,03/15/18 06:00:00 AM,946.83,16.808
66,03/15/18 06:15:00 AM,946.95,16.808
67,03/15/18 06:30:00 AM,947.33,16.808
68,03/15/18 06:45:00 AM,947.45,16.808
69,03/15/18 07:00:00 AM,947.58,16.808
70,03/15/18 07:15:00 AM,947.82,16.808
71,03/15/18 07:30:00 AM,947.70,16.808
72,03/15/18 07:45:00 AM,947.95,16.808
73,03/15/18 08:00:00 AM,947.95,16.808
74,03/15/18 08:15:00 AM,947.95,16.808
75,03/15/18 08:30:00 AM,948.07,16.808
76,03/15/18 08:45:00 AM,948.20,16.808
77,03/15/18 09:00:00 AM,948.20,16.808
78,03/15/18 09:15:00 AM,948.69,16.808
79,03/15/18 09:30:00 AM,949.11,16.903
80,03/15/18 09:45:00 AM,949.11,16.903
81,03/15/18 10:00:00 AM,949.61,16.903
82,03/15/18 10:15:00 AM,949.48,16.903
83,03/15/18 10:30:00 AM,949.32,16.808
84,03/15/18 10:45:00 AM,949.32,16.808
85,03/15/18 11:00:00 AM,949.32,16.808
86,03/15/18 11:15:00 AM,949.32,16.808
87,03/15/18 11:30:00 AM,949.48,16.903
88,03/15/18 11:45:00 AM,949.23,16.903
89,03/15/18 12:00:00 PM,949.35,16.903
90,03/15/18 12:15:00 PM,949.35,16.903
91,03/15/18 12:30:00 PM,949.23,16.903
92,03/15/18 12:45:00 PM,949.11,16.903
93,03/15/18 01:00:00 PM,949.35,16.903
94,03/15/18 01:15:00 PM,949.11,16.903
95,03/15/18 01:30:00 PM,948.86,16.903
96,03/15/18 01:45:00 PM,948.86,16.903
97,03/15/18 02:00:00 PM,948.61,16.903
98,03/15/18 02:15:00 PM,948.48,16.903
99,03/15/18 02:30:00 PM,948.36,16.903
100,03/15/18 02:45:00 PM,948.36,16.903
101,03/15/18 03:00:00 PM,948.36,16.903
102,03/15/18 03:15:00 PM,948.36,16.903
103,03/15/18 03:30:00 PM,948.24,16.903
104,03/15/18 03:45:00 PM,948.24,16.903
105,03/15/18 04:00:00 PM,948.12,16.903
106,03/15/18 04:15:00 PM,947.99,16.903
107,03/15/18 04:30:00 PM,947.99,16.903
108,03/15/18 04:45:00 PM,947.86,16.903
109,03/15/18 05:00:00 PM,947.74,16.903
110,03/15/18 05:15:00 PM,947.86,16.903
111,03/15/18 05:30:00 PM,947.86,16.903
112,03/15/18 05:45:00 PM,947.86,16.903
113,03/15/18 06:00:00 PM,947.99,16.903
114,03/15/18 06:15:00 PM,948.12,16.903
115,03/15/18 06:30:00 PM,948.24,16.903
116,03/15/18 06:45:00 PM,948.24,16.903
117,03/15/18 07:00:00 PM,948.24,16.903
118,03/15/18 07:15:00 PM,948.24,16.903
119,03/15/18 07:30:00 PM,948.36,16.903
120,03/15/18 07:45:00 PM,948.48,16.903
121,03/15/18 08:00:00 PM,948.61,16.903
122,03/15/18 08:15:00 PM,948.73,16.903
123,03/15/18 08:30:00 PM,948.61,16.903
124,03/15/18 08:45:00 PM,948.73,16.903
125,03/15/18 09:00:00 PM,948.86,16.903
126,03/15/18 09:15:00 PM,948.86,16.903
127,03/15/18 09:30:00 PM,948.99,16.903
128,03/15/18 09:45:00 PM,948.99,16.903
129,03/15/18 10:00:00 PM,949.23,16.903
130,03/15/18 10:15:00 PM,949.48,16.903
131,03/15/18 10:30:00 PM,949.61,16.903
132,03/15/18 10:45:00 PM,949.61,16.903
133,03/15/18 11:00:00 PM,949.48,16.903
134,03/15/18 11:15:00 PM,949.73,16.903
135,03/15/18 11:30:00 PM,949.73,16.903
136,03/15/18 11:45:00 PM,949.73,16.903
137,03/16/18 12:00:00 AM,949.73,16.903
138,03/16/18 12:15:00 AM,949.73,16.903
139,03/16/18 12:30:00 AM,949.73,16.903
140,03/16/18 12:45:00 AM,949.48,16.903
141,03/16/18 01:00:00 AM,949.61,16.903
142,03/16/18 01:15:00 AM,949.61,16.903
143,03/16/18 01:30:00 AM,949.61,16.903
144,03/16/18 01:45:00 AM,949.61,16.903
145,03/16/18 02:00:00 AM,949.48,16.903
146,03/16/18 02:15:00 AM,949.48,16.903
147,03/16/18 02:30:00 AM,949.35,16.903
148,03/16/18 02:45:00 AM,949.23,16.903
149,03/16/18 03:00:00 AM,949.23,16.903
150,03/16/18 03:15:00 AM,949.23,16.903
151,03/16/18 03:30:00 AM,949.23,16.903
152,03/16/18 03:45:00 AM,949.11,16.903
153,03/16/18 04:00:00 AM,949.23,16.903
154,03/16/18 04:15:00 AM,949.11,16.903
155,03/16/18 04:30:00 AM,949.11,16.903
156,03/16/18 04:45:00 AM,949.11,16.903
157,03/16/18 05:00:00 AM,949.11,16.903
158,03/16/18 05:15:00 AM,948.99,16.903
159,03/16/18 05:30:00 AM,949.11,16.903
160,03/16/18 05:45:00 AM,948.99,16.903
161,03/16/18 06:00:00 AM,949.11,16.903
162,03/16/18 06:15:00 AM,949.23,16.903
163,03/16/18 06:30:00 AM,949.23,16.903
164,03/16/18 06:45:00 AM,949.23,16.903
165,03/16/18 07:00:00 AM,949.35,16.903
166,03/16/18 07:15:00 AM,949.35,16.903
167,03/16/18 07:30:00 AM,949.35,16.903
168,03/16/18 07:45:00 AM,949.35,16.903
169,03/16/18 08:00:00 AM,949.35,16.903
170,03/16/18 08:15:00 AM,949.48,16.903
171,03/16/18 08:30:00 AM,949.35,16.903
172,03/16/18 08:45:00 AM,949.48,16.903
173,03/16/18 09:00:00 AM,949.35,16.903
174,03/16/18 09:15:00 AM,949.48,16.903
175,03/16/18 09:30:00 AM,949.73,16.903
176,03/16/18 09:45:00 AM,949.73,16.903
177,03/16/18 10:00:00 AM,949.73,16.903
178,03/16/18 10:15:00 AM,949.86,16.903
179,03/16/18 10:30:00 AM,949.73,16.903
180,03/16/18 10:45:00 AM,949.86,16.903
181,03/16/18 11:00:00 AM,949.73,16.903
182,03/16/18 11:15:00 AM,949.86,16.903
183,03/16/18 11:30:00 AM,949.73,16.903
184,03/16/18 11:45:00 AM,949.61,16.903
185,03/16/18 12:00:00 PM,949.48,16.903
186,03/16/18 12:15:00 PM,949.48,16.903
187,03/16/18 12:30:00 PM,949.35,16.903
188,03/16/18 12:45:00 PM,949.48,16.903
189,03/16/18 01:00:00 PM,949.35,16.903
190,03/16/18 01:15:00 PM,949.35,16.903
191,03/16/18 01:30:00 PM,949.23,16.903
192,03/16/18 01:45:00 PM,948.99,16.903
193,03/16/18 02:00:00 PM,948.61,16.903
194,03/16/18 02:15:00 PM,948.36,16.903
195,03/16/18 02:30:00 PM,948.48,16.903
196,03/16/18 02:45:00 PM,948.48,16.903
197,03/16/18 03:00:00 PM,948.48,16.903
198,03/16/18 03:15:00 PM,948.48,16.903
199,03/16/18 03:30:00 PM,948.36,16.903
200,03/16/18 03:45:00 PM,948.24,16.903
201,03/16/18 04:00:00 PM,948.24,16.903
202,03/16/18 04:15:00 PM,948.36,16.903
203,03/16/18 04:30:00 PM,948.24,16.903
204,03/16/18 04:45:00 PM,948.12,16.903
205,03/16/18 05:00:00 PM,947.99,16.903
206,03/16/18 05:15:00 PM,948.12,16.903
207,03/16/18 05:30:00 PM,948.12,16.903
208,03/16/18 05:45:00 PM,948.12,16.903
209,03/16/18 06:00:00 PM,948.24,16.903
210,03/16/18 06:15:00 PM,948.24,16.903
211,03/16/18 06:30:00 PM,948.36,16.903
212,03/16/18 06:45:00 PM,948.24,16.903
213,03/16/18 07:00:00 PM,948.36,16.903
214,03/16/18 07:15:00 PM,948.48,16.903
215,03/16/18 07:30:00 PM,948.36,16.903
216,03/16/18 07:45:00 PM,948.61,16.903
217,03/16/18 08:00:00 PM,948.73,16.903
218,03/16/18 08:15:00 PM,948.61,16.903
219,03/16/18 08:30:00 PM,948.86,16.903
220,03/16/18 08:45:00 PM,948.86,16.903
221,03/16/18 09:00:00 PM,948.86,16.903
222,03/16/18 09:15:00 PM,948.86,16.903
223,03/16/18 09:30:00 PM,948.86,16.903
224,03/16/18 09:45:00 PM,948.99,16.903
225,03/16/18 10:00:00 PM,948.99,16.903
226,03/16/18 10:15:00 PM,949.23,16.903
227,03/16/18 10:30:00 PM,949.35,16.903
228,03/16/18 10:45:00 PM,949.35,16.903
229,03/16/18 11:00:00 PM,949.48,16.903
230,03/16/18 11:15:00 PM,949.48,16.903
231,03/16/18 11:30:00 PM,949.73,16.903
232,03/16/18 11:45:00 PM,949.61,16.903
233,03/17/18 12:00:00 AM,949.73,16.903
234,03/17/18 12:15:00 AM,949.61,16.903
235,03/17/18 12:30:00 AM,949.48,16.903
236,03/17/18 12:45:00 AM,949.48,16.903
237,03/17/18 01:00:00 AM,949.48,16.903
238,03/17/18 01:15:00 AM,949.35,16.903
239,03/17/18 01:30:00 AM,949.23,16.903
240,03/17/18 01:45:00 AM,949.35,16.903
