7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1522104240,+3.46,+19.246, +6.218,+0.964
1522105140,+3.47,+19.027, +6.289,+0.964
1522106040,+3.46,+19.187, +6.377,+0.963
1522106940,+3.47,+19.195, +6.273,+0.963
1522107840,+3.46,+18.910, +6.232,+0.963
1522108740,+3.47,+18.599, +6.038,+0.965
1522109640,+3.47,+18.582, +5.954,+0.965
1522110540,+3.47,+18.574, +5.901,+0.966
1522111440,+3.47,+18.582, +5.963,+0.965
1522112340,+3.47,+18.507, +5.938,+0.965
1522113240,+3.47,+18.608, +5.897,+0.965
1522114140,+3.47,+18.843, +5.937,+0.966
1522115040,+3.47,+18.969, +6.102,+0.965
1522115940,+3.47,+19.053, +6.156,+0.965
1522116840,+3.47,+19.178, +6.125,+0.965
1522117740,+3.47,+19.078, +6.135,+0.965
1522118640,+3.47,+19.002, +6.191,+0.964
1522119540,+3.47,+18.927, +6.241,+0.964
1522120440,+3.47,+18.843, +6.136,+0.966
1522121340,+3.47,+18.759, +6.021,+0.965
1522122240,+3.47,+18.675, +5.965,+0.965
1522123140,+3.47,+18.565, +5.969,+0.965
1522124040,+3.47,+18.507, +5.935,+0.966
1522124940,+3.47,+18.448, +5.961,+0.966
1522125840,+3.47,+18.380, +5.771,+0.966
1522126740,+3.47,+18.119, +5.743,+0.966
1522127640,+3.47,+18.145, +5.751,+0.966
1522128540,+3.47,+17.740, +5.904,+0.965
1522129440,+3.47,+17.639, +5.876,+0.965
1522130340,+3.47,+17.419, +5.806,+0.966
1522131240,+3.47,+17.199, +5.746,+0.966
1522132140,+3.47,+16.996, +5.714,+0.967
1522133040,+3.47,+16.945, +5.718,+0.967
1522133940,+3.47,+17.182, +5.667,+0.967
1522134840,+3.47,+17.055, +5.644,+0.966
1522135740,+3.47,+17.208, +5.612,+0.966
1522136640,+3.47,+17.055, +5.616,+0.966
1522137540,+3.47,+17.081, +5.609,+0.966
1522138440,+3.47,+17.013, +5.620,+0.966
1522139340,+3.47,+16.996, +5.669,+0.966
1522140240,+3.47,+16.945, +5.687,+0.966
1522141140,+3.47,+16.877, +5.753,+0.966
1522142040,+3.47,+16.759, +5.698,+0.966
1522142940,+3.47,+16.699, +5.636,+0.966
1522143840,+3.47,+16.631, +5.629,+0.966
1522144740,+3.47,+16.580, +5.569,+0.967
1522145640,+3.47,+16.487, +5.510,+0.966
1522146540,+3.47,+16.427, +5.460,+0.966
1522147440,+3.47,+16.325, +5.488,+0.966
1522148340,+3.47,+16.240, +5.403,+0.967
1522149240,+3.47,+16.121, +5.368,+0.966
1522150140,+3.47,+16.069, +5.385,+0.966
1522151040,+3.47,+15.984, +5.357,+0.966
1522151940,+3.47,+15.907, +5.316,+0.966
1522152840,+3.47,+15.771, +5.386,+0.966
1522153740,+3.47,+15.728, +5.428,+0.967
1522154640,+3.47,+15.685, +5.379,+0.967
1522155540,+3.47,+15.582, +5.300,+0.967
1522156440,+3.47,+15.445, +5.238,+0.967
1522157340,+3.47,+15.291, +5.193,+0.966
1522158240,+3.47,+15.162, +5.147,+0.967
1522159140,+3.47,+15.111, +5.099,+0.967
1522160040,+3.47,+15.059, +5.062,+0.967
1522160940,+3.47,+14.990, +5.018,+0.967
1522161840,+3.47,+15.042, +4.906,+0.967
1522162740,+3.46,+15.102, +4.664,+0.967
1522163640,+3.46,+15.162, +4.390,+0.966
1522164540,+3.46,+15.308, +4.199,+0.966
1522165440,+3.46,+15.402, +4.109,+0.966
1522166340,+3.47,+15.394, +4.090,+0.967
1522167240,+3.46,+15.454, +4.130,+0.967
1522168140,+3.46,+15.540, +3.920,+0.967
1522169040,+3.46,+15.779, +3.949,+0.967
1522169940,+3.46,+15.813, +3.888,+0.967
1522170840,+3.46,+15.368, +3.909,+0.967
1522171740,+3.46,+15.102, +3.981,+0.967
1522172640,+3.46,+14.646, +4.703,+0.968
1522173540,+3.46,+14.430, +4.951,+0.966
1522174440,+3.46,+14.326, +4.957,+0.967
1522175340,+3.46,+14.404, +4.874,+0.968
1522176240,+3.46,+14.395, +4.771,+0.968
1522177140,+3.46,+14.525, +4.854,+0.967
1522178040,+3.46,+14.646, +4.673,+0.967
1522178940,+3.46,+15.608, +5.773,+0.963
1522179840,+3.46,+17.875, +6.203,+0.963
1522180740,+3.46,+17.343, +6.114,+0.961
1522181640,+3.46,+17.495, +5.754,+0.962
1522182540,+3.46,+17.833, +5.571,+0.963
1522183440,+3.46,+18.061, +5.506,+0.963
1522184340,+3.47,+20.234, +6.793,+0.958
1522185240,+3.47,+20.552, +6.679,+0.957
1522186140,+3.46,+20.970, +7.095,+0.954
1522187040,+3.47,+20.986, +6.889,+0.956
1522187940,+3.47,+21.095, +7.084,+0.956
1522188840,+3.46,+21.396, +7.203,+0.955
1522189740,+3.47,+21.521, +7.330,+0.954
1522190640,+3.47,+21.329, +7.234,+0.955
