7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1523391120,+3.49,+21.780, +2.333,+0.986
1523392020,+3.49,+22.306, +4.094,+0.985
1523392920,+3.49,+22.816, +4.519,+0.984
1523393820,+3.49,+23.117, +5.707,+0.984
1523394720,+3.49,+23.443, +6.057,+0.982
1523395620,+3.49,+23.159, +5.866,+0.982
1523396520,+3.49,+23.326, +6.244,+0.983
1523397420,+3.49,+23.460, +6.741,+0.983
1523398320,+3.49,+23.912, +7.066,+0.983
1523399220,+3.49,+24.071, +7.242,+0.982
1523400120,+3.49,+24.079, +7.400,+0.982
1523401020,+3.49,+23.828, +6.767,+0.981
1523401920,+3.49,+23.770, +6.918,+0.981
1523402820,+3.49,+23.611, +6.484,+0.981
1523403720,+3.49,+23.636, +6.642,+0.981
1523404620,+3.49,+23.318, +6.502,+0.981
1523405520,+3.49,+23.544, +7.000,+0.980
1523406420,+3.49,+23.301, +6.412,+0.981
1523407320,+3.49,+23.209, +5.844,+0.983
1523408220,+3.49,+22.799, +4.244,+0.983
1523409120,+3.49,+23.184, +5.505,+0.983
1523410020,+3.49,+23.251, +5.779,+0.983
1523410920,+3.49,+23.067, +5.530,+0.984
1523411820,+3.49,+22.966, +4.802,+0.984
1523412720,+3.49,+23.017, +4.665,+0.985
1523413620,+3.49,+22.908, +3.762,+0.985
1523414520,+3.49,+22.808, +3.356,+0.985
1523415420,+3.49,+23.042, +3.997,+0.985
1523416320,+3.49,+23.134, +4.194,+0.984
1523417220,+3.49,+23.134, +4.053,+0.985
1523418120,+3.49,+23.284, +4.591,+0.983
1523419020,+3.49,+23.209, +4.624,+0.984
1523419920,+3.49,+23.334, +5.042,+0.984
1523420820,+3.49,+23.385, +4.745,+0.985
1523421720,+3.49,+23.452, +4.859,+0.984
1523422620,+3.49,+23.435, +4.553,+0.984
1523423520,+3.49,+23.008, +3.969,+0.984
1523424420,+3.49,+22.908, +3.896,+0.984
1523425320,+3.49,+22.875, +3.939,+0.985
1523426220,+3.49,+23.242, +3.640,+0.985
1523427120,+3.49,+23.343, +3.769,+0.985
1523428020,+3.49,+23.518, +4.351,+0.984
1523428920,+3.49,+23.368, +3.246,+0.986
1523429820,+3.49,+23.368, +4.087,+0.984
1523430720,+3.49,+23.326, +4.220,+0.985
1523431620,+3.49,+23.000, +3.153,+0.986
1523432520,+3.49,+23.033, +2.874,+0.985
1523433420,+3.49,+23.084, +4.083,+0.986
1523434320,+3.49,+22.891, +2.438,+0.986
1523435220,+3.49,+22.933, +4.279,+0.985
1523436120,+3.49,+22.783, +2.298,+0.985
1523437020,+3.49,+22.649, +2.361,+0.986
1523437920,+3.49,+22.599, +2.508,+0.985
1523438820,+3.49,+22.557, +2.374,+0.986
1523439720,+3.49,+22.641, +2.556,+0.986
1523440620,+3.49,+22.649, +1.377,+0.984
1523441520,+3.49,+22.666, +1.000,+0.980
1523442420,+3.49,+22.682, +1.502,+0.984
1523443320,+3.49,+22.766, +0.056,+0.961
1523444220,+3.49,+22.791, +0.095,+0.961
1523445120,+3.49,+22.824, +0.049,+0.960
1523446020,+3.49,+22.741, +0.463,+0.967
1523446920,+3.49,+22.699, +0.138,+0.963
1523447820,+3.49,+22.791, +0.049,+0.961
1523448720,+3.49,+22.833, +0.102,+0.962
1523449620,+3.49,+22.666, +0.428,+0.967
1523450520,+3.49,+22.465, +0.687,+0.974
1523451420,+3.49,+22.582, +0.105,+0.962
1523452320,+3.49,+22.189, +1.193,+0.981
1523453220,+3.49,+22.373, +1.078,+0.982
1523454120,+3.49,+22.198, +1.609,+0.985
1523455020,+3.49,+22.231, +1.440,+0.984
1523455920,+3.49,+22.381, +0.099,+0.962
1523456820,+3.49,+22.632, +1.811,+0.985
1523457720,+3.49,+22.457, +1.876,+0.986
1523458620,+3.49,+22.407, +1.257,+0.982
1523459520,+3.49,+22.457, +0.618,+0.975
1523460420,+3.49,+22.465, +1.148,+0.982
1523461320,+3.49,+22.448, +0.891,+0.979
1523462220,+3.49,+22.373, +0.491,+0.971
1523463120,+3.49,+22.056, +0.808,+0.978
1523464020,+3.49,+22.122, +1.060,+0.981
1523464920,+3.49,+22.106, +1.908,+0.985
1523465820,+3.49,+21.897, +3.100,+0.986
1523466720,+3.49,+20.936, +5.623,+0.983
1523467620,+3.49,+21.178, +5.688,+0.983
1523468520,+3.49,+21.312, +5.265,+0.983
1523469420,+3.49,+20.903, +4.106,+0.985
1523470320,+3.49,+20.978, +4.208,+0.984
1523471220,+3.49,+21.162, +3.501,+0.986
1523472120,+3.49,+21.195, +2.826,+0.986
1523473020,+3.49,+21.245, +2.054,+0.983
1523473920,+3.49,+21.437, +0.081,+0.962
1523474820,+3.49,+21.747, +2.170,+0.986
1523475720,+3.49,+22.507, +5.861,+0.984
1523476620,+3.49,+22.849, +6.456,+0.983
1523477520,+3.49,+22.824, +5.714,+0.982
