7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1524251520,+3.47,+19.053, +5.511,+0.984
1524252420,+3.47,+19.061, +5.381,+0.984
1524253320,+3.47,+18.784, +6.876,+0.981
1524254220,+3.47,+18.734, +6.674,+0.982
1524255120,+3.47,+18.708, +7.130,+0.981
1524256020,+3.47,+19.840, +7.913,+0.983
1524256920,+3.47,+20.535, +8.296,+0.980
1524257820,+3.47,+20.685, +8.461,+0.981
1524258720,+3.47,+20.727, +8.586,+0.983
1524259620,+3.47,+20.836, +8.453,+0.981
1524260520,+3.47,+21.145, +8.668,+0.981
1524261420,+3.47,+21.220, +8.927,+0.982
1524262320,+3.47,+21.270, +8.902,+0.982
1524263220,+3.47,+21.346, +8.463,+0.981
1524264120,+3.47,+21.287, +8.433,+0.981
1524265020,+3.47,+21.362, +7.934,+0.981
1524265920,+3.47,+21.229, +7.911,+0.981
1524266820,+3.47,+21.045, +7.746,+0.981
1524267720,+3.47,+20.619, +7.303,+0.979
1524268620,+3.47,+20.376, +7.799,+0.981
1524269520,+3.47,+20.802, +7.568,+0.981
1524270420,+3.47,+21.204, +6.755,+0.980
1524271320,+3.47,+21.463, +6.087,+0.981
1524272220,+3.47,+21.630, +7.337,+0.981
1524273120,+3.47,+21.830, +7.096,+0.984
1524274020,+3.47,+21.922, +8.288,+0.982
1524274920,+3.48,+21.989, +8.640,+0.981
1524275820,+3.47,+21.997, +8.595,+0.980
1524276720,+3.47,+21.989, +8.710,+0.982
1524277620,+3.47,+22.022, +8.471,+0.981
1524278520,+3.48,+22.089, +8.080,+0.983
1524279420,+3.47,+22.122, +8.729,+0.981
1524280320,+3.48,+22.156, +7.954,+0.982
1524281220,+3.48,+22.148, +7.218,+0.982
1524282120,+3.48,+22.106, +6.462,+0.982
1524283020,+3.48,+22.089, +5.964,+0.982
1524283920,+3.48,+22.114, +5.563,+0.981
1524284820,+3.47,+22.031, +6.930,+0.982
1524285720,+3.48,+22.064, +7.187,+0.982
1524286620,+3.48,+22.056, +7.850,+0.981
1524287520,+3.48,+22.081, +7.156,+0.981
1524288420,+3.48,+22.031, +7.346,+0.981
1524289320,+3.48,+22.106, +7.956,+0.981
1524290220,+3.48,+22.081, +7.637,+0.981
1524291120,+3.48,+22.148, +7.931,+0.982
1524292020,+3.48,+22.097, +8.204,+0.981
1524292920,+3.48,+22.122, +7.582,+0.982
1524293820,+3.48,+22.097, +7.173,+0.981
1524294720,+3.48,+22.089, +6.702,+0.982
1524295620,+3.48,+22.106, +5.861,+0.983
1524296520,+3.48,+22.089, +5.290,+0.983
1524297420,+3.48,+22.056, +6.252,+0.982
1524298320,+3.48,+21.989, +6.194,+0.982
1524299220,+3.48,+21.880, +8.325,+0.981
1524300120,+3.48,+21.813, +8.751,+0.982
1524301020,+3.48,+21.721, +7.791,+0.981
1524301920,+3.48,+21.446, +8.509,+0.981
1524302820,+3.48,+20.827, +8.755,+0.982
1524303720,+3.48,+20.652, +8.631,+0.981
1524304620,+3.48,+20.443, +8.693,+0.982
1524305520,+3.48,+20.376, +8.225,+0.982
1524306420,+3.48,+20.685, +7.508,+0.984
1524307320,+3.48,+20.827, +6.771,+0.984
1524308220,+3.48,+20.719, +6.063,+0.983
1524309120,+3.48,+20.610, +5.445,+0.983
1524310020,+3.48,+20.468, +5.202,+0.984
1524310920,+3.48,+20.133, +6.817,+0.981
1524311820,+3.48,+19.983, +7.065,+0.981
1524312720,+3.48,+19.849, +7.130,+0.982
1524313620,+3.48,+19.799, +6.550,+0.983
1524314520,+3.48,+19.572, +6.979,+0.981
1524315420,+3.48,+19.522, +6.806,+0.982
1524316320,+3.48,+19.464, +7.067,+0.981
1524317220,+3.48,+19.639, +6.384,+0.982
1524318120,+3.48,+19.773, +5.669,+0.983
1524319020,+3.48,+19.866, +4.974,+0.984
1524319920,+3.48,+19.949, +4.351,+0.985
1524320820,+3.48,+20.092, +3.853,+0.986
1524321720,+3.48,+20.108, +3.441,+0.986
1524322620,+3.48,+20.133, +3.015,+0.986
1524323520,+3.48,+20.142, +2.531,+0.987
1524324420,+3.48,+20.117, +2.089,+0.986
1524325320,+3.48,+20.025, +1.669,+0.985
1524326220,+3.48,+19.598, +2.075,+0.986
1524327120,+3.48,+19.329, +2.322,+0.986
1524328020,+3.48,+18.750, +5.715,+0.982
1524328920,+3.48,+18.498, +6.326,+0.982
1524329820,+3.48,+18.490, +5.686,+0.983
1524330720,+3.48,+18.540, +6.330,+0.983
1524331620,+3.48,+18.918, +7.335,+0.982
1524332520,+3.48,+19.396, +7.882,+0.982
1524333420,+3.48,+19.572, +8.164,+0.982
1524334320,+3.48,+19.824, +8.173,+0.981
1524335220,+3.48,+19.933, +7.927,+0.980
1524336120,+3.48,+20.125, +8.421,+0.982
1524337020,+3.48,+20.334, +8.268,+0.982
1524337920,+3.48,+20.543, +8.427,+0.982
