sample_period,date_time,surface_pressure,air_temp1,salinity,sal_temp2,depth_pressure,depth_temp,level_m
1,03/01/18 11:00:00 AM,766.62,14.517,21.9948,13.19,916.01,16.808,2.0309720283787556
1,03/01/18 11:15:00 AM,766.32,14.421,22.0687,13.27,915.88,16.808,2.0332831954235666
1,03/01/18 11:30:00 AM,766.14,14.517,22.1234,13.38,915.63,16.808,2.0323315384051157
1,03/01/18 11:45:00 AM,766.14,14.709,22.2091,13.57,915.38,16.808,2.0289327633392165
1,03/01/18 12:00:00 PM,766.07,14.804,22.2707,13.69,915.38,16.808,2.0298844203576674
1,03/01/18 12:15:00 PM,765.88,15.091,22.1621,13.78,915.14,16.808,2.0292046653444884
1,03/01/18 12:30:00 PM,765.77,14.9,22.2561,13.9,915.14,16.808,2.030700126373484
1,03/01/18 12:45:00 PM,765.6,14.613,22.4816,14.16,915.01,16.808,2.0312439303840275
1,03/01/18 01:00:00 PM,765.38,14.421,22.5294,14.22,914.76,16.808,2.03083607737612
1,03/01/18 01:15:00 PM,765.26,14.421,22.5047,14.18,914.51,16.808,2.0290687143418524
1,03/01/18 01:30:00 PM,765.09,14.325,22.5376,14.25,914.64,16.808,2.0331472444209306
1,03/01/18 01:45:00 PM,765.08,14.517,22.5508,14.31,914.39,16.808,2.0298844203576674
1,03/01/18 02:00:00 PM,764.79,14.421,22.6618,14.46,914.39,16.808,2.033826999434112
1,03/01/18 02:15:00 PM,764.79,14.23,22.6884,14.56,914.27,16.808,2.0321955874024797
1,03/01/18 02:30:00 PM,764.74,14.134,22.695,14.54,914.27,16.808,2.032875342415659
1,03/01/18 02:45:00 PM,764.63,13.942,22.5971,14.37,914.15,16.808,2.032739391413023
1,03/01/18 03:00:00 PM,764.64,13.75,22.622,14.5,914.02,16.808,2.03083607737612
1,03/01/18 03:15:00 PM,764.52,13.558,22.7434,14.61,918.11,16.808,2.088071449485864
1,03/01/18 03:30:00 PM,764.35,13.461,22.6137,14.55,918.11,16.808,2.090382616530675
1,03/01/18 03:45:00 PM,764.23,13.461,22.6767,14.54,917.75,16.808,2.087119792467411
1,03/01/18 04:00:00 PM,764.17,13.365,22.7367,14.63,917.87,16.808,2.0895669105148595
1,03/01/18 04:15:00 PM,764.24,13.269,22.6236,14.73,917.87,16.808,2.0886152534964073
1,03/01/18 04:30:00 PM,764,13.269,22.8287,14.9,917.75,16.808,2.090246665528039
1,03/01/18 04:45:00 PM,764.19,12.98,22.8657,14.92,917.87,16.808,2.0892950085095863
1,03/01/18 05:00:00 PM,764.19,12.787,23.0312,15.31,917.87,16.808,2.0892950085095863
1,03/01/18 05:15:00 PM,764.19,12.594,23.055,15.36,917.87,16.808,2.0892950085095863
1,03/01/18 05:30:00 PM,764.07,12.401,22.9448,15.12,917.75,16.808,2.0892950085095863
