7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1520364360,+3.46,+15.497,+12.183,+0.965
1520365260,+3.46,+15.702,+12.144,+0.964
1520366160,+3.46,+15.976,+12.118,+0.965
1520367060,+3.46,+16.155,+12.098,+0.964
1520367960,+3.46,+16.308,+12.116,+0.965
1520368860,+3.46,+16.444,+12.124,+0.965
1520369760,+3.46,+16.546,+12.139,+0.964
1520370660,+3.46,+16.674,+12.158,+0.964
1520371560,+3.46,+16.877,+12.130,+0.962
1520372460,+3.46,+17.038,+12.178,+0.965
1520373360,+3.46,+17.233,+12.165,+0.964
1520374260,+3.46,+17.470,+12.199,+0.965
1520375160,+3.46,+17.529,+12.207,+0.964
1520376060,+3.46,+17.622,+12.275,+0.964
1520376960,+3.46,+17.698,+12.319,+0.965
1520377860,+3.46,+17.681,+12.360,+0.964
1520378760,+3.46,+17.858,+12.431,+0.967
1520379660,+3.46,+17.808,+12.449,+0.963
1520380560,+3.46,+17.850,+12.490,+0.964
1520381460,+3.46,+17.850,+12.554,+0.964
1520382360,+3.46,+17.884,+12.598,+0.965
1520383260,+3.46,+18.018,+12.607,+0.966
1520384160,+3.46,+17.943,+12.658,+0.965
1520385060,+3.46,+17.959,+12.675,+0.964
1520385960,+3.46,+17.867,+12.734,+0.964
1520386860,+3.46,+17.858,+12.753,+0.964
1520387760,+3.46,+17.799,+12.788,+0.963
1520388660,+3.46,+17.782,+12.824,+0.963
1520389560,+3.46,+17.774,+12.852,+0.962
1520390460,+3.46,+17.715,+12.893,+0.963
1520391360,+3.46,+17.715,+12.943,+0.964
1520392260,+3.46,+17.689,+12.959,+0.963
1520393160,+3.46,+17.698,+12.981,+0.964
1520394060,+3.46,+17.757,+12.977,+0.964
1520394960,+3.46,+17.698,+13.024,+0.965
1520395860,+3.46,+17.757,+12.981,+0.962
1520396760,+3.46,+17.647,+13.098,+0.964
1520397660,+3.46,+17.512,+13.137,+0.963
1520398560,+3.46,+17.436,+13.205,+0.963
1520399460,+3.47,+17.419,+13.257,+0.965
1520400360,+3.46,+17.335,+13.249,+0.963
1520401260,+3.47,+17.191,+13.361,+0.964
1520402160,+3.47,+17.165,+13.372,+0.964
1520403060,+3.47,+17.115,+13.393,+0.964
1520403960,+3.47,+17.055,+13.431,+0.964
1520404860,+3.47,+16.911,+13.509,+0.965
1520405760,+3.46,+17.089,+13.415,+0.962
1520406660,+3.47,+16.971,+13.536,+0.964
1520407560,+3.47,+16.809,+13.638,+0.964
1520408460,+3.46,+16.674,+13.681,+0.963
1520409360,+3.47,+16.792,+13.722,+0.966
1520410260,+3.47,+16.903,+13.696,+0.965
1520411160,+3.46,+16.767,+13.759,+0.964
1520412060,+3.46,+16.606,+13.861,+0.964
1520412960,+3.46,+16.572,+13.833,+0.963
1520413860,+3.47,+16.427,+13.917,+0.963
1520414760,+3.46,+16.325,+14.050,+0.966
1520415660,+3.46,+16.265,+14.062,+0.964
1520416560,+3.47,+16.257,+14.128,+0.966
1520417460,+3.46,+16.197,+14.167,+0.965
1520418360,+3.47,+16.138,+14.198,+0.965
1520419260,+3.46,+16.061,+14.209,+0.964
1520420160,+3.46,+15.976,+14.238,+0.964
1520421060,+3.46,+15.950,+14.284,+0.965
1520421960,+3.47,+15.907,+14.280,+0.965
1520422860,+3.46,+15.865,+14.279,+0.964
1520423760,+3.46,+15.813,+14.284,+0.965
1520424660,+3.46,+15.702,+14.306,+0.964
1520425560,+3.46,+15.668,+14.268,+0.963
1520426460,+3.46,+15.642,+14.285,+0.965
1520427360,+3.46,+15.574,+14.275,+0.964
1520428260,+3.46,+15.488,+14.239,+0.964
1520429160,+3.46,+15.462,+14.238,+0.965
1520430060,+3.47,+15.420,+14.203,+0.964
1520430960,+3.46,+15.377,+14.224,+0.966
1520431860,+3.46,+15.394,+14.186,+0.965
1520432760,+3.46,+15.394,+14.170,+0.965
1520433660,+3.46,+15.342,+14.140,+0.964
1520434560,+3.46,+15.197,+14.203,+0.966
1520435460,+3.46,+15.162,+14.157,+0.964
1520436360,+3.46,+15.214,+14.169,+0.966
1520437260,+3.46,+14.990,+14.198,+0.965
1520438160,+3.46,+14.973,+14.166,+0.965
1520439060,+3.46,+14.861,+14.176,+0.966
1520439960,+3.46,+14.913,+14.111,+0.965
1520440860,+3.46,+14.964,+14.067,+0.966
1520441760,+3.46,+14.689,+14.096,+0.964
1520442660,+3.46,+14.663,+14.050,+0.965
1520443560,+3.46,+14.758,+13.947,+0.964
1520444460,+3.46,+14.758,+13.900,+0.964
1520445360,+3.46,+14.766,+13.864,+0.964
1520446260,+3.46,+14.852,+13.818,+0.964
1520447160,+3.46,+15.016,+13.747,+0.965
1520448060,+3.46,+15.050,+13.698,+0.964
1520448960,+3.46,+15.214,+13.670,+0.966
1520449860,+3.46,+15.394,+13.575,+0.965
1520450760,+3.46,+15.505,+13.598,+0.967
