7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1522715340,+3.47,+17.394,+13.306,+0.943
1522716240,+3.47,+17.461,+13.952,+0.942
1522717140,+3.47,+17.588,+15.323,+0.946
1522718040,+3.47,+17.656,+14.679,+0.947
1522718940,+3.47,+17.630,+14.952,+0.951
1522719840,+3.47,+17.622,+15.025,+0.951
1522720740,+3.47,+17.639,+13.311,+0.954
1522721640,+3.47,+17.605,+11.247,+0.961
1522722540,+3.47,+17.622,+11.596,+0.959
1522723440,+3.47,+17.445,+11.254,+0.959
1522724340,+3.47,+17.394,+10.123,+0.960
1522725240,+3.47,+17.402,+10.637,+0.960
1522726140,+3.47,+17.343,+11.122,+0.960
1522727040,+3.47,+17.335,+10.793,+0.961
1522727940,+3.47,+17.428,+12.610,+0.960
1522728840,+3.47,+17.461,+14.234,+0.957
1522729740,+3.47,+17.512,+13.612,+0.958
1522730640,+3.47,+17.487,+13.325,+0.960
1522731540,+3.47,+17.521,+12.537,+0.961
1522732440,+3.47,+17.554,+13.137,+0.960
1522733340,+3.47,+17.571,+12.989,+0.961
1522734240,+3.47,+17.588,+13.317,+0.961
1522735140,+3.47,+17.554,+13.544,+0.962
1522736040,+3.47,+17.529,+12.492,+0.960
1522736940,+3.47,+17.554,+13.794,+0.959
1522737840,+3.47,+17.546,+13.706,+0.958
1522738740,+3.47,+17.495,+13.247,+0.960
1522739640,+3.47,+17.326,+12.054,+0.960
1522740540,+3.47,+17.199, +9.687,+0.960
1522741440,+3.47,+17.047, +8.603,+0.961
1522742340,+3.47,+17.081, +9.359,+0.963
1522743240,+3.47,+16.920,+10.249,+0.959
1522744140,+3.47,+16.767, +8.965,+0.959
1522745040,+3.47,+16.784, +7.863,+0.957
1522745940,+3.47,+16.792, +8.404,+0.960
1522746840,+3.47,+16.877, +8.493,+0.959
1522747740,+3.47,+16.843, +9.236,+0.961
1522748640,+3.47,+16.979, +9.491,+0.960
1522749540,+3.47,+17.004, +9.751,+0.961
1522750440,+3.47,+16.920, +8.389,+0.962
1522751340,+3.47,+16.894, +8.340,+0.963
1522752240,+3.47,+16.877, +7.009,+0.960
1522753140,+3.47,+16.911, +7.356,+0.962
1522754040,+3.47,+16.886, +7.674,+0.963
1522754940,+3.47,+16.886, +7.283,+0.962
1522755840,+3.47,+16.860, +6.871,+0.962
1522756740,+3.47,+16.860, +6.574,+0.962
1522757640,+3.47,+16.835, +6.103,+0.962
1522758540,+3.47,+16.852, +5.948,+0.962
1522759440,+3.47,+16.894, +5.795,+0.962
1522760340,+3.47,+16.920, +5.727,+0.963
1522761240,+3.47,+16.903, +5.711,+0.963
1522762140,+3.47,+16.903, +5.849,+0.963
1522763040,+3.47,+16.860, +5.581,+0.963
1522763940,+3.47,+16.877, +5.463,+0.963
1522764840,+3.47,+16.852, +5.178,+0.964
1522765740,+3.47,+16.894, +5.607,+0.965
1522766640,+3.47,+16.877, +5.429,+0.963
1522767540,+3.47,+16.852, +5.278,+0.964
1522768440,+3.47,+16.860, +5.526,+0.964
1522769340,+3.47,+16.818, +5.286,+0.964
1522770240,+3.47,+16.818, +5.462,+0.964
1522771140,+3.47,+16.809, +5.574,+0.965
1522772040,+3.47,+16.826, +5.397,+0.964
1522772940,+3.47,+16.843, +5.669,+0.964
1522773840,+3.47,+16.903, +5.699,+0.964
1522774740,+3.47,+16.894, +6.652,+0.962
1522775640,+3.47,+16.945, +7.466,+0.960
1522776540,+3.47,+16.996, +6.486,+0.964
1522777440,+3.47,+17.098, +7.184,+0.962
1522778340,+3.47,+16.937, +7.393,+0.961
1522779240,+3.47,+16.903, +5.571,+0.963
1522780140,+3.47,+16.937, +6.767,+0.960
1522781040,+3.47,+17.004, +5.619,+0.962
1522781940,+3.47,+16.877, +6.053,+0.961
1522782840,+3.47,+16.699, +6.527,+0.962
1522783740,+3.47,+16.784, +5.211,+0.963
1522784640,+3.47,+16.869, +6.596,+0.961
1522785540,+3.47,+16.911, +7.969,+0.957
1522786440,+3.47,+17.047, +8.317,+0.957
1522787340,+3.47,+17.182, +6.631,+0.959
1522788240,+3.47,+17.267, +6.037,+0.958
1522789140,+3.47,+17.394, +6.709,+0.955
1522790040,+3.47,+17.487, +8.408,+0.954
1522790940,+3.47,+17.605,+10.914,+0.949
1522791840,+3.47,+17.740,+12.319,+0.945
1522792740,+3.47,+17.808,+13.048,+0.946
1522793640,+3.47,+17.976,+12.707,+0.949
1522794540,+3.47,+17.968,+12.231,+0.947
1522795440,+3.47,+17.926,+11.159,+0.953
1522796340,+3.47,+18.221,+10.453,+0.954
1522797240,+3.47,+18.187,+10.968,+0.952
1522798140,+3.47,+18.574,+12.355,+0.951
1522799040,+3.47,+19.455,+17.454,+0.945
1522799940,+3.47,+19.296,+15.306,+0.947
1522800840,+3.47,+19.413,+14.105,+0.953
1522801740,+3.47,+18.927,+14.258,+0.951
