Plot Title: 20036649 Audubon 01,,,
#,"Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)"
1,04/05/18 14:00,23.0193,20.69
2,04/05/18 14:15,22.6917,20.92
3,04/05/18 14:30,22.6917,21.07
4,04/05/18 14:45,22.6917,21.77
5,04/05/18 15:00,22.6917,22.6
6,04/05/18 15:15,22.6917,22.89
7,04/05/18 15:30,22.6917,23.06
8,04/05/18 15:45,22.6917,23.1
9,04/05/18 16:00,22.6917,23.11
10,04/05/18 16:15,22.6917,22.83
11,04/05/18 16:30,22.6917,22.91
12,04/05/18 16:45,22.6917,23.05
13,04/05/18 17:00,22.6917,22.84
14,04/05/18 17:15,22.6917,22.59
15,04/05/18 17:30,22.6917,22.63
16,04/05/18 17:45,22.6917,22.45
17,04/05/18 18:00,22.6917,22.45
18,04/05/18 18:15,22.6917,22.39
19,04/05/18 18:30,22.6917,22.37
20,04/05/18 18:45,22.6917,22.24
21,04/05/18 19:00,22.6917,22.41
22,04/05/18 19:15,22.6917,22.41
23,04/05/18 19:30,22.6917,22.43
24,04/05/18 19:45,22.6917,22.48
25,04/05/18 20:00,22.6917,22.6
26,04/05/18 20:15,22.6917,22.67
27,04/05/18 20:30,22.6917,22.68
28,04/05/18 20:45,22.6917,22.63
29,04/05/18 21:00,22.6917,22.64
30,04/05/18 21:15,22.6917,22.67
31,04/05/18 21:30,22.6917,22.65
32,04/05/18 21:45,22.6917,22.63
33,04/05/18 22:00,22.6917,22.6
34,04/05/18 22:15,22.6917,22.6
35,04/05/18 22:30,22.6917,22.64
36,04/05/18 22:45,22.6917,22.65
37,04/05/18 23:00,22.6917,22.59
38,04/05/18 23:15,22.6917,22.61
39,04/05/18 23:30,22.6917,22.58
40,04/05/18 23:45,22.6917,22.48
41,04/06/18 0:00,22.6917,22.21
42,04/06/18 0:15,22.6917,22.04
43,04/06/18 0:30,22.6917,22.09
44,04/06/18 0:45,22.6917,22
45,04/06/18 1:00,22.6917,21.93
46,04/06/18 1:15,22.6917,21.98
47,04/06/18 1:30,22.6917,22.05
48,04/06/18 1:45,22.6917,22.27
49,04/06/18 2:00,22.6917,22.46
50,04/06/18 2:15,22.6917,22.5
51,04/06/18 2:30,22.6917,22.51
52,04/06/18 2:45,22.6917,22.46
53,04/06/18 3:00,22.6917,22.41
54,04/06/18 3:15,22.6917,22.34
55,04/06/18 3:30,22.6917,22.35
56,04/06/18 3:45,22.6917,22.39
57,04/06/18 4:00,22.6917,22.37
58,04/06/18 4:15,22.6917,22.39
59,04/06/18 4:30,22.6917,22.41
60,04/06/18 4:45,22.6917,22.24
61,04/06/18 5:00,22.6917,22.22
62,04/06/18 5:15,22.6917,22.11
63,04/06/18 5:30,22.6917,22.06
64,04/06/18 5:45,22.6917,22.15
65,04/06/18 6:00,22.6917,21.84
66,04/06/18 6:15,22.6917,22.03
67,04/06/18 6:30,22.6917,22.03
68,04/06/18 6:45,22.6917,21.92
69,04/06/18 7:00,22.6917,21.98
70,04/06/18 7:15,22.6917,21.56
71,04/06/18 7:30,22.6917,21.62
72,04/06/18 7:45,22.6917,21.56
73,04/06/18 8:00,22.6917,21.52
74,04/06/18 8:15,22.6917,21.51
75,04/06/18 8:30,22.6917,21.02
76,04/06/18 8:45,22.6917,21.13
77,04/06/18 9:00,22.6917,21.29
78,04/06/18 9:15,22.6917,21.15
79,04/06/18 9:30,22.6917,21.05
80,04/06/18 9:45,22.6917,20.86
81,04/06/18 10:00,22.6917,20.43
82,04/06/18 10:15,22.6917,20.69
83,04/06/18 10:30,22.6917,21.05
84,04/06/18 10:45,22.6917,20.72
85,04/06/18 11:00,22.6917,20.25
86,04/06/18 11:15,22.6917,20.39
87,04/06/18 11:30,22.6917,20.7
88,04/06/18 11:45,22.6917,20.95
89,04/06/18 12:00,22.6917,20.96
90,04/06/18 12:15,22.6917,21.29
91,04/06/18 12:30,22.6917,21.21
92,04/06/18 12:45,22.6917,21.5
93,04/06/18 13:00,22.6917,22.5
94,04/06/18 13:15,22.6917,22.54
95,04/06/18 13:30,22.6917,22.69
96,04/06/18 13:45,22.6917,22.63
97,04/06/18 14:00,22.6917,22.98
98,04/06/18 14:15,22.6917,22.97
99,04/06/18 14:30,22.6917,22.88
100,04/06/18 14:45,22.6917,22.83
101,04/06/18 15:00,22.6917,23.06
102,04/06/18 15:15,22.6917,23.05
103,04/06/18 15:30,22.6917,23.14
104,04/06/18 15:45,22.6917,23.04
105,04/06/18 16:00,22.6917,22.81
106,04/06/18 16:15,22.6917,22.75
107,04/06/18 16:30,22.6917,23.05
108,04/06/18 16:45,22.6917,23.02
109,04/06/18 17:00,22.6917,22.88
110,04/06/18 17:15,22.6917,22.98
111,04/06/18 17:30,22.6917,23.02
112,04/06/18 17:45,22.6917,22.88
113,04/06/18 18:00,22.6917,22.89
114,04/06/18 18:15,22.6917,22.94
115,04/06/18 18:30,22.6917,22.8
116,04/06/18 18:45,22.6917,22.68
117,04/06/18 19:00,22.6917,22.67
118,04/06/18 19:15,22.6917,22.58
119,04/06/18 19:30,22.6917,22.52
120,04/06/18 19:45,22.6917,22.39
121,04/06/18 20:00,22.6917,22.27
122,04/06/18 20:15,22.6917,22.19
123,04/06/18 20:30,22.6917,22.01
124,04/06/18 20:45,22.6917,21.92
125,04/06/18 21:00,22.6917,21.76
126,04/06/18 21:15,22.6917,21.53
127,04/06/18 21:30,22.6917,21.43
128,04/06/18 21:45,22.6917,21.25
129,04/06/18 22:00,22.6917,21.1
130,04/06/18 22:15,22.6917,21
131,04/06/18 22:30,22.6917,20.91
132,04/06/18 22:45,22.6917,20.9
133,04/06/18 23:00,22.6917,20.93
134,04/06/18 23:15,22.6917,20.84
135,04/06/18 23:30,22.6917,20.61
136,04/06/18 23:45,22.6917,20.45
137,04/07/18 0:00,22.6917,20.33
138,04/07/18 0:15,22.6917,20.23
139,04/07/18 0:30,22.6917,20.09
140,04/07/18 0:45,22.6917,19.97
141,04/07/18 1:00,22.6917,19.98
142,04/07/18 1:15,22.6917,19.77
143,04/07/18 1:30,22.6917,19.7
144,04/07/18 1:45,22.6917,19.67
145,04/07/18 2:00,22.6917,19.6
146,04/07/18 2:15,22.6917,19.73
147,04/07/18 2:30,22.6917,20.11
148,04/07/18 2:45,22.6917,20.39
149,04/07/18 3:00,22.6917,20.38
150,04/07/18 3:15,22.6917,20.2
151,04/07/18 3:30,22.6917,20.08
152,04/07/18 3:45,22.6917,19.77
153,04/07/18 4:00,22.6917,19.63
154,04/07/18 4:15,22.6917,19.56
155,04/07/18 4:30,22.6917,19.35
156,04/07/18 4:45,22.6917,19.27
157,04/07/18 5:00,22.6917,19.25
158,04/07/18 5:15,22.6917,19.17
159,04/07/18 5:30,22.6917,19.17
160,04/07/18 5:45,22.6917,19.17
161,04/07/18 6:00,22.6917,19.17
162,04/07/18 6:15,22.6917,19.17
163,04/07/18 6:30,22.6917,19.19
164,04/07/18 6:45,22.6917,19.23
165,04/07/18 7:00,22.6917,19.25
166,04/07/18 7:15,22.6917,19.3
167,04/07/18 7:30,22.6917,19.41
168,04/07/18 7:45,22.6917,19.41
169,04/07/18 8:00,22.6917,19.34
170,04/07/18 8:15,22.6917,19.34
171,04/07/18 8:30,22.6917,19.29
172,04/07/18 8:45,22.6917,19.29
173,04/07/18 9:00,22.6917,19.38
174,04/07/18 9:15,22.6917,18.72
175,04/07/18 9:30,22.6917,18.55
176,04/07/18 9:45,22.6917,18.68
177,04/07/18 10:00,22.6917,18.87
178,04/07/18 10:15,22.6917,18.83
179,04/07/18 10:30,22.6917,18.89
180,04/07/18 10:45,22.6917,18.92
181,04/07/18 11:00,22.6917,18.99
182,04/07/18 11:15,22.6917,19.19
183,04/07/18 11:30,22.6917,19.6
184,04/07/18 11:45,22.6917,19.89
185,04/07/18 12:00,22.6917,20.3
186,04/07/18 12:15,22.6917,20.35
187,04/07/18 12:30,22.6917,20.57
188,04/07/18 12:45,22.6917,20.55
189,04/07/18 13:00,22.6917,20.94
190,04/07/18 13:15,22.6917,21.05
191,04/07/18 13:30,22.6917,21.22
192,04/07/18 13:45,22.6917,21.61
193,04/07/18 14:00,22.6917,21.26
194,04/07/18 14:15,22.6917,22
195,04/07/18 14:30,22.6917,22.33
196,04/07/18 14:45,22.6917,22.44
197,04/07/18 15:00,22.6917,22.58
198,04/07/18 15:15,22.6917,22.59
199,04/07/18 15:30,22.6917,22.39
200,04/07/18 15:45,22.6917,22.52
201,04/07/18 16:00,22.6917,22.67
202,04/07/18 16:15,22.6917,22.73
203,04/07/18 16:30,22.6917,22.78
204,04/07/18 16:45,22.6917,22.86
205,04/07/18 17:00,22.6917,22.88
206,04/07/18 17:15,22.6917,22.99
207,04/07/18 17:30,22.6917,22.97
208,04/07/18 17:45,22.6917,22.99
209,04/07/18 18:00,22.6917,23.01
210,04/07/18 18:15,22.6917,23.04
211,04/07/18 18:30,22.6917,23.16
212,04/07/18 18:45,22.6917,23.11
213,04/07/18 19:00,22.6917,22.99
214,04/07/18 19:15,22.6917,22.81
215,04/07/18 19:30,22.6917,22.68
216,04/07/18 19:45,22.6917,22.52
217,04/07/18 20:00,22.6917,22.34
218,04/07/18 20:15,22.6917,22.22
219,04/07/18 20:30,22.6917,22.11
220,04/07/18 20:45,22.6917,22
221,04/07/18 21:00,22.6917,21.75
222,04/07/18 21:15,22.6917,21.52
223,04/07/18 21:30,22.6917,21.26
224,04/07/18 21:45,22.6917,21.21
225,04/07/18 22:00,22.6917,21.06
226,04/07/18 22:15,22.6917,20.96
227,04/07/18 22:30,22.6917,20.86
228,04/07/18 22:45,22.6917,21.26
229,04/07/18 23:00,22.6917,20.99
230,04/07/18 23:15,22.6917,21.2
231,04/07/18 23:30,22.6917,21.1
232,04/07/18 23:45,22.6917,20.7
233,04/08/18 0:00,22.6917,20.84
234,04/08/18 0:15,22.6917,21.02
235,04/08/18 0:30,22.6917,20.69
236,04/08/18 0:45,22.6917,20.54
237,04/08/18 1:00,22.6917,20.56
238,04/08/18 1:15,22.6917,20.23
239,04/08/18 1:30,22.6917,19.9
240,04/08/18 1:45,22.6917,19.93
241,04/08/18 2:00,22.6917,19.93
242,04/08/18 2:15,22.6917,19.9
243,04/08/18 2:30,22.6917,19.92
244,04/08/18 2:45,22.6917,19.92
245,04/08/18 3:00,22.6917,19.9
246,04/08/18 3:15,22.6917,19.89
247,04/08/18 3:30,22.6917,19.87
248,04/08/18 3:45,22.6917,19.89
249,04/08/18 4:00,22.6917,19.88
250,04/08/18 4:15,22.6917,19.92
251,04/08/18 4:30,22.6917,19.9
