7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1523565720,+3.48,+19.111, +6.238,+0.983
1523566620,+3.48,+19.254, +6.355,+0.982
1523567520,+3.48,+19.505, +5.629,+0.982
1523568420,+3.48,+20.000, +5.848,+0.983
1523569320,+3.48,+19.882, +6.859,+0.983
1523570220,+3.48,+20.351, +5.807,+0.983
1523571120,+3.48,+20.769, +6.611,+0.983
1523572020,+3.48,+21.170, +6.006,+0.983
1523572920,+3.48,+21.178, +6.279,+0.983
1523573820,+3.48,+21.588, +6.923,+0.983
1523574720,+3.48,+21.830, +6.760,+0.983
1523575620,+3.48,+21.847, +6.508,+0.982
1523576520,+3.48,+21.972, +6.860,+0.982
1523577420,+3.48,+22.164, +7.401,+0.982
1523578320,+3.48,+22.239, +7.717,+0.981
1523579220,+3.48,+22.173, +7.741,+0.982
1523580120,+3.48,+22.106, +8.055,+0.982
1523581020,+3.48,+21.947, +7.940,+0.982
1523581920,+3.48,+21.889, +7.160,+0.981
1523582820,+3.48,+21.655, +8.041,+0.981
1523583720,+3.48,+21.546, +6.951,+0.982
1523584620,+3.48,+21.404, +8.270,+0.981
1523585520,+3.48,+21.245, +7.572,+0.982
1523586420,+3.48,+21.095, +5.046,+0.981
1523587320,+3.48,+20.903, +5.911,+0.973
1523588220,+3.48,+20.602, +6.697,+0.982
1523589120,+3.48,+20.518, +4.571,+0.979
1523590020,+3.48,+20.426, +3.168,+0.973
1523590920,+3.48,+19.857, +2.749,+0.980
1523591820,+3.48,+19.916, +1.048,+0.975
1523592720,+3.48,+19.757, +0.158,+0.961
1523593620,+3.48,+19.539, +0.186,+0.959
1523594520,+3.48,+19.489, +2.236,+0.953
1523595420,+3.48,+18.918, +5.466,+0.975
1523596320,+3.48,+19.044, +4.294,+0.981
1523597220,+3.48,+19.111, +2.880,+0.982
1523598120,+3.48,+19.095, +2.373,+0.983
1523599020,+3.48,+19.036, +1.424,+0.977
1523599920,+3.48,+19.027, +2.416,+0.977
1523600820,+3.48,+18.549, +5.574,+0.981
1523601720,+3.48,+18.263, +4.586,+0.983
1523602620,+3.48,+18.313, +3.115,+0.985
1523603520,+3.48,+17.732, +4.833,+0.983
1523604420,+3.48,+17.436, +5.267,+0.983
1523605320,+3.48,+17.284, +4.824,+0.985
1523606220,+3.48,+17.318, +4.375,+0.984
1523607120,+3.48,+17.208, +4.389,+0.984
1523608020,+3.48,+17.072, +3.191,+0.985
1523608920,+3.48,+17.013, +2.020,+0.984
1523609820,+3.48,+17.004, +0.649,+0.972
1523610720,+3.48,+16.894, +0.173,+0.963
1523611620,+3.48,+16.759, +0.330,+0.961
1523612520,+3.48,+16.529, +1.155,+0.962
1523613420,+3.48,+16.623, +2.540,+0.973
1523614320,+3.48,+16.606, +4.025,+0.980
1523615220,+3.48,+16.359, +3.890,+0.982
1523616120,+3.48,+16.419, +2.446,+0.984
1523617020,+3.48,+16.453, +0.934,+0.974
1523617920,+3.48,+16.248, +0.155,+0.963
1523618820,+3.47,+16.146, +0.268,+0.965
1523619720,+3.47,+16.393, +0.671,+0.963
1523620620,+3.48,+16.035, +2.723,+0.978
1523621520,+3.48,+15.950, +2.157,+0.977
1523622420,+3.48,+15.839, +1.170,+0.970
1523623320,+3.48,+15.856, +0.561,+0.966
1523624220,+3.47,+15.600, +0.271,+0.964
1523625120,+3.48,+15.694, +1.105,+0.974
1523626020,+3.47,+15.796, +1.980,+0.976
1523626920,+3.47,+15.600, +1.457,+0.969
1523627820,+3.47,+15.411, +0.977,+0.967
1523628720,+3.47,+15.239, +0.578,+0.965
1523629620,+3.47,+15.076, +0.243,+0.963
1523630520,+3.47,+15.188, +1.179,+0.972
1523631420,+3.47,+15.025, +1.472,+0.973
1523632320,+3.47,+14.827, +1.010,+0.970
1523633220,+3.47,+14.758, +0.676,+0.966
1523634120,+3.47,+14.784, +0.373,+0.966
1523635020,+3.47,+15.377, +3.414,+0.980
1523635920,+3.47,+15.736, +4.523,+0.981
1523636820,+3.47,+16.001, +5.289,+0.982
1523637720,+3.47,+16.299, +5.681,+0.981
1523638620,+3.47,+16.470, +6.044,+0.982
1523639520,+3.47,+16.436, +6.133,+0.981
1523640420,+3.47,+16.903, +6.234,+0.982
1523641320,+3.47,+16.299, +5.296,+0.980
1523642220,+3.47,+16.801, +6.060,+0.982
1523643120,+3.47,+17.428, +6.533,+0.983
1523644020,+3.47,+17.597, +6.724,+0.981
1523644920,+3.47,+17.816, +7.106,+0.983
1523645820,+3.47,+18.254, +7.058,+0.981
1523646720,+3.47,+18.549, +7.468,+0.982
1523647620,+3.47,+18.834, +6.632,+0.981
1523648520,+3.47,+19.061, +6.792,+0.980
1523649420,+3.47,+19.338, +7.325,+0.981
1523650320,+3.47,+19.095, +7.724,+0.980
1523651220,+3.47,+19.723, +8.256,+0.983
1523652120,+3.47,+19.958, +8.144,+0.982
