"Plot Title: 20036649 Audubon 01"
"#","Date Time, GMT-07:00","High Range, mS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)"
1,04/23/18 01:00:00 PM,31.1087,21.89
2,04/23/18 01:15:00 PM,31.1874,22.04
3,04/23/18 01:30:00 PM,31.5991,22.89
4,04/23/18 01:45:00 PM,31.6502,22.99
5,04/23/18 02:00:00 PM,31.6803,23.03
6,04/23/18 02:15:00 PM,31.7045,23.14
7,04/23/18 02:30:00 PM,31.7408,23.20
8,04/23/18 02:45:00 PM,31.7166,23.14
9,04/23/18 03:00:00 PM,31.7166,23.13
10,04/23/18 03:15:00 PM,31.7105,23.17
11,04/23/18 03:30:00 PM,31.7257,23.14
12,04/23/18 03:45:00 PM,31.6954,23.11
13,04/23/18 04:00:00 PM,31.6954,23.09
14,04/23/18 04:15:00 PM,31.6562,23.09
15,04/23/18 04:30:00 PM,31.6803,23.10
16,04/23/18 04:45:00 PM,31.7045,23.11
17,04/23/18 05:00:00 PM,31.6442,23.05
18,04/23/18 05:15:00 PM,31.6894,23.06
19,04/23/18 05:30:00 PM,31.7045,23.09
20,04/23/18 05:45:00 PM,31.6894,23.10
21,04/23/18 06:00:00 PM,31.6653,23.05
22,04/23/18 06:15:00 PM,31.6442,23.05
23,04/23/18 06:30:00 PM,31.6442,22.98
24,04/23/18 06:45:00 PM,31.6502,22.96
25,04/23/18 07:00:00 PM,31.6231,22.89
26,04/23/18 07:15:00 PM,31.6081,22.88
27,04/23/18 07:30:00 PM,31.5841,22.79
28,04/23/18 07:45:00 PM,31.5183,22.67
29,04/23/18 08:00:00 PM,31.5781,22.69
30,04/23/18 08:15:00 PM,31.5332,22.63
31,04/23/18 08:30:00 PM,31.5213,22.59
32,04/23/18 08:45:00 PM,31.4676,22.51
33,04/23/18 09:00:00 PM,31.4825,22.48
34,04/23/18 09:15:00 PM,31.4617,22.37
35,04/23/18 09:30:00 PM,31.4408,22.30
36,04/23/18 09:45:00 PM,31.4557,22.22
37,04/23/18 10:00:00 PM,31.4408,22.21
38,04/23/18 10:15:00 PM,31.4468,22.20
39,04/23/18 10:30:00 PM,31.6412,22.07
40,04/23/18 10:45:00 PM,31.5661,21.85
41,04/23/18 11:00:00 PM,31.5004,21.69
42,04/23/18 11:15:00 PM,31.4736,21.62
43,04/23/18 11:30:00 PM,31.4587,21.54
44,04/23/18 11:45:00 PM,31.3756,21.51
45,04/24/18 12:00:00 AM,31.3254,21.43
46,04/24/18 12:15:00 AM,31.3490,21.43
47,04/24/18 12:30:00 AM,31.3786,21.44
48,04/24/18 12:45:00 AM,31.3254,21.40
49,04/24/18 01:00:00 AM,31.3048,21.43
50,04/24/18 01:15:00 AM,31.3254,21.43
51,04/24/18 01:30:00 AM,31.3549,21.43
52,04/24/18 01:45:00 AM,31.3048,21.36
53,04/24/18 02:00:00 AM,31.4052,21.40
54,04/24/18 02:15:00 AM,31.4290,21.45
55,04/24/18 02:30:00 AM,31.4438,21.41
56,04/24/18 02:45:00 AM,31.5004,21.51
57,04/24/18 03:00:00 AM,31.4855,21.50
58,04/24/18 03:15:00 AM,31.4795,21.45
59,04/24/18 03:30:00 AM,31.5392,21.51
60,04/24/18 03:45:00 AM,31.5302,21.53
61,04/24/18 04:00:00 AM,31.5512,21.55
62,04/24/18 04:15:00 AM,31.3697,21.26
63,04/24/18 04:30:00 AM,30.7806,20.40
64,04/24/18 04:45:00 AM,30.5405,20.08
65,04/24/18 05:00:00 AM,30.6305,20.24
66,04/24/18 05:15:00 AM,30.4985,20.07
67,04/24/18 05:30:00 AM,30.6107,20.22
68,04/24/18 05:45:00 AM,30.5882,20.18
69,04/24/18 06:00:00 AM,30.6023,20.18
70,04/24/18 06:15:00 AM,30.5601,20.12
71,04/24/18 06:30:00 AM,30.5742,20.12
72,04/24/18 06:45:00 AM,30.5826,20.09
73,04/24/18 07:00:00 AM,30.5405,20.02
74,04/24/18 07:15:00 AM,30.5069,20.00
75,04/24/18 07:30:00 AM,30.4873,19.95
76,04/24/18 07:45:00 AM,30.4929,19.92
77,04/24/18 08:00:00 AM,30.4650,19.87
78,04/24/18 08:15:00 AM,30.4790,19.85
79,04/24/18 08:30:00 AM,30.4399,19.82
80,04/24/18 08:45:00 AM,30.4399,19.82
81,04/24/18 09:00:00 AM,30.4316,19.81
82,04/24/18 09:15:00 AM,30.4066,19.73
83,04/24/18 09:30:00 AM,30.3705,19.72
84,04/24/18 09:45:00 AM,30.4260,19.73
85,04/24/18 10:00:00 AM,30.4455,19.77
86,04/24/18 10:15:00 AM,30.3927,19.78
87,04/24/18 10:30:00 AM,30.4316,19.73
88,04/24/18 10:45:00 AM,30.4790,19.88
