"Plot Title: 20036649 Audubon 01"
"#","Date Time, GMT-07:00","High Range, mS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)"
1,05/19/18 02:00:00 PM,31.2050,24.39
2,05/19/18 02:15:00 PM,31.1553,24.49
3,05/19/18 02:30:00 PM,31.2430,24.69
4,05/19/18 02:45:00 PM,31.2167,24.79
5,05/19/18 03:00:00 PM,31.2607,24.92
6,05/19/18 03:15:00 PM,31.2372,25.02
7,05/19/18 03:30:00 PM,31.2196,25.25
8,05/19/18 03:45:00 PM,31.3963,25.37
9,05/19/18 04:00:00 PM,31.5153,25.50
10,05/19/18 04:15:00 PM,31.6502,25.64
11,05/19/18 04:30:00 PM,31.6231,25.64
12,05/19/18 04:45:00 PM,31.5362,25.62
13,05/19/18 05:00:00 PM,31.6773,25.74
14,05/19/18 05:15:00 PM,31.6683,25.75
15,05/19/18 05:30:00 PM,31.5721,25.66
16,05/19/18 05:45:00 PM,31.4974,25.68
17,05/19/18 06:00:00 PM,31.5631,25.65
18,05/19/18 06:15:00 PM,31.8045,25.61
19,05/19/18 06:30:00 PM,31.8502,25.50
20,05/19/18 06:45:00 PM,31.8075,25.40
21,05/19/18 07:00:00 PM,31.8045,25.35
22,05/19/18 07:15:00 PM,31.7468,25.31
23,05/19/18 07:30:00 PM,31.6924,25.27
24,05/19/18 07:45:00 PM,31.7136,25.17
25,05/19/18 08:00:00 PM,31.7045,25.14
26,05/19/18 08:15:00 PM,31.6592,25.05
27,05/19/18 08:30:00 PM,31.6743,25.00
28,05/19/18 08:45:00 PM,31.6562,24.95
29,05/19/18 09:00:00 PM,31.6442,24.90
30,05/19/18 09:15:00 PM,31.5991,24.82
31,05/19/18 09:30:00 PM,31.5931,24.77
32,05/19/18 09:45:00 PM,31.5571,24.68
33,05/19/18 10:00:00 PM,31.5362,24.62
34,05/19/18 10:15:00 PM,31.5034,24.60
35,05/19/18 10:30:00 PM,31.5183,24.54
36,05/19/18 10:45:00 PM,31.4944,24.49
37,05/19/18 11:00:00 PM,31.4736,24.42
38,05/19/18 11:15:00 PM,31.4290,24.36
39,05/19/18 11:30:00 PM,31.4230,24.30
40,05/19/18 11:45:00 PM,31.4260,24.26
41,05/20/18 12:00:00 AM,31.4141,24.19
42,05/20/18 12:15:00 AM,31.3461,24.04
43,05/20/18 12:30:00 AM,31.3343,24.01
44,05/20/18 12:45:00 AM,31.3018,23.92
45,05/20/18 01:00:00 AM,31.2812,23.88
46,05/20/18 01:15:00 AM,31.2255,23.84
47,05/20/18 01:30:00 AM,31.2871,23.78
48,05/20/18 01:45:00 AM,31.2167,23.66
