"Plot Title: Level 20028982"
"#","Date Time, GMT-07:00","Abs Pres, mm Hg (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Press)","Temp, °C (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Temp)"
1,05/19/18 02:00:00 PM,904.03,19.853
2,05/19/18 02:15:00 PM,903.91,19.853
3,05/19/18 02:30:00 PM,903.82,19.948
4,05/19/18 02:45:00 PM,903.61,20.043
5,05/19/18 03:00:00 PM,903.61,20.043
6,05/19/18 03:15:00 PM,903.45,19.948
7,05/19/18 03:30:00 PM,903.20,19.948
8,05/19/18 03:45:00 PM,903.07,19.948
9,05/19/18 04:00:00 PM,902.95,19.948
10,05/19/18 04:15:00 PM,902.70,19.948
11,05/19/18 04:30:00 PM,902.58,19.948
12,05/19/18 04:45:00 PM,902.37,20.043
13,05/19/18 05:00:00 PM,902.49,20.043
14,05/19/18 05:15:00 PM,902.37,20.043
15,05/19/18 05:30:00 PM,902.41,20.138
16,05/19/18 05:45:00 PM,902.28,20.138
17,05/19/18 06:00:00 PM,902.28,20.138
18,05/19/18 06:15:00 PM,902.32,20.234
19,05/19/18 06:30:00 PM,902.44,20.234
20,05/19/18 06:45:00 PM,902.32,20.234
21,05/19/18 07:00:00 PM,902.32,20.234
22,05/19/18 07:15:00 PM,902.44,20.234
23,05/19/18 07:30:00 PM,902.41,20.138
24,05/19/18 07:45:00 PM,902.65,20.138
25,05/19/18 08:00:00 PM,902.77,20.138
26,05/19/18 08:15:00 PM,902.90,20.138
27,05/19/18 08:30:00 PM,903.02,20.138
28,05/19/18 08:45:00 PM,902.90,20.138
29,05/19/18 09:00:00 PM,902.90,20.138
30,05/19/18 09:15:00 PM,903.15,20.138
31,05/19/18 09:30:00 PM,903.15,20.138
32,05/19/18 09:45:00 PM,903.31,20.234
33,05/19/18 10:00:00 PM,903.43,20.234
34,05/19/18 10:15:00 PM,903.52,20.138
35,05/19/18 10:30:00 PM,903.40,20.138
36,05/19/18 10:45:00 PM,903.40,20.138
37,05/19/18 11:00:00 PM,903.64,20.138
38,05/19/18 11:15:00 PM,903.77,20.138
39,05/19/18 11:30:00 PM,903.89,20.138
40,05/19/18 11:45:00 PM,903.77,20.138
41,05/20/18 12:00:00 AM,903.77,20.138
42,05/20/18 12:15:00 AM,903.77,20.138
43,05/20/18 12:30:00 AM,903.64,20.138
44,05/20/18 12:45:00 AM,903.64,20.138
45,05/20/18 01:00:00 AM,903.77,20.138
46,05/20/18 01:15:00 AM,903.64,20.138
47,05/20/18 01:30:00 AM,903.77,20.138
48,05/20/18 01:45:00 AM,903.64,20.138
49,05/20/18 02:00:00 AM,903.52,20.138
50,05/20/18 02:15:00 AM,903.52,20.138
51,05/20/18 02:30:00 AM,903.40,20.138
52,05/20/18 02:45:00 AM,903.15,20.138
53,05/20/18 03:00:00 AM,903.15,20.138
54,05/20/18 03:15:00 AM,903.28,20.138
55,05/20/18 03:30:00 AM,903.40,20.138
56,05/20/18 03:45:00 AM,903.40,20.138
57,05/20/18 04:00:00 AM,903.28,20.138
58,05/20/18 04:15:00 AM,903.40,20.138
59,05/20/18 04:30:00 AM,903.28,20.138
60,05/20/18 04:45:00 AM,903.28,20.138
61,05/20/18 05:00:00 AM,903.40,20.138
62,05/20/18 05:15:00 AM,903.40,20.138
63,05/20/18 05:30:00 AM,903.52,20.138
64,05/20/18 05:45:00 AM,903.56,20.234
65,05/20/18 06:00:00 AM,903.72,20.329
66,05/20/18 06:15:00 AM,903.72,20.329
67,05/20/18 06:30:00 AM,903.97,20.329
68,05/20/18 06:45:00 AM,904.09,20.329
69,05/20/18 07:00:00 AM,904.21,20.329
70,05/20/18 07:15:00 AM,904.34,20.329
71,05/20/18 07:30:00 AM,904.46,20.329
72,05/20/18 07:45:00 AM,904.84,20.329
73,05/20/18 08:00:00 AM,904.84,20.329
74,05/20/18 08:15:00 AM,905.21,20.329
75,05/20/18 08:30:00 AM,905.08,20.329
76,05/20/18 08:45:00 AM,904.84,20.329
77,05/20/18 09:00:00 AM,904.96,20.329
78,05/20/18 09:15:00 AM,904.96,20.329
79,05/20/18 09:30:00 AM,905.00,20.424
80,05/20/18 09:45:00 AM,905.00,20.424
81,05/20/18 10:00:00 AM,905.00,20.424
82,05/20/18 10:15:00 AM,905.25,20.424
83,05/20/18 10:30:00 AM,905.25,20.424
84,05/20/18 10:45:00 AM,905.16,20.519
85,05/20/18 11:00:00 AM,905.25,20.424
86,05/20/18 11:15:00 AM,905.00,20.424
87,05/20/18 11:30:00 AM,905.12,20.424
88,05/20/18 11:45:00 AM,905.04,20.519
89,05/20/18 12:00:00 PM,905.04,20.519
90,05/20/18 12:15:00 PM,904.91,20.519
91,05/20/18 12:30:00 PM,904.70,20.615
92,05/20/18 12:45:00 PM,904.70,20.615
93,05/20/18 01:00:00 PM,904.57,20.615
94,05/20/18 01:15:00 PM,904.33,20.615
95,05/20/18 01:30:00 PM,904.36,20.710
96,05/20/18 01:45:00 PM,904.12,20.710
97,05/20/18 02:00:00 PM,904.24,20.710
98,05/20/18 02:15:00 PM,903.99,20.710
99,05/20/18 02:30:00 PM,904.03,20.805
100,05/20/18 02:45:00 PM,903.94,20.901
101,05/20/18 03:00:00 PM,903.82,20.901
102,05/20/18 03:15:00 PM,903.94,20.901
103,05/20/18 03:30:00 PM,903.53,20.805
104,05/20/18 03:45:00 PM,903.40,20.805
105,05/20/18 04:00:00 PM,903.32,20.901
106,05/20/18 04:15:00 PM,903.19,20.901
107,05/20/18 04:30:00 PM,903.07,20.901
108,05/20/18 04:45:00 PM,902.83,20.901
109,05/20/18 05:00:00 PM,902.70,20.901
110,05/20/18 05:15:00 PM,902.95,20.901
111,05/20/18 05:30:00 PM,902.89,21.091
112,05/20/18 05:45:00 PM,902.65,21.091
113,05/20/18 06:00:00 PM,902.53,21.091
114,05/20/18 06:15:00 PM,902.40,21.091
115,05/20/18 06:30:00 PM,902.40,21.091
116,05/20/18 06:45:00 PM,902.40,21.091
117,05/20/18 07:00:00 PM,902.24,20.996
118,05/20/18 07:15:00 PM,902.36,20.996
119,05/20/18 07:30:00 PM,902.36,20.996
120,05/20/18 07:45:00 PM,902.24,20.996
121,05/20/18 08:00:00 PM,902.24,20.996
122,05/20/18 08:15:00 PM,902.28,21.091
123,05/20/18 08:30:00 PM,902.19,21.187
124,05/20/18 08:45:00 PM,902.28,21.091
125,05/20/18 09:00:00 PM,902.53,21.091
126,05/20/18 09:15:00 PM,902.61,20.996
127,05/20/18 09:30:00 PM,902.61,20.996
128,05/20/18 09:45:00 PM,902.45,20.901
129,05/20/18 10:00:00 PM,902.49,20.996
130,05/20/18 10:15:00 PM,902.74,20.996
131,05/20/18 10:30:00 PM,902.74,20.996
132,05/20/18 10:45:00 PM,902.86,20.996
133,05/20/18 11:00:00 PM,902.86,20.996
134,05/20/18 11:15:00 PM,902.74,20.996
135,05/20/18 11:30:00 PM,902.74,20.996
136,05/20/18 11:45:00 PM,902.61,20.996
137,05/21/18 12:00:00 AM,902.65,21.091
138,05/21/18 12:15:00 AM,902.74,20.996
139,05/21/18 12:30:00 AM,902.61,20.996
140,05/21/18 12:45:00 AM,902.49,20.996
141,05/21/18 01:00:00 AM,902.49,20.996
142,05/21/18 01:15:00 AM,902.49,20.996
143,05/21/18 01:30:00 AM,902.36,20.996
144,05/21/18 01:45:00 AM,902.36,20.996
