sample_period,date_time,surface_pressure,air_temp1,salinity,sal_temp2,depth_pressure,depth_temp,level_m
1,02/12/18 12:00:00 PM,757.19,15.855,17.7408,15.37,921.59,15.855,2.2350344833353466
1,02/12/18 12:15:00 PM,757.01,15.951,17.7838,15.5,921.47,15.855,2.2358501893511633
1,02/12/18 12:30:00 PM,756.88,16.141,17.9255,15.74,920.97,15.855,2.2308200022536324
1,02/12/18 12:45:00 PM,756.56,16.427,18.0107,15.91,920.84,15.855,2.2334030713037163
1,02/12/18 01:00:00 PM,756.24,17.379,18.0596,16.14,920.97,15.855,2.239520866422334
1,02/12/18 01:15:00 PM,756.42,17.95,17.9999,16.22,920.6,15.855,2.2320435612773566
1,02/12/18 01:30:00 PM,756.61,17.855,18.0691,16.4,920.6,15.855,2.2294604922272723
1,02/12/18 01:45:00 PM,756.62,17.665,18.1439,16.42,920.47,15.855,2.2275571781903687
1,02/12/18 02:00:00 PM,756.37,17.855,18.3022,16.81,920.43,15.76,2.230412149245723
1,02/12/18 02:15:00 PM,756.41,17.475,18.3364,16.87,920.43,15.76,2.2298683452351797
1,02/12/18 02:30:00 PM,756.17,16.808,18.309,16.88,920.35,15.855,2.2320435612773566
1,02/12/18 02:45:00 PM,756.19,16.618,18.5357,17.3,920.47,15.855,2.233403071303715
1,02/12/18 03:00:00 PM,756.16,16.332,18.6629,17.59,920.1,15.855,2.228780737214093
1,02/12/18 03:15:00 PM,756.32,16.427,18.6324,17.24,920.22,15.855,2.228236933203548
1,02/12/18 03:30:00 PM,756.38,16.523,18.6962,17.4,920.31,15.76,2.2286447862114556
1,02/12/18 03:45:00 PM,756.34,16.237,18.7697,17.44,920.22,15.855,2.2279650311982766
1,02/12/18 04:00:00 PM,756.58,16.903,18.8282,17.4,920.35,15.855,2.2264695701692805
1,02/12/18 04:15:00 PM,756.76,17.475,18.7656,17.46,920.72,15.855,2.229052639219365
1,02/12/18 04:30:00 PM,756.66,17.284,18.6975,17.41,920.6,15.855,2.228780737214093
1,02/12/18 04:45:00 PM,756.97,17.189,18.7253,17.37,920.84,15.855,2.2278290801956406
1,02/12/18 05:00:00 PM,757.04,17.094,18.6989,17.3,920.93,15.76,2.228100982200912
1,02/12/18 05:15:00 PM,757.07,16.046,18.6006,17.42,920.93,15.76,2.2276931291930033
1,02/12/18 05:30:00 PM,757.16,14.517,18.6048,17.36,921.3,15.76,2.2314997572668114
1,02/12/18 05:45:00 PM,757.19,13.75,18.5219,17.21,921.18,15.76,2.229460492227271
1,02/12/18 06:00:00 PM,757.32,13.365,18.5371,17.11,921.71,15.855,2.2348985323327106
1,02/12/18 06:15:00 PM,757.39,13.076,18.5371,17.01,921.84,15.855,2.2357142383485273
1,02/12/18 06:30:00 PM,757.81,12.98,18.534300000000002,16.99,921.96,15.855,2.231635708269449
1,02/12/18 06:45:00 PM,757.75,12.883,18.482,16.85,922.09,15.855,2.2342187773195317
1,02/12/18 07:00:00 PM,757.87,12.69,18.4792,16.8,922.3,15.76,2.235442336343254
1,02/12/18 07:15:00 PM,757.94,12.401,18.4834,16.62,922.42,15.76,2.2361220913564335
1,02/12/18 07:30:00 PM,758,12.304,18.4421,16.44,922.58,15.855,2.237481601382795
1,02/12/18 07:45:00 PM,758.11,12.304,18.3995,16.33,922.7,15.855,2.237617552385431
1,02/12/18 08:00:00 PM,758.23,12.11,18.3899,16.28,922.7,15.855,2.2359861403537993
1,02/12/18 08:15:00 PM,758.41,12.013,18.3899,16.26,923.08,15.855,2.238705160406519
1,02/12/18 08:30:00 PM,758.58,11.722,18.3748,16.13,923.12,15.951,2.23693779737225
1,02/12/18 08:45:00 PM,758.7,11.528,18.2871,15.99,923.21,15.855,2.2365299443643423
1,02/12/18 09:00:00 PM,758.88,11.819,18.2352,15.87,923.33,15.855,2.2357142383485273
1,02/12/18 09:15:00 PM,759,11.819,18.3036,15.83,923.57,15.855,2.237345650380159
1,02/12/18 09:30:00 PM,759,11.625,18.268,15.73,923.57,15.855,2.237345650380159
1,02/12/18 09:45:00 PM,759.17,11.334,18.0949,15.49,923.7,15.855,2.2368018463696155
1,02/12/18 10:00:00 PM,759.29,10.944,18.0067,15.39,923.95,15.855,2.238569209403883
1,02/12/18 10:15:00 PM,759.22,10.651,17.9485,15.28,923.82,15.855,2.2377535033880664
1,02/12/18 10:30:00 PM,759.15,10.357,17.8957,15.27,923.95,15.855,2.2404725234407867
1,02/12/18 10:45:00 PM,759.32,10.063,17.9336,15.14,923.95,15.855,2.2381613563959744
1,02/12/18 11:00:00 PM,759.38,9.965,17.9241,15.18,924.08,15.855,2.2391130134144266
1,02/12/18 11:15:00 PM,759.44,9.866,17.9701,15.21,924.08,15.855,2.23829730739861
1,02/12/18 11:30:00 PM,759.55,9.866,17.9539,15.12,924.2,15.855,2.238433258401247
1,02/12/18 11:45:00 PM,759.62,9.965,17.9485,15.12,924.44,15.855,2.2407444254460582
1,02/13/18 12:00:00 AM,759.68,10.063,18.0094,15.14,924.44,15.855,2.2399287194302433
