7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1509483900,+3.47,+19.095, +7.409,+0.990
1509484800,+3.47,+19.279, +7.363,+0.989
1509485700,+3.47,+19.229, +7.363,+0.989
1509486600,+3.47,+19.019, +7.364,+0.989
1509487500,+3.47,+18.692, +7.391,+0.989
1509488400,+3.47,+18.565, +7.434,+0.990
1509489300,+3.47,+18.893, +7.438,+0.989
1509490200,+3.47,+19.531, +7.424,+0.990
1509491100,+3.47,+19.941, +7.423,+0.989
1509492000,+3.47,+19.489, +7.480,+0.989
1509492900,+3.47,+18.910, +7.609,+0.991
1509493800,+3.47,+18.658, +7.669,+0.990
1509494700,+3.47,+18.473, +7.757,+0.991
1509495600,+3.47,+18.288, +7.791,+0.989
1509496500,+3.47,+18.052, +7.868,+0.990
1509497400,+3.47,+17.875, +7.941,+0.991
1509498300,+3.47,+17.782, +7.984,+0.990
1509499200,+3.47,+17.732, +8.032,+0.990
1509500100,+3.47,+17.613, +8.103,+0.992
1509501000,+3.47,+17.428, +8.164,+0.992
1509501900,+3.47,+17.402, +8.187,+0.991
1509502800,+3.47,+17.326, +8.234,+0.991
1509503700,+3.47,+17.309, +8.258,+0.991
1509504600,+3.47,+17.318, +8.285,+0.991
1509505500,+3.47,+17.250, +8.291,+0.990
1509506400,+3.47,+17.233, +8.338,+0.991
1509507300,+3.47,+17.242, +8.360,+0.991
1509508200,+3.47,+17.242, +8.387,+0.991
1509509100,+3.47,+17.225, +8.336,+0.990
1509510000,+3.47,+17.233, +8.357,+0.991
1509510900,+3.47,+17.258, +8.355,+0.991
1509511800,+3.47,+17.292, +8.337,+0.990
1509512700,+3.47,+17.360, +8.355,+0.992
1509513600,+3.47,+17.301, +8.357,+0.990
1509514500,+3.47,+17.352, +8.353,+0.990
1509515400,+3.47,+17.326, +8.391,+0.992
1509516300,+3.47,+17.301, +8.387,+0.991
1509517200,+3.47,+17.267, +8.408,+0.992
1509518100,+3.47,+17.284, +8.412,+0.991
1509519000,+3.47,+17.225, +8.410,+0.990
1509519900,+3.47,+17.157, +8.420,+0.990
1509520800,+3.47,+17.106, +8.422,+0.990
1509521700,+3.47,+16.962, +8.454,+0.990
1509522600,+3.47,+16.928, +8.490,+0.992
1509523500,+3.47,+16.801, +8.513,+0.992
1509524400,+3.47,+16.818, +8.536,+0.993
1509525300,+3.47,+16.920, +8.512,+0.991
1509526200,+3.47,+16.894, +8.484,+0.990
1509527100,+3.47,+16.886, +8.495,+0.991
1509528000,+3.47,+16.945, +8.489,+0.991
1509528900,+3.47,+16.996, +8.465,+0.991
1509529800,+3.47,+16.987, +8.470,+0.992
1509530700,+3.47,+16.920, +8.430,+0.992
1509531600,+3.47,+17.004, +8.371,+0.991
1509532500,+3.47,+16.937, +8.344,+0.992
1509533400,+3.47,+16.911, +8.296,+0.993
1509534300,+3.47,+16.911, +8.208,+0.991
1509535200,+3.47,+16.877, +8.152,+0.992
1509536100,+3.47,+16.826, +8.085,+0.991
1509537000,+3.47,+16.809, +8.009,+0.992
1509537900,+3.47,+16.809, +7.932,+0.992
1509538800,+3.47,+16.843, +7.852,+0.994
1509539700,+3.47,+16.826, +7.738,+0.991
1509540600,+3.47,+16.665, +7.676,+0.992
1509541500,+3.47,+16.623, +7.593,+0.992
1509542400,+3.47,+16.495, +7.538,+0.992
1509543300,+3.47,+16.436, +7.470,+0.992
1509544200,+3.47,+16.172, +7.427,+0.991
1509545100,+3.47,+15.771, +7.424,+0.991
1509546000,+3.47,+15.651, +7.411,+0.993
1509546900,+3.46,+15.651, +7.359,+0.993
1509547800,+3.47,+15.822, +7.267,+0.992
1509548700,+3.47,+16.035, +7.177,+0.993
1509549600,+3.47,+16.189, +7.084,+0.992
1509550500,+3.47,+16.410, +6.968,+0.992
1509551400,+3.46,+16.648, +6.856,+0.992
1509552300,+3.46,+16.792, +6.736,+0.992
1509553200,+3.47,+16.903, +6.621,+0.991
1509554100,+3.47,+17.038, +6.506,+0.991
1509555000,+3.47,+17.148, +6.417,+0.991
1509555900,+3.47,+17.292, +6.349,+0.990
1509556800,+3.47,+17.402, +6.297,+0.990
1509557700,+3.47,+17.453, +6.324,+0.991
1509558600,+3.47,+17.588, +6.430,+0.991
1509559500,+3.47,+17.673, +6.653,+0.991
1509560400,+3.47,+17.816, +6.948,+0.992
1509561300,+3.47,+18.044, +7.216,+0.992
1509562200,+3.47,+18.271, +7.415,+0.990
1509563100,+3.47,+18.448, +7.606,+0.991
1509564000,+3.47,+18.414, +7.760,+0.990
1509564900,+3.47,+18.338, +7.906,+0.991
1509565800,+3.47,+18.456, +7.979,+0.991
1509566700,+3.47,+18.439, +8.047,+0.990
1509567600,+3.47,+18.927, +8.031,+0.990
1509568500,+3.47,+19.396, +7.977,+0.989
1509569400,+3.47,+19.472, +7.961,+0.989
1509570300,+3.47,+19.078, +7.992,+0.990
