7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1507760040,+3.46,+27.110, +8.229,+1.001
1507760940,+3.47,+26.130, +8.278,+0.997
1507761840,+3.47,+24.398, +8.449,+0.994
1507762740,+3.47,+23.929,+12.257,+0.997
1507763640,+3.47,+23.887,+12.460,+0.997
1507764540,+3.47,+23.870,+12.231,+0.997
1507765440,+3.47,+23.895,+12.178,+0.997
1507766340,+3.47,+23.853,+12.201,+0.995
1507767240,+3.47,+23.837,+12.232,+0.996
1507768140,+3.48,+23.728,+11.733,+0.995
1507769040,+3.48,+23.711,+11.255,+0.995
1507769940,+3.48,+23.644,+11.365,+0.997
1507770840,+3.48,+23.627,+11.526,+0.996
1507771740,+3.48,+23.619,+11.205,+0.994
1507772640,+3.48,+23.560,+10.771,+0.995
1507773540,+3.48,+23.527,+10.320,+0.996
1507774440,+3.48,+23.460, +9.809,+0.995
1507775340,+3.48,+23.410, +9.393,+0.995
1507776240,+3.48,+23.343, +9.021,+0.995
1507777140,+3.48,+23.251, +8.719,+0.994
1507778040,+3.48,+23.134, +8.439,+0.995
1507778940,+3.48,+22.966, +8.229,+0.995
1507779840,+3.48,+22.883, +8.042,+0.994
1507780740,+3.48,+22.866, +7.766,+0.993
1507781640,+3.48,+22.841, +7.469,+0.995
1507782540,+3.48,+22.749, +7.194,+0.995
1507783440,+3.48,+22.657, +7.323,+0.994
1507784340,+3.48,+22.557, +7.468,+0.995
1507785240,+3.48,+22.423, +7.427,+0.995
1507786140,+3.49,+22.281, +7.351,+0.994
1507787040,+3.48,+22.198, +7.259,+0.994
1507787940,+3.48,+22.131, +7.156,+0.994
1507788840,+3.48,+22.056, +7.062,+0.994
1507789740,+3.48,+21.930, +6.966,+0.994
1507790640,+3.48,+21.847, +6.887,+0.994
1507791540,+3.49,+21.763, +6.822,+0.994
1507792440,+3.48,+21.696, +6.782,+0.994
1507793340,+3.48,+21.621, +6.740,+0.994
1507794240,+3.48,+21.554, +6.740,+0.994
1507795140,+3.49,+21.488, +6.786,+0.995
1507796040,+3.49,+21.437, +6.967,+0.995
1507796940,+3.49,+21.396, +7.166,+0.995
1507797840,+3.49,+21.371, +7.227,+0.994
1507798740,+3.49,+21.321, +7.167,+0.994
1507799640,+3.49,+21.237, +7.116,+0.993
1507800540,+3.48,+21.128, +7.131,+0.994
1507801440,+3.49,+21.103, +7.317,+0.993
1507802340,+3.48,+21.011, +7.403,+0.994
1507803240,+3.49,+20.986, +7.362,+0.994
1507804140,+3.49,+20.919, +7.357,+0.994
1507805040,+3.48,+20.878, +7.375,+0.993
1507805940,+3.48,+20.844, +7.454,+0.994
1507806840,+3.49,+20.811, +7.446,+0.994
1507807740,+3.49,+20.761, +7.367,+0.994
1507808640,+3.49,+20.702, +7.260,+0.994
1507809540,+3.48,+20.677, +7.157,+0.994
1507810440,+3.49,+20.635, +7.122,+0.994
1507811340,+3.48,+20.644, +7.104,+0.994
1507812240,+3.48,+20.635, +7.159,+0.995
1507813140,+3.48,+20.610, +7.095,+0.994
1507814040,+3.48,+20.560, +6.962,+0.994
1507814940,+3.48,+20.518, +6.771,+0.994
1507815840,+3.48,+20.501, +6.554,+0.994
1507816740,+3.48,+20.460, +6.371,+0.994
1507817640,+3.48,+20.418, +6.222,+0.994
1507818540,+3.49,+20.384, +6.089,+0.994
1507819440,+3.48,+20.351, +5.915,+0.995
1507820340,+3.48,+20.351, +5.777,+0.995
1507821240,+3.48,+20.351, +5.595,+0.995
1507822140,+3.48,+20.359, +5.392,+0.994
1507823040,+3.48,+20.309, +5.301,+0.994
1507823940,+3.48,+20.292, +5.197,+0.994
1507824840,+3.49,+20.267, +5.068,+0.995
1507825740,+3.48,+20.251, +4.936,+0.995
1507826640,+3.48,+20.242, +5.464,+0.995
1507827540,+3.48,+20.359, +6.509,+0.994
1507828440,+3.48,+20.476, +6.987,+0.995
1507829340,+3.48,+20.627, +7.338,+0.994
1507830240,+3.48,+20.702, +7.817,+0.994
1507831140,+3.48,+20.727, +8.277,+0.993
1507832040,+3.48,+20.761, +8.535,+0.994
1507832940,+3.48,+20.936, +8.884,+0.992
1507833840,+3.48,+21.078, +9.198,+0.994
1507834740,+3.48,+21.254, +9.348,+0.993
1507835640,+3.48,+21.429, +9.453,+0.994
1507836540,+3.48,+21.546, +9.637,+0.994
1507837440,+3.48,+21.738, +9.750,+0.993
1507838340,+3.48,+21.930, +9.998,+0.995
1507839240,+3.48,+22.089,+10.196,+0.992
1507840140,+3.49,+22.298,+10.609,+0.994
1507841040,+3.48,+22.440,+10.870,+0.996
1507841940,+3.49,+22.599,+11.118,+0.996
1507842840,+3.49,+22.707,+11.279,+0.994
1507843740,+3.49,+22.774,+11.455,+0.994
1507844640,+3.48,+22.883,+11.519,+0.993
1507845540,+3.48,+22.992,+11.785,+0.994
1507846440,+3.48,+23.100,+11.823,+0.994
