7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1515113520,+3.45,+14.421, +9.818,+0.972
1515114420,+3.45,+14.447, +9.004,+0.974
1515115320,+3.45,+14.455, +8.800,+0.975
1515116220,+3.45,+14.412, +8.517,+0.975
1515117120,+3.45,+14.395, +8.212,+0.975
1515118020,+3.45,+14.404, +7.913,+0.975
1515118920,+3.45,+14.386, +7.583,+0.975
1515119820,+3.45,+14.430, +7.209,+0.975
1515120720,+3.45,+14.473, +6.823,+0.975
1515121620,+3.45,+14.533, +6.535,+0.975
1515122520,+3.45,+14.533, +7.101,+0.973
1515123420,+3.45,+14.551, +8.427,+0.972
1515124320,+3.45,+14.525, +9.076,+0.972
1515125220,+3.45,+14.464, +8.904,+0.973
1515126120,+3.45,+14.464, +8.424,+0.973
1515127020,+3.45,+14.473, +7.914,+0.974
1515127920,+3.45,+14.507, +7.422,+0.974
1515128820,+3.45,+14.559, +6.966,+0.975
1515129720,+3.45,+14.576, +6.566,+0.975
1515130620,+3.45,+14.542, +6.262,+0.976
1515131520,+3.45,+14.438, +5.998,+0.977
1515132420,+3.45,+14.473, +5.708,+0.977
1515133320,+3.45,+14.568, +5.429,+0.977
1515134220,+3.46,+14.525, +5.146,+0.977
1515135120,+3.45,+14.490, +4.923,+0.977
1515136020,+3.45,+14.455, +4.713,+0.977
1515136920,+3.45,+14.473, +4.415,+0.977
1515137820,+3.45,+14.499, +4.292,+0.978
1515138720,+3.46,+14.602, +4.161,+0.978
1515139620,+3.46,+14.637, +4.083,+0.978
1515140520,+3.45,+14.628, +4.078,+0.978
1515141420,+3.46,+14.646, +4.126,+0.977
1515142320,+3.46,+14.637, +4.132,+0.978
1515143220,+3.46,+14.697, +4.058,+0.978
1515144120,+3.46,+14.775, +4.967,+0.971
1515145020,+3.46,+14.706, +6.510,+0.969
1515145920,+3.46,+14.654, +6.640,+0.972
1515146820,+3.46,+14.663, +6.279,+0.973
1515147720,+3.46,+14.663, +5.874,+0.974
1515148620,+3.46,+14.697, +5.508,+0.975
1515149520,+3.46,+14.740, +5.126,+0.975
1515150420,+3.46,+14.809, +4.768,+0.976
1515151320,+3.46,+14.758, +4.729,+0.976
1515152220,+3.46,+14.689, +4.668,+0.976
1515153120,+3.46,+14.671, +4.446,+0.976
1515154020,+3.46,+14.809, +4.210,+0.977
1515154920,+3.46,+14.801, +4.108,+0.978
1515155820,+3.46,+14.792, +4.137,+0.977
1515156720,+3.46,+14.766, +4.111,+0.977
1515157620,+3.46,+14.801, +4.030,+0.977
1515158520,+3.46,+14.801, +3.882,+0.977
1515159420,+3.46,+14.809, +3.683,+0.977
1515160320,+3.46,+14.792, +3.437,+0.977
1515161220,+3.46,+14.801, +3.189,+0.978
1515162120,+3.46,+14.775, +2.942,+0.978
1515163020,+3.46,+14.784, +2.707,+0.978
1515163920,+3.46,+14.801, +2.487,+0.978
1515164820,+3.46,+14.835, +2.294,+0.978
1515165720,+3.46,+14.818, +2.191,+0.978
1515166620,+3.46,+14.887, +2.855,+0.973
1515167520,+3.46,+14.870, +4.359,+0.972
1515168420,+3.46,+14.809, +4.778,+0.974
1515169320,+3.46,+14.809, +4.844,+0.974
1515170220,+3.46,+14.904, +4.740,+0.975
1515171120,+3.46,+14.999, +4.915,+0.974
1515172020,+3.46,+14.913, +5.599,+0.972
1515172920,+3.46,+14.904, +5.740,+0.973
1515173820,+3.46,+14.852, +5.905,+0.973
1515174720,+3.46,+14.818, +5.681,+0.973
1515175620,+3.46,+14.904, +5.333,+0.976
1515176520,+3.46,+14.913, +5.167,+0.976
1515177420,+3.46,+14.904, +5.469,+0.974
1515178320,+3.46,+14.870, +5.964,+0.974
1515179220,+3.46,+14.870, +6.576,+0.973
1515180120,+3.46,+14.956, +6.680,+0.972
1515181020,+3.46,+15.059, +9.135,+0.972
1515181920,+3.46,+14.990, +9.861,+0.972
1515182820,+3.46,+15.128,+10.916,+0.975
1515183720,+3.46,+15.179,+11.351,+0.974
1515184620,+3.46,+15.162,+11.132,+0.974
1515185520,+3.46,+15.119,+10.205,+0.974
1515186420,+3.46,+15.111, +9.567,+0.975
1515187320,+3.46,+15.076, +9.091,+0.974
1515188220,+3.46,+15.007, +8.792,+0.974
1515189120,+3.46,+14.921, +8.638,+0.974
1515190020,+3.46,+14.939, +8.411,+0.974
1515190920,+3.46,+14.990, +8.056,+0.974
1515191820,+3.46,+14.964, +8.767,+0.974
1515192720,+3.46,+14.913, +8.780,+0.974
1515193620,+3.46,+14.861, +8.542,+0.974
1515194520,+3.46,+14.784, +8.300,+0.974
1515195420,+3.46,+14.775, +8.478,+0.974
1515196320,+3.46,+14.784, +8.607,+0.974
1515197220,+3.46,+14.982, +8.570,+0.974
1515198120,+3.46,+15.282,+11.644,+0.973
1515199020,+3.46,+15.257,+12.135,+0.973
1515199920,+3.46,+15.257,+12.483,+0.973
