"Plot Title: 20246312"
"#","Date Time, GMT-08:00","Abs Pres, mm Hg (LGR S/N: 20246312, SEN S/N: 20246312)","Temp, °C (LGR S/N: 20246312, SEN S/N: 20246312)"
1,12/06/17 05:00:00 PM,765.43,14.517
2,12/06/17 05:15:00 PM,765.48,13.365
3,12/06/17 05:30:00 PM,765.43,12.497
4,12/06/17 05:45:00 PM,765.72,11.625
5,12/06/17 06:00:00 PM,765.72,11.041
6,12/06/17 06:15:00 PM,765.71,10.455
7,12/06/17 06:30:00 PM,765.75,10.161
8,12/06/17 06:45:00 PM,765.69,9.866
9,12/06/17 07:00:00 PM,765.73,9.571
10,12/06/17 07:15:00 PM,765.84,9.373
11,12/06/17 07:30:00 PM,766.06,9.176
12,12/06/17 07:45:00 PM,765.99,8.879
13,12/06/17 08:00:00 PM,765.87,8.879
14,12/06/17 08:15:00 PM,765.86,8.680
15,12/06/17 08:30:00 PM,766.08,8.481
16,12/06/17 08:45:00 PM,766.37,8.382
17,12/06/17 09:00:00 PM,766.42,8.282
18,12/06/17 09:15:00 PM,766.37,8.382
19,12/06/17 09:30:00 PM,766.29,8.082
20,12/06/17 09:45:00 PM,766.37,7.682
21,12/06/17 10:00:00 PM,766.59,7.481
22,12/06/17 10:15:00 PM,766.87,7.381
23,12/06/17 10:30:00 PM,766.62,7.179
24,12/06/17 10:45:00 PM,767.00,6.877
25,12/06/17 11:00:00 PM,767.25,7.079
26,12/06/17 11:15:00 PM,767.33,7.179
27,12/06/17 11:30:00 PM,767.44,7.179
28,12/06/17 11:45:00 PM,767.46,7.381
29,12/07/17 12:00:00 AM,767.55,7.682
30,12/07/17 12:15:00 AM,767.57,7.882
31,12/07/17 12:30:00 AM,767.38,7.782
32,12/07/17 12:45:00 AM,767.26,7.782
33,12/07/17 01:00:00 AM,766.98,7.882
34,12/07/17 01:15:00 AM,767.16,7.983
35,12/07/17 01:30:00 AM,767.28,7.983
36,12/07/17 01:45:00 AM,767.60,8.282
37,12/07/17 02:00:00 AM,767.82,8.082
38,12/07/17 02:15:00 AM,767.99,7.983
39,12/07/17 02:30:00 AM,767.99,7.983
40,12/07/17 02:45:00 AM,767.99,7.983
41,12/07/17 03:00:00 AM,767.85,7.782
42,12/07/17 03:15:00 AM,767.95,7.582
43,12/07/17 03:30:00 AM,767.98,7.280
44,12/07/17 03:45:00 AM,767.98,7.280
45,12/07/17 04:00:00 AM,767.90,6.978
46,12/07/17 04:15:00 AM,767.82,6.877
47,12/07/17 04:30:00 AM,767.78,6.978
48,12/07/17 04:45:00 AM,767.90,6.978
49,12/07/17 05:00:00 AM,767.85,7.079
50,12/07/17 05:15:00 AM,768.27,7.179
51,12/07/17 05:30:00 AM,768.15,7.179
52,12/07/17 05:45:00 AM,768.27,7.179
53,12/07/17 06:00:00 AM,768.51,7.179
54,12/07/17 06:15:00 AM,768.48,6.978
55,12/07/17 06:30:00 AM,768.51,6.674
56,12/07/17 06:45:00 AM,768.63,6.674
57,12/07/17 07:00:00 AM,768.66,6.370
58,12/07/17 07:15:00 AM,768.47,6.268
59,12/07/17 07:30:00 AM,768.33,6.064
60,12/07/17 07:45:00 AM,768.25,5.962
61,12/07/17 08:00:00 AM,768.37,5.962
62,12/07/17 08:15:00 AM,768.48,5.962
63,12/07/17 08:30:00 AM,768.79,6.573
64,12/07/17 08:45:00 AM,768.99,8.082
65,12/07/17 09:00:00 AM,769.16,8.680
66,12/07/17 09:15:00 AM,769.20,9.472
67,12/07/17 09:30:00 AM,769.54,10.357
68,12/07/17 09:45:00 AM,769.50,11.236
69,12/07/17 10:00:00 AM,769.62,12.207
70,12/07/17 10:15:00 AM,769.68,13.076
71,12/07/17 10:30:00 AM,769.65,14.038
72,12/07/17 10:45:00 AM,769.38,14.804
73,12/07/17 11:00:00 AM,769.20,15.951
74,12/07/17 11:15:00 AM,769.11,16.427
75,12/07/17 11:30:00 AM,768.58,18.806
76,12/07/17 11:45:00 AM,768.45,19.948
77,12/07/17 12:00:00 PM,768.54,19.662
78,12/07/17 12:15:00 PM,768.39,18.901
79,12/07/17 12:30:00 PM,768.25,18.616
80,12/07/17 12:45:00 PM,768.29,18.236
81,12/07/17 01:00:00 PM,768.21,17.855
82,12/07/17 01:15:00 PM,768.02,17.950
83,12/07/17 01:30:00 PM,768.17,18.236
84,12/07/17 01:45:00 PM,768.12,18.140
85,12/07/17 02:00:00 PM,767.94,18.236
86,12/07/17 02:15:00 PM,768.12,18.140
87,12/07/17 02:30:00 PM,768.16,17.760
88,12/07/17 02:45:00 PM,768.13,17.475
89,12/07/17 03:00:00 PM,768.20,17.379
90,12/07/17 03:15:00 PM,768.23,17.665
91,12/07/17 03:30:00 PM,768.31,18.045
92,12/07/17 03:45:00 PM,768.48,18.140
93,12/07/17 04:00:00 PM,768.57,17.855
94,12/07/17 04:15:00 PM,768.67,17.379
95,12/07/17 04:30:00 PM,768.72,16.808
96,12/07/17 04:45:00 PM,768.87,16.427
97,12/07/17 05:00:00 PM,769.05,16.332
98,12/07/17 05:15:00 PM,769.13,16.046
99,12/07/17 05:30:00 PM,769.34,16.427
100,12/07/17 05:45:00 PM,769.65,16.999
101,12/07/17 06:00:00 PM,769.77,16.999
102,12/07/17 06:15:00 PM,769.74,16.713
103,12/07/17 06:30:00 PM,769.92,16.618
104,12/07/17 06:45:00 PM,770.10,16.523
105,12/07/17 07:00:00 PM,770.13,15.091
106,12/07/17 07:15:00 PM,770.25,13.654
107,12/07/17 07:30:00 PM,770.34,12.401
108,12/07/17 07:45:00 PM,770.39,11.528
109,12/07/17 08:00:00 PM,770.37,10.748
110,12/07/17 08:15:00 PM,770.59,10.161
111,12/07/17 08:30:00 PM,770.58,9.768
112,12/07/17 08:45:00 PM,770.67,9.373
113,12/07/17 09:00:00 PM,770.78,9.176
114,12/07/17 09:15:00 PM,770.84,9.077
115,12/07/17 09:30:00 PM,770.82,8.879
116,12/07/17 09:45:00 PM,770.81,8.680
117,12/07/17 10:00:00 PM,771.00,8.779
118,12/07/17 10:15:00 PM,771.10,8.581
119,12/07/17 10:30:00 PM,771.15,8.481
120,12/07/17 10:45:00 PM,771.09,8.382
121,12/07/17 11:00:00 PM,771.12,8.082
122,12/07/17 11:15:00 PM,771.10,7.882
123,12/07/17 11:30:00 PM,771.03,7.782
124,12/07/17 11:45:00 PM,771.02,7.582
125,12/08/17 12:00:00 AM,770.88,7.381
126,12/08/17 12:15:00 AM,770.86,7.179
127,12/08/17 12:30:00 AM,770.74,7.179
128,12/08/17 12:45:00 AM,770.67,7.079
129,12/08/17 01:00:00 AM,770.49,6.978
130,12/08/17 01:15:00 AM,770.55,7.079
131,12/08/17 01:30:00 AM,770.42,6.877
132,12/08/17 01:45:00 AM,770.42,6.877
133,12/08/17 02:00:00 AM,770.35,6.775
134,12/08/17 02:15:00 AM,770.23,6.775
135,12/08/17 02:30:00 AM,770.23,6.775
136,12/08/17 02:45:00 AM,770.11,6.775
137,12/08/17 03:00:00 AM,770.21,6.573
138,12/08/17 03:15:00 AM,770.02,6.471
139,12/08/17 03:30:00 AM,770.25,6.471
140,12/08/17 03:45:00 AM,770.09,6.573
141,12/08/17 04:00:00 AM,770.02,6.471
142,12/08/17 04:15:00 AM,769.90,6.471
143,12/08/17 04:30:00 AM,770.02,6.471
144,12/08/17 04:45:00 AM,769.86,6.573
145,12/08/17 05:00:00 AM,769.90,6.471
146,12/08/17 05:15:00 AM,769.78,6.471
147,12/08/17 05:30:00 AM,769.76,6.268
148,12/08/17 05:45:00 AM,770.04,6.166
149,12/08/17 06:00:00 AM,769.92,6.166
150,12/08/17 06:15:00 AM,769.97,6.064
151,12/08/17 06:30:00 AM,770.02,5.962
152,12/08/17 06:45:00 AM,770.07,5.860
153,12/08/17 07:00:00 AM,770.07,5.860
154,12/08/17 07:15:00 AM,769.99,5.757
155,12/08/17 07:30:00 AM,770.11,5.757
156,12/08/17 07:45:00 AM,770.23,5.757
157,12/08/17 08:00:00 AM,770.18,5.860
158,12/08/17 08:15:00 AM,770.21,6.064
159,12/08/17 08:30:00 AM,770.37,6.471
160,12/08/17 08:45:00 AM,770.43,7.582
161,12/08/17 09:00:00 AM,770.32,8.481
162,12/08/17 09:15:00 AM,770.49,9.275
163,12/08/17 09:30:00 AM,770.71,10.161
164,12/08/17 09:45:00 AM,770.57,11.819
165,12/08/17 10:00:00 AM,770.44,13.365
166,12/08/17 10:15:00 AM,770.58,14.421
167,12/08/17 10:30:00 AM,770.46,15.664
168,12/08/17 10:45:00 AM,770.43,16.046
169,12/08/17 11:00:00 AM,770.34,16.523
170,12/08/17 11:15:00 AM,770.44,16.713
171,12/08/17 11:30:00 AM,769.62,18.521
172,12/08/17 11:45:00 AM,769.59,19.377
173,12/08/17 12:00:00 PM,769.49,19.662
174,12/08/17 12:15:00 PM,769.39,19.472
175,12/08/17 12:30:00 PM,769.15,18.996
176,12/08/17 12:45:00 PM,769.12,18.236
177,12/08/17 01:00:00 PM,768.97,17.950
178,12/08/17 01:15:00 PM,768.82,18.806
179,12/08/17 01:30:00 PM,768.60,18.616
180,12/08/17 01:45:00 PM,768.53,18.236
181,12/08/17 02:00:00 PM,768.39,17.760
182,12/08/17 02:15:00 PM,768.23,16.999
183,12/08/17 02:30:00 PM,768.36,16.141
184,12/08/17 02:45:00 PM,768.38,15.760
185,12/08/17 03:00:00 PM,768.30,16.046
186,12/08/17 03:15:00 PM,768.06,16.237
187,12/08/17 03:30:00 PM,768.01,15.951
188,12/08/17 03:45:00 PM,768.05,15.378
189,12/08/17 04:00:00 PM,767.90,14.900
190,12/08/17 04:15:00 PM,767.99,14.230
191,12/08/17 04:30:00 PM,768.01,13.461
192,12/08/17 04:45:00 PM,767.91,12.690
193,12/08/17 05:00:00 PM,767.85,12.207
194,12/08/17 05:15:00 PM,767.85,11.819
195,12/08/17 05:30:00 PM,767.91,11.334
196,12/08/17 05:45:00 PM,767.96,11.041
197,12/08/17 06:00:00 PM,767.94,10.455
198,12/08/17 06:15:00 PM,767.70,10.063
199,12/08/17 06:30:00 PM,767.45,9.669
200,12/08/17 06:45:00 PM,767.66,9.275
201,12/08/17 07:00:00 PM,767.70,8.978
202,12/08/17 07:15:00 PM,767.58,8.779
203,12/08/17 07:30:00 PM,767.56,8.581
204,12/08/17 07:45:00 PM,767.60,8.282
205,12/08/17 08:00:00 PM,767.58,8.082
206,12/08/17 08:15:00 PM,767.70,8.082
207,12/08/17 08:30:00 PM,767.64,7.983
208,12/08/17 08:45:00 PM,767.64,7.983
209,12/08/17 09:00:00 PM,767.64,7.983
210,12/08/17 09:15:00 PM,767.61,7.782
211,12/08/17 09:30:00 PM,767.43,7.682
212,12/08/17 09:45:00 PM,767.48,7.582
213,12/08/17 10:00:00 PM,767.34,7.381
214,12/08/17 10:15:00 PM,767.40,7.280
215,12/08/17 10:30:00 PM,767.40,7.280
216,12/08/17 10:45:00 PM,767.40,7.280
217,12/08/17 11:00:00 PM,767.21,7.179
218,12/08/17 11:15:00 PM,767.33,7.179
219,12/08/17 11:30:00 PM,767.21,7.179
220,12/08/17 11:45:00 PM,767.28,7.280
221,12/09/17 12:00:00 AM,767.28,7.280
222,12/09/17 12:15:00 AM,767.04,7.280
223,12/09/17 12:30:00 AM,766.98,7.179
224,12/09/17 12:45:00 AM,766.79,7.079
225,12/09/17 01:00:00 AM,766.86,7.179
226,12/09/17 01:15:00 AM,766.87,7.381
227,12/09/17 01:30:00 AM,766.89,7.582
228,12/09/17 01:45:00 AM,766.83,7.481
229,12/09/17 02:00:00 AM,766.87,7.381
