7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1514240520,+3.44,+13.185, +3.683,+0.979
1514241420,+3.44,+13.264, +6.061,+0.977
1514242320,+3.44,+13.290, +6.372,+0.975
1514243220,+3.44,+13.386, +6.311,+0.975
1514244120,+3.44,+13.334, +6.191,+0.976
1514245020,+3.44,+13.325, +6.040,+0.975
1514245920,+3.44,+13.325, +5.753,+0.976
1514246820,+3.44,+13.299, +5.396,+0.977
1514247720,+3.44,+13.255, +5.255,+0.976
1514248620,+3.44,+13.211, +4.974,+0.977
1514249520,+3.44,+13.211, +4.641,+0.977
1514250420,+3.44,+13.088, +4.156,+0.977
1514251320,+3.44,+13.062, +7.036,+0.972
1514252220,+3.44,+12.983, +7.634,+0.973
1514253120,+3.44,+12.948, +7.533,+0.974
1514254020,+3.44,+12.860, +7.139,+0.976
1514254920,+3.44,+12.728, +6.503,+0.976
1514255820,+3.44,+12.357, +5.904,+0.976
1514256720,+3.44,+12.073, +5.714,+0.977
1514257620,+3.44,+11.984, +5.822,+0.977
1514258520,+3.44,+11.860, +5.842,+0.976
1514259420,+3.44,+11.815, +5.801,+0.977
1514260320,+3.44,+11.646, +6.199,+0.976
1514261220,+3.44,+11.601,+10.903,+0.973
1514262120,+3.44,+11.512,+13.298,+0.975
1514263020,+3.44,+11.440,+14.076,+0.975
1514263920,+3.44,+11.431,+14.024,+0.976
1514264820,+3.44,+11.485,+13.829,+0.976
1514265720,+3.44,+11.467,+13.280,+0.976
1514266620,+3.44,+11.476,+12.619,+0.975
1514267520,+3.44,+11.476,+11.941,+0.975
1514268420,+3.44,+11.547,+11.407,+0.976
1514269320,+3.44,+11.458,+10.809,+0.974
1514270220,+3.44,+11.538,+10.233,+0.975
1514271120,+3.44,+11.637, +9.672,+0.976
1514272020,+3.44,+11.628, +9.108,+0.976
1514272920,+3.44,+11.646, +8.532,+0.976
1514273820,+3.44,+11.628, +7.998,+0.976
1514274720,+3.44,+11.574, +7.528,+0.977
1514275620,+3.44,+11.529, +7.094,+0.977
1514276520,+3.44,+11.458, +6.708,+0.977
1514277420,+3.44,+11.404, +6.364,+0.978
1514278320,+3.44,+11.332, +6.073,+0.978
1514279220,+3.44,+11.288, +5.775,+0.978
1514280120,+3.44,+11.234, +5.496,+0.979
1514281020,+3.44,+11.162, +5.217,+0.979
1514281920,+3.44,+11.126, +4.958,+0.979
1514282820,+3.44,+11.108, +4.721,+0.980
1514283720,+3.44,+11.081, +4.479,+0.980
1514284620,+3.44,+11.036, +4.246,+0.980
1514285520,+3.44,+11.000, +4.009,+0.980
1514286420,+3.44,+10.991, +3.788,+0.980
1514287320,+3.44,+10.946, +3.583,+0.980
1514288220,+3.44,+10.901, +3.428,+0.980
1514289120,+3.44,+10.882, +3.305,+0.980
1514290020,+3.44,+10.873, +3.179,+0.979
1514290920,+3.44,+10.846, +3.034,+0.980
1514291820,+3.44,+10.828, +2.885,+0.980
1514292720,+3.44,+10.792, +2.720,+0.980
1514293620,+3.44,+10.774, +2.562,+0.979
1514294520,+3.44,+10.783, +2.410,+0.979
1514295420,+3.44,+10.747, +2.285,+0.980
1514296320,+3.44,+10.729, +2.170,+0.979
1514297220,+3.44,+10.693, +2.073,+0.979
1514298120,+3.44,+10.684, +1.988,+0.979
1514299020,+3.44,+10.675, +1.913,+0.978
1514299920,+3.44,+10.629, +1.860,+0.978
1514300820,+3.44,+10.638, +1.803,+0.978
1514301720,+3.44,+10.575, +1.740,+0.978
1514302620,+3.44,+10.548, +1.676,+0.977
1514303520,+3.44,+10.548, +1.624,+0.977
1514304420,+3.44,+10.502, +1.577,+0.977
1514305320,+3.44,+10.530, +1.522,+0.977
1514306220,+3.44,+10.475, +1.468,+0.976
1514307120,+3.44,+10.502, +1.410,+0.976
1514308020,+3.44,+10.484, +1.354,+0.975
1514308920,+3.44,+10.457, +1.306,+0.975
1514309820,+3.44,+10.475, +1.258,+0.975
1514310720,+3.44,+10.502, +1.204,+0.975
1514311620,+3.44,+10.502, +1.162,+0.974
1514312520,+3.44,+10.502, +1.129,+0.973
1514313420,+3.44,+10.502, +1.841,+0.977
1514314320,+3.44,+10.511, +2.071,+0.978
1514315220,+3.44,+10.756, +2.522,+0.974
1514316120,+3.44,+11.162, +3.929,+0.964
1514317020,+3.44,+11.655, +8.423,+0.973
1514317920,+3.44,+12.047, +8.904,+0.975
1514318820,+3.44,+12.162, +9.593,+0.974
1514319720,+3.44,+12.375, +9.619,+0.975
1514320620,+3.44,+12.631, +9.885,+0.974
1514321520,+3.44,+12.825,+10.600,+0.973
1514322420,+3.44,+12.983,+10.566,+0.973
1514323320,+3.44,+13.053,+11.209,+0.973
1514324220,+3.44,+13.150,+11.410,+0.974
1514325120,+3.44,+13.299,+12.042,+0.975
1514326020,+3.44,+13.369,+12.154,+0.975
1514326920,+3.44,+13.421,+11.660,+0.974
