7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1516313640,+3.46,+16.155, +0.300,+0.963
1516314540,+3.46,+16.104, +0.346,+0.963
1516315440,+3.46,+16.214, +0.097,+0.958
1516316340,+3.46,+16.121, +0.204,+0.960
1516317240,+3.46,+16.146, +0.156,+0.959
1516318140,+3.46,+16.299, +0.106,+0.959
1516319040,+3.46,+16.427, +0.054,+0.957
1516319940,+3.46,+16.512, +0.263,+0.962
1516320840,+3.46,+16.572, +0.109,+0.958
1516321740,+3.46,+16.572, +0.214,+0.961
1516322640,+3.46,+16.521, +0.076,+0.957
1516323540,+3.46,+16.495, +0.132,+0.959
1516324440,+3.46,+16.512, +0.072,+0.957
1516325340,+3.46,+16.555, +0.049,+0.956
1516326240,+3.46,+16.597, +0.071,+0.957
1516327140,+3.46,+16.521, +0.471,+0.964
1516328040,+3.46,+16.444, +1.217,+0.975
1516328940,+3.46,+16.427, +1.342,+0.976
1516329840,+3.46,+16.299, +2.253,+0.980
1516330740,+3.46,+16.359, +0.710,+0.969
1516331640,+3.46,+16.376, +0.238,+0.961
1516332540,+3.46,+16.325, +0.336,+0.963
1516333440,+3.46,+16.240, +2.234,+0.980
1516334340,+3.46,+16.257, +1.950,+0.979
1516335240,+3.46,+16.325, +1.272,+0.976
1516336140,+3.46,+16.334, +1.051,+0.974
1516337040,+3.46,+16.351, +0.922,+0.973
1516337940,+3.46,+16.359, +0.662,+0.969
1516338840,+3.46,+16.368, +0.440,+0.965
1516339740,+3.46,+16.393, +0.246,+0.961
1516340640,+3.46,+16.436, +0.143,+0.959
1516341540,+3.46,+16.427, +0.090,+0.958
1516342440,+3.46,+16.470, +0.278,+0.962
1516343340,+3.46,+16.495, +0.160,+0.959
1516344240,+3.46,+16.512, +0.089,+0.958
1516345140,+3.46,+16.495, +0.201,+0.961
1516346040,+3.46,+16.470, +0.276,+0.962
1516346940,+3.46,+16.461, +0.142,+0.959
1516347840,+3.46,+16.478, +0.814,+0.972
1516348740,+3.46,+16.453, +0.711,+0.969
1516349640,+3.46,+16.410, +0.631,+0.968
1516350540,+3.46,+16.427, +0.805,+0.971
1516351440,+3.46,+16.427, +0.684,+0.969
1516352340,+3.46,+16.453, +1.154,+0.974
1516353240,+3.46,+16.436, +0.935,+0.972
1516354140,+3.46,+16.453, +0.704,+0.969
1516355040,+3.46,+16.436, +0.811,+0.971
1516355940,+3.46,+16.444, +1.095,+0.974
1516356840,+3.46,+16.470, +1.083,+0.975
1516357740,+3.46,+16.478, +0.825,+0.972
1516358640,+3.46,+16.512, +0.756,+0.971
1516359540,+3.47,+16.512, +0.519,+0.967
1516360440,+3.46,+16.504, +0.666,+0.970
1516361340,+3.46,+16.495, +0.499,+0.967
1516362240,+3.46,+16.512, +0.511,+0.967
1516363140,+3.46,+16.521, +0.330,+0.963
1516364040,+3.46,+16.495, +0.417,+0.965
1516364940,+3.46,+16.504, +0.547,+0.967
1516365840,+3.46,+16.453, +1.049,+0.974
1516366740,+3.46,+16.436, +1.643,+0.979
1516367640,+3.46,+16.419, +1.315,+0.976
1516368540,+3.46,+16.419, +1.009,+0.975
1516369440,+3.46,+16.410, +0.778,+0.971
1516370340,+3.46,+16.419, +0.766,+0.971
1516371240,+3.46,+16.402, +0.590,+0.968
1516372140,+3.46,+16.419, +0.724,+0.971
1516373040,+3.46,+16.410, +0.708,+0.971
1516373940,+3.46,+16.393, +0.649,+0.970
1516374840,+3.46,+16.385, +0.663,+0.970
1516375740,+3.46,+16.376, +0.518,+0.967
1516376640,+3.46,+16.402, +0.521,+0.968
1516377540,+3.46,+16.402, +0.342,+0.964
1516378440,+3.46,+16.393, +0.195,+0.961
1516379340,+3.46,+16.436, +0.116,+0.959
1516380240,+3.46,+16.436, +0.404,+0.965
1516381140,+3.46,+16.444, +0.408,+0.965
1516382040,+3.46,+16.461, +0.351,+0.964
1516382940,+3.46,+16.478, +0.297,+0.963
1516383840,+3.46,+16.529, +0.104,+0.959
1516384740,+3.46,+16.453, +0.149,+0.960
1516385640,+3.46,+16.461, +0.093,+0.959
1516386540,+3.46,+16.461, +0.241,+0.962
1516387440,+3.46,+16.478, +0.148,+0.960
1516388340,+3.46,+16.504, +0.273,+0.963
1516389240,+3.46,+16.487, +0.278,+0.963
1516390140,+3.46,+16.317, +0.324,+0.964
1516391040,+3.46,+16.461, +0.250,+0.962
1516391940,+3.46,+16.436, +0.220,+0.961
1516392840,+3.46,+16.631, +0.073,+0.958
1516393740,+3.46,+16.640, +0.132,+0.959
1516394640,+3.46,+16.665, +0.085,+0.958
1516395540,+3.46,+16.691, +0.070,+0.958
1516396440,+3.46,+16.674, +0.150,+0.960
1516397340,+3.46,+16.691, +0.100,+0.958
1516398240,+3.46,+16.725, +0.504,+0.967
1516399140,+3.46,+16.767, +0.252,+0.962
1516400040,+3.46,+16.759, +0.101,+0.958
