7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1517606580,+3.45,+15.890, +6.571,+0.977
1517607480,+3.45,+16.069, +6.562,+0.977
1517608380,+3.45,+16.231, +6.556,+0.978
1517609280,+3.45,+16.317, +6.561,+0.977
1517610180,+3.45,+16.393, +6.570,+0.978
1517611080,+3.45,+16.461, +6.565,+0.977
1517611980,+3.45,+16.521, +6.578,+0.978
1517612880,+3.45,+16.597, +6.574,+0.977
1517613780,+3.45,+16.691, +6.569,+0.977
1517614680,+3.45,+16.699, +6.573,+0.977
1517615580,+3.45,+16.699, +6.589,+0.977
1517616480,+3.45,+16.682, +6.597,+0.977
1517617380,+3.45,+16.708, +6.595,+0.977
1517618280,+3.45,+16.742, +6.594,+0.977
1517619180,+3.45,+16.750, +6.607,+0.978
1517620080,+3.45,+16.750, +6.602,+0.977
1517620980,+3.45,+16.759, +6.619,+0.977
1517621880,+3.46,+16.733, +6.602,+0.976
1517622780,+3.45,+16.699, +6.617,+0.977
1517623680,+3.45,+16.699, +6.616,+0.977
1517624580,+3.45,+16.750, +6.600,+0.978
1517625480,+3.46,+16.759, +6.585,+0.977
1517626380,+3.46,+16.759, +6.572,+0.977
1517627280,+3.46,+16.775, +6.566,+0.977
1517628180,+3.46,+16.767, +6.566,+0.977
1517629080,+3.46,+16.759, +6.564,+0.977
1517629980,+3.46,+16.733, +6.577,+0.977
1517630880,+3.46,+16.725, +6.574,+0.977
1517631780,+3.46,+16.733, +6.573,+0.977
1517632680,+3.46,+16.725, +6.580,+0.977
1517633580,+3.46,+16.759, +6.605,+0.978
1517634480,+3.46,+16.877, +6.616,+0.978
1517635380,+3.46,+16.843, +6.632,+0.977
1517636280,+3.46,+16.860, +6.648,+0.977
1517637180,+3.46,+16.877, +6.673,+0.977
1517638080,+3.46,+16.826, +6.694,+0.977
1517638980,+3.46,+16.860, +6.696,+0.977
1517639880,+3.46,+16.843, +6.693,+0.976
1517640780,+3.46,+16.852, +6.701,+0.977
1517641680,+3.46,+16.826, +6.722,+0.977
1517642580,+3.46,+16.835, +6.744,+0.978
1517643480,+3.46,+16.818, +6.762,+0.978
1517644380,+3.46,+16.809, +6.792,+0.978
1517645280,+3.46,+16.767, +6.822,+0.978
1517646180,+3.46,+16.784, +6.835,+0.977
1517647080,+3.46,+16.767, +6.852,+0.977
1517647980,+3.46,+16.759, +6.878,+0.977
1517648880,+3.46,+16.759, +6.892,+0.978
1517649780,+3.46,+16.691, +6.913,+0.977
1517650680,+3.46,+16.665, +6.936,+0.978
1517651580,+3.46,+16.691, +6.921,+0.977
1517652480,+3.46,+16.563, +6.959,+0.978
1517653380,+3.46,+16.521, +6.978,+0.978
1517654280,+3.46,+16.436, +6.998,+0.977
1517655180,+3.46,+16.385, +7.034,+0.978
1517656080,+3.46,+16.299, +7.048,+0.978
1517656980,+3.46,+16.308, +7.031,+0.976
1517657880,+3.46,+16.282, +7.061,+0.977
1517658780,+3.46,+16.223, +7.082,+0.977
1517659680,+3.46,+16.129, +7.116,+0.978
1517660580,+3.46,+15.865, +7.163,+0.977
1517661480,+3.46,+15.882, +7.167,+0.977
1517662380,+3.46,+15.848, +7.159,+0.977
1517663280,+3.46,+15.830, +7.156,+0.977
1517664180,+3.46,+15.668, +7.191,+0.977
1517665080,+3.46,+15.557, +7.204,+0.977
1517665980,+3.46,+15.471, +7.213,+0.977
1517666880,+3.46,+15.317, +7.262,+0.977
1517667780,+3.46,+15.291, +7.254,+0.977
1517668680,+3.46,+15.162, +7.268,+0.976
1517669580,+3.46,+15.111, +7.285,+0.977
1517670480,+3.46,+15.076, +7.287,+0.978
1517671380,+3.46,+15.068, +7.287,+0.978
1517672280,+3.46,+15.050, +7.299,+0.978
1517673180,+3.46,+14.947, +7.317,+0.978
1517674080,+3.46,+14.801, +7.339,+0.978
1517674980,+3.46,+14.792, +7.332,+0.978
1517675880,+3.46,+14.939, +7.292,+0.978
1517676780,+3.46,+14.844, +7.305,+0.977
1517677680,+3.46,+15.033, +7.269,+0.979
1517678580,+3.46,+14.827, +7.274,+0.979
1517679480,+3.46,+14.620, +7.309,+0.978
1517680380,+3.46,+14.775, +7.295,+0.979
1517681280,+3.46,+14.844, +7.280,+0.979
1517682180,+3.46,+14.749, +7.290,+0.977
1517683080,+3.46,+15.111, +7.257,+0.978
1517683980,+3.46,+15.154, +7.257,+0.978
1517684880,+3.45,+15.282, +7.242,+0.979
1517685780,+3.45,+15.411, +7.207,+0.978
1517686680,+3.46,+15.325, +7.220,+0.978
1517687580,+3.46,+15.514, +7.173,+0.977
1517688480,+3.46,+15.565, +7.152,+0.976
1517689380,+3.46,+15.754, +7.145,+0.976
1517690280,+3.46,+15.959, +7.147,+0.977
1517691180,+3.46,+16.078, +7.134,+0.977
1517692080,+3.46,+16.223, +7.137,+0.977
1517692980,+3.46,+16.359, +7.123,+0.977
