"Plot Title: 20036649 Audubon 01"
"#","Date Time, GMT-07:00","High Range, mS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)"
1,03/14/18 02:00:00 PM,18.8031,19.89
2,03/14/18 02:15:00 PM,18.8561,19.96
3,03/14/18 02:30:00 PM,18.7920,20.10
4,03/14/18 02:45:00 PM,18.5716,20.16
5,03/14/18 03:00:00 PM,18.3213,20.11
6,03/14/18 03:15:00 PM,17.8714,19.90
7,03/14/18 03:30:00 PM,18.4228,19.95
8,03/14/18 03:45:00 PM,18.5330,20.00
9,03/14/18 04:00:00 PM,18.5744,20.08
10,03/14/18 04:15:00 PM,18.6754,20.11
11,03/14/18 04:30:00 PM,18.7850,20.13
12,03/14/18 04:45:00 PM,18.3515,20.28
13,03/14/18 05:00:00 PM,18.4779,20.07
14,03/14/18 05:15:00 PM,18.2338,20.36
15,03/14/18 05:30:00 PM,18.2926,20.46
16,03/14/18 05:45:00 PM,18.4958,20.38
17,03/14/18 06:00:00 PM,18.6670,20.40
18,03/14/18 06:15:00 PM,18.6698,20.42
19,03/14/18 06:30:00 PM,18.5771,20.47
20,03/14/18 06:45:00 PM,18.5233,20.48
21,03/14/18 07:00:00 PM,18.6241,20.48
22,03/14/18 07:15:00 PM,18.8407,20.45
23,03/14/18 07:30:00 PM,18.9847,20.43
24,03/14/18 07:45:00 PM,19.1999,20.39
25,03/14/18 08:00:00 PM,19.4225,20.36
26,03/14/18 08:15:00 PM,19.3145,20.38
27,03/14/18 08:30:00 PM,19.4981,20.39
28,03/14/18 08:45:00 PM,19.5052,20.39
29,03/14/18 09:00:00 PM,19.5024,20.40
30,03/14/18 09:15:00 PM,19.6313,20.45
31,03/14/18 09:30:00 PM,19.5567,20.43
32,03/14/18 09:45:00 PM,19.4795,20.45
33,03/14/18 10:00:00 PM,19.6169,20.48
