7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1522540740,+3.47,+17.630, +8.088,+0.950
1522541640,+3.47,+17.597, +5.747,+0.961
1522542540,+3.47,+17.765, +6.191,+0.961
1522543440,+3.47,+17.782, +7.883,+0.954
1522544340,+3.47,+17.917, +8.274,+0.956
1522545240,+3.47,+18.035, +8.130,+0.955
1522546140,+3.47,+18.018,+10.083,+0.948
1522547040,+3.47,+17.664, +9.401,+0.947
1522547940,+3.47,+17.512, +7.349,+0.959
1522548840,+3.47,+17.461, +7.542,+0.960
1522549740,+3.47,+17.512, +6.099,+0.962
1522550640,+3.47,+17.411, +4.247,+0.959
1522551540,+3.47,+17.461, +4.786,+0.963
1522552440,+3.47,+17.639, +4.476,+0.964
1522553340,+3.47,+17.656, +9.518,+0.952
1522554240,+3.47,+17.841, +7.961,+0.961
1522555140,+3.47,+17.799, +9.595,+0.957
1522556040,+3.47,+17.521,+10.947,+0.953
1522556940,+3.47,+17.495,+12.094,+0.952
1522557840,+3.47,+17.470, +9.649,+0.958
1522558740,+3.47,+17.571, +9.773,+0.957
1522559640,+3.47,+17.647,+11.086,+0.956
1522560540,+3.47,+17.630, +9.825,+0.959
1522561440,+3.47,+17.597, +8.790,+0.961
1522562340,+3.47,+17.428, +7.793,+0.962
1522563240,+3.47,+17.419, +8.437,+0.963
1522564140,+3.47,+17.267, +5.833,+0.961
1522565040,+3.47,+16.750, +5.608,+0.961
1522565940,+3.47,+16.657, +7.168,+0.954
1522566840,+3.47,+16.699, +9.734,+0.960
1522567740,+3.47,+16.572, +7.363,+0.959
1522568640,+3.47,+16.614, +8.089,+0.958
1522569540,+3.47,+16.742, +8.535,+0.961
1522570440,+3.47,+16.835, +8.053,+0.963
1522571340,+3.47,+16.767, +7.907,+0.961
1522572240,+3.47,+16.708, +7.675,+0.962
1522573140,+3.47,+16.674, +7.314,+0.962
1522574040,+3.47,+16.674, +6.827,+0.962
1522574940,+3.47,+16.725, +7.017,+0.963
1522575840,+3.47,+16.742, +6.897,+0.963
1522576740,+3.47,+16.784, +6.664,+0.963
1522577640,+3.47,+16.708, +5.501,+0.963
1522578540,+3.47,+16.691, +3.956,+0.961
1522579440,+3.47,+16.691, +4.086,+0.962
1522580340,+3.47,+16.657, +3.674,+0.960
1522581240,+3.47,+16.665, +3.641,+0.961
1522582140,+3.47,+16.682, +3.934,+0.962
1522583040,+3.47,+16.708, +3.941,+0.963
1522583940,+3.47,+16.742, +5.536,+0.964
1522584840,+3.47,+16.767, +4.779,+0.964
1522585740,+3.47,+16.682, +4.351,+0.963
1522586640,+3.47,+16.742, +4.120,+0.965
1522587540,+3.47,+16.733, +4.191,+0.964
1522588440,+3.47,+16.716, +4.544,+0.965
1522589340,+3.47,+16.742, +4.762,+0.966
1522590240,+3.47,+16.750, +3.212,+0.961
1522591140,+3.47,+16.733, +2.528,+0.957
1522592040,+3.47,+16.657, +1.976,+0.954
1522592940,+3.47,+16.631, +1.656,+0.950
1522593840,+3.47,+16.631, +1.360,+0.948
1522594740,+3.47,+16.648, +1.331,+0.951
1522595640,+3.47,+16.623, +1.423,+0.951
1522596540,+3.47,+16.623, +1.569,+0.957
1522597440,+3.47,+16.631, +1.852,+0.961
1522598340,+3.47,+16.725, +1.722,+0.961
1522599240,+3.47,+16.784, +2.132,+0.964
1522600140,+3.47,+16.809, +2.177,+0.965
1522601040,+3.47,+16.767, +1.972,+0.964
1522601940,+3.47,+16.759, +1.982,+0.963
1522602840,+3.47,+16.767, +2.085,+0.965
1522603740,+3.47,+16.775, +2.270,+0.966
1522604640,+3.47,+16.750, +2.250,+0.966
1522605540,+3.47,+16.733, +1.978,+0.965
1522606440,+3.47,+16.792, +1.929,+0.965
1522607340,+3.47,+16.784, +1.835,+0.965
1522608240,+3.47,+16.801, +1.912,+0.965
1522609140,+3.47,+16.801, +1.781,+0.965
1522610040,+3.47,+16.818, +2.106,+0.966
1522610940,+3.47,+16.852, +2.271,+0.967
1522611840,+3.47,+16.801, +1.822,+0.966
1522612740,+3.47,+16.759, +1.724,+0.965
1522613640,+3.47,+16.767, +1.740,+0.966
1522614540,+3.46,+16.759, +2.164,+0.966
1522615440,+3.47,+16.725, +1.876,+0.966
1522616340,+3.47,+16.784, +2.650,+0.967
1522617240,+3.47,+16.699, +1.776,+0.965
1522618140,+3.47,+16.699, +1.352,+0.962
1522619040,+3.47,+16.657, +1.209,+0.961
1522619940,+3.47,+16.699, +1.946,+0.966
1522620840,+3.47,+16.674, +1.784,+0.965
1522621740,+3.47,+16.750, +1.613,+0.965
1522622640,+3.47,+16.843, +1.325,+0.963
1522623540,+3.47,+16.869, +1.122,+0.962
1522624440,+3.47,+16.937, +1.108,+0.962
1522625340,+3.47,+16.903, +1.417,+0.963
1522626240,+3.47,+16.894, +1.379,+0.963
1522627140,+3.47,+16.945, +1.261,+0.962
