"Plot Title: 20246312"
"#","Date Time, GMT-07:00","Abs Pres, mm Hg (LGR S/N: 20246312, SEN S/N: 20246312)","Temp, °C (LGR S/N: 20246312, SEN S/N: 20246312)"
1,04/05/18 02:00:00 PM,762.35,15.760
2,04/05/18 02:15:00 PM,762.42,15.664
3,04/05/18 02:30:00 PM,762.12,15.569
4,04/05/18 02:45:00 PM,762.00,15.569
5,04/05/18 03:00:00 PM,761.88,15.760
6,04/05/18 03:15:00 PM,762.00,15.569
7,04/05/18 03:30:00 PM,761.89,15.569
8,04/05/18 03:45:00 PM,761.64,15.760
9,04/05/18 04:00:00 PM,761.31,16.237
10,04/05/18 04:15:00 PM,760.98,16.713
11,04/05/18 04:30:00 PM,760.84,16.903
12,04/05/18 04:45:00 PM,760.77,17.665
13,04/05/18 05:00:00 PM,760.89,18.140
14,04/05/18 05:15:00 PM,760.86,18.521
15,04/05/18 05:30:00 PM,761.07,18.236
16,04/05/18 05:45:00 PM,760.86,18.521
17,04/05/18 06:00:00 PM,760.77,18.806
18,04/05/18 06:15:00 PM,760.76,18.331
19,04/05/18 06:30:00 PM,760.29,17.665
20,04/05/18 06:45:00 PM,760.35,17.094
21,04/05/18 07:00:00 PM,760.28,16.523
22,04/05/18 07:15:00 PM,760.06,16.332
23,04/05/18 07:30:00 PM,760.43,16.141
24,04/05/18 07:45:00 PM,760.32,15.951
25,04/05/18 08:00:00 PM,760.22,15.760
26,04/05/18 08:15:00 PM,760.29,15.664
27,04/05/18 08:30:00 PM,760.64,15.664
28,04/05/18 08:45:00 PM,760.53,15.473
29,04/05/18 09:00:00 PM,760.55,15.282
30,04/05/18 09:15:00 PM,760.50,15.187
31,04/05/18 09:30:00 PM,760.50,15.187
32,04/05/18 09:45:00 PM,760.61,15.187
33,04/05/18 10:00:00 PM,760.85,15.187
34,04/05/18 10:15:00 PM,760.85,15.187
35,04/05/18 10:30:00 PM,760.85,15.187
36,04/05/18 10:45:00 PM,761.02,15.282
37,04/05/18 11:00:00 PM,761.08,15.187
38,04/05/18 11:15:00 PM,760.97,15.187
39,04/05/18 11:30:00 PM,760.74,14.996
40,04/05/18 11:45:00 PM,760.74,14.996
41,04/06/18 12:00:00 AM,760.44,15.091
42,04/06/18 12:15:00 AM,760.26,15.187
43,04/06/18 12:30:00 AM,759.96,15.091
44,04/06/18 12:45:00 AM,759.96,15.091
45,04/06/18 01:00:00 AM,760.27,14.996
46,04/06/18 01:15:00 AM,760.40,14.804
47,04/06/18 01:30:00 AM,760.41,14.613
48,04/06/18 01:45:00 AM,760.36,14.325
49,04/06/18 02:00:00 AM,760.49,14.134
50,04/06/18 02:15:00 AM,760.43,14.038
51,04/06/18 02:30:00 AM,760.38,13.942
52,04/06/18 02:45:00 AM,760.26,13.750
53,04/06/18 03:00:00 AM,760.22,13.461
54,04/06/18 03:15:00 AM,760.34,13.269
55,04/06/18 03:30:00 AM,760.46,13.076
56,04/06/18 03:45:00 AM,760.53,12.980
57,04/06/18 04:00:00 AM,760.41,12.980
58,04/06/18 04:15:00 AM,760.59,12.883
59,04/06/18 04:30:00 AM,760.83,12.690
60,04/06/18 04:45:00 AM,760.71,12.497
61,04/06/18 05:00:00 AM,760.65,12.401
62,04/06/18 05:15:00 AM,760.41,12.401
63,04/06/18 05:30:00 AM,760.23,12.304
64,04/06/18 05:45:00 AM,760.35,12.304
65,04/06/18 06:00:00 AM,760.71,12.304
66,04/06/18 06:15:00 AM,760.71,12.110
67,04/06/18 06:30:00 AM,760.83,12.110
68,04/06/18 06:45:00 AM,760.95,12.110
69,04/06/18 07:00:00 AM,760.95,12.110
70,04/06/18 07:15:00 AM,760.83,12.304
71,04/06/18 07:30:00 AM,761.18,12.690
72,04/06/18 07:45:00 AM,760.99,13.173
73,04/06/18 08:00:00 AM,761.09,13.750
74,04/06/18 08:15:00 AM,761.19,14.325
75,04/06/18 08:30:00 AM,761.16,14.900
76,04/06/18 08:45:00 AM,761.27,15.091
77,04/06/18 09:00:00 AM,761.61,15.282
78,04/06/18 09:15:00 AM,761.61,15.282
79,04/06/18 09:30:00 AM,761.77,15.569
80,04/06/18 09:45:00 AM,761.76,15.760
81,04/06/18 10:00:00 AM,761.71,16.332
82,04/06/18 10:15:00 AM,761.52,16.618
83,04/06/18 10:30:00 AM,761.58,16.523
84,04/06/18 10:45:00 AM,761.75,17.284
85,04/06/18 11:00:00 AM,761.79,19.187
86,04/06/18 11:15:00 AM,761.66,18.236
87,04/06/18 11:30:00 AM,761.55,17.570
88,04/06/18 11:45:00 AM,761.49,18.140
89,04/06/18 12:00:00 PM,761.35,18.331
90,04/06/18 12:15:00 PM,761.25,18.140
91,04/06/18 12:30:00 PM,761.20,18.045
92,04/06/18 12:45:00 PM,761.16,17.950
93,04/06/18 01:00:00 PM,761.05,17.760
94,04/06/18 01:15:00 PM,760.85,18.045
95,04/06/18 01:30:00 PM,760.85,18.045
96,04/06/18 01:45:00 PM,760.85,18.045
97,04/06/18 02:00:00 PM,760.85,18.045
98,04/06/18 02:15:00 PM,760.47,17.760
99,04/06/18 02:30:00 PM,760.50,17.379
100,04/06/18 02:45:00 PM,760.40,17.189
101,04/06/18 03:00:00 PM,760.25,16.903
102,04/06/18 03:15:00 PM,760.18,16.999
103,04/06/18 03:30:00 PM,760.28,17.189
104,04/06/18 03:45:00 PM,760.13,17.570
105,04/06/18 04:00:00 PM,759.95,17.475
106,04/06/18 04:15:00 PM,759.91,17.379
107,04/06/18 04:30:00 PM,759.89,17.570
108,04/06/18 04:45:00 PM,759.91,18.521
109,04/06/18 05:00:00 PM,759.89,19.187
110,04/06/18 05:15:00 PM,759.93,19.282
111,04/06/18 05:30:00 PM,759.91,18.996
112,04/06/18 05:45:00 PM,759.89,18.711
113,04/06/18 06:00:00 PM,760.17,17.665
114,04/06/18 06:15:00 PM,759.92,17.189
115,04/06/18 06:30:00 PM,759.96,16.808
116,04/06/18 06:45:00 PM,760.03,16.713
117,04/06/18 07:00:00 PM,759.96,16.808
118,04/06/18 07:15:00 PM,759.94,16.999
119,04/06/18 07:30:00 PM,759.87,17.094
120,04/06/18 07:45:00 PM,759.96,16.808
121,04/06/18 08:00:00 PM,760.10,16.618
122,04/06/18 08:15:00 PM,760.05,16.523
123,04/06/18 08:30:00 PM,760.10,16.618
124,04/06/18 08:45:00 PM,760.08,16.808
125,04/06/18 09:00:00 PM,760.13,16.903
126,04/06/18 09:15:00 PM,760.17,17.189
127,04/06/18 09:30:00 PM,760.26,17.379
128,04/06/18 09:45:00 PM,760.23,16.427
129,04/06/18 10:00:00 PM,760.06,16.332
130,04/06/18 10:15:00 PM,760.29,16.332
131,04/06/18 10:30:00 PM,760.31,16.141
132,04/06/18 10:45:00 PM,760.27,15.855
133,04/06/18 11:00:00 PM,760.29,15.664
134,04/06/18 11:15:00 PM,760.11,15.569
135,04/06/18 11:30:00 PM,760.23,15.569
136,04/06/18 11:45:00 PM,760.41,15.664
137,04/07/18 12:00:00 AM,760.23,15.569
138,04/07/18 12:15:00 AM,760.11,15.569
139,04/07/18 12:30:00 AM,760.01,15.378
140,04/07/18 12:45:00 AM,760.06,15.473
141,04/07/18 01:00:00 AM,760.06,15.473
142,04/07/18 01:15:00 AM,760.11,15.569
143,04/07/18 01:30:00 AM,760.23,15.569
144,04/07/18 01:45:00 AM,760.18,15.473
145,04/07/18 02:00:00 AM,760.23,15.569
146,04/07/18 02:15:00 AM,760.29,15.664
147,04/07/18 02:30:00 AM,760.23,15.569
148,04/07/18 02:45:00 AM,760.35,15.569
149,04/07/18 03:00:00 AM,760.23,15.569
150,04/07/18 03:15:00 AM,760.29,15.664
151,04/07/18 03:30:00 AM,760.29,15.664
152,04/07/18 03:45:00 AM,760.17,15.664
153,04/07/18 04:00:00 AM,760.23,15.569
154,04/07/18 04:15:00 AM,760.13,15.378
155,04/07/18 04:30:00 AM,760.31,15.282
156,04/07/18 04:45:00 AM,760.24,15.378
157,04/07/18 05:00:00 AM,760.30,15.473
158,04/07/18 05:15:00 AM,760.18,15.473
159,04/07/18 05:30:00 AM,760.23,15.569
160,04/07/18 05:45:00 AM,759.99,15.569
161,04/07/18 06:00:00 AM,759.89,15.378
162,04/07/18 06:15:00 AM,759.71,15.282
163,04/07/18 06:30:00 AM,759.86,14.900
164,04/07/18 06:45:00 AM,759.92,14.804
165,04/07/18 07:00:00 AM,760.16,14.804
166,04/07/18 07:15:00 AM,760.33,14.900
167,04/07/18 07:30:00 AM,760.27,14.996
168,04/07/18 07:45:00 AM,760.38,15.187
169,04/07/18 08:00:00 AM,760.36,15.378
170,04/07/18 08:15:00 AM,760.41,15.473
171,04/07/18 08:30:00 AM,760.64,15.664
172,04/07/18 08:45:00 AM,760.52,15.664
173,04/07/18 09:00:00 AM,760.64,15.664
174,04/07/18 09:15:00 AM,760.83,15.378
175,04/07/18 09:30:00 AM,760.90,15.282
176,04/07/18 09:45:00 AM,760.94,15.569
177,04/07/18 10:00:00 AM,760.98,15.855
178,04/07/18 10:15:00 AM,760.92,15.951
179,04/07/18 10:30:00 AM,761.09,16.046
180,04/07/18 10:45:00 AM,761.14,16.141
181,04/07/18 11:00:00 AM,761.19,16.237
182,04/07/18 11:15:00 AM,760.99,16.523
183,04/07/18 11:30:00 AM,760.98,17.379
184,04/07/18 11:45:00 AM,760.66,18.140
