"Plot Title: 20036649 Audubon 01"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)"
1,04/05/18 02:00:00 PM,23019.3,20.69
2,04/05/18 02:15:00 PM,22691.7,20.92
3,04/05/18 02:30:00 PM,22507.9,21.07
4,04/05/18 02:45:00 PM,22034.9,21.77
5,04/05/18 03:00:00 PM,20642.6,22.60
6,04/05/18 03:15:00 PM,20799.0,22.89
7,04/05/18 03:30:00 PM,20663.6,23.06
8,04/05/18 03:45:00 PM,20695.1,23.10
9,04/05/18 04:00:00 PM,20970.2,23.11
10,04/05/18 04:15:00 PM,21420.6,22.83
11,04/05/18 04:30:00 PM,21637.9,22.91
12,04/05/18 04:45:00 PM,21674.1,23.05
13,04/05/18 05:00:00 PM,22394.7,22.84
14,04/05/18 05:15:00 PM,23024.4,22.59
15,04/05/18 05:30:00 PM,23041.4,22.63
16,04/05/18 05:45:00 PM,24504.4,22.45
17,04/05/18 06:00:00 PM,24406.1,22.45
18,04/05/18 06:15:00 PM,24637.1,22.39
19,04/05/18 06:30:00 PM,24721.7,22.37
20,04/05/18 06:45:00 PM,25030.5,22.24
21,04/05/18 07:00:00 PM,24575.3,22.41
22,04/05/18 07:15:00 PM,24270.0,22.41
23,04/05/18 07:30:00 PM,24193.2,22.43
24,04/05/18 07:45:00 PM,24586.5,22.48
25,04/05/18 08:00:00 PM,24489.5,22.60
26,04/05/18 08:15:00 PM,24467.3,22.67
27,04/05/18 08:30:00 PM,24365.5,22.68
28,04/05/18 08:45:00 PM,24603.3,22.63
29,04/05/18 09:00:00 PM,24409.8,22.64
30,04/05/18 09:15:00 PM,24189.5,22.67
31,04/05/18 09:30:00 PM,24345.3,22.65
32,04/05/18 09:45:00 PM,24411.7,22.63
33,04/05/18 10:00:00 PM,24317.7,22.60
34,04/05/18 10:15:00 PM,24140.4,22.60
35,04/05/18 10:30:00 PM,24105.9,22.64
36,04/05/18 10:45:00 PM,24384.0,22.65
37,04/05/18 11:00:00 PM,24337.9,22.59
38,04/05/18 11:15:00 PM,24125.9,22.61
39,04/05/18 11:30:00 PM,24266.3,22.58
40,04/05/18 11:45:00 PM,24233.4,22.48
41,04/06/18 12:00:00 AM,24086.0,22.21
42,04/06/18 12:15:00 AM,24006.5,22.04
43,04/06/18 12:30:00 AM,24151.3,22.09
44,04/06/18 12:45:00 AM,23979.5,22.00
45,04/06/18 01:00:00 AM,23073.7,21.93
46,04/06/18 01:15:00 AM,23720.8,21.98
47,04/06/18 01:30:00 AM,23931.0,22.05
48,04/06/18 01:45:00 AM,24317.7,22.27
49,04/06/18 02:00:00 AM,24595.8,22.46
50,04/06/18 02:15:00 AM,24551.0,22.50
51,04/06/18 02:30:00 AM,24415.4,22.51
52,04/06/18 02:45:00 AM,24270.0,22.46
53,04/06/18 03:00:00 AM,24487.7,22.41
54,04/06/18 03:15:00 AM,24445.0,22.34
55,04/06/18 03:30:00 AM,24476.5,22.35
56,04/06/18 03:45:00 AM,24543.5,22.39
57,04/06/18 04:00:00 AM,24482.1,22.37
58,04/06/18 04:15:00 AM,24459.8,22.39
59,04/06/18 04:30:00 AM,24441.3,22.41
60,04/06/18 04:45:00 AM,24176.8,22.24
61,04/06/18 05:00:00 AM,24026.3,22.22
62,04/06/18 05:15:00 AM,23889.8,22.11
63,04/06/18 05:30:00 AM,24080.6,22.06
64,04/06/18 05:45:00 AM,23975.9,22.15
65,04/06/18 06:00:00 AM,23485.4,21.84
66,04/06/18 06:15:00 AM,24266.3,22.03
67,04/06/18 06:30:00 AM,24469.1,22.03
68,04/06/18 06:45:00 AM,24246.2,21.92
69,04/06/18 07:00:00 AM,24295.6,21.98
70,04/06/18 07:15:00 AM,23909.5,21.56
71,04/06/18 07:30:00 AM,24073.3,21.62
72,04/06/18 07:45:00 AM,23979.5,21.56
73,04/06/18 08:00:00 AM,24191.4,21.52
74,04/06/18 08:15:00 AM,23975.9,21.51
75,04/06/18 08:30:00 AM,23389.7,21.02
76,04/06/18 08:45:00 AM,23706.7,21.13
77,04/06/18 09:00:00 AM,24058.8,21.29
78,04/06/18 09:15:00 AM,23772.2,21.15
79,04/06/18 09:30:00 AM,23588.6,21.05
80,04/06/18 09:45:00 AM,23384.5,20.86
81,04/06/18 10:00:00 AM,22631.9,20.43
82,04/06/18 10:15:00 AM,22965.1,20.69
83,04/06/18 10:30:00 AM,23272.2,21.05
84,04/06/18 10:45:00 AM,23301.5,20.72
85,04/06/18 11:00:00 AM,22430.7,20.25
86,04/06/18 11:15:00 AM,22116.9,20.39
87,04/06/18 11:30:00 AM,23089.0,20.70
88,04/06/18 11:45:00 AM,23044.8,20.95
89,04/06/18 12:00:00 PM,22751.7,20.96
90,04/06/18 12:15:00 PM,22781.8,21.29
91,04/06/18 12:30:00 PM,22280.5,21.21
92,04/06/18 12:45:00 PM,22017.3,21.50
93,04/06/18 01:00:00 PM,21164.2,22.50
94,04/06/18 01:15:00 PM,21315.2,22.54
95,04/06/18 01:30:00 PM,21439.3,22.69
96,04/06/18 01:45:00 PM,21447.1,22.63
97,04/06/18 02:00:00 PM,21611.2,22.98
98,04/06/18 02:15:00 PM,21338.4,22.97
99,04/06/18 02:30:00 PM,21713.5,22.88
100,04/06/18 02:45:00 PM,21779.9,22.83
101,04/06/18 03:00:00 PM,21837.0,23.06
102,04/06/18 03:15:00 PM,21659.9,23.05
103,04/06/18 03:30:00 PM,21835.4,23.14
104,04/06/18 03:45:00 PM,21832.2,23.04
105,04/06/18 04:00:00 PM,21868.8,22.81
106,04/06/18 04:15:00 PM,21894.2,22.75
107,04/06/18 04:30:00 PM,21907.0,23.05
