"Plot Title: 20036649 Audubon 01"
"#","Date Time, GMT-07:00","High Range, mS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)"
1,04/18/18 02:00:00 PM,27.4649,20.47
2,04/18/18 02:15:00 PM,27.7035,20.99
3,04/18/18 02:30:00 PM,27.8196,21.11
4,04/18/18 02:45:00 PM,27.8640,21.29
5,04/18/18 03:00:00 PM,27.9578,21.55
6,04/18/18 03:15:00 PM,28.0879,21.63
7,04/18/18 03:30:00 PM,28.1283,21.70
8,04/18/18 03:45:00 PM,28.1283,21.78
9,04/18/18 04:00:00 PM,28.1904,21.86
10,04/18/18 04:15:00 PM,28.2191,21.96
11,04/18/18 04:30:00 PM,28.0950,22.04
12,04/18/18 04:45:00 PM,28.3443,22.27
13,04/18/18 05:00:00 PM,28.3056,22.21
14,04/18/18 05:15:00 PM,28.4194,22.39
15,04/18/18 05:30:00 PM,28.3975,22.42
16,04/18/18 05:45:00 PM,28.3177,22.31
17,04/18/18 06:00:00 PM,28.5635,22.84
18,04/18/18 06:15:00 PM,28.5635,22.66
19,04/18/18 06:30:00 PM,28.5243,22.84
20,04/18/18 06:45:00 PM,28.4729,22.43
21,04/18/18 07:00:00 PM,28.4267,22.30
22,04/18/18 07:15:00 PM,28.4778,22.35
23,04/18/18 07:30:00 PM,28.5659,22.49
24,04/18/18 07:45:00 PM,28.6817,22.51
25,04/18/18 08:00:00 PM,30.3594,22.76
26,04/18/18 08:15:00 PM,30.6785,22.87
27,04/18/18 08:30:00 PM,30.5209,22.84
28,04/18/18 08:45:00 PM,30.7124,22.86
29,04/18/18 09:00:00 PM,30.5545,22.86
30,04/18/18 09:15:00 PM,30.0469,22.68
31,04/18/18 09:30:00 PM,29.7967,22.53
32,04/18/18 09:45:00 PM,29.8341,22.54
33,04/18/18 10:00:00 PM,29.9954,22.49
34,04/18/18 10:15:00 PM,29.8528,22.52
35,04/18/18 10:30:00 PM,29.8341,22.48
36,04/18/18 10:45:00 PM,29.8287,22.31
37,04/18/18 11:00:00 PM,29.7009,22.05
38,04/18/18 11:15:00 PM,29.4721,22.03
39,04/18/18 11:30:00 PM,29.2801,21.67
40,04/18/18 11:45:00 PM,29.3059,21.73
41,04/19/18 12:00:00 AM,29.1391,21.61
42,04/19/18 12:15:00 AM,28.1665,20.69
43,04/19/18 12:30:00 AM,28.0879,20.68
44,04/19/18 12:45:00 AM,27.6781,20.00
45,04/19/18 01:00:00 AM,27.3268,19.60
46,04/19/18 01:15:00 AM,27.3991,19.58
47,04/19/18 01:30:00 AM,27.3471,19.53
48,04/19/18 01:45:00 AM,27.4104,19.49
49,04/19/18 02:00:00 AM,27.3584,19.47
50,04/19/18 02:15:00 AM,27.3629,19.53
51,04/19/18 02:30:00 AM,27.2616,19.41
52,04/19/18 02:45:00 AM,27.3358,19.33
53,04/19/18 03:00:00 AM,27.2616,19.23
54,04/19/18 03:15:00 AM,27.2728,19.15
55,04/19/18 03:30:00 AM,27.0324,18.93
56,04/19/18 03:45:00 AM,27.1299,18.84
57,04/19/18 04:00:00 AM,27.1566,18.83
58,04/19/18 04:15:00 AM,27.1967,18.90
59,04/19/18 04:30:00 AM,27.3742,19.02
60,04/19/18 04:45:00 AM,27.6642,19.22
61,04/19/18 05:00:00 AM,27.6159,19.25
62,04/19/18 05:15:00 AM,27.2773,18.73
63,04/19/18 05:30:00 AM,27.4308,18.84
64,04/19/18 05:45:00 AM,27.5494,18.87
65,04/19/18 06:00:00 AM,27.3471,18.77
66,04/19/18 06:15:00 AM,27.4513,18.80
67,04/19/18 06:30:00 AM,27.3833,18.69
68,04/19/18 06:45:00 AM,27.4240,18.61
69,04/19/18 07:00:00 AM,27.4786,18.58
70,04/19/18 07:15:00 AM,26.7655,17.94
71,04/19/18 07:30:00 AM,27.0192,18.16
72,04/19/18 07:45:00 AM,26.9663,18.06
73,04/19/18 08:00:00 AM,26.8590,17.91
74,04/19/18 08:15:00 AM,26.8590,17.91
75,04/19/18 08:30:00 AM,26.7222,17.74
76,04/19/18 08:45:00 AM,26.5675,17.50
77,04/19/18 09:00:00 AM,26.5120,17.46
78,04/19/18 09:15:00 AM,26.5461,17.54
79,04/19/18 09:30:00 AM,26.5717,17.56
80,04/19/18 09:45:00 AM,26.7071,17.85
81,04/19/18 10:00:00 AM,26.7179,18.12
82,04/19/18 10:15:00 AM,26.8046,18.22
83,04/19/18 10:30:00 AM,26.9531,18.40
84,04/19/18 10:45:00 AM,27.0302,18.66
85,04/19/18 11:00:00 AM,26.9115,18.57
86,04/19/18 11:15:00 AM,27.2616,18.97
87,04/19/18 11:30:00 AM,27.1566,19.00
88,04/19/18 11:45:00 AM,27.3313,19.10
89,04/19/18 12:00:00 PM,27.3201,19.20
90,04/19/18 12:15:00 PM,27.3629,19.37
91,04/19/18 12:30:00 PM,27.3358,19.40
92,04/19/18 12:45:00 PM,27.4445,19.41
93,04/19/18 01:00:00 PM,27.4263,19.60
94,04/19/18 01:15:00 PM,27.4377,19.74
95,04/19/18 01:30:00 PM,27.7197,19.95
96,04/19/18 01:45:00 PM,27.7359,20.08
97,04/19/18 02:00:00 PM,27.6827,20.18
98,04/19/18 02:15:00 PM,27.8080,20.39
99,04/19/18 02:30:00 PM,28.0926,20.80
100,04/19/18 02:45:00 PM,28.2407,21.02
101,04/19/18 03:00:00 PM,28.0641,20.84
102,04/19/18 03:15:00 PM,28.3443,21.23
103,04/19/18 03:30:00 PM,28.3080,21.50
104,04/19/18 03:45:00 PM,28.3951,21.82
105,04/19/18 04:00:00 PM,28.6991,22.07
106,04/19/18 04:15:00 PM,28.4778,22.11
107,04/19/18 04:30:00 PM,28.7214,22.54
108,04/19/18 04:45:00 PM,28.9489,22.71
109,04/19/18 05:00:00 PM,28.8585,22.61
110,04/19/18 05:15:00 PM,28.8885,22.53
111,04/19/18 05:30:00 PM,28.7860,22.45
112,04/19/18 05:45:00 PM,28.8409,22.36
113,04/19/18 06:00:00 PM,28.7090,22.24
114,04/19/18 06:15:00 PM,28.7214,22.13
115,04/19/18 06:30:00 PM,28.7214,22.04
116,04/19/18 06:45:00 PM,28.6793,21.91
117,04/19/18 07:00:00 PM,28.5463,21.61
118,04/19/18 07:15:00 PM,28.6028,21.44
119,04/19/18 07:30:00 PM,28.6151,21.08
120,04/19/18 07:45:00 PM,28.4340,20.88
121,04/19/18 08:00:00 PM,28.4803,20.71
122,04/19/18 08:15:00 PM,28.7139,20.66
123,04/19/18 08:30:00 PM,29.0120,20.62
124,04/19/18 08:45:00 PM,28.3927,20.23
125,04/19/18 09:00:00 PM,28.2839,20.12
126,04/19/18 09:15:00 PM,28.2599,20.03
127,04/19/18 09:30:00 PM,28.0665,19.86
128,04/19/18 09:45:00 PM,28.1116,19.80
129,04/19/18 10:00:00 PM,28.0050,19.63
130,04/19/18 10:15:00 PM,27.8921,19.51
131,04/19/18 10:30:00 PM,27.8056,19.42
132,04/19/18 10:45:00 PM,27.8757,19.44
133,04/19/18 11:00:00 PM,27.8874,19.44
134,04/19/18 11:15:00 PM,27.8640,19.37
135,04/19/18 11:30:00 PM,27.8313,19.33
136,04/19/18 11:45:00 PM,27.7545,19.21
137,04/20/18 12:00:00 AM,27.6781,19.05
138,04/20/18 12:15:00 AM,27.5791,18.81
139,04/20/18 12:30:00 AM,27.4923,18.67
140,04/20/18 12:45:00 AM,27.4127,18.80
141,04/20/18 01:00:00 AM,27.6113,18.77
142,04/20/18 01:15:00 AM,27.5151,18.65
143,04/20/18 01:30:00 AM,27.4604,18.52
144,04/20/18 01:45:00 AM,27.4263,18.49
145,04/20/18 02:00:00 AM,27.4377,18.40
146,04/20/18 02:15:00 AM,27.3629,18.31
147,04/20/18 02:30:00 AM,27.2079,18.01
148,04/20/18 02:45:00 AM,26.9949,17.78
149,04/20/18 03:00:00 AM,26.8656,17.72
150,04/20/18 03:15:00 AM,27.0567,17.70
151,04/20/18 03:30:00 AM,27.0523,17.69
152,04/20/18 03:45:00 AM,26.8350,17.61
153,04/20/18 04:00:00 AM,26.9180,17.54
154,04/20/18 04:15:00 AM,27.0147,17.59
155,04/20/18 04:30:00 AM,26.8656,17.60
156,04/20/18 04:45:00 AM,27.0412,17.59
157,04/20/18 05:00:00 AM,27.0943,17.59
158,04/20/18 05:15:00 AM,27.0678,17.52
159,04/20/18 05:30:00 AM,27.0678,17.54
160,04/20/18 05:45:00 AM,27.4331,17.82
161,04/20/18 06:00:00 AM,27.3584,17.77
162,04/20/18 06:15:00 AM,27.4059,17.70
163,04/20/18 06:30:00 AM,27.3358,17.62
164,04/20/18 06:45:00 AM,27.1477,17.44
165,04/20/18 07:00:00 AM,27.1722,17.42
166,04/20/18 07:15:00 AM,27.2773,17.54
167,04/20/18 07:30:00 AM,27.1789,17.38
168,04/20/18 07:45:00 AM,27.0833,17.30
169,04/20/18 08:00:00 AM,27.0368,17.16
170,04/20/18 08:15:00 AM,27.0988,17.11
171,04/20/18 08:30:00 AM,26.9071,17.02
172,04/20/18 08:45:00 AM,27.1143,17.23
173,04/20/18 09:00:00 AM,27.1610,17.27
174,04/20/18 09:15:00 AM,26.7655,16.82
175,04/20/18 09:30:00 AM,26.7395,16.84
176,04/20/18 09:45:00 AM,26.6081,17.06
177,04/20/18 10:00:00 AM,26.9027,17.12
178,04/20/18 10:15:00 AM,26.9531,17.37
179,04/20/18 10:30:00 AM,27.0567,17.54
180,04/20/18 10:45:00 AM,27.0147,17.64
181,04/20/18 11:00:00 AM,27.2773,17.80
