"Plot Title: Level 20028982"
"#","Date Time, GMT-07:00","Abs Pres, mm Hg (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Press)","Temp, °C (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Temp)"
1,04/18/18 02:00:00 PM,905.01,16.618
2,04/18/18 02:15:00 PM,904.85,16.523
3,04/18/18 02:30:00 PM,904.60,16.523
4,04/18/18 02:45:00 PM,904.48,16.523
5,04/18/18 03:00:00 PM,904.35,16.523
6,04/18/18 03:15:00 PM,904.14,16.618
7,04/18/18 03:30:00 PM,904.06,16.713
8,04/18/18 03:45:00 PM,903.81,16.713
9,04/18/18 04:00:00 PM,903.59,16.808
10,04/18/18 04:15:00 PM,903.59,16.808
11,04/18/18 04:30:00 PM,903.43,16.713
12,04/18/18 04:45:00 PM,903.27,16.618
13,04/18/18 05:00:00 PM,903.27,16.618
14,04/18/18 05:15:00 PM,903.11,16.523
15,04/18/18 05:30:00 PM,902.98,16.523
16,04/18/18 05:45:00 PM,902.98,16.523
17,04/18/18 06:00:00 PM,902.86,16.523
18,04/18/18 06:15:00 PM,902.74,16.523
19,04/18/18 06:30:00 PM,902.62,16.523
20,04/18/18 06:45:00 PM,902.65,16.618
21,04/18/18 07:00:00 PM,902.65,16.618
22,04/18/18 07:15:00 PM,902.69,16.713
23,04/18/18 07:30:00 PM,902.85,16.808
24,04/18/18 07:45:00 PM,902.80,16.999
25,04/18/18 08:00:00 PM,902.71,17.094
26,04/18/18 08:15:00 PM,902.55,16.999
27,04/18/18 08:30:00 PM,902.69,16.713
28,04/18/18 08:45:00 PM,902.90,16.618
29,04/18/18 09:00:00 PM,903.15,16.618
30,04/18/18 09:15:00 PM,903.15,16.618
31,04/18/18 09:30:00 PM,903.31,16.713
32,04/18/18 09:45:00 PM,903.43,16.713
33,04/18/18 10:00:00 PM,903.47,16.808
34,04/18/18 10:15:00 PM,903.51,16.903
35,04/18/18 10:30:00 PM,903.63,16.903
36,04/18/18 10:45:00 PM,903.72,16.808
37,04/18/18 11:00:00 PM,903.68,16.713
38,04/18/18 11:15:00 PM,903.81,16.713
39,04/18/18 11:30:00 PM,903.55,16.713
40,04/18/18 11:45:00 PM,903.72,16.808
41,04/19/18 12:00:00 AM,903.43,16.713
42,04/19/18 12:15:00 AM,903.40,16.618
43,04/19/18 12:30:00 AM,903.52,16.618
44,04/19/18 12:45:00 AM,903.55,16.713
45,04/19/18 01:00:00 AM,903.55,16.713
46,04/19/18 01:15:00 AM,903.59,16.808
47,04/19/18 01:30:00 AM,903.55,16.713
48,04/19/18 01:45:00 AM,903.68,16.713
49,04/19/18 02:00:00 AM,903.59,16.808
50,04/19/18 02:15:00 AM,903.67,16.999
51,04/19/18 02:30:00 AM,903.55,16.999
52,04/19/18 02:45:00 AM,903.63,16.903
53,04/19/18 03:00:00 AM,903.47,16.808
54,04/19/18 03:15:00 AM,903.43,16.713
55,04/19/18 03:30:00 AM,903.55,16.713
56,04/19/18 03:45:00 AM,903.55,16.713
57,04/19/18 04:00:00 AM,903.68,16.713
58,04/19/18 04:15:00 AM,903.84,16.808
59,04/19/18 04:30:00 AM,904.09,16.808
60,04/19/18 04:45:00 AM,903.76,16.903
61,04/19/18 05:00:00 AM,903.88,16.903
62,04/19/18 05:15:00 AM,903.88,16.903
63,04/19/18 05:30:00 AM,903.97,16.808
64,04/19/18 05:45:00 AM,903.97,16.808
65,04/19/18 06:00:00 AM,904.09,16.808
66,04/19/18 06:15:00 AM,904.09,16.808
67,04/19/18 06:30:00 AM,904.21,16.808
68,04/19/18 06:45:00 AM,904.09,16.808
69,04/19/18 07:00:00 AM,904.46,16.808
70,04/19/18 07:15:00 AM,904.96,16.808
71,04/19/18 07:30:00 AM,904.75,16.903
72,04/19/18 07:45:00 AM,904.59,16.808
73,04/19/18 08:00:00 AM,904.96,16.808
74,04/19/18 08:15:00 AM,904.96,16.808
75,04/19/18 08:30:00 AM,905.12,16.903
76,04/19/18 08:45:00 AM,905.16,16.999
77,04/19/18 09:00:00 AM,905.03,16.999
78,04/19/18 09:15:00 AM,905.12,16.903
79,04/19/18 09:30:00 AM,905.08,16.808
80,04/19/18 09:45:00 AM,905.20,16.808
81,04/19/18 10:00:00 AM,905.45,16.808
82,04/19/18 10:15:00 AM,905.45,16.808
83,04/19/18 10:30:00 AM,905.08,16.808
84,04/19/18 10:45:00 AM,905.37,16.903
85,04/19/18 11:00:00 AM,905.49,16.903
86,04/19/18 11:15:00 AM,905.45,16.808
87,04/19/18 11:30:00 AM,905.62,16.903
88,04/19/18 11:45:00 AM,905.32,17.094
89,04/19/18 12:00:00 PM,905.23,17.189
90,04/19/18 12:15:00 PM,904.65,17.284
91,04/19/18 12:30:00 PM,904.36,17.189
92,04/19/18 12:45:00 PM,904.20,17.094
93,04/19/18 01:00:00 PM,903.95,17.094
94,04/19/18 01:15:00 PM,904.00,16.903
95,04/19/18 01:30:00 PM,904.12,16.903
96,04/19/18 01:45:00 PM,904.41,16.999
97,04/19/18 02:00:00 PM,904.33,17.094
98,04/19/18 02:15:00 PM,904.27,17.284
99,04/19/18 02:30:00 PM,904.15,17.284
100,04/19/18 02:45:00 PM,904.03,17.284
101,04/19/18 03:00:00 PM,903.83,17.094
102,04/19/18 03:15:00 PM,903.91,16.999
103,04/19/18 03:30:00 PM,903.79,16.999
104,04/19/18 03:45:00 PM,903.79,16.999
105,04/19/18 04:00:00 PM,903.83,17.094
106,04/19/18 04:15:00 PM,903.95,17.094
107,04/19/18 04:30:00 PM,903.87,17.189
108,04/19/18 04:45:00 PM,903.99,17.189
109,04/19/18 05:00:00 PM,903.95,17.094
110,04/19/18 05:15:00 PM,903.95,17.094
111,04/19/18 05:30:00 PM,904.04,16.999
112,04/19/18 05:45:00 PM,903.95,17.094
113,04/19/18 06:00:00 PM,903.70,17.094
114,04/19/18 06:15:00 PM,903.99,17.189
115,04/19/18 06:30:00 PM,903.91,17.284
116,04/19/18 06:45:00 PM,903.94,17.379
117,04/19/18 07:00:00 PM,904.03,17.284
118,04/19/18 07:15:00 PM,904.08,17.094
119,04/19/18 07:30:00 PM,903.83,17.094
120,04/19/18 07:45:00 PM,903.99,17.189
121,04/19/18 08:00:00 PM,903.99,17.189
122,04/19/18 08:15:00 PM,903.99,17.189
123,04/19/18 08:30:00 PM,903.99,17.189
124,04/19/18 08:45:00 PM,904.24,17.189
125,04/19/18 09:00:00 PM,904.24,17.189
126,04/19/18 09:15:00 PM,904.48,17.189
127,04/19/18 09:30:00 PM,904.57,17.094
128,04/19/18 09:45:00 PM,904.98,17.189
129,04/19/18 10:00:00 PM,905.11,17.189
130,04/19/18 10:15:00 PM,905.02,17.284
131,04/19/18 10:30:00 PM,905.11,17.189
132,04/19/18 10:45:00 PM,905.11,17.189
133,04/19/18 11:00:00 PM,905.11,17.189
134,04/19/18 11:15:00 PM,905.23,17.189
135,04/19/18 11:30:00 PM,905.60,17.189
136,04/19/18 11:45:00 PM,905.48,17.189
137,04/20/18 12:00:00 AM,905.52,17.284
138,04/20/18 12:15:00 AM,905.52,17.284
139,04/20/18 12:30:00 AM,905.60,17.189
140,04/20/18 12:45:00 AM,905.56,17.094
141,04/20/18 01:00:00 AM,905.53,16.999
142,04/20/18 01:15:00 AM,905.69,17.094
143,04/20/18 01:30:00 AM,905.44,17.094
144,04/20/18 01:45:00 AM,905.60,17.189
145,04/20/18 02:00:00 AM,905.60,17.189
146,04/20/18 02:15:00 AM,905.52,17.284
147,04/20/18 02:30:00 AM,905.52,17.284
148,04/20/18 02:45:00 AM,905.39,17.284
149,04/20/18 03:00:00 AM,905.64,17.284
150,04/20/18 03:15:00 AM,905.35,17.189
151,04/20/18 03:30:00 AM,905.48,17.189
152,04/20/18 03:45:00 AM,905.44,17.094
153,04/20/18 04:00:00 AM,905.56,17.094
154,04/20/18 04:15:00 AM,905.69,17.094
155,04/20/18 04:30:00 AM,905.69,17.094
156,04/20/18 04:45:00 AM,905.60,17.189
157,04/20/18 05:00:00 AM,905.73,17.189
158,04/20/18 05:15:00 AM,905.64,17.284
159,04/20/18 05:30:00 AM,905.64,17.284
160,04/20/18 05:45:00 AM,905.89,17.284
161,04/20/18 06:00:00 AM,905.85,17.189
162,04/20/18 06:15:00 AM,905.85,17.189
163,04/20/18 06:30:00 AM,905.98,17.189
164,04/20/18 06:45:00 AM,906.10,17.189
165,04/20/18 07:00:00 AM,906.10,17.189
166,04/20/18 07:15:00 AM,906.34,17.189
167,04/20/18 07:30:00 AM,906.47,17.189
168,04/20/18 07:45:00 AM,906.34,17.189
169,04/20/18 08:00:00 AM,906.47,17.189
170,04/20/18 08:15:00 AM,906.60,17.189
171,04/20/18 08:30:00 AM,906.60,17.189
172,04/20/18 08:45:00 AM,906.60,17.189
173,04/20/18 09:00:00 AM,906.85,17.189
174,04/20/18 09:15:00 AM,906.97,17.189
175,04/20/18 09:30:00 AM,907.46,17.189
176,04/20/18 09:45:00 AM,907.34,17.189
177,04/20/18 10:00:00 AM,907.46,17.189
178,04/20/18 10:15:00 AM,907.71,17.189
179,04/20/18 10:30:00 AM,907.50,17.284
180,04/20/18 10:45:00 AM,907.38,17.284
181,04/20/18 11:00:00 AM,907.63,17.284
182,04/20/18 11:15:00 AM,907.38,17.284
