"Plot Title: 20246312"
"#","Date Time, GMT-07:00","Abs Pres, mm Hg (LGR S/N: 20246312, SEN S/N: 20246312)","Temp, °C (LGR S/N: 20246312, SEN S/N: 20246312)"
1,04/23/18 01:00:00 PM,761.78,16.237
2,04/23/18 01:15:00 PM,761.81,15.855
3,04/23/18 01:30:00 PM,761.69,15.855
4,04/23/18 01:45:00 PM,761.70,15.664
5,04/23/18 02:00:00 PM,761.58,15.855
6,04/23/18 02:15:00 PM,761.55,16.237
7,04/23/18 02:30:00 PM,761.43,16.237
8,04/23/18 02:45:00 PM,761.37,16.141
9,04/23/18 03:00:00 PM,761.32,16.046
10,04/23/18 03:15:00 PM,761.20,16.046
11,04/23/18 03:30:00 PM,761.25,16.141
12,04/23/18 03:45:00 PM,761.20,16.046
13,04/23/18 04:00:00 PM,760.98,15.855
14,04/23/18 04:15:00 PM,761.04,15.760
15,04/23/18 04:30:00 PM,760.89,15.473
16,04/23/18 04:45:00 PM,760.85,15.187
17,04/23/18 05:00:00 PM,760.93,14.709
18,04/23/18 05:15:00 PM,760.95,14.325
19,04/23/18 05:30:00 PM,760.98,14.804
20,04/23/18 05:45:00 PM,761.11,15.664
21,04/23/18 06:00:00 PM,760.90,15.282
22,04/23/18 06:15:00 PM,760.74,14.996
23,04/23/18 06:30:00 PM,760.75,14.804
24,04/23/18 06:45:00 PM,760.81,14.709
25,04/23/18 07:00:00 PM,760.65,14.421
26,04/23/18 07:15:00 PM,760.60,14.134
27,04/23/18 07:30:00 PM,760.67,14.038
28,04/23/18 07:45:00 PM,760.80,13.846
29,04/23/18 08:00:00 PM,760.92,13.654
30,04/23/18 08:15:00 PM,760.92,13.461
31,04/23/18 08:30:00 PM,760.99,13.173
32,04/23/18 08:45:00 PM,760.93,13.269
33,04/23/18 09:00:00 PM,761.04,13.269
34,04/23/18 09:15:00 PM,761.04,13.461
35,04/23/18 09:30:00 PM,761.15,13.846
36,04/23/18 09:45:00 PM,761.13,14.230
37,04/23/18 10:00:00 PM,761.37,14.230
38,04/23/18 10:15:00 PM,761.37,14.038
39,04/23/18 10:30:00 PM,761.45,13.750
40,04/23/18 10:45:00 PM,761.21,13.750
41,04/23/18 11:00:00 PM,761.27,13.654
42,04/23/18 11:15:00 PM,761.10,13.365
43,04/23/18 11:30:00 PM,761.27,13.654
44,04/23/18 11:45:00 PM,761.22,13.365
45,04/24/18 12:00:00 AM,761.16,13.461
46,04/24/18 12:15:00 AM,761.34,13.365
47,04/24/18 12:30:00 AM,761.34,13.173
48,04/24/18 12:45:00 AM,761.28,13.269
49,04/24/18 01:00:00 AM,761.28,13.269
50,04/24/18 01:15:00 AM,761.40,13.269
51,04/24/18 01:30:00 AM,761.40,13.269
52,04/24/18 01:45:00 AM,761.35,12.980
53,04/24/18 02:00:00 AM,760.93,13.076
54,04/24/18 02:15:00 AM,760.82,13.076
55,04/24/18 02:30:00 AM,760.94,12.883
56,04/24/18 02:45:00 AM,760.94,12.883
57,04/24/18 03:00:00 AM,760.82,12.883
58,04/24/18 03:15:00 AM,760.82,13.076
59,04/24/18 03:30:00 AM,760.70,12.883
60,04/24/18 03:45:00 AM,760.59,12.883
61,04/24/18 04:00:00 AM,760.95,12.497
62,04/24/18 04:15:00 AM,761.13,12.013
63,04/24/18 04:30:00 AM,761.30,11.916
64,04/24/18 04:45:00 AM,761.24,11.819
65,04/24/18 05:00:00 AM,761.30,11.916
66,04/24/18 05:15:00 AM,761.36,11.819
67,04/24/18 05:30:00 AM,761.54,11.722
68,04/24/18 05:45:00 AM,761.42,11.916
69,04/24/18 06:00:00 AM,761.42,11.916
70,04/24/18 06:15:00 AM,761.42,12.110
71,04/24/18 06:30:00 AM,761.60,12.013
72,04/24/18 06:45:00 AM,761.48,12.013
73,04/24/18 07:00:00 AM,761.65,12.304
74,04/24/18 07:15:00 AM,761.59,12.594
75,04/24/18 07:30:00 AM,762.00,12.497
76,04/24/18 07:45:00 AM,761.83,12.401
77,04/24/18 08:00:00 AM,761.94,12.787
78,04/24/18 08:15:00 AM,761.94,12.980
79,04/24/18 08:30:00 AM,762.00,13.076
80,04/24/18 08:45:00 AM,761.70,13.173
81,04/24/18 09:00:00 AM,761.82,12.980
82,04/24/18 09:15:00 AM,762.00,12.883
83,04/24/18 09:30:00 AM,762.06,12.787
84,04/24/18 09:45:00 AM,762.41,12.980
85,04/24/18 10:00:00 AM,762.64,13.365
86,04/24/18 10:15:00 AM,762.81,13.654
87,04/24/18 10:30:00 AM,762.87,13.558
88,04/24/18 10:45:00 AM,762.93,13.654
89,04/24/18 11:00:00 AM,763.03,14.038
90,04/24/18 11:15:00 AM,763.16,13.846
91,04/24/18 11:30:00 AM,763.04,13.846
92,04/24/18 11:45:00 AM,762.86,13.942
93,04/24/18 12:00:00 PM,762.73,14.134
94,04/24/18 12:15:00 PM,762.84,14.325
95,04/24/18 12:30:00 PM,762.90,14.421
96,04/24/18 12:45:00 PM,762.84,14.325
97,04/24/18 01:00:00 PM,762.73,14.134
98,04/24/18 01:15:00 PM,762.67,14.230
99,04/24/18 01:30:00 PM,762.54,14.613
100,04/24/18 01:45:00 PM,762.24,14.517
101,04/24/18 02:00:00 PM,762.24,14.517
102,04/24/18 02:15:00 PM,762.42,14.613
103,04/24/18 02:30:00 PM,762.35,14.709
104,04/24/18 02:45:00 PM,762.41,14.804
105,04/24/18 03:00:00 PM,762.34,14.900
106,04/24/18 03:15:00 PM,762.27,14.996
107,04/24/18 03:30:00 PM,762.16,14.996
108,04/24/18 03:45:00 PM,762.12,14.709
109,04/24/18 04:00:00 PM,762.05,14.804
110,04/24/18 04:15:00 PM,761.88,14.709
111,04/24/18 04:30:00 PM,761.89,14.517
112,04/24/18 04:45:00 PM,762.00,14.517
113,04/24/18 05:00:00 PM,761.90,14.325
114,04/24/18 05:15:00 PM,761.84,14.230
115,04/24/18 05:30:00 PM,761.67,14.134
116,04/24/18 05:45:00 PM,761.61,14.038
117,04/24/18 06:00:00 PM,761.56,13.942
118,04/24/18 06:15:00 PM,761.50,13.846
119,04/24/18 06:30:00 PM,761.51,13.654
120,04/24/18 06:45:00 PM,761.28,13.461
121,04/24/18 07:00:00 PM,761.34,13.365
122,04/24/18 07:15:00 PM,761.40,13.461
123,04/24/18 07:30:00 PM,761.28,13.461
124,04/24/18 07:45:00 PM,761.28,13.269
125,04/24/18 08:00:00 PM,761.22,13.173
126,04/24/18 08:15:00 PM,761.22,13.173
127,04/24/18 08:30:00 PM,761.11,12.980
128,04/24/18 08:45:00 PM,761.05,13.076
129,04/24/18 09:00:00 PM,761.17,13.076
130,04/24/18 09:15:00 PM,761.40,13.269
131,04/24/18 09:30:00 PM,761.28,13.461
132,04/24/18 09:45:00 PM,761.57,13.558
133,04/24/18 10:00:00 PM,761.57,13.558
134,04/24/18 10:15:00 PM,761.86,13.654
135,04/24/18 10:30:00 PM,762.03,13.750
136,04/24/18 10:45:00 PM,762.03,13.750
137,04/24/18 11:00:00 PM,762.33,13.846
138,04/24/18 11:15:00 PM,762.21,13.654
139,04/24/18 11:30:00 PM,762.28,13.558
140,04/24/18 11:45:00 PM,762.21,13.654
141,04/25/18 12:00:00 AM,762.28,13.558
142,04/25/18 12:15:00 AM,762.40,13.365
143,04/25/18 12:30:00 AM,762.46,13.269
144,04/25/18 12:45:00 AM,762.46,13.269
145,04/25/18 01:00:00 AM,762.64,13.173
146,04/25/18 01:15:00 AM,762.77,12.980
147,04/25/18 01:30:00 AM,762.77,12.980
148,04/25/18 01:45:00 AM,762.65,12.787
149,04/25/18 02:00:00 AM,762.41,12.980
150,04/25/18 02:15:00 AM,762.53,12.980
151,04/25/18 02:30:00 AM,762.59,13.076
152,04/25/18 02:45:00 AM,762.47,13.076
153,04/25/18 03:00:00 AM,762.35,13.076
154,04/25/18 03:15:00 AM,762.24,13.076
155,04/25/18 03:30:00 AM,762.24,13.076
156,04/25/18 03:45:00 AM,762.24,13.076
157,04/25/18 04:00:00 AM,762.35,13.076
158,04/25/18 04:15:00 AM,762.58,13.269
159,04/25/18 04:30:00 AM,762.64,13.173
160,04/25/18 04:45:00 AM,762.53,12.980
161,04/25/18 05:00:00 AM,762.53,12.980
162,04/25/18 05:15:00 AM,762.53,12.980
163,04/25/18 05:30:00 AM,762.53,12.980
164,04/25/18 05:45:00 AM,762.41,12.980
165,04/25/18 06:00:00 AM,762.59,13.076
166,04/25/18 06:15:00 AM,762.59,13.076
167,04/25/18 06:30:00 AM,762.71,13.076
168,04/25/18 06:45:00 AM,762.82,13.076
169,04/25/18 07:00:00 AM,762.88,12.980
170,04/25/18 07:15:00 AM,763.06,12.883
171,04/25/18 07:30:00 AM,763.24,12.980
172,04/25/18 07:45:00 AM,763.35,12.980
173,04/25/18 08:00:00 AM,763.47,13.173
174,04/25/18 08:15:00 AM,763.59,13.173
175,04/25/18 08:30:00 AM,763.71,13.173
176,04/25/18 08:45:00 AM,763.83,13.173
177,04/25/18 09:00:00 AM,763.83,13.173
178,04/25/18 09:15:00 AM,763.88,13.269
179,04/25/18 09:30:00 AM,764.11,13.461
180,04/25/18 09:45:00 AM,764.22,13.654
181,04/25/18 10:00:00 AM,764.22,13.654
182,04/25/18 10:15:00 AM,764.40,13.558
183,04/25/18 10:30:00 AM,764.40,13.558
184,04/25/18 10:45:00 AM,764.40,13.750
185,04/25/18 11:00:00 AM,764.34,13.846
186,04/25/18 11:15:00 AM,764.26,14.325
187,04/25/18 11:30:00 AM,764.13,14.709
188,04/25/18 11:45:00 AM,764.28,14.996
189,04/25/18 12:00:00 PM,764.33,15.282
190,04/25/18 12:15:00 PM,764.03,15.378
191,04/25/18 12:30:00 PM,763.94,14.804
192,04/25/18 12:45:00 PM,763.65,14.709
193,04/25/18 01:00:00 PM,763.66,14.517
194,04/25/18 01:15:00 PM,763.42,14.517
195,04/25/18 01:30:00 PM,763.50,14.038
196,04/25/18 01:45:00 PM,763.33,13.942
197,04/25/18 02:00:00 PM,763.26,14.038
198,04/25/18 02:15:00 PM,763.26,14.038
199,04/25/18 02:30:00 PM,763.20,14.134
200,04/25/18 02:45:00 PM,763.20,14.325
201,04/25/18 03:00:00 PM,763.01,14.613
202,04/25/18 03:15:00 PM,762.94,14.709
203,04/25/18 03:30:00 PM,762.81,14.900
204,04/25/18 03:45:00 PM,762.75,14.996
205,04/25/18 04:00:00 PM,762.69,15.091
206,04/25/18 04:15:00 PM,762.62,15.187
207,04/25/18 04:30:00 PM,762.44,15.282
208,04/25/18 04:45:00 PM,762.37,15.378
209,04/25/18 05:00:00 PM,762.31,15.473
210,04/25/18 05:15:00 PM,762.35,15.760
211,04/25/18 05:30:00 PM,762.54,16.999
212,04/25/18 05:45:00 PM,762.58,17.284
213,04/25/18 06:00:00 PM,762.68,16.808
214,04/25/18 06:15:00 PM,762.36,15.569
215,04/25/18 06:30:00 PM,762.18,15.664
216,04/25/18 06:45:00 PM,762.09,15.091
217,04/25/18 07:00:00 PM,761.94,14.613
218,04/25/18 07:15:00 PM,761.90,14.325
219,04/25/18 07:30:00 PM,761.91,14.134
220,04/25/18 07:45:00 PM,761.91,13.942
221,04/25/18 08:00:00 PM,761.85,13.846
222,04/25/18 08:15:00 PM,761.85,13.846
223,04/25/18 08:30:00 PM,761.85,13.846
224,04/25/18 08:45:00 PM,761.97,13.846
225,04/25/18 09:00:00 PM,762.10,13.654
226,04/25/18 09:15:00 PM,761.98,13.654
227,04/25/18 09:30:00 PM,762.15,13.942
228,04/25/18 09:45:00 PM,762.21,14.038
229,04/25/18 10:00:00 PM,762.27,13.750
230,04/25/18 10:15:00 PM,762.45,13.846
231,04/25/18 10:30:00 PM,762.39,13.750
232,04/25/18 10:45:00 PM,762.28,13.365
233,04/25/18 11:00:00 PM,762.17,13.173
234,04/25/18 11:15:00 PM,762.06,12.980
235,04/25/18 11:30:00 PM,762.18,12.787
236,04/25/18 11:45:00 PM,762.24,12.690
237,04/26/18 12:00:00 AM,762.06,12.594
238,04/26/18 12:15:00 AM,762.12,12.690
239,04/26/18 12:30:00 AM,762.12,12.690
240,04/26/18 12:45:00 AM,761.94,12.787
241,04/26/18 01:00:00 AM,761.82,12.787
242,04/26/18 01:15:00 AM,761.64,12.883
243,04/26/18 01:30:00 AM,761.53,12.690
