"Plot Title: Level 20028982"
"#","Date Time, GMT-07:00","Abs Pres, mm Hg (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Press)","Temp, °C (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Temp)"
1,05/02/18 02:00:00 PM,894.68,19.758
2,05/02/18 02:15:00 PM,894.68,19.758
3,05/02/18 02:30:00 PM,894.85,19.853
4,05/02/18 02:45:00 PM,894.56,19.758
5,05/02/18 03:00:00 PM,894.43,19.758
6,05/02/18 03:15:00 PM,894.43,19.758
7,05/02/18 03:30:00 PM,894.47,19.853
8,05/02/18 03:45:00 PM,894.51,19.948
9,05/02/18 04:00:00 PM,894.47,19.853
10,05/02/18 04:15:00 PM,894.47,19.853
11,05/02/18 04:30:00 PM,894.39,19.948
12,05/02/18 04:45:00 PM,894.64,19.948
13,05/02/18 05:00:00 PM,894.76,19.948
14,05/02/18 05:15:00 PM,894.67,20.043
15,05/02/18 05:30:00 PM,894.79,20.043
16,05/02/18 05:45:00 PM,894.92,20.043
17,05/02/18 06:00:00 PM,894.92,20.043
18,05/02/18 06:15:00 PM,895.04,20.043
19,05/02/18 06:30:00 PM,895.04,20.043
20,05/02/18 06:45:00 PM,895.04,20.043
21,05/02/18 07:00:00 PM,895.21,20.138
22,05/02/18 07:15:00 PM,895.21,20.138
23,05/02/18 07:30:00 PM,895.24,20.234
24,05/02/18 07:45:00 PM,895.24,20.234
25,05/02/18 08:00:00 PM,895.49,20.234
26,05/02/18 08:15:00 PM,895.49,20.234
27,05/02/18 08:30:00 PM,895.61,20.234
28,05/02/18 08:45:00 PM,895.61,20.234
29,05/02/18 09:00:00 PM,895.74,20.234
30,05/02/18 09:15:00 PM,895.99,20.234
31,05/02/18 09:30:00 PM,896.11,20.234
32,05/02/18 09:45:00 PM,896.23,20.234
33,05/02/18 10:00:00 PM,896.48,20.234
34,05/02/18 10:15:00 PM,896.48,20.234
35,05/02/18 10:30:00 PM,896.73,20.234
36,05/02/18 10:45:00 PM,896.82,20.138
37,05/02/18 11:00:00 PM,896.86,20.234
38,05/02/18 11:15:00 PM,896.86,20.234
39,05/02/18 11:30:00 PM,896.86,20.234
40,05/02/18 11:45:00 PM,896.98,20.234
41,05/03/18 12:00:00 AM,897.10,20.234
42,05/03/18 12:15:00 AM,897.10,20.234
43,05/03/18 12:30:00 AM,897.10,20.234
44,05/03/18 12:45:00 AM,897.10,20.234
45,05/03/18 01:00:00 AM,896.98,20.234
46,05/03/18 01:15:00 AM,896.98,20.234
47,05/03/18 01:30:00 AM,897.10,20.234
48,05/03/18 01:45:00 AM,897.10,20.234
49,05/03/18 02:00:00 AM,896.94,20.138
50,05/03/18 02:15:00 AM,897.07,20.138
51,05/03/18 02:30:00 AM,897.03,20.043
52,05/03/18 02:45:00 AM,897.12,19.948
53,05/03/18 03:00:00 AM,896.99,19.948
54,05/03/18 03:15:00 AM,897.12,19.948
55,05/03/18 03:30:00 AM,897.08,19.853
56,05/03/18 03:45:00 AM,897.08,19.853
57,05/03/18 04:00:00 AM,896.95,19.853
58,05/03/18 04:15:00 AM,896.83,19.853
59,05/03/18 04:30:00 AM,896.95,19.853
60,05/03/18 04:45:00 AM,896.95,19.853
61,05/03/18 05:00:00 AM,896.95,19.853
62,05/03/18 05:15:00 AM,896.95,19.853
63,05/03/18 05:30:00 AM,896.92,19.758
64,05/03/18 05:45:00 AM,896.92,19.758
65,05/03/18 06:00:00 AM,896.85,19.567
66,05/03/18 06:15:00 AM,896.93,19.472
67,05/03/18 06:30:00 AM,897.06,19.472
68,05/03/18 06:45:00 AM,897.19,19.187
69,05/03/18 07:00:00 AM,897.28,19.092
70,05/03/18 07:15:00 AM,897.40,19.092
71,05/03/18 07:30:00 AM,897.53,19.092
72,05/03/18 07:45:00 AM,897.49,18.996
73,05/03/18 08:00:00 AM,897.58,18.901
74,05/03/18 08:15:00 AM,897.55,18.806
75,05/03/18 08:30:00 AM,897.79,18.806
76,05/03/18 08:45:00 AM,897.95,18.901
77,05/03/18 09:00:00 AM,898.24,18.996
78,05/03/18 09:15:00 AM,898.36,18.996
79,05/03/18 09:30:00 AM,898.20,18.901
80,05/03/18 09:45:00 AM,898.42,18.806
81,05/03/18 10:00:00 AM,898.54,18.806
82,05/03/18 10:15:00 AM,898.16,18.806
83,05/03/18 10:30:00 AM,898.08,18.901
84,05/03/18 10:45:00 AM,898.12,18.996
85,05/03/18 11:00:00 AM,897.87,18.996
86,05/03/18 11:15:00 AM,897.87,18.996
87,05/03/18 11:30:00 AM,897.94,19.187
88,05/03/18 11:45:00 AM,897.87,18.996
89,05/03/18 12:00:00 PM,897.87,18.996
90,05/03/18 12:15:00 PM,897.94,19.187
91,05/03/18 12:30:00 PM,897.82,19.187
92,05/03/18 12:45:00 PM,897.61,19.282
93,05/03/18 01:00:00 PM,897.48,19.282
94,05/03/18 01:15:00 PM,897.48,19.282
95,05/03/18 01:30:00 PM,897.52,19.377
96,05/03/18 01:45:00 PM,897.36,19.282
97,05/03/18 02:00:00 PM,897.36,19.282
98,05/03/18 02:15:00 PM,897.27,19.377
99,05/03/18 02:30:00 PM,897.18,19.472
100,05/03/18 02:45:00 PM,897.06,19.472
101,05/03/18 03:00:00 PM,896.89,19.377
102,05/03/18 03:15:00 PM,896.77,19.377
103,05/03/18 03:30:00 PM,896.65,19.377
104,05/03/18 03:45:00 PM,896.53,19.377
105,05/03/18 04:00:00 PM,896.31,19.472
106,05/03/18 04:15:00 PM,896.19,19.472
107,05/03/18 04:30:00 PM,895.94,19.472
108,05/03/18 04:45:00 PM,896.02,19.662
109,05/03/18 05:00:00 PM,895.76,19.662
110,05/03/18 05:15:00 PM,895.76,19.662
111,05/03/18 05:30:00 PM,895.60,19.567
112,05/03/18 05:45:00 PM,895.39,19.662
113,05/03/18 06:00:00 PM,895.51,19.662
114,05/03/18 06:15:00 PM,895.39,19.662
115,05/03/18 06:30:00 PM,895.39,19.662
116,05/03/18 06:45:00 PM,895.18,19.758
117,05/03/18 07:00:00 PM,895.27,19.662
118,05/03/18 07:15:00 PM,895.39,19.662
119,05/03/18 07:30:00 PM,895.39,19.662
120,05/03/18 07:45:00 PM,895.55,19.758
121,05/03/18 08:00:00 PM,895.55,19.758
122,05/03/18 08:15:00 PM,895.55,19.758
123,05/03/18 08:30:00 PM,895.72,19.853
124,05/03/18 08:45:00 PM,895.68,19.758
125,05/03/18 09:00:00 PM,895.55,19.758
126,05/03/18 09:15:00 PM,895.80,19.758
127,05/03/18 09:30:00 PM,895.93,19.758
128,05/03/18 09:45:00 PM,896.05,19.758
129,05/03/18 10:00:00 PM,895.84,19.853
130,05/03/18 10:15:00 PM,895.96,19.853
131,05/03/18 10:30:00 PM,895.84,19.853
132,05/03/18 10:45:00 PM,895.84,19.853
133,05/03/18 11:00:00 PM,895.96,19.853
134,05/03/18 11:15:00 PM,895.84,19.853
135,05/03/18 11:30:00 PM,895.72,19.853
136,05/03/18 11:45:00 PM,895.72,19.853
137,05/04/18 12:00:00 AM,895.96,19.853
138,05/04/18 12:15:00 AM,896.08,19.853
139,05/04/18 12:30:00 AM,895.84,19.853
140,05/04/18 12:45:00 AM,896.08,19.853
141,05/04/18 01:00:00 AM,896.08,19.853
142,05/04/18 01:15:00 AM,895.96,19.853
143,05/04/18 01:30:00 AM,895.96,19.853
144,05/04/18 01:45:00 AM,896.08,19.853
145,05/04/18 02:00:00 AM,895.96,19.853
146,05/04/18 02:15:00 AM,896.00,19.948
147,05/04/18 02:30:00 AM,896.00,19.948
148,05/04/18 02:45:00 AM,896.00,19.948
149,05/04/18 03:00:00 AM,896.12,19.948
150,05/04/18 03:15:00 AM,896.12,19.948
151,05/04/18 03:30:00 AM,896.12,19.948
152,05/04/18 03:45:00 AM,896.16,20.043
153,05/04/18 04:00:00 AM,896.29,20.043
154,05/04/18 04:15:00 AM,896.04,20.043
155,05/04/18 04:30:00 AM,896.07,20.138
156,05/04/18 04:45:00 AM,896.07,20.138
157,05/04/18 05:00:00 AM,895.82,20.138
158,05/04/18 05:15:00 AM,895.95,20.138
159,05/04/18 05:30:00 AM,895.95,20.138
160,05/04/18 05:45:00 AM,895.95,20.138
161,05/04/18 06:00:00 AM,896.07,20.138
162,05/04/18 06:15:00 AM,896.11,20.234
163,05/04/18 06:30:00 AM,896.23,20.234
164,05/04/18 06:45:00 AM,896.35,20.234
165,05/04/18 07:00:00 AM,896.61,20.234
166,05/04/18 07:15:00 AM,896.86,20.234
167,05/04/18 07:30:00 AM,896.98,20.234
168,05/04/18 07:45:00 AM,897.35,20.234
169,05/04/18 08:00:00 AM,897.35,20.234
170,05/04/18 08:15:00 AM,897.19,20.138
171,05/04/18 08:30:00 AM,897.19,20.138
172,05/04/18 08:45:00 AM,897.31,20.138
173,05/04/18 09:00:00 AM,897.44,20.138
174,05/04/18 09:15:00 AM,897.44,20.138
175,05/04/18 09:30:00 AM,897.22,20.234
176,05/04/18 09:45:00 AM,897.35,20.234
177,05/04/18 10:00:00 AM,897.47,20.234
178,05/04/18 10:15:00 AM,897.47,20.234
179,05/04/18 10:30:00 AM,897.35,20.234
180,05/04/18 10:45:00 AM,897.22,20.234
181,05/04/18 11:00:00 AM,897.39,20.329
182,05/04/18 11:15:00 AM,897.18,20.424
183,05/04/18 11:30:00 AM,897.09,20.519
184,05/04/18 11:45:00 AM,896.96,20.519
185,05/04/18 12:00:00 PM,897.13,20.615
186,05/04/18 12:15:00 PM,896.75,20.615
187,05/04/18 12:30:00 PM,896.66,20.710
188,05/04/18 12:45:00 PM,896.66,20.710
189,05/04/18 01:00:00 PM,896.45,20.805
190,05/04/18 01:15:00 PM,896.37,20.901
191,05/04/18 01:30:00 PM,896.12,20.901
192,05/04/18 01:45:00 PM,895.99,20.901
193,05/04/18 02:00:00 PM,895.78,20.996
194,05/04/18 02:15:00 PM,895.54,20.996
195,05/04/18 02:30:00 PM,895.41,20.996
196,05/04/18 02:45:00 PM,895.29,20.996
197,05/04/18 03:00:00 PM,895.24,21.187
198,05/04/18 03:15:00 PM,895.03,21.282
199,05/04/18 03:30:00 PM,894.85,21.473
200,05/04/18 03:45:00 PM,894.64,21.569
201,05/04/18 04:00:00 PM,894.39,21.569
202,05/04/18 04:15:00 PM,894.39,21.569
203,05/04/18 04:30:00 PM,894.26,21.569
204,05/04/18 04:45:00 PM,894.14,21.569
205,05/04/18 05:00:00 PM,894.05,21.664
206,05/04/18 05:15:00 PM,893.97,21.760
207,05/04/18 05:30:00 PM,893.88,21.855
208,05/04/18 05:45:00 PM,893.79,21.951
209,05/04/18 06:00:00 PM,893.71,22.046
210,05/04/18 06:15:00 PM,893.58,22.046
211,05/04/18 06:30:00 PM,893.54,21.951
212,05/04/18 06:45:00 PM,893.54,21.951
213,05/04/18 07:00:00 PM,893.50,21.855
214,05/04/18 07:15:00 PM,893.50,21.855
215,05/04/18 07:30:00 PM,893.50,21.855
216,05/04/18 07:45:00 PM,893.75,21.855
217,05/04/18 08:00:00 PM,893.79,21.951
218,05/04/18 08:15:00 PM,893.79,21.951
219,05/04/18 08:30:00 PM,893.79,21.951
220,05/04/18 08:45:00 PM,893.67,21.951
221,05/04/18 09:00:00 PM,893.54,21.951
222,05/04/18 09:15:00 PM,893.54,21.951
223,05/04/18 09:30:00 PM,893.67,21.951
224,05/04/18 09:45:00 PM,893.54,21.951
225,05/04/18 10:00:00 PM,893.54,21.951
226,05/04/18 10:15:00 PM,893.54,21.951
227,05/04/18 10:30:00 PM,893.26,21.855
228,05/04/18 10:45:00 PM,893.63,21.855
229,05/04/18 11:00:00 PM,893.29,21.951
230,05/04/18 11:15:00 PM,893.42,21.951
231,05/04/18 11:30:00 PM,893.29,21.951
232,05/04/18 11:45:00 PM,893.08,22.046
233,05/05/18 12:00:00 AM,893.05,21.951
234,05/05/18 12:15:00 AM,893.05,21.951
235,05/05/18 12:30:00 AM,892.92,21.951
236,05/05/18 12:45:00 AM,892.92,21.951
237,05/05/18 01:00:00 AM,892.80,21.951
238,05/05/18 01:15:00 AM,892.84,22.046
239,05/05/18 01:30:00 AM,892.84,22.046
240,05/05/18 01:45:00 AM,892.84,22.046
241,05/05/18 02:00:00 AM,892.59,22.046
242,05/05/18 02:15:00 AM,892.59,22.046
243,05/05/18 02:30:00 AM,892.42,21.951
244,05/05/18 02:45:00 AM,892.30,21.951
245,05/05/18 03:00:00 AM,892.30,21.951
246,05/05/18 03:15:00 AM,892.27,21.855
247,05/05/18 03:30:00 AM,892.27,21.855
248,05/05/18 03:45:00 AM,892.10,21.760
249,05/05/18 04:00:00 AM,892.23,21.760
250,05/05/18 04:15:00 AM,892.06,21.664
251,05/05/18 04:30:00 AM,891.94,21.664
252,05/05/18 04:45:00 AM,892.06,21.664
253,05/05/18 05:00:00 AM,892.28,21.569
254,05/05/18 05:15:00 AM,892.28,21.569
255,05/05/18 05:30:00 AM,892.28,21.569
256,05/05/18 05:45:00 AM,892.36,21.473
257,05/05/18 06:00:00 AM,892.36,21.473
258,05/05/18 06:15:00 AM,892.36,21.473
259,05/05/18 06:30:00 AM,892.57,21.378
260,05/05/18 06:45:00 AM,892.70,21.378
261,05/05/18 07:00:00 AM,892.83,21.378
262,05/05/18 07:15:00 AM,892.79,21.282
263,05/05/18 07:30:00 AM,893.04,21.282
264,05/05/18 07:45:00 AM,892.87,21.187
265,05/05/18 08:00:00 AM,892.87,21.187
266,05/05/18 08:15:00 AM,892.87,21.187
267,05/05/18 08:30:00 AM,892.96,21.091
268,05/05/18 08:45:00 AM,893.34,21.091
269,05/05/18 09:00:00 AM,893.34,21.091
270,05/05/18 09:15:00 AM,893.59,21.091
271,05/05/18 09:30:00 AM,893.59,21.091
272,05/05/18 09:45:00 AM,893.46,21.091
273,05/05/18 10:00:00 AM,893.46,21.091
274,05/05/18 10:15:00 AM,893.34,21.091
275,05/05/18 10:30:00 AM,893.21,21.091
276,05/05/18 10:45:00 AM,893.34,21.091
277,05/05/18 11:00:00 AM,893.38,21.187
278,05/05/18 11:15:00 AM,893.12,21.187
279,05/05/18 11:30:00 AM,893.00,21.187
280,05/05/18 11:45:00 AM,892.87,21.187
281,05/05/18 12:00:00 PM,892.79,21.282
282,05/05/18 12:15:00 PM,892.66,21.282
283,05/05/18 12:30:00 PM,892.42,21.282
284,05/05/18 12:45:00 PM,892.29,21.282
285,05/05/18 01:00:00 PM,892.17,21.282
286,05/05/18 01:15:00 PM,892.21,21.378
287,05/05/18 01:30:00 PM,891.96,21.378
288,05/05/18 01:45:00 PM,891.71,21.378
289,05/05/18 02:00:00 PM,891.71,21.378
290,05/05/18 02:15:00 PM,891.74,21.473
291,05/05/18 02:30:00 PM,891.25,21.473
292,05/05/18 02:45:00 PM,891.25,21.473
293,05/05/18 03:00:00 PM,891.28,21.569
294,05/05/18 03:15:00 PM,890.91,21.569
295,05/05/18 03:30:00 PM,890.91,21.569
296,05/05/18 03:45:00 PM,891.04,21.569
297,05/05/18 04:00:00 PM,890.91,21.569
298,05/05/18 04:15:00 PM,890.95,21.664
299,05/05/18 04:30:00 PM,890.83,21.664
300,05/05/18 04:45:00 PM,890.70,21.664
301,05/05/18 05:00:00 PM,890.58,21.664
302,05/05/18 05:15:00 PM,890.62,21.760
303,05/05/18 05:30:00 PM,890.62,21.760
304,05/05/18 05:45:00 PM,890.62,21.760
305,05/05/18 06:00:00 PM,890.62,21.760
306,05/05/18 06:15:00 PM,890.74,21.760
307,05/05/18 06:30:00 PM,890.62,21.760
308,05/05/18 06:45:00 PM,890.49,21.760
309,05/05/18 07:00:00 PM,890.40,21.855
310,05/05/18 07:15:00 PM,890.40,21.855
311,05/05/18 07:30:00 PM,890.28,21.855
312,05/05/18 07:45:00 PM,890.28,21.855
313,05/05/18 08:00:00 PM,890.24,21.760
314,05/05/18 08:15:00 PM,890.28,21.855
