7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1527631080,+3.49,+23.510, +9.094,+0.984
1527631980,+3.49,+23.577, +9.114,+0.985
1527632880,+3.49,+23.627, +9.072,+0.982
1527633780,+3.49,+23.627, +9.098,+0.982
1527634680,+3.49,+23.686, +9.139,+0.984
1527635580,+3.49,+23.711, +9.153,+0.984
1527636480,+3.49,+23.703, +9.150,+0.984
1527637380,+3.49,+23.694, +9.145,+0.982
1527638280,+3.49,+23.669, +9.165,+0.984
1527639180,+3.49,+23.669, +9.161,+0.983
1527640080,+3.49,+23.619, +9.197,+0.984
1527640980,+3.49,+23.611, +9.221,+0.983
1527641880,+3.49,+23.611, +9.277,+0.985
1527642780,+3.49,+23.602, +9.289,+0.984
1527643680,+3.49,+23.560, +9.308,+0.985
1527644580,+3.49,+23.510, +9.340,+0.983
1527645480,+3.49,+23.485, +9.379,+0.984
1527646380,+3.49,+23.485, +9.356,+0.981
1527647280,+3.48,+23.401, +9.397,+0.982
1527648180,+3.49,+23.376, +9.444,+0.985
1527649080,+3.49,+23.326, +9.452,+0.983
1527649980,+3.48,+23.276, +9.446,+0.982
1527650880,+3.49,+23.276, +9.477,+0.984
1527651780,+3.49,+23.201, +9.465,+0.983
1527652680,+3.49,+23.159, +9.492,+0.984
1527653580,+3.49,+23.142, +9.497,+0.984
1527654480,+3.49,+23.100, +9.489,+0.983
1527655380,+3.49,+23.067, +9.503,+0.984
1527656280,+3.49,+23.075, +9.465,+0.982
1527657180,+3.49,+23.017, +9.497,+0.984
1527658080,+3.49,+22.983, +9.478,+0.982
1527658980,+3.49,+22.958, +9.470,+0.982
1527659880,+3.49,+22.941, +9.473,+0.984
1527660780,+3.49,+22.883, +9.444,+0.982
1527661680,+3.49,+22.866, +9.421,+0.982
1527662580,+3.49,+22.849, +9.414,+0.983
1527663480,+3.49,+22.791, +9.435,+0.984
1527664380,+3.49,+22.774, +9.386,+0.982
1527665280,+3.49,+22.749, +9.365,+0.982
1527666180,+3.49,+22.732, +9.337,+0.982
1527667080,+3.49,+22.707, +9.352,+0.983
1527667980,+3.49,+22.657, +9.366,+0.984
1527668880,+3.49,+22.607, +9.333,+0.982
1527669780,+3.49,+22.540, +9.357,+0.984
1527670680,+3.49,+22.532, +9.312,+0.983
1527671580,+3.49,+22.515, +9.254,+0.981
1527672480,+3.49,+22.507, +9.239,+0.982
1527673380,+3.49,+22.457, +9.232,+0.982
1527674280,+3.49,+22.423, +9.241,+0.985
1527675180,+3.49,+22.415, +9.185,+0.983
1527676080,+3.49,+22.407, +9.150,+0.983
1527676980,+3.49,+22.365, +9.121,+0.983
1527677880,+3.49,+22.365, +9.078,+0.982
1527678780,+3.49,+22.323, +9.068,+0.983
1527679680,+3.49,+22.340, +9.037,+0.983
1527680580,+3.49,+22.273, +9.000,+0.982
1527681480,+3.49,+22.265, +8.982,+0.982
1527682380,+3.49,+22.223, +8.956,+0.982
1527683280,+3.49,+22.181, +8.951,+0.983
1527684180,+3.49,+22.156, +8.911,+0.983
1527685080,+3.49,+22.131, +8.864,+0.982
1527685980,+3.49,+22.122, +8.851,+0.982
1527686880,+3.48,+22.122, +8.836,+0.984
1527687780,+3.48,+22.097, +8.805,+0.983
1527688680,+3.48,+22.089, +8.760,+0.982
1527689580,+3.48,+22.064, +8.752,+0.983
1527690480,+3.48,+22.039, +8.727,+0.984
1527691380,+3.48,+22.014, +8.677,+0.983
1527692280,+3.49,+22.014, +8.628,+0.982
1527693180,+3.49,+22.006, +8.618,+0.983
1527694080,+3.48,+21.989, +8.581,+0.983
1527694980,+3.48,+21.972, +8.550,+0.982
1527695880,+3.49,+21.947, +8.529,+0.982
1527696780,+3.49,+21.947, +8.523,+0.984
1527697680,+3.48,+21.939, +8.487,+0.983
1527698580,+3.49,+21.930, +8.463,+0.984
1527699480,+3.48,+21.947, +8.419,+0.983
1527700380,+3.48,+21.922, +8.406,+0.984
1527701280,+3.48,+21.914, +8.358,+0.982
1527702180,+3.48,+21.914, +8.348,+0.983
1527703080,+3.48,+21.955, +8.307,+0.982
1527703980,+3.48,+21.972, +8.295,+0.983
1527704880,+3.48,+22.031, +8.246,+0.983
