7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1508960100,+3.52,+22.674,+10.281,+0.990
1508961000,+3.52,+22.239, +9.516,+0.995
1508961900,+3.52,+22.340, +9.010,+0.995
1508962800,+3.51,+22.482, +9.200,+0.994
1508963700,+3.52,+22.574,+10.004,+0.995
1508964600,+3.51,+22.707,+10.222,+0.993
1508965500,+3.51,+22.849,+10.555,+0.997
1508966400,+3.51,+22.966,+10.474,+0.995
1508967300,+3.51,+23.058, +9.832,+0.995
1508968200,+3.51,+23.209, +9.415,+0.996
1508969100,+3.51,+23.376, +9.417,+0.997
1508970000,+3.51,+23.485, +9.081,+0.997
1508970900,+3.51,+23.560, +8.446,+0.995
1508971800,+3.51,+23.669, +8.343,+0.994
1508972700,+3.51,+23.669, +8.119,+0.996
1508973600,+3.51,+23.611, +8.047,+0.994
1508974500,+3.51,+23.669, +8.040,+0.996
1508975400,+3.51,+23.644, +7.653,+0.995
1508976300,+3.51,+23.611, +7.108,+0.996
1508977200,+3.51,+23.585, +6.384,+0.995
1508978100,+3.51,+23.502, +5.857,+0.995
1508979000,+3.51,+23.502, +5.458,+0.995
1508979900,+3.51,+23.376, +5.152,+0.995
1508980800,+3.51,+23.368, +4.875,+0.996
1508981700,+3.51,+23.326, +4.577,+0.995
1508982600,+3.51,+23.293, +4.307,+0.996
1508983500,+3.51,+23.226, +4.032,+0.995
1508984400,+3.51,+23.134, +3.780,+0.996
1508985300,+3.51,+23.033, +3.582,+0.996
1508986200,+3.51,+22.941, +3.417,+0.995
1508987100,+3.51,+22.891, +3.288,+0.996
1508988000,+3.51,+22.824, +3.171,+0.996
1508988900,+3.51,+22.732, +3.070,+0.996
1508989800,+3.51,+22.632, +2.980,+0.997
1508990700,+3.50,+22.532, +2.894,+0.996
1508991600,+3.51,+22.457, +2.814,+0.996
1508992500,+3.50,+22.340, +2.736,+0.996
1508993400,+3.50,+22.223, +2.652,+0.996
1508994300,+3.50,+22.097, +2.567,+0.996
1508995200,+3.50,+21.930, +2.480,+0.996
1508996100,+3.50,+21.780, +2.399,+0.996
1508997000,+3.50,+21.680, +2.319,+0.996
1508997900,+3.50,+21.571, +2.247,+0.996
1508998800,+3.50,+21.471, +2.174,+0.995
1508999700,+3.50,+21.346, +2.104,+0.995
1509000600,+3.50,+21.254, +2.035,+0.995
1509001500,+3.50,+21.170, +1.964,+0.994
1509002400,+3.50,+21.078, +1.897,+0.994
1509003300,+3.50,+20.995, +1.839,+0.994
1509004200,+3.50,+20.861, +1.774,+0.994
1509005100,+3.50,+20.802, +1.722,+0.994
1509006000,+3.50,+20.736, +1.661,+0.993
1509006900,+3.50,+20.685, +1.609,+0.993
1509007800,+3.50,+20.644, +1.560,+0.993
1509008700,+3.50,+20.585, +1.514,+0.992
1509009600,+3.50,+20.501, +1.470,+0.992
1509010500,+3.50,+20.460, +1.434,+0.992
1509011400,+3.50,+20.393, +1.405,+0.992
1509012300,+3.50,+20.343, +1.371,+0.992
1509013200,+3.50,+20.234, +1.342,+0.992
1509014100,+3.50,+20.175, +1.307,+0.991
1509015000,+3.50,+20.108, +1.270,+0.992
1509015900,+3.50,+20.058, +1.232,+0.991
1509016800,+3.49,+20.000, +1.196,+0.991
1509017700,+3.49,+19.899, +1.162,+0.990
1509018600,+3.49,+19.866, +1.123,+0.990
1509019500,+3.49,+19.782, +1.085,+0.990
1509020400,+3.49,+19.740, +1.046,+0.989
1509021300,+3.49,+19.648, +1.004,+0.989
1509022200,+3.49,+19.606, +0.961,+0.989
1509023100,+3.49,+19.547, +0.926,+0.988
1509024000,+3.49,+19.480, +0.901,+0.988
1509024900,+3.49,+19.430, +0.875,+0.988
1509025800,+3.49,+19.371, +0.851,+0.988
1509026700,+3.49,+19.287, +0.835,+0.988
1509027600,+3.49,+19.271, +0.810,+0.987
1509028500,+3.49,+19.220, +0.767,+0.986
1509029400,+3.49,+19.195, +0.755,+0.986
1509030300,+3.49,+19.162, +0.787,+0.987
1509031200,+3.49,+19.095, +0.802,+0.987
1509032100,+3.49,+19.103, +0.786,+0.987
1509033000,+3.49,+19.069, +0.749,+0.986
1509033900,+3.49,+19.027, +0.713,+0.986
1509034800,+3.49,+19.061, +0.675,+0.985
1509035700,+3.49,+19.086, +0.652,+0.985
1509036600,+3.49,+19.086, +0.637,+0.985
1509037500,+3.49,+19.338, +0.596,+0.984
1509038400,+3.49,+19.480, +0.668,+0.986
1509039300,+3.49,+19.681, +0.709,+0.987
1509040200,+3.49,+20.041, +0.721,+0.988
1509041100,+3.49,+20.175, +0.759,+0.988
1509042000,+3.49,+20.635, +0.774,+0.989
1509042900,+3.49,+20.501, +0.751,+0.987
1509043800,+3.49,+20.627, +0.738,+0.987
1509044700,+3.48,+20.919, +0.711,+0.987
1509045600,+3.49,+21.655, +0.647,+0.987
1509046500,+3.49,+21.855, +0.622,+0.986
