7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1508021940,+3.49,+23.435,+10.986,+0.996
1508022840,+3.49,+23.460,+11.468,+0.994
1508023740,+3.49,+23.468,+11.688,+0.994
1508024640,+3.49,+23.485,+12.229,+0.994
1508025540,+3.49,+23.468,+12.215,+0.993
1508026440,+3.49,+23.452,+11.581,+0.993
1508027340,+3.49,+23.418,+10.790,+0.992
1508028240,+3.49,+23.351,+10.298,+0.993
1508029140,+3.49,+23.318, +9.816,+0.994
1508030040,+3.49,+23.268, +9.225,+0.994
1508030940,+3.49,+23.234, +8.807,+0.993
1508031840,+3.49,+23.184, +8.701,+0.992
1508032740,+3.49,+23.167, +8.470,+0.993
1508033640,+3.49,+23.092, +8.105,+0.993
1508034540,+3.49,+23.067, +7.711,+0.993
1508035440,+3.49,+23.008, +7.385,+0.994
1508036340,+3.49,+22.925, +7.100,+0.994
1508037240,+3.49,+22.841, +6.860,+0.993
1508038140,+3.49,+22.783, +6.670,+0.994
1508039040,+3.49,+22.632, +6.501,+0.994
1508039940,+3.49,+22.490, +6.318,+0.994
1508040840,+3.49,+22.390, +6.155,+0.993
1508041740,+3.49,+22.348, +6.008,+0.994
1508042640,+3.49,+22.273, +5.870,+0.993
1508043540,+3.49,+22.206, +5.787,+0.994
1508044440,+3.49,+22.114, +5.687,+0.993
1508045340,+3.49,+22.022, +5.607,+0.993
1508046240,+3.49,+21.930, +5.545,+0.994
1508047140,+3.49,+21.830, +5.458,+0.993
1508048040,+3.49,+21.721, +5.384,+0.993
1508048940,+3.49,+21.621, +5.312,+0.994
1508049840,+3.49,+21.554, +5.225,+0.993
1508050740,+3.49,+21.463, +5.151,+0.993
1508051640,+3.49,+21.354, +5.095,+0.993
1508052540,+3.49,+21.304, +5.031,+0.994
1508053440,+3.49,+21.204, +4.975,+0.994
1508054340,+3.49,+21.128, +4.911,+0.994
1508055240,+3.49,+21.028, +4.840,+0.993
1508056140,+3.49,+20.953, +4.784,+0.994
1508057040,+3.49,+20.861, +4.734,+0.993
1508057940,+3.49,+20.786, +4.684,+0.993
1508058840,+3.49,+20.669, +4.636,+0.993
1508059740,+3.49,+20.627, +4.614,+0.994
1508060640,+3.49,+20.602, +4.589,+0.993
1508061540,+3.49,+20.552, +4.586,+0.993
1508062440,+3.49,+20.426, +4.560,+0.993
1508063340,+3.49,+20.368, +4.542,+0.993
1508064240,+3.49,+20.317, +4.501,+0.993
1508065140,+3.49,+20.267, +4.476,+0.993
1508066040,+3.49,+20.175, +4.436,+0.993
1508066940,+3.49,+20.108, +4.397,+0.993
1508067840,+3.49,+20.075, +4.346,+0.993
1508068740,+3.49,+20.041, +4.316,+0.993
1508069640,+3.49,+19.974, +4.290,+0.993
1508070540,+3.49,+19.916, +4.271,+0.994
1508071440,+3.49,+19.891, +4.228,+0.994
1508072340,+3.49,+19.815, +4.189,+0.993
1508073240,+3.49,+19.740, +4.145,+0.993
1508074140,+3.49,+19.706, +4.092,+0.993
1508075040,+3.49,+19.631, +4.030,+0.993
1508075940,+3.49,+19.572, +3.979,+0.994
1508076840,+3.49,+19.539, +3.909,+0.994
1508077740,+3.49,+19.464, +3.838,+0.993
1508078640,+3.49,+19.430, +3.799,+0.994
1508079540,+3.49,+19.355, +3.762,+0.994
1508080440,+3.49,+19.304, +3.678,+0.993
1508081340,+3.48,+19.271, +3.611,+0.993
1508082240,+3.48,+19.237, +3.543,+0.993
1508083140,+3.48,+19.187, +3.480,+0.993
1508084040,+3.48,+19.137, +3.424,+0.993
1508084940,+3.48,+19.044, +3.477,+0.994
1508085840,+3.48,+19.103, +3.437,+0.994
1508086740,+3.48,+19.271, +3.505,+0.995
1508087640,+3.48,+19.472, +4.225,+0.995
1508088540,+3.48,+19.547, +5.189,+0.994
1508089440,+3.48,+19.757, +6.134,+0.993
1508090340,+3.48,+19.941, +6.919,+0.992
1508091240,+3.48,+20.125, +7.742,+0.994
1508092140,+3.48,+20.184, +8.076,+0.992
1508093040,+3.48,+20.409, +8.291,+0.992
1508093940,+3.48,+20.685, +8.829,+0.992
1508094840,+3.48,+20.869, +9.055,+0.993
1508095740,+3.48,+21.112, +9.276,+0.993
1508096640,+3.48,+21.362, +9.293,+0.992
1508097540,+3.48,+21.563, +9.420,+0.992
1508098440,+3.48,+21.872, +9.486,+0.992
1508099340,+3.48,+21.989, +9.560,+0.992
1508100240,+3.48,+22.189, +9.630,+0.993
1508101140,+3.48,+22.457,+10.142,+0.993
1508102040,+3.48,+22.565,+10.193,+0.992
1508102940,+3.48,+22.758,+10.322,+0.991
1508103840,+3.48,+22.925,+10.436,+0.992
1508104740,+3.48,+23.042,+10.124,+0.989
1508105640,+3.48,+23.150,+10.027,+0.993
1508106540,+3.49,+23.309, +9.715,+0.992
1508107440,+3.49,+23.385, +9.899,+0.992
1508108340,+3.49,+23.460,+10.005,+0.989
