7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1514415120,+3.44,+14.516, +6.853,+0.976
1514416020,+3.44,+14.542, +6.803,+0.976
1514416920,+3.44,+14.516, +6.649,+0.976
1514417820,+3.44,+14.533, +6.151,+0.975
1514418720,+3.44,+14.542, +5.725,+0.975
1514419620,+3.44,+14.516, +5.209,+0.976
1514420520,+3.44,+14.551, +4.819,+0.977
1514421420,+3.44,+14.473, +4.828,+0.977
1514422320,+3.45,+14.490, +4.689,+0.977
1514423220,+3.45,+14.490, +4.517,+0.978
1514424120,+3.45,+14.430, +4.248,+0.978
1514425020,+3.45,+14.352, +3.948,+0.978
1514425920,+3.45,+14.248, +3.709,+0.979
1514426820,+3.45,+14.057, +3.469,+0.979
1514427720,+3.45,+13.805, +3.207,+0.979
1514428620,+3.45,+13.482, +2.996,+0.979
1514429520,+3.45,+13.255, +2.846,+0.979
1514430420,+3.45,+12.904, +2.723,+0.979
1514431320,+3.45,+12.842, +2.799,+0.979
1514432220,+3.45,+12.807, +2.939,+0.979
1514433120,+3.45,+12.675, +3.038,+0.980
1514434020,+3.45,+12.569, +3.614,+0.979
1514434920,+3.45,+12.525, +5.418,+0.973
1514435820,+3.45,+12.543, +6.373,+0.973
1514436720,+3.45,+12.498, +6.437,+0.974
1514437620,+3.45,+12.596, +6.266,+0.974
1514438520,+3.45,+12.525, +6.003,+0.976
1514439420,+3.45,+12.428, +5.702,+0.976
1514440320,+3.45,+12.445, +5.419,+0.977
1514441220,+3.45,+12.437, +5.134,+0.977
1514442120,+3.45,+12.596, +4.895,+0.978
1514443020,+3.45,+12.693, +4.648,+0.979
1514443920,+3.45,+12.693, +4.371,+0.979
1514444820,+3.45,+12.693, +4.075,+0.979
1514445720,+3.45,+12.657, +3.790,+0.979
1514446620,+3.45,+12.596, +3.525,+0.979
1514447520,+3.45,+12.534, +3.300,+0.980
1514448420,+3.45,+12.498, +3.091,+0.980
1514449320,+3.45,+12.463, +2.893,+0.980
1514450220,+3.45,+12.366, +2.698,+0.979
1514451120,+3.45,+12.330, +2.522,+0.980
1514452020,+3.44,+12.268, +2.358,+0.979
1514452920,+3.45,+12.215, +2.214,+0.979
1514453820,+3.44,+12.126, +2.079,+0.979
1514454720,+3.44,+12.073, +1.949,+0.979
1514455620,+3.45,+12.047, +1.821,+0.978
1514456520,+3.44,+12.020, +1.702,+0.978
1514457420,+3.45,+11.940, +1.579,+0.977
1514458320,+3.45,+11.904, +1.464,+0.976
1514459220,+3.44,+11.895, +1.358,+0.976
1514460120,+3.44,+11.824, +1.269,+0.975
1514461020,+3.44,+11.762, +1.185,+0.975
1514461920,+3.45,+11.771, +1.110,+0.974
1514462820,+3.44,+11.717, +1.047,+0.973
1514463720,+3.44,+11.690, +0.990,+0.972
1514464620,+3.44,+11.681, +0.943,+0.972
1514465520,+3.45,+11.592, +0.905,+0.971
1514466420,+3.44,+11.592, +0.865,+0.971
1514467320,+3.44,+11.556, +0.833,+0.970
1514468220,+3.44,+11.512, +0.800,+0.970
1514469120,+3.44,+11.476, +0.774,+0.970
1514470020,+3.45,+11.413, +0.755,+0.969
1514470920,+3.44,+11.413, +0.739,+0.969
1514471820,+3.44,+11.377, +0.725,+0.969
1514472720,+3.44,+11.332, +0.710,+0.969
1514473620,+3.44,+11.297, +0.778,+0.970
1514474520,+3.44,+11.270, +0.858,+0.971
1514475420,+3.44,+11.261, +0.884,+0.971
1514476320,+3.44,+11.171, +0.908,+0.971
1514477220,+3.44,+11.135, +0.925,+0.971
1514478120,+3.44,+11.117, +0.947,+0.971
1514479020,+3.44,+11.117, +0.970,+0.972
1514479920,+3.44,+11.108, +0.988,+0.972
1514480820,+3.44,+11.090, +0.994,+0.972
1514481720,+3.44,+11.108, +0.999,+0.972
1514482620,+3.44,+11.117, +0.998,+0.972
1514483520,+3.44,+11.099, +0.985,+0.972
1514484420,+3.44,+11.135, +0.971,+0.972
1514485320,+3.44,+11.431, +0.964,+0.972
1514486220,+3.44,+11.288, +0.981,+0.972
1514487120,+3.44,+11.359, +1.056,+0.973
1514488020,+3.44,+11.592, +1.169,+0.974
1514488920,+3.44,+11.984, +1.413,+0.975
1514489820,+3.44,+12.330, +1.823,+0.976
1514490720,+3.44,+12.516, +1.833,+0.978
1514491620,+3.44,+12.798, +3.160,+0.973
1514492520,+3.44,+12.992, +5.330,+0.966
1514493420,+3.44,+13.246, +6.090,+0.970
1514494320,+3.44,+13.508, +5.446,+0.974
1514495220,+3.44,+13.570, +5.168,+0.977
1514496120,+3.44,+13.744, +5.162,+0.976
1514497020,+3.44,+13.909, +4.931,+0.977
1514497920,+3.45,+14.196, +4.940,+0.977
1514498820,+3.44,+14.230, +4.827,+0.977
1514499720,+3.44,+14.352, +4.685,+0.977
1514500620,+3.44,+14.663, +4.568,+0.978
1514501520,+3.45,+14.628, +4.534,+0.977
