sample_number,date_time,pressure,temperature
3,1/12/2018 13:15,928.13,16.046
4,1/12/2018 13:30,927.77,14.23
5,1/12/2018 13:45,927.82,14.038
6,1/12/2018 14:00,927.57,14.038
7,1/12/2018 14:15,927.32,14.038
8,1/12/2018 14:30,927.32,14.038
9,1/12/2018 14:45,927.17,13.942
10,1/12/2018 15:00,927.32,14.038
11,1/12/2018 15:15,927.2,14.038
12,1/12/2018 15:30,927.17,13.942
13,1/12/2018 15:45,927.29,13.942
14,1/12/2018 16:00,927.29,13.942
15,1/12/2018 16:15,927.17,13.942
16,1/12/2018 16:30,927.08,14.038
17,1/12/2018 16:45,927.32,14.038
18,1/12/2018 17:00,927.45,14.038
19,1/12/2018 17:15,927.53,13.942
20,1/12/2018 17:30,927.53,13.942
21,1/12/2018 17:45,927.7,14.038
22,1/12/2018 18:00,927.82,14.038
23,1/12/2018 18:15,927.91,13.942
24,1/12/2018 18:30,927.91,13.942
25,1/12/2018 18:45,928.03,13.942
26,1/12/2018 19:00,928.03,13.942
27,1/12/2018 19:15,928.32,14.038
28,1/12/2018 19:30,928.32,14.038
29,1/12/2018 19:45,928.32,14.038
30,1/12/2018 20:00,928.32,14.038
31,1/12/2018 20:15,928.32,14.038
32,1/12/2018 20:30,928.44,14.038
33,1/12/2018 20:45,928.57,14.038
34,1/12/2018 21:00,928.53,13.942
35,1/12/2018 21:15,928.65,13.942
36,1/12/2018 21:30,928.65,13.942
37,1/12/2018 21:45,928.78,13.942
38,1/12/2018 22:00,928.82,14.038
39,1/12/2018 22:15,928.78,13.942
40,1/12/2018 22:30,928.78,13.942
41,1/12/2018 22:45,928.9,13.942
42,1/12/2018 23:00,928.82,14.038
43,1/12/2018 23:15,928.94,14.038
44,1/12/2018 23:30,928.94,14.038
45,1/12/2018 23:45,928.94,14.038
46,1/13/2018 0:00,928.78,13.942
47,1/13/2018 0:15,928.65,13.942
48,1/13/2018 0:30,928.65,13.942
49,1/13/2018 0:45,928.65,13.942
50,1/13/2018 1:00,928.69,14.038
51,1/13/2018 1:15,928.69,14.038
52,1/13/2018 1:30,928.69,14.038
