7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1516400940,+3.46,+16.809, +0.084,+0.958
1516401840,+3.46,+16.818, +0.166,+0.960
1516402740,+3.46,+16.860, +0.090,+0.958
1516403640,+3.46,+16.835, +0.056,+0.957
1516404540,+3.46,+16.835, +0.050,+0.957
1516405440,+3.46,+16.801, +0.226,+0.961
1516406340,+3.46,+16.818, +1.463,+0.978
1516407240,+3.46,+16.920, +0.385,+0.965
1516408140,+3.46,+16.920, +0.350,+0.964
1516409040,+3.46,+16.886, +0.374,+0.964
1516409940,+3.46,+16.886, +0.192,+0.960
1516410840,+3.46,+16.860, +0.148,+0.959
1516411740,+3.46,+16.809, +0.096,+0.958
1516412640,+3.46,+16.784, +0.092,+0.958
1516413540,+3.46,+16.733, +0.157,+0.960
1516414440,+3.46,+16.682, +0.296,+0.962
1516415340,+3.46,+16.648, +0.542,+0.967
1516416240,+3.46,+16.648, +0.249,+0.962
1516417140,+3.46,+16.674, +0.361,+0.964
1516418040,+3.46,+16.708, +0.488,+0.966
1516418940,+3.46,+16.682, +0.478,+0.967
1516419840,+3.46,+16.623, +0.728,+0.971
1516420740,+3.46,+16.657, +0.811,+0.973
1516421640,+3.46,+16.648, +0.575,+0.969
1516422540,+3.46,+16.725, +0.298,+0.964
1516423440,+3.46,+16.716, +0.275,+0.963
1516424340,+3.46,+16.742, +0.142,+0.960
1516425240,+3.46,+16.716, +0.107,+0.959
1516426140,+3.46,+16.504, +0.331,+0.964
1516427040,+3.46,+16.538, +0.316,+0.964
1516427940,+3.46,+16.393, +0.927,+0.971
1516428840,+3.46,+16.317, +1.383,+0.978
1516429740,+3.46,+16.308, +1.512,+0.979
1516430640,+3.46,+16.129, +2.464,+0.981
1516431540,+3.46,+16.121, +2.283,+0.981
1516432440,+3.46,+16.189, +1.617,+0.978
1516433340,+3.46,+16.078, +1.496,+0.979
1516434240,+3.46,+15.873, +1.363,+0.978
1516435140,+3.46,+16.069, +1.140,+0.977
1516436040,+3.46,+16.035, +1.012,+0.976
1516436940,+3.46,+16.257, +0.765,+0.972
1516437840,+3.46,+16.214, +0.597,+0.969
1516438740,+3.46,+16.129, +0.871,+0.974
1516439640,+3.46,+16.069, +0.870,+0.974
1516440540,+3.46,+16.146, +0.702,+0.971
1516441440,+3.46,+16.069, +0.759,+0.972
1516442340,+3.46,+15.890, +0.982,+0.975
1516443240,+3.46,+15.694, +1.093,+0.976
1516444140,+3.46,+15.360, +1.644,+0.981
1516445040,+3.46,+13.909, +3.231,+0.981
1516445940,+3.46,+13.369, +3.816,+0.980
1516446840,+3.46,+13.683, +3.373,+0.981
1516447740,+3.46,+13.412, +3.293,+0.981
1516448640,+3.46,+13.805, +2.426,+0.981
1516449540,+3.46,+13.456, +3.010,+0.981
1516450440,+3.46,+13.456, +2.480,+0.981
1516451340,+3.46,+13.044, +3.520,+0.981
1516452240,+3.46,+12.807, +3.653,+0.980
1516453140,+3.46,+12.657, +3.614,+0.981
1516454040,+3.46,+12.631, +3.659,+0.981
1516454940,+3.46,+12.428, +3.865,+0.981
1516455840,+3.45,+12.330, +3.716,+0.981
1516456740,+3.46,+12.233, +3.585,+0.980
1516457640,+3.46,+12.322, +3.879,+0.980
1516458540,+3.45,+12.286, +4.012,+0.981
1516459440,+3.45,+12.153, +4.552,+0.980
1516460340,+3.45,+12.082, +4.757,+0.980
1516461240,+3.45,+12.109, +4.325,+0.980
1516462140,+3.46,+11.931, +4.654,+0.979
1516463040,+3.45,+12.011, +4.686,+0.980
1516463940,+3.46,+11.895, +4.412,+0.980
1516464840,+3.45,+12.587, +3.395,+0.982
1516465740,+3.46,+11.610, +4.034,+0.981
1516466640,+3.45,+11.538, +4.214,+0.981
1516467540,+3.45,+11.565, +4.154,+0.981
1516468440,+3.45,+11.512, +3.969,+0.981
1516469340,+3.45,+11.279, +4.065,+0.981
1516470240,+3.45,+11.225, +3.869,+0.981
1516471140,+3.45,+11.171, +3.900,+0.981
1516472040,+3.45,+11.180, +3.834,+0.981
1516472940,+3.45,+11.323, +3.792,+0.981
1516473840,+3.45,+11.547, +3.811,+0.981
1516474740,+3.45,+11.762, +3.905,+0.981
1516475640,+3.45,+11.771, +4.238,+0.981
1516476540,+3.45,+11.583, +4.385,+0.980
1516477440,+3.45,+11.494, +4.278,+0.980
1516478340,+3.45,+11.851, +4.065,+0.981
1516479240,+3.45,+11.886, +4.041,+0.981
1516480140,+3.45,+11.993, +3.998,+0.981
1516481040,+3.45,+12.375, +4.249,+0.981
1516481940,+3.45,+12.516, +4.520,+0.980
1516482840,+3.45,+13.281, +4.615,+0.981
1516483740,+3.45,+13.351, +4.307,+0.979
1516484640,+3.45,+13.299, +4.603,+0.980
1516485540,+3.45,+13.141, +4.760,+0.979
1516486440,+3.45,+13.456, +4.625,+0.980
1516487340,+3.45,+14.005, +5.012,+0.980
