"Plot Title: 20036649 Audubon 01"
"#","Date Time, GMT-07:00","High Range, mS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)"
1,10/23/17 09:40:00 AM,13.1608,26.53
2,10/23/17 09:55:00 AM,13.1678,26.41
3,10/23/17 10:10:00 AM,13.1864,26.37
4,10/23/17 10:25:00 AM,13.2028,26.36
5,10/23/17 10:40:00 AM,13.2063,26.37
6,10/23/17 10:55:00 AM,13.2180,26.41
7,10/23/17 11:10:00 AM,41.2936,25.14
8,10/23/17 11:25:00 AM,40.9553,25.28
9,10/23/17 11:40:00 AM,41.1537,25.51
10,10/23/17 11:55:00 AM,41.1437,25.72
11,10/23/17 12:10:00 PM,41.2385,25.93
12,10/23/17 12:25:00 PM,41.3036,26.14
13,10/23/17 12:40:00 PM,41.4293,26.34
14,10/23/17 12:55:00 PM,41.5304,26.55
15,10/23/17 01:10:00 PM,54.0934,26.35
16,10/23/17 01:25:00 PM,54.0934,26.55
17,10/23/17 01:40:00 PM,54.0934,26.85
18,10/23/17 01:55:00 PM,54.0934,27.01
19,10/23/17 02:10:00 PM,15.6002,27.09
20,10/23/17 02:25:00 PM,54.0934,27.13
21,10/23/17 02:40:00 PM,54.0934,27.33
22,10/23/17 02:55:00 PM,54.0934,27.54
23,10/23/17 03:10:00 PM,54.0934,27.79
24,10/23/17 03:25:00 PM,54.0934,28.07
25,10/23/17 03:40:00 PM,54.0934,28.30
26,10/23/17 03:55:00 PM,54.0934,28.53
27,10/23/17 04:10:00 PM,54.0934,28.75
28,10/23/17 04:25:00 PM,54.0934,28.94
29,10/23/17 04:40:00 PM,54.0934,29.13
30,10/23/17 04:55:00 PM,54.0934,29.31
31,10/23/17 05:10:00 PM,54.0934,29.49
32,10/23/17 05:25:00 PM,54.0934,29.66
33,10/23/17 05:40:00 PM,54.0934,29.82
34,10/23/17 05:55:00 PM,54.0934,29.97
35,10/23/17 06:10:00 PM,54.0934,30.07
36,10/23/17 06:25:00 PM,54.0934,30.18
37,10/23/17 06:40:00 PM,54.0934,30.24
38,10/23/17 06:55:00 PM,54.0934,30.31
39,10/23/17 07:10:00 PM,54.0934,30.36
40,10/23/17 07:25:00 PM,54.0934,30.41
41,10/23/17 07:40:00 PM,54.0934,30.43
42,10/23/17 07:55:00 PM,54.0934,30.44
43,10/23/17 08:10:00 PM,54.0934,30.46
44,10/23/17 08:25:00 PM,54.0934,30.46
45,10/23/17 08:40:00 PM,54.0934,30.44
46,10/23/17 08:55:00 PM,54.0934,30.43
47,10/23/17 09:10:00 PM,54.0934,30.42
48,10/23/17 09:25:00 PM,54.0934,30.41
49,10/23/17 09:40:00 PM,54.0934,30.37
50,10/23/17 09:55:00 PM,54.0934,30.34
