7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1518217680,+3.46,+16.317, +8.906,+0.976
1518218580,+3.46,+16.376, +8.858,+0.974
1518219480,+3.46,+16.461, +8.839,+0.975
1518220380,+3.46,+16.478, +8.816,+0.975
1518221280,+3.46,+16.521, +8.810,+0.976
1518222180,+3.46,+16.614, +8.756,+0.976
1518223080,+3.46,+16.733, +8.703,+0.975
1518223980,+3.46,+17.004, +8.640,+0.975
1518224880,+3.46,+17.318, +8.585,+0.977
1518225780,+3.46,+17.495, +8.505,+0.976
1518226680,+3.46,+17.605, +8.463,+0.976
1518227580,+3.46,+17.622, +8.462,+0.976
1518228480,+3.46,+17.656, +8.421,+0.976
1518229380,+3.46,+17.673, +8.413,+0.976
1518230280,+3.46,+17.706, +8.387,+0.976
1518231180,+3.46,+17.664, +8.399,+0.976
1518232080,+3.46,+17.504, +8.415,+0.976
1518232980,+3.46,+17.326, +8.439,+0.976
1518233880,+3.46,+17.242, +8.438,+0.976
1518234780,+3.46,+17.225, +8.425,+0.976
1518235680,+3.46,+17.216, +8.410,+0.976
1518236580,+3.47,+17.292, +8.363,+0.976
1518237480,+3.46,+17.335, +8.338,+0.975
1518238380,+3.46,+17.478, +8.306,+0.977
1518239280,+3.46,+17.571, +8.281,+0.977
1518240180,+3.46,+17.563, +8.245,+0.976
1518241080,+3.46,+17.487, +8.260,+0.976
1518241980,+3.46,+17.318, +8.301,+0.976
1518242880,+3.47,+17.275, +8.339,+0.976
1518243780,+3.47,+17.225, +8.341,+0.976
1518244680,+3.47,+17.191, +8.353,+0.976
1518245580,+3.47,+17.233, +8.330,+0.975
1518246480,+3.47,+17.191, +8.364,+0.976
1518247380,+3.47,+17.123, +8.407,+0.977
1518248280,+3.47,+17.191, +8.367,+0.976
1518249180,+3.47,+17.140, +8.409,+0.977
1518250080,+3.46,+17.132, +8.428,+0.977
1518250980,+3.47,+17.157, +8.417,+0.977
1518251880,+3.47,+17.199, +8.396,+0.975
1518252780,+3.46,+17.182, +8.431,+0.977
1518253680,+3.47,+17.208, +8.424,+0.976
1518254580,+3.47,+17.165, +8.454,+0.976
1518255480,+3.46,+17.123, +8.479,+0.975
1518256380,+3.47,+17.115, +8.522,+0.976
1518257280,+3.47,+17.098, +8.533,+0.976
1518258180,+3.47,+17.038, +8.547,+0.975
1518259080,+3.47,+17.030, +8.562,+0.976
1518259980,+3.47,+16.987, +8.577,+0.975
1518260880,+3.46,+16.987, +8.595,+0.975
1518261780,+3.47,+16.954, +8.622,+0.976
1518262680,+3.47,+16.928, +8.640,+0.976
1518263580,+3.46,+16.920, +8.646,+0.976
1518264480,+3.47,+16.877, +8.658,+0.976
1518265380,+3.47,+16.843, +8.663,+0.977
1518266280,+3.47,+16.809, +8.663,+0.976
1518267180,+3.47,+16.759, +8.661,+0.976
1518268080,+3.46,+16.750, +8.650,+0.976
1518268980,+3.46,+16.759, +8.618,+0.976
1518269880,+3.46,+16.750, +8.626,+0.977
1518270780,+3.46,+16.742, +8.594,+0.976
1518271680,+3.46,+16.742, +8.595,+0.976
1518272580,+3.46,+16.742, +8.590,+0.976
1518273480,+3.47,+16.750, +8.603,+0.976
1518274380,+3.46,+16.759, +8.632,+0.976
1518275280,+3.46,+16.691, +8.645,+0.976
1518276180,+3.46,+16.682, +8.650,+0.976
1518277080,+3.47,+16.674, +8.641,+0.975
1518277980,+3.46,+16.631, +8.638,+0.974
1518278880,+3.46,+16.614, +8.676,+0.977
1518279780,+3.46,+16.657, +8.641,+0.976
1518280680,+3.46,+16.606, +8.625,+0.975
1518281580,+3.46,+16.606, +8.641,+0.977
1518282480,+3.46,+16.589, +8.631,+0.976
1518283380,+3.47,+16.614, +8.615,+0.976
1518284280,+3.46,+16.597, +8.614,+0.976
1518285180,+3.46,+16.589, +8.609,+0.976
1518286080,+3.46,+16.665, +8.571,+0.976
1518286980,+3.46,+16.750, +8.512,+0.976
1518287880,+3.47,+16.750, +8.505,+0.976
1518288780,+3.47,+16.818, +8.465,+0.976
1518289680,+3.47,+16.852, +8.435,+0.976
1518290580,+3.46,+16.826, +8.398,+0.976
1518291480,+3.47,+16.962, +8.354,+0.976
1518292380,+3.47,+17.275, +8.289,+0.976
1518293280,+3.47,+17.512, +8.225,+0.975
1518294180,+3.46,+17.588, +8.216,+0.976
1518295080,+3.46,+17.622, +8.220,+0.977
1518295980,+3.47,+17.664, +8.199,+0.976
1518296880,+3.46,+17.689, +8.197,+0.976
1518297780,+3.46,+17.681, +8.202,+0.976
1518298680,+3.46,+17.723, +8.215,+0.977
1518299580,+3.47,+17.757, +8.200,+0.976
1518300480,+3.47,+17.774, +8.194,+0.976
1518301380,+3.47,+17.774, +8.191,+0.976
1518302280,+3.47,+17.808, +8.187,+0.976
1518303180,+3.47,+17.799, +8.186,+0.976
1518304080,+3.47,+17.824, +8.183,+0.977
