"Plot Title: Level 20028982"
"#","Date Time, GMT-08:00","Abs Pres, mm Hg (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Press)","Temp, °C (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Temp)"
1,03/01/18 11:00:00 AM,916.01,16.808
2,03/01/18 11:15:00 AM,915.88,16.808
3,03/01/18 11:30:00 AM,915.63,16.808
4,03/01/18 11:45:00 AM,915.38,16.808
5,03/01/18 12:00:00 PM,915.38,16.808
6,03/01/18 12:15:00 PM,915.14,16.808
7,03/01/18 12:30:00 PM,915.14,16.808
8,03/01/18 12:45:00 PM,915.01,16.808
9,03/01/18 01:00:00 PM,914.76,16.808
10,03/01/18 01:15:00 PM,914.51,16.808
11,03/01/18 01:30:00 PM,914.64,16.808
12,03/01/18 01:45:00 PM,914.39,16.808
13,03/01/18 02:00:00 PM,914.39,16.808
14,03/01/18 02:15:00 PM,914.27,16.808
15,03/01/18 02:30:00 PM,914.27,16.808
16,03/01/18 02:45:00 PM,914.15,16.808
17,03/01/18 03:00:00 PM,914.02,16.808
18,03/01/18 03:15:00 PM,918.11,16.808
19,03/01/18 03:30:00 PM,918.11,16.808
20,03/01/18 03:45:00 PM,917.75,16.808
21,03/01/18 04:00:00 PM,917.87,16.808
22,03/01/18 04:15:00 PM,917.87,16.808
23,03/01/18 04:30:00 PM,917.75,16.808
24,03/01/18 04:45:00 PM,917.87,16.808
25,03/01/18 05:00:00 PM,917.87,16.808
26,03/01/18 05:15:00 PM,917.87,16.808
27,03/01/18 05:30:00 PM,917.75,16.808
28,03/01/18 05:45:00 PM,917.87,16.808
29,03/01/18 06:00:00 PM,917.87,16.808
30,03/01/18 06:15:00 PM,917.62,16.808
31,03/01/18 06:30:00 PM,917.75,16.808
32,03/01/18 06:45:00 PM,917.62,16.808
33,03/01/18 07:00:00 PM,917.62,16.808
34,03/01/18 07:15:00 PM,917.75,16.808
35,03/01/18 07:30:00 PM,917.62,16.808
36,03/01/18 07:45:00 PM,917.75,16.808
37,03/01/18 08:00:00 PM,917.75,16.808
38,03/01/18 08:15:00 PM,917.75,16.808
39,03/01/18 08:30:00 PM,917.75,16.808
40,03/01/18 08:45:00 PM,917.99,16.808
41,03/01/18 09:00:00 PM,917.99,16.808
42,03/01/18 09:15:00 PM,917.99,16.808
43,03/01/18 09:30:00 PM,917.87,16.808
44,03/01/18 09:45:00 PM,917.87,16.808
45,03/01/18 10:00:00 PM,917.75,16.808
46,03/01/18 10:15:00 PM,917.62,16.808
47,03/01/18 10:30:00 PM,917.50,16.808
48,03/01/18 10:45:00 PM,917.50,16.808
49,03/01/18 11:00:00 PM,917.24,16.808
50,03/01/18 11:15:00 PM,917.24,16.808
51,03/01/18 11:30:00 PM,917.12,16.808
52,03/01/18 11:45:00 PM,917.00,16.808
53,03/02/18 12:00:00 AM,917.24,16.808
54,03/02/18 12:15:00 AM,917.00,16.808
55,03/02/18 12:30:00 AM,917.00,16.808
56,03/02/18 12:45:00 AM,916.75,16.808
57,03/02/18 01:00:00 AM,916.63,16.808
58,03/02/18 01:15:00 AM,916.50,16.808
59,03/02/18 01:30:00 AM,916.38,16.808
60,03/02/18 01:45:00 AM,916.25,16.808
61,03/02/18 02:00:00 AM,916.25,16.808
62,03/02/18 02:15:00 AM,916.13,16.808
63,03/02/18 02:30:00 AM,916.01,16.808
64,03/02/18 02:45:00 AM,915.88,16.808
65,03/02/18 03:00:00 AM,915.76,16.808
66,03/02/18 03:15:00 AM,915.63,16.808
67,03/02/18 03:30:00 AM,915.76,16.808
68,03/02/18 03:45:00 AM,915.63,16.808
69,03/02/18 04:00:00 AM,915.88,16.808
70,03/02/18 04:15:00 AM,915.88,16.808
71,03/02/18 04:30:00 AM,915.88,16.808
72,03/02/18 04:45:00 AM,916.13,16.808
73,03/02/18 05:00:00 AM,916.25,16.808
74,03/02/18 05:15:00 AM,916.38,16.808
75,03/02/18 05:30:00 AM,916.50,16.808
76,03/02/18 05:45:00 AM,916.38,16.808
77,03/02/18 06:00:00 AM,916.50,16.808
78,03/02/18 06:15:00 AM,916.50,16.808
79,03/02/18 06:30:00 AM,916.75,16.808
80,03/02/18 06:45:00 AM,916.88,16.808
81,03/02/18 07:00:00 AM,916.88,16.808
82,03/02/18 07:15:00 AM,917.12,16.808
83,03/02/18 07:30:00 AM,917.37,16.808
84,03/02/18 07:45:00 AM,917.50,16.808
85,03/02/18 08:00:00 AM,917.37,16.808
86,03/02/18 08:15:00 AM,917.50,16.808
87,03/02/18 08:30:00 AM,917.37,16.808
88,03/02/18 08:45:00 AM,917.50,16.808
89,03/02/18 09:00:00 AM,917.62,16.808
90,03/02/18 09:15:00 AM,917.62,16.808
91,03/02/18 09:30:00 AM,917.50,16.808
92,03/02/18 09:45:00 AM,917.62,16.808
93,03/02/18 10:00:00 AM,917.75,16.808
94,03/02/18 10:15:00 AM,917.87,16.808
95,03/02/18 10:30:00 AM,917.87,16.808
96,03/02/18 10:45:00 AM,917.99,16.808
97,03/02/18 11:00:00 AM,917.99,16.808
98,03/02/18 11:15:00 AM,917.87,16.808
99,03/02/18 11:30:00 AM,917.75,16.808
100,03/02/18 11:45:00 AM,917.75,16.808
101,03/02/18 12:00:00 PM,917.62,16.808
102,03/02/18 12:15:00 PM,917.37,16.808
103,03/02/18 12:30:00 PM,917.37,16.808
104,03/02/18 12:45:00 PM,917.24,16.808
105,03/02/18 01:00:00 PM,917.00,16.808
106,03/02/18 01:15:00 PM,916.75,16.808
107,03/02/18 01:30:00 PM,916.63,16.808
108,03/02/18 01:45:00 PM,916.63,16.808
109,03/02/18 02:00:00 PM,916.50,16.808
110,03/02/18 02:15:00 PM,916.50,16.808
111,03/02/18 02:30:00 PM,916.50,16.808
112,03/02/18 02:45:00 PM,916.50,16.808
113,03/02/18 03:00:00 PM,916.50,16.808
114,03/02/18 03:15:00 PM,916.63,16.808
115,03/02/18 03:30:00 PM,916.50,16.808
116,03/02/18 03:45:00 PM,916.38,16.808
117,03/02/18 04:00:00 PM,916.38,16.808
118,03/02/18 04:15:00 PM,916.25,16.808
119,03/02/18 04:30:00 PM,916.38,16.808
120,03/02/18 04:45:00 PM,916.38,16.808
121,03/02/18 05:00:00 PM,916.25,16.808
122,03/02/18 05:15:00 PM,916.50,16.808
123,03/02/18 05:30:00 PM,916.50,16.808
124,03/02/18 05:45:00 PM,916.63,16.808
125,03/02/18 06:00:00 PM,916.75,16.808
126,03/02/18 06:15:00 PM,916.75,16.808
127,03/02/18 06:30:00 PM,916.63,16.808
128,03/02/18 06:45:00 PM,916.63,16.808
129,03/02/18 07:00:00 PM,916.50,16.808
130,03/02/18 07:15:00 PM,916.63,16.808
131,03/02/18 07:30:00 PM,916.50,16.808
132,03/02/18 07:45:00 PM,916.63,16.808
133,03/02/18 08:00:00 PM,916.75,16.808
134,03/02/18 08:15:00 PM,916.75,16.808
135,03/02/18 08:30:00 PM,916.75,16.808
136,03/02/18 08:45:00 PM,916.88,16.808
137,03/02/18 09:00:00 PM,916.75,16.808
138,03/02/18 09:15:00 PM,916.75,16.808
139,03/02/18 09:30:00 PM,916.75,16.808
140,03/02/18 09:45:00 PM,916.88,16.808
141,03/02/18 10:00:00 PM,916.75,16.808
142,03/02/18 10:15:00 PM,916.75,16.808
143,03/02/18 10:30:00 PM,916.75,16.808
144,03/02/18 10:45:00 PM,916.75,16.808
