7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1520800860,+3.47,+17.875,+13.042,+0.967
1520801760,+3.47,+17.943,+12.988,+0.966
1520802660,+3.47,+17.959,+12.976,+0.965
1520803560,+3.47,+17.934,+12.994,+0.966
1520804460,+3.47,+17.926,+12.969,+0.965
1520805360,+3.47,+17.951,+12.961,+0.964
1520806260,+3.47,+17.968,+12.943,+0.965
1520807160,+3.47,+17.976,+12.908,+0.964
1520808060,+3.47,+18.018,+12.856,+0.963
1520808960,+3.47,+18.052,+12.853,+0.963
1520809860,+3.47,+18.086,+12.842,+0.964
1520810760,+3.47,+18.136,+12.909,+0.967
1520811660,+3.47,+18.229,+12.834,+0.964
1520812560,+3.47,+18.313,+12.834,+0.963
1520813460,+3.47,+18.372,+12.918,+0.966
1520814360,+3.47,+18.414,+12.893,+0.963
1520815260,+3.47,+18.465,+12.922,+0.965
1520816160,+3.47,+18.498,+12.932,+0.963
1520817060,+3.47,+18.557,+12.964,+0.964
1520817960,+3.47,+18.624,+12.981,+0.965
1520818860,+3.47,+18.692,+13.002,+0.966
1520819760,+3.47,+18.767,+12.975,+0.964
1520820660,+3.47,+18.843,+12.970,+0.964
1520821560,+3.47,+18.893,+13.009,+0.965
1520822460,+3.47,+19.002,+12.971,+0.963
1520823360,+3.47,+18.977,+13.032,+0.965
1520824260,+3.47,+19.011,+13.017,+0.964
1520825160,+3.47,+18.918,+13.120,+0.966
1520826060,+3.47,+18.935,+13.099,+0.963
1520826960,+3.47,+18.935,+13.119,+0.964
1520827860,+3.47,+18.876,+13.174,+0.966
1520828760,+3.47,+18.868,+13.137,+0.964
1520829660,+3.47,+18.918,+13.091,+0.963
1520830560,+3.47,+18.910,+13.107,+0.964
1520831460,+3.47,+18.902,+13.138,+0.966
1520832360,+3.47,+18.952,+13.091,+0.964
1520833260,+3.47,+18.943,+13.098,+0.965
1520834160,+3.47,+18.960,+13.083,+0.965
1520835060,+3.47,+19.002,+13.078,+0.967
1520835960,+3.47,+19.044,+13.006,+0.964
1520836860,+3.47,+19.027,+12.979,+0.963
1520837760,+3.47,+19.002,+12.958,+0.963
1520838660,+3.47,+19.027,+12.936,+0.963
1520839560,+3.47,+19.086,+12.919,+0.963
1520840460,+3.47,+19.086,+12.929,+0.965
1520841360,+3.47,+19.044,+12.907,+0.965
1520842260,+3.47,+18.943,+12.959,+0.965
1520843160,+3.47,+18.927,+12.936,+0.963
1520844060,+3.47,+18.910,+12.978,+0.963
1520844960,+3.47,+18.977,+12.999,+0.964
1520845860,+3.47,+19.036,+13.033,+0.964
1520846760,+3.47,+18.985,+13.094,+0.966
1520847660,+3.47,+19.019,+13.069,+0.964
1520848560,+3.47,+19.137,+13.042,+0.965
1520849460,+3.47,+19.153,+13.030,+0.964
1520850360,+3.47,+19.212,+13.002,+0.963
1520851260,+3.47,+19.195,+13.060,+0.966
1520852160,+3.47,+19.187,+13.056,+0.966
1520853060,+3.47,+19.078,+13.047,+0.964
1520853960,+3.47,+19.044,+13.078,+0.964
1520854860,+3.47,+19.053,+13.041,+0.963
1520855760,+3.47,+19.044,+13.083,+0.964
1520856660,+3.47,+19.011,+13.133,+0.965
1520857560,+3.47,+19.019,+13.137,+0.964
1520858460,+3.47,+19.086,+13.131,+0.965
1520859360,+3.47,+19.095,+13.157,+0.964
1520860260,+3.47,+19.036,+13.221,+0.965
1520861160,+3.47,+18.977,+13.334,+0.966
1520862060,+3.47,+19.011,+13.356,+0.964
1520862960,+3.47,+19.069,+13.414,+0.964
1520863860,+3.47,+19.120,+13.472,+0.964
1520864760,+3.47,+19.120,+13.450,+0.963
1520865660,+3.47,+19.178,+13.503,+0.965
1520866560,+3.47,+19.178,+13.526,+0.966
1520867460,+3.47,+19.120,+13.561,+0.966
1520868360,+3.47,+19.170,+13.483,+0.963
1520869260,+3.47,+19.187,+13.507,+0.964
1520870160,+3.47,+19.178,+13.540,+0.966
1520871060,+3.47,+19.204,+13.522,+0.964
1520871960,+3.47,+19.237,+13.536,+0.966
1520872860,+3.47,+19.178,+13.556,+0.966
1520873760,+3.47,+19.187,+13.527,+0.965
1520874660,+3.47,+19.237,+13.529,+0.966
1520875560,+3.47,+19.237,+13.504,+0.964
1520876460,+3.47,+19.287,+13.546,+0.965
1520877360,+3.47,+19.220,+13.603,+0.965
1520878260,+3.47,+19.279,+13.645,+0.966
1520879160,+3.47,+19.237,+13.694,+0.965
1520880060,+3.47,+19.153,+13.699,+0.964
1520880960,+3.47,+19.204,+13.638,+0.963
1520881860,+3.47,+19.246,+13.663,+0.965
1520882760,+3.47,+19.296,+13.628,+0.964
1520883660,+3.47,+19.296,+13.663,+0.966
1520884560,+3.47,+19.472,+13.573,+0.964
1520885460,+3.47,+19.522,+13.596,+0.966
1520886360,+3.47,+19.614,+13.520,+0.964
1520887260,+3.47,+19.589,+13.537,+0.964
