7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1522016940,+3.46,+17.884, +5.622,+0.967
1522017840,+3.46,+18.136, +5.587,+0.968
1522018740,+3.46,+18.549, +5.396,+0.967
1522019640,+3.46,+18.582, +5.619,+0.967
1522020540,+3.46,+18.683, +5.671,+0.966
1522021440,+3.46,+18.734, +5.805,+0.966
1522022340,+3.46,+18.868, +5.726,+0.966
1522023240,+3.46,+18.927, +5.905,+0.966
1522024140,+3.47,+18.994, +5.960,+0.966
1522025040,+3.47,+19.069, +5.931,+0.965
1522025940,+3.47,+19.162, +5.965,+0.966
1522026840,+3.47,+19.137, +5.970,+0.965
1522027740,+3.47,+19.036, +5.917,+0.965
1522028640,+3.46,+18.943, +5.906,+0.966
1522029540,+3.47,+18.801, +5.870,+0.965
1522030440,+3.47,+18.717, +5.921,+0.965
1522031340,+3.47,+18.658, +5.972,+0.966
1522032240,+3.47,+18.515, +5.940,+0.966
1522033140,+3.47,+18.431, +5.934,+0.966
1522034040,+3.47,+18.372, +5.884,+0.966
1522034940,+3.47,+18.246, +5.857,+0.966
1522035840,+3.47,+18.119, +5.924,+0.966
1522036740,+3.47,+18.027, +5.927,+0.965
1522037640,+3.47,+17.875, +5.888,+0.966
1522038540,+3.47,+17.757, +5.872,+0.966
1522039440,+3.47,+17.622, +5.961,+0.966
1522040340,+3.47,+17.470, +5.891,+0.965
1522041240,+3.47,+17.411, +5.850,+0.966
1522042140,+3.47,+17.284, +5.841,+0.966
1522043040,+3.47,+17.182, +5.764,+0.966
1522043940,+3.47,+17.157, +5.834,+0.966
1522044840,+3.47,+17.064, +5.839,+0.966
1522045740,+3.47,+16.987, +5.825,+0.966
1522046640,+3.47,+16.894, +5.779,+0.966
1522047540,+3.47,+16.826, +5.721,+0.966
1522048440,+3.47,+16.742, +5.704,+0.966
1522049340,+3.47,+16.648, +5.687,+0.967
1522050240,+3.47,+16.521, +5.688,+0.965
1522051140,+3.47,+16.325, +5.698,+0.966
1522052040,+3.47,+16.104, +5.755,+0.965
1522052940,+3.47,+15.924, +5.736,+0.966
1522053840,+3.47,+15.719, +5.684,+0.966
1522054740,+3.47,+15.907, +5.669,+0.966
1522055640,+3.47,+16.035, +5.596,+0.967
1522056540,+3.47,+16.121, +5.498,+0.966
1522057440,+3.47,+16.146, +5.418,+0.967
1522058340,+3.47,+16.069, +5.311,+0.967
1522059240,+3.47,+15.950, +5.228,+0.966
1522060140,+3.47,+15.617, +5.398,+0.966
1522061040,+3.47,+15.548, +5.539,+0.967
1522061940,+3.47,+15.557, +5.559,+0.967
1522062840,+3.46,+15.548, +5.582,+0.966
1522063740,+3.46,+15.471, +5.578,+0.966
1522064640,+3.47,+15.368, +5.588,+0.967
1522065540,+3.47,+15.317, +5.578,+0.967
1522066440,+3.47,+15.351, +5.559,+0.967
1522067340,+3.46,+15.197, +5.532,+0.967
1522068240,+3.47,+15.085, +5.522,+0.966
1522069140,+3.46,+15.025, +5.515,+0.966
1522070040,+3.46,+14.861, +5.522,+0.967
1522070940,+3.46,+14.663, +5.502,+0.966
1522071840,+3.46,+14.490, +5.523,+0.967
1522072740,+3.46,+14.395, +5.496,+0.966
1522073640,+3.46,+14.265, +5.471,+0.967
1522074540,+3.46,+14.109, +5.429,+0.967
1522075440,+3.46,+14.022, +5.396,+0.967
1522076340,+3.46,+13.909, +5.346,+0.966
1522077240,+3.46,+13.909, +5.325,+0.967
1522078140,+3.46,+13.831, +5.305,+0.967
1522079040,+3.46,+13.796, +5.278,+0.966
1522079940,+3.46,+13.814, +5.268,+0.968
1522080840,+3.46,+13.840, +5.254,+0.967
1522081740,+3.46,+13.979, +5.250,+0.967
1522082640,+3.46,+13.996, +5.261,+0.967
1522083540,+3.46,+14.352, +5.472,+0.967
1522084440,+3.46,+14.654, +5.573,+0.967
1522085340,+3.46,+14.964, +5.670,+0.967
1522086240,+3.46,+14.921, +5.676,+0.967
1522087140,+3.46,+15.007, +5.680,+0.967
1522088040,+3.46,+15.179, +5.726,+0.967
1522088940,+3.46,+15.574, +5.796,+0.967
1522089840,+3.46,+15.830, +5.869,+0.967
1522090740,+3.46,+16.010, +5.929,+0.965
1522091640,+3.46,+16.223, +5.898,+0.966
1522092540,+3.46,+16.529, +5.964,+0.966
1522093440,+3.46,+16.775, +5.991,+0.965
1522094340,+3.46,+16.954, +6.046,+0.965
1522095240,+3.46,+17.140, +6.042,+0.964
1522096140,+3.46,+17.242, +6.164,+0.965
1522097040,+3.46,+17.487, +6.089,+0.965
1522097940,+3.46,+18.052, +6.137,+0.965
1522098840,+3.46,+18.397, +6.240,+0.965
1522099740,+3.46,+18.582, +6.288,+0.963
1522100640,+3.46,+18.431, +6.199,+0.964
1522101540,+3.46,+18.776, +6.277,+0.965
1522102440,+3.46,+19.170, +6.486,+0.963
1522103340,+3.46,+19.002, +6.357,+0.963
