7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1523303820,+3.48,+21.897, +6.117,+0.984
1523304720,+3.48,+22.064, +6.341,+0.983
1523305620,+3.49,+22.290, +6.551,+0.984
1523306520,+3.49,+22.465, +6.663,+0.984
1523307420,+3.48,+22.741, +6.817,+0.983
1523308320,+3.49,+22.908, +6.614,+0.983
1523309220,+3.48,+22.758, +6.693,+0.982
1523310120,+3.49,+22.916, +6.647,+0.983
1523311020,+3.48,+23.184, +6.999,+0.982
1523311920,+3.49,+23.008, +6.622,+0.982
1523312820,+3.49,+23.326, +7.273,+0.983
1523313720,+3.49,+23.142, +6.472,+0.982
1523314620,+3.49,+23.385, +7.227,+0.983
1523315520,+3.49,+23.251, +7.006,+0.983
1523316420,+3.49,+23.318, +7.096,+0.982
1523317320,+3.49,+23.468, +7.576,+0.981
1523318220,+3.49,+23.728, +8.042,+0.983
1523319120,+3.49,+23.569, +7.631,+0.981
1523320020,+3.49,+23.627, +8.187,+0.982
1523320920,+3.49,+23.452, +7.700,+0.981
1523321820,+3.49,+23.226, +7.575,+0.979
1523322720,+3.49,+23.100, +7.501,+0.981
1523323620,+3.49,+22.916, +6.715,+0.981
1523324520,+3.49,+22.549, +7.077,+0.983
1523325420,+3.49,+22.256, +6.536,+0.982
1523326320,+3.49,+22.198, +5.802,+0.983
1523327220,+3.49,+22.139, +5.139,+0.983
1523328120,+3.49,+22.231, +5.027,+0.983
1523329020,+3.49,+22.281, +5.033,+0.985
1523329920,+3.49,+22.298, +4.821,+0.984
1523330820,+3.49,+22.331, +4.889,+0.984
1523331720,+3.49,+22.440, +5.466,+0.983
1523332620,+3.49,+22.415, +4.776,+0.984
1523333520,+3.49,+22.615, +5.381,+0.983
1523334420,+3.49,+22.632, +5.523,+0.983
1523335320,+3.49,+22.841, +5.321,+0.983
1523336220,+3.49,+23.117, +5.661,+0.984
1523337120,+3.49,+23.117, +5.686,+0.984
1523338020,+3.49,+23.150, +5.440,+0.984
1523338920,+3.49,+22.992, +5.226,+0.983
1523339820,+3.49,+22.808, +4.848,+0.984
1523340720,+3.49,+22.574, +4.210,+0.984
1523341620,+3.49,+22.883, +5.173,+0.984
1523342520,+3.49,+22.749, +4.640,+0.984
1523343420,+3.49,+22.691, +4.549,+0.984
1523344320,+3.49,+22.833, +5.149,+0.984
1523345220,+3.49,+22.758, +4.801,+0.984
1523346120,+3.49,+22.682, +4.687,+0.984
1523347020,+3.49,+22.440, +4.402,+0.985
1523347920,+3.49,+22.641, +4.789,+0.985
1523348820,+3.49,+22.641, +4.864,+0.984
1523349720,+3.49,+22.632, +4.738,+0.984
1523350620,+3.49,+22.524, +4.750,+0.984
1523351520,+3.49,+22.189, +3.450,+0.985
1523352420,+3.49,+22.465, +4.414,+0.985
1523353320,+3.49,+22.490, +4.717,+0.984
1523354220,+3.49,+22.440, +4.933,+0.984
1523355120,+3.49,+22.306, +4.614,+0.984
1523356020,+3.49,+22.114, +4.271,+0.985
1523356920,+3.49,+21.864, +3.016,+0.985
1523357820,+3.49,+21.721, +3.015,+0.986
1523358720,+3.49,+21.705, +4.422,+0.984
1523359620,+3.49,+21.671, +3.781,+0.986
1523360520,+3.49,+21.638, +4.106,+0.985
1523361420,+3.49,+21.546, +3.818,+0.985
1523362320,+3.49,+21.521, +4.011,+0.985
1523363220,+3.49,+21.337, +4.037,+0.986
1523364120,+3.49,+21.153, +3.825,+0.985
1523365020,+3.49,+21.036, +3.934,+0.986
1523365920,+3.49,+21.045, +3.561,+0.985
1523366820,+3.49,+21.028, +4.031,+0.985
1523367720,+3.49,+20.911, +4.230,+0.985
1523368620,+3.49,+20.869, +4.173,+0.986
1523369520,+3.49,+20.853, +4.027,+0.984
1523370420,+3.49,+20.961, +3.726,+0.986
1523371320,+3.49,+20.936, +3.986,+0.986
1523372220,+3.49,+20.919, +3.606,+0.986
1523373120,+3.49,+20.978, +3.185,+0.986
1523374020,+3.49,+20.986, +3.641,+0.986
1523374920,+3.49,+20.978, +2.920,+0.987
1523375820,+3.49,+20.919, +3.371,+0.987
1523376720,+3.49,+20.911, +3.432,+0.986
1523377620,+3.49,+20.710, +3.462,+0.985
1523378520,+3.49,+20.610, +3.148,+0.986
1523379420,+3.49,+20.485, +3.119,+0.986
1523380320,+3.49,+20.493, +2.843,+0.987
1523381220,+3.49,+20.560, +2.782,+0.987
1523382120,+3.49,+20.660, +2.929,+0.987
1523383020,+3.49,+20.727, +2.866,+0.987
1523383920,+3.49,+20.944, +1.984,+0.986
1523384820,+3.49,+21.178, +1.681,+0.985
1523385720,+3.49,+21.254, +2.168,+0.986
1523386620,+3.49,+21.337, +3.070,+0.986
1523387520,+3.49,+21.429, +2.188,+0.986
1523388420,+3.49,+21.605, +2.223,+0.986
1523389320,+3.49,+21.696, +1.740,+0.986
1523390220,+3.49,+21.738, +2.363,+0.986
