"Plot Title: 20246312"
"#","Date Time, GMT-07:00","Abs Pres, mm Hg (LGR S/N: 20246312, SEN S/N: 20246312)","Temp, °C (LGR S/N: 20246312, SEN S/N: 20246312)"
1,04/18/18 02:00:00 PM,762.74,15.187
2,04/18/18 02:15:00 PM,762.50,15.187
3,04/18/18 02:30:00 PM,762.31,15.473
4,04/18/18 02:45:00 PM,762.31,15.473
5,04/18/18 03:00:00 PM,762.14,15.378
6,04/18/18 03:15:00 PM,762.00,15.569
7,04/18/18 03:30:00 PM,761.88,15.760
8,04/18/18 03:45:00 PM,761.74,15.951
9,04/18/18 04:00:00 PM,761.55,16.237
10,04/18/18 04:15:00 PM,761.41,16.427
11,04/18/18 04:30:00 PM,761.22,16.523
12,04/18/18 04:45:00 PM,761.06,16.427
13,04/18/18 05:00:00 PM,761.11,16.523
14,04/18/18 05:15:00 PM,760.95,18.711
15,04/18/18 05:30:00 PM,760.81,18.901
16,04/18/18 05:45:00 PM,760.81,18.901
17,04/18/18 06:00:00 PM,760.67,19.092
18,04/18/18 06:15:00 PM,760.60,19.662
19,04/18/18 06:30:00 PM,760.50,18.045
20,04/18/18 06:45:00 PM,760.47,17.760
21,04/18/18 07:00:00 PM,760.35,17.760
22,04/18/18 07:15:00 PM,760.39,17.855
23,04/18/18 07:30:00 PM,760.41,17.665
24,04/18/18 07:45:00 PM,760.62,16.713
25,04/18/18 08:00:00 PM,760.50,16.046
26,04/18/18 08:15:00 PM,760.39,15.855
27,04/18/18 08:30:00 PM,760.34,15.760
28,04/18/18 08:45:00 PM,760.41,15.473
29,04/18/18 09:00:00 PM,760.57,14.900
30,04/18/18 09:15:00 PM,760.71,14.325
31,04/18/18 09:30:00 PM,760.83,14.325
32,04/18/18 09:45:00 PM,760.88,14.613
33,04/18/18 10:00:00 PM,760.78,14.230
34,04/18/18 10:15:00 PM,760.80,13.846
35,04/18/18 10:30:00 PM,760.98,13.558
36,04/18/18 10:45:00 PM,760.98,13.558
37,04/18/18 11:00:00 PM,761.04,13.654
38,04/18/18 11:15:00 PM,761.16,13.461
39,04/18/18 11:30:00 PM,761.04,13.269
40,04/18/18 11:45:00 PM,760.88,12.980
41,04/19/18 12:00:00 AM,760.76,12.980
42,04/19/18 12:15:00 AM,760.76,12.787
43,04/19/18 12:30:00 AM,761.01,12.401
44,04/19/18 12:45:00 AM,760.95,12.110
45,04/19/18 01:00:00 AM,761.07,12.110
46,04/19/18 01:15:00 AM,761.07,12.110
47,04/19/18 01:30:00 AM,760.83,12.304
48,04/19/18 01:45:00 AM,761.07,12.110
49,04/19/18 02:00:00 AM,761.01,11.819
50,04/19/18 02:15:00 AM,760.89,11.819
51,04/19/18 02:30:00 AM,760.83,11.722
52,04/19/18 02:45:00 AM,761.00,11.236
53,04/19/18 03:00:00 AM,760.89,11.625
54,04/19/18 03:15:00 AM,760.95,11.916
55,04/19/18 03:30:00 AM,760.95,12.110
56,04/19/18 03:45:00 AM,760.95,12.110
57,04/19/18 04:00:00 AM,761.07,11.916
58,04/19/18 04:15:00 AM,761.07,11.916
