7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1515375420,+3.46,+16.419, +7.172,+0.973
1515376320,+3.46,+16.478, +8.599,+0.971
1515377220,+3.46,+16.461, +9.748,+0.971
1515378120,+3.46,+16.461, +9.836,+0.972
1515379020,+3.47,+16.376, +9.378,+0.974
1515379920,+3.47,+16.385, +8.779,+0.974
1515380820,+3.46,+16.427, +8.257,+0.974
1515381720,+3.46,+16.436, +7.793,+0.975
1515382620,+3.46,+16.427, +7.338,+0.975
1515383520,+3.46,+16.368, +6.896,+0.976
1515384420,+3.47,+16.317, +6.474,+0.976
1515385320,+3.47,+16.334, +6.086,+0.976
1515386220,+3.47,+16.368, +5.759,+0.976
1515387120,+3.47,+16.334, +5.455,+0.976
1515388020,+3.47,+16.325, +5.162,+0.976
1515388920,+3.47,+16.359, +4.890,+0.977
1515389820,+3.47,+16.376, +4.625,+0.978
1515390720,+3.47,+16.334, +4.372,+0.978
1515391620,+3.47,+16.342, +4.128,+0.978
1515392520,+3.47,+16.385, +3.920,+0.978
1515393420,+3.47,+16.427, +3.796,+0.979
1515394320,+3.46,+16.453, +3.827,+0.978
1515395220,+3.47,+16.512, +4.134,+0.976
1515396120,+3.47,+16.512, +4.780,+0.969
1515397020,+3.46,+16.495, +5.444,+0.969
1515397920,+3.47,+16.504, +5.584,+0.971
1515398820,+3.47,+16.538, +5.415,+0.972
1515399720,+3.47,+16.470, +5.202,+0.974
1515400620,+3.47,+16.359, +4.981,+0.975
1515401520,+3.47,+16.419, +4.744,+0.977
1515402420,+3.47,+16.487, +4.531,+0.977
1515403320,+3.47,+16.504, +4.369,+0.977
1515404220,+3.46,+16.521, +4.263,+0.978
1515405120,+3.47,+16.546, +4.206,+0.977
1515406020,+3.47,+16.410, +4.249,+0.977
1515406920,+3.47,+16.325, +4.238,+0.977
1515407820,+3.47,+16.376, +4.141,+0.977
1515408720,+3.47,+16.555, +4.032,+0.978
1515409620,+3.47,+16.708, +4.014,+0.977
1515410520,+3.47,+16.665, +5.640,+0.965
1515411420,+3.47,+16.529, +6.560,+0.970
1515412320,+3.47,+16.444, +6.366,+0.973
1515413220,+3.47,+16.436, +5.940,+0.974
1515414120,+3.47,+16.402, +5.525,+0.975
1515415020,+3.47,+16.410, +5.162,+0.976
1515415920,+3.47,+16.359, +4.870,+0.976
1515416820,+3.47,+16.444, +4.621,+0.977
1515417720,+3.47,+16.470, +4.426,+0.978
1515418620,+3.47,+16.512, +4.317,+0.977
1515419520,+3.47,+16.512, +4.395,+0.977
1515420420,+3.47,+16.512, +4.867,+0.973
1515421320,+3.47,+16.461, +5.090,+0.973
1515422220,+3.47,+16.521, +5.025,+0.974
1515423120,+3.47,+16.589, +4.883,+0.975
1515424020,+3.47,+16.495, +6.430,+0.972
1515424920,+3.47,+16.504, +7.268,+0.972
1515425820,+3.47,+16.478, +7.260,+0.974
1515426720,+3.47,+16.461, +6.976,+0.974
1515427620,+3.47,+16.495, +6.653,+0.975
1515428520,+3.47,+16.478, +6.341,+0.975
1515429420,+3.47,+16.436, +6.050,+0.976
1515430320,+3.47,+16.402, +5.802,+0.976
1515431220,+3.47,+16.478, +5.593,+0.976
1515432120,+3.47,+16.538, +5.368,+0.976
1515433020,+3.47,+16.614, +7.433,+0.970
1515433920,+3.47,+16.631, +8.254,+0.973
1515434820,+3.47,+16.631, +8.069,+0.974
1515435720,+3.47,+16.529, +7.718,+0.974
1515436620,+3.47,+16.487, +7.343,+0.976
1515437520,+3.47,+16.521, +6.967,+0.975
1515438420,+3.47,+16.589, +6.634,+0.975
1515439320,+3.47,+16.614, +6.310,+0.976
1515440220,+3.47,+16.614, +6.005,+0.977
1515441120,+3.47,+16.606, +5.730,+0.976
1515442020,+3.46,+16.580, +5.549,+0.977
1515442920,+3.47,+16.546, +5.385,+0.978
1515443820,+3.47,+16.521, +5.241,+0.977
1515444720,+3.47,+16.512, +5.102,+0.977
1515445620,+3.47,+16.555, +4.964,+0.978
1515446520,+3.47,+16.589, +4.833,+0.977
1515447420,+3.47,+16.631, +4.912,+0.976
1515448320,+3.47,+16.640, +6.231,+0.970
1515449220,+3.47,+16.580, +7.006,+0.972
1515450120,+3.47,+16.589, +6.971,+0.973
1515451020,+3.47,+16.555, +6.683,+0.974
1515451920,+3.47,+16.521, +6.356,+0.975
1515452820,+3.47,+16.538, +6.031,+0.976
1515453720,+3.47,+16.589, +5.733,+0.977
1515454620,+3.47,+16.597, +5.459,+0.976
1515455520,+3.47,+16.589, +5.223,+0.977
1515456420,+3.47,+16.555, +5.019,+0.977
1515457320,+3.47,+16.580, +4.854,+0.977
1515458220,+3.47,+16.555, +4.721,+0.978
1515459120,+3.47,+16.529, +5.983,+0.973
1515460020,+3.47,+16.538, +6.065,+0.975
1515460920,+3.47,+16.504, +6.526,+0.973
1515461820,+3.46,+16.529, +6.445,+0.974
