"Plot Title: Level 20028982"
"#","Date Time, GMT-08:00","Abs Pres, mm Hg (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Press)","Temp, °C (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Temp)"
1,12/06/17 05:00:00 PM,873.38,10.944
2,12/06/17 05:15:00 PM,873.38,10.944
3,12/06/17 05:30:00 PM,873.51,10.944
4,12/06/17 05:45:00 PM,873.66,11.041
5,12/06/17 06:00:00 PM,873.91,11.041
6,12/06/17 06:15:00 PM,873.78,11.041
7,12/06/17 06:30:00 PM,873.78,11.041
8,12/06/17 06:45:00 PM,873.91,11.041
9,12/06/17 07:00:00 PM,874.03,11.041
10,12/06/17 07:15:00 PM,874.16,11.041
11,12/06/17 07:30:00 PM,874.28,11.041
12,12/06/17 07:45:00 PM,874.28,11.041
13,12/06/17 08:00:00 PM,874.28,11.041
14,12/06/17 08:15:00 PM,874.41,11.041
15,12/06/17 08:30:00 PM,874.37,10.944
16,12/06/17 08:45:00 PM,874.74,10.944
17,12/06/17 09:00:00 PM,874.86,10.944
18,12/06/17 09:15:00 PM,874.74,10.944
19,12/06/17 09:30:00 PM,874.62,10.944
20,12/06/17 09:45:00 PM,874.98,10.944
21,12/06/17 10:00:00 PM,875.11,10.944
22,12/06/17 10:15:00 PM,875.27,11.041
23,12/06/17 10:30:00 PM,875.27,11.041
24,12/06/17 10:45:00 PM,875.64,11.041
25,12/06/17 11:00:00 PM,875.88,11.041
26,12/06/17 11:15:00 PM,875.88,11.041
27,12/06/17 11:30:00 PM,876.01,11.041
28,12/06/17 11:45:00 PM,875.88,11.041
29,12/07/17 12:00:00 AM,876.01,11.041
30,12/07/17 12:15:00 AM,876.01,11.041
31,12/07/17 12:30:00 AM,875.76,11.041
32,12/07/17 12:45:00 AM,875.64,11.041
33,12/07/17 01:00:00 AM,875.43,11.139
34,12/07/17 01:15:00 AM,875.67,11.139
35,12/07/17 01:30:00 AM,875.67,11.139
36,12/07/17 01:45:00 AM,876.17,11.139
37,12/07/17 02:00:00 AM,876.30,11.139
38,12/07/17 02:15:00 AM,876.42,11.139
39,12/07/17 02:30:00 AM,876.54,11.139
40,12/07/17 02:45:00 AM,876.54,11.139
41,12/07/17 03:00:00 AM,876.42,11.139
42,12/07/17 03:15:00 AM,876.42,11.139
43,12/07/17 03:30:00 AM,876.54,11.139
44,12/07/17 03:45:00 AM,876.54,11.139
45,12/07/17 04:00:00 AM,876.54,11.139
46,12/07/17 04:15:00 AM,876.30,11.139
47,12/07/17 04:30:00 AM,876.42,11.139
48,12/07/17 04:45:00 AM,876.54,11.139
49,12/07/17 05:00:00 AM,876.54,11.139
50,12/07/17 05:15:00 AM,876.91,11.139
51,12/07/17 05:30:00 AM,876.79,11.139
52,12/07/17 05:45:00 AM,876.91,11.139
53,12/07/17 06:00:00 AM,876.95,11.236
54,12/07/17 06:15:00 AM,877.20,11.236
55,12/07/17 06:30:00 AM,877.32,11.236
56,12/07/17 06:45:00 AM,877.44,11.236
57,12/07/17 07:00:00 AM,877.56,11.236
58,12/07/17 07:15:00 AM,877.44,11.236
59,12/07/17 07:30:00 AM,877.20,11.236
60,12/07/17 07:45:00 AM,877.20,11.236
61,12/07/17 08:00:00 AM,877.07,11.236
62,12/07/17 08:15:00 AM,877.32,11.236
63,12/07/17 08:30:00 AM,877.32,11.236
64,12/07/17 08:45:00 AM,877.44,11.236
65,12/07/17 09:00:00 AM,877.44,11.236
66,12/07/17 09:15:00 AM,877.41,11.139
67,12/07/17 09:30:00 AM,877.65,11.139
68,12/07/17 09:45:00 AM,877.50,11.041
69,12/07/17 10:00:00 AM,877.50,11.041
70,12/07/17 10:15:00 AM,877.58,10.944
71,12/07/17 10:30:00 AM,877.29,10.846
72,12/07/17 10:45:00 AM,877.01,10.748
73,12/07/17 11:00:00 AM,876.89,10.748
74,12/07/17 11:15:00 AM,876.76,10.748
75,12/07/17 11:30:00 AM,876.72,10.651
76,12/07/17 11:45:00 AM,876.60,10.651
77,12/07/17 12:00:00 PM,876.60,10.651
78,12/07/17 12:15:00 PM,876.36,10.651
79,12/07/17 12:30:00 PM,876.24,10.651
80,12/07/17 12:45:00 PM,876.30,10.846
81,12/07/17 01:00:00 PM,876.18,10.846
82,12/07/17 01:15:00 PM,875.82,10.846
83,12/07/17 01:30:00 PM,875.94,10.846
84,12/07/17 01:45:00 PM,875.94,10.846
85,12/07/17 02:00:00 PM,875.85,10.944
86,12/07/17 02:15:00 PM,876.09,10.944
87,12/07/17 02:30:00 PM,876.22,10.944
88,12/07/17 02:45:00 PM,876.09,10.944
89,12/07/17 03:00:00 PM,876.09,10.944
90,12/07/17 03:15:00 PM,876.22,10.944
91,12/07/17 03:30:00 PM,876.09,10.944
92,12/07/17 03:45:00 PM,876.34,10.944
93,12/07/17 04:00:00 PM,876.59,10.944
94,12/07/17 04:15:00 PM,876.59,10.944
95,12/07/17 04:30:00 PM,876.72,10.944
96,12/07/17 04:45:00 PM,877.00,11.041
97,12/07/17 05:00:00 PM,877.08,10.944
98,12/07/17 05:15:00 PM,877.21,10.944
99,12/07/17 05:30:00 PM,877.33,10.944
100,12/07/17 05:45:00 PM,877.74,11.041
101,12/07/17 06:00:00 PM,877.86,11.041
102,12/07/17 06:15:00 PM,877.86,11.041
103,12/07/17 06:30:00 PM,877.98,11.041
104,12/07/17 06:45:00 PM,878.23,11.041
105,12/07/17 07:00:00 PM,878.36,11.041
106,12/07/17 07:15:00 PM,878.48,11.041
107,12/07/17 07:30:00 PM,878.61,11.041
108,12/07/17 07:45:00 PM,878.73,11.041
109,12/07/17 08:00:00 PM,878.85,11.041
110,12/07/17 08:15:00 PM,879.10,11.041
111,12/07/17 08:30:00 PM,879.10,11.041
112,12/07/17 08:45:00 PM,879.35,11.041
113,12/07/17 09:00:00 PM,879.47,11.041
114,12/07/17 09:15:00 PM,879.35,11.041
115,12/07/17 09:30:00 PM,879.35,11.041
116,12/07/17 09:45:00 PM,879.47,11.041
117,12/07/17 10:00:00 PM,879.60,11.041
118,12/07/17 10:15:00 PM,879.72,11.041
119,12/07/17 10:30:00 PM,879.72,11.041
120,12/07/17 10:45:00 PM,879.72,11.041
121,12/07/17 11:00:00 PM,879.72,11.041
122,12/07/17 11:15:00 PM,879.84,11.041
123,12/07/17 11:30:00 PM,879.84,11.041
124,12/07/17 11:45:00 PM,879.72,11.041
125,12/08/17 12:00:00 AM,879.60,11.041
126,12/08/17 12:15:00 AM,879.60,11.041
127,12/08/17 12:30:00 AM,879.51,11.139
128,12/08/17 12:45:00 AM,879.39,11.139
129,12/08/17 01:00:00 AM,879.26,11.139
130,12/08/17 01:15:00 AM,879.26,11.139
131,12/08/17 01:30:00 AM,879.14,11.139
132,12/08/17 01:45:00 AM,879.14,11.139
133,12/08/17 02:00:00 AM,879.14,11.139
134,12/08/17 02:15:00 AM,879.01,11.139
135,12/08/17 02:30:00 AM,879.01,11.139
136,12/08/17 02:45:00 AM,878.89,11.139
137,12/08/17 03:00:00 AM,879.01,11.139
138,12/08/17 03:15:00 AM,878.89,11.139
139,12/08/17 03:30:00 AM,879.01,11.139
140,12/08/17 03:45:00 AM,878.76,11.139
141,12/08/17 04:00:00 AM,878.76,11.139
142,12/08/17 04:15:00 AM,878.64,11.139
143,12/08/17 04:30:00 AM,878.76,11.139
144,12/08/17 04:45:00 AM,878.76,11.139
145,12/08/17 05:00:00 AM,878.76,11.139
146,12/08/17 05:15:00 AM,878.64,11.139
147,12/08/17 05:30:00 AM,878.64,11.139
148,12/08/17 05:45:00 AM,878.73,11.041
149,12/08/17 06:00:00 AM,878.85,11.041
150,12/08/17 06:15:00 AM,878.85,11.041
151,12/08/17 06:30:00 AM,878.85,11.041
152,12/08/17 06:45:00 AM,879.10,11.041
153,12/08/17 07:00:00 AM,879.01,11.139
154,12/08/17 07:15:00 AM,878.97,11.041
155,12/08/17 07:30:00 AM,879.03,10.846
156,12/08/17 07:45:00 AM,879.15,10.846
157,12/08/17 08:00:00 AM,879.15,10.846
158,12/08/17 08:15:00 AM,878.99,10.748
159,12/08/17 08:30:00 AM,879.07,10.651
160,12/08/17 08:45:00 AM,878.83,10.651
161,12/08/17 09:00:00 AM,878.70,10.651
162,12/08/17 09:15:00 AM,878.70,10.651
163,12/08/17 09:30:00 AM,878.70,10.651
164,12/08/17 09:45:00 AM,878.58,10.651
165,12/08/17 10:00:00 AM,878.55,10.553
166,12/08/17 10:15:00 AM,878.51,10.455
167,12/08/17 10:30:00 AM,878.38,10.455
168,12/08/17 10:45:00 AM,878.38,10.455
169,12/08/17 11:00:00 AM,878.26,10.455
170,12/08/17 11:15:00 AM,878.13,10.455
171,12/08/17 11:30:00 AM,877.85,10.357
172,12/08/17 11:45:00 AM,877.69,10.259
173,12/08/17 12:00:00 PM,877.36,10.357
174,12/08/17 12:15:00 PM,877.23,10.357
175,12/08/17 12:30:00 PM,877.20,10.259
176,12/08/17 12:45:00 PM,877.11,10.357
177,12/08/17 01:00:00 PM,876.87,10.357
178,12/08/17 01:15:00 PM,876.78,10.455
179,12/08/17 01:30:00 PM,876.53,10.455
180,12/08/17 01:45:00 PM,876.41,10.455
181,12/08/17 02:00:00 PM,876.41,10.455
182,12/08/17 02:15:00 PM,876.41,10.455
183,12/08/17 02:30:00 PM,876.41,10.455
184,12/08/17 02:45:00 PM,876.41,10.455
185,12/08/17 03:00:00 PM,876.28,10.455
186,12/08/17 03:15:00 PM,876.28,10.455
187,12/08/17 03:30:00 PM,876.16,10.455
188,12/08/17 03:45:00 PM,876.16,10.455
189,12/08/17 04:00:00 PM,876.16,10.455
190,12/08/17 04:15:00 PM,876.28,10.455
191,12/08/17 04:30:00 PM,876.16,10.455
192,12/08/17 04:45:00 PM,876.16,10.455
193,12/08/17 05:00:00 PM,876.16,10.455
194,12/08/17 05:15:00 PM,876.28,10.455
195,12/08/17 05:30:00 PM,876.32,10.553
196,12/08/17 05:45:00 PM,876.32,10.553
197,12/08/17 06:00:00 PM,876.32,10.553
198,12/08/17 06:15:00 PM,876.07,10.553
199,12/08/17 06:30:00 PM,876.07,10.553
200,12/08/17 06:45:00 PM,876.07,10.553
201,12/08/17 07:00:00 PM,876.20,10.553
202,12/08/17 07:15:00 PM,876.20,10.553
203,12/08/17 07:30:00 PM,876.32,10.553
204,12/08/17 07:45:00 PM,876.20,10.553
205,12/08/17 08:00:00 PM,876.20,10.553
206,12/08/17 08:15:00 PM,876.32,10.553
207,12/08/17 08:30:00 PM,876.32,10.553
208,12/08/17 08:45:00 PM,876.32,10.553
209,12/08/17 09:00:00 PM,876.36,10.651
210,12/08/17 09:15:00 PM,876.36,10.651
211,12/08/17 09:30:00 PM,876.24,10.651
212,12/08/17 09:45:00 PM,876.11,10.651
